#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.001762        1.226194e+08      1.226238e+08     -4.955909e+03      5.956834e+02   
     0.001185          0.009274        5.441955e+07      5.442216e+07     -3.173137e+03      5.608383e+02   
     0.001185          0.022740        2.478645e+07      2.478828e+07     -2.338598e+03      5.111844e+02   
     0.001185          0.042083        1.741453e+07      1.741603e+07     -1.950419e+03      4.453568e+02   
     0.001185          0.067187        1.127511e+07      1.127631e+07     -1.580003e+03      3.728492e+02   
     0.001185          0.097901        7.032023e+06      7.032969e+06     -1.259731e+03      3.135417e+02   
     0.001185          0.134040        4.769046e+06      4.769802e+06     -1.028511e+03      2.727314e+02   
     0.001185          0.175388        3.624307e+06      3.624970e+06     -9.044002e+02      2.418111e+02   
     0.001185          0.221694        2.770221e+06      2.770795e+06     -7.906980e+02      2.164462e+02   
     0.001185          0.272682        2.090882e+06      2.091374e+06     -6.869487e+02      1.946972e+02   
     0.001185          0.328043        1.720153e+06      1.720601e+06     -6.230868e+02      1.752239e+02   
     0.001185          0.387446        1.288447e+06      1.288824e+06     -5.349125e+02      1.581776e+02   
     0.001185          0.450533        1.025066e+06      1.025403e+06     -4.810118e+02      1.441569e+02   
     0.001185          0.516924        9.190943e+05      9.194182e+05     -4.554755e+02      1.314957e+02   
     0.001185          0.586221        7.343714e+05      7.346564e+05     -4.071464e+02      1.222095e+02   
     0.001185          0.658006        5.816778e+05      5.819294e+05     -3.623628e+02      1.106896e+02   
     0.001185          0.731848        5.158807e+05      5.161189e+05     -3.412584e+02      1.030297e+02   
     0.001185          0.807302        4.564053e+05      4.566309e+05     -3.209897e+02      9.538569e+01   
     0.001185          0.883916        4.027549e+05      4.029699e+05     -3.015399e+02      8.650189e+01   
     0.001185          0.961228        3.111089e+05      3.112940e+05     -2.650293e+02      8.001080e+01   
     0.001185          1.038772        2.722580e+05      2.724317e+05     -2.479347e+02      7.428045e+01   
     0.001185          1.116084        2.375363e+05      2.376993e+05     -2.315914e+02      6.850470e+01   
     0.001185          1.192698        2.065852e+05      2.067381e+05     -2.159826e+02      6.308452e+01   
     0.001185          1.268152        2.017548e+05      2.019072e+05     -2.109357e+02      5.852377e+01   
     0.001185          1.341994        1.790677e+05      1.792131e+05     -2.010913e+02      5.570396e+01   
     0.001185          1.413779        1.546776e+05      1.548121e+05     -1.869007e+02      5.233284e+01   
     0.001185          1.483076        1.331195e+05      1.332449e+05     -1.733939e+02      4.800185e+01   
     0.001185          1.549467        1.141250e+05      1.142418e+05     -1.605540e+02      4.378739e+01   
     0.001185          1.612554        1.141229e+05      1.142418e+05     -1.605540e+02      4.169246e+01   
     0.001185          1.671957        9.744365e+04      9.755295e+04     -1.483640e+02      3.906641e+01   
     0.001185          1.727318        8.284629e+04      8.294714e+04     -1.368073e+02      3.596074e+01   
     0.001185          1.778306        8.284492e+04      8.294714e+04     -1.368073e+02      3.459073e+01   
     0.001185          1.824612        7.011710e+04      7.021098e+04     -1.258667e+02      3.198980e+01   
     0.001185          1.865960        7.011608e+04      7.021098e+04     -1.258667e+02      3.097275e+01   
     0.001185          1.902099        5.906120e+04      5.914790e+04     -1.155256e+02      2.882329e+01   
     0.001185          1.932813        5.906059e+04      5.914790e+04     -1.155256e+02      2.821438e+01   
     0.001185          1.957917        5.905958e+04      5.914790e+04     -1.155256e+02      2.720397e+01   
     0.001185          1.977260        4.949727e+04      4.957726e+04     -1.057669e+02      2.577494e+01   
     0.001185          1.990726        4.949700e+04      4.957726e+04     -1.057669e+02      2.550928e+01   
     0.001185          1.998238        4.949682e+04      4.957726e+04     -1.057669e+02      2.532359e+01   
