#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.001762        1.236410e+08      1.236750e+08     -5.157658e+04      1.755285e+04   
     0.001185          0.009274        5.472612e+07      5.474642e+07     -3.286684e+04      1.256478e+04   
     0.001185          0.022740        2.530294e+07      2.531656e+07     -2.441356e+04      1.079620e+04   
     0.001185          0.042083        1.795439e+07      1.796575e+07     -2.053920e+04      9.178789e+03   
     0.001185          0.067187        1.174054e+07      1.174961e+07     -1.652550e+04      7.457751e+03   
     0.001185          0.097901        7.305326e+06      7.312401e+06     -1.305031e+04      5.974899e+03   
     0.001185          0.134040        4.924452e+06      4.930186e+06     -1.074776e+04      5.013446e+03   
     0.001185          0.175388        3.620591e+06      3.625598e+06     -9.369225e+03      4.361725e+03   
     0.001185          0.221694        2.766437e+06      2.770795e+06     -8.191316e+03      3.833364e+03   
     0.001185          0.272682        2.146658e+06      2.150381e+06     -7.116515e+03      3.393129e+03   
     0.001185          0.328043        1.717210e+06      1.720601e+06     -6.454930e+03      3.063598e+03   
     0.001185          0.387446        1.343469e+06      1.346327e+06     -5.586792e+03      2.729061e+03   
     0.001185          0.450533        1.079298e+06      1.081838e+06     -4.983091e+03      2.442988e+03   
     0.001185          0.516924        9.169903e+05      9.194182e+05     -4.718544e+03      2.290561e+03   
     0.001185          0.586221        7.325222e+05      7.346564e+05     -4.217874e+03      2.083747e+03   
     0.001185          0.658006        6.153143e+05      6.171909e+05     -3.753934e+03      1.877294e+03   
     0.001185          0.731848        5.143595e+05      5.161189e+05     -3.535301e+03      1.775928e+03   
     0.001185          0.807302        4.549768e+05      4.566309e+05     -3.325325e+03      1.671161e+03   
     0.001185          0.883916        4.014207e+05      4.029699e+05     -3.123833e+03      1.574624e+03   
     0.001185          0.961228        3.309631e+05      3.322749e+05     -2.745597e+03      1.433709e+03   
     0.001185          1.038772        2.899835e+05      2.912153e+05     -2.568504e+03      1.336716e+03   
     0.001185          1.116084        2.533444e+05      2.544736e+05     -2.399195e+03      1.269961e+03   
     0.001185          1.192698        2.206513e+05      2.216789e+05     -2.237493e+03      1.209899e+03   
     0.001185          1.268152        2.032963e+05      2.043227e+05     -2.211351e+03      1.184950e+03   
     0.001185          1.341994        1.782564e+05      1.792131e+05     -2.083226e+03      1.126544e+03   
     0.001185          1.413779        1.539247e+05      1.548121e+05     -1.936217e+03      1.048816e+03   
     0.001185          1.483076        1.324327e+05      1.332449e+05     -1.796291e+03      9.841020e+02   
     0.001185          1.549467        1.184698e+05      1.192128e+05     -1.663275e+03      9.202969e+02   
     0.001185          1.612554        1.134732e+05      1.142418e+05     -1.663275e+03      8.947053e+02   
     0.001185          1.671957        9.684931e+04      9.755295e+04     -1.536992e+03      8.333567e+02   
     0.001185          1.727318        8.780146e+04      8.844260e+04     -1.417269e+03      7.761314e+02   
     0.001185          1.778306        8.228967e+04      8.294714e+04     -1.417269e+03      7.598035e+02   
     0.001185          1.824612        6.960909e+04      7.021098e+04     -1.303929e+03      7.020477e+02   
     0.001185          1.865960        6.959261e+04      7.021098e+04     -1.303929e+03      6.855589e+02   
     0.001185          1.902099        6.302037e+04      6.358768e+04     -1.196799e+03      6.294869e+02   
     0.001185          1.932813        5.856874e+04      5.914790e+04     -1.196799e+03      6.176391e+02   
     0.001185          1.957917        5.856021e+04      5.914790e+04     -1.196799e+03      6.091115e+02   
     0.001185          1.977260        5.361610e+04      5.415156e+04     -1.095703e+03      5.602489e+02   
     0.001185          1.990726        4.903959e+04      4.957726e+04     -1.095703e+03      5.580347e+02   
     0.001185          1.998238        4.903796e+04      4.957726e+04     -1.095703e+03      5.563988e+02   
     0.006239          0.001762        3.331532e+07      3.334058e+07     -2.558053e+04      3.159500e+02   
     0.006239          0.009274        3.639100e+07      3.641455e+07     -2.385898e+04      3.126651e+02   
     0.006239          0.022740        2.465866e+07      2.467957e+07     -2.121598e+04      3.081530e+02   
     0.006239          0.042083        1.760439e+07      1.762216e+07     -1.807243e+04      3.011636e+02   
     0.006239          0.067187        1.158872e+07      1.160308e+07     -1.465225e+04      2.923022e+02   
