#        q              total               1              \delta U         \delta U^2    

     0.001185        4.264635e+04      4.300137e+04     -4.136725e+02      5.865682e+01   
     0.006239        3.175549e+04      3.211125e+04     -4.144171e+02      5.865739e+01   
     0.015318        2.439914e+04      2.475535e+04     -4.148642e+02      5.865906e+01   
     0.028399        1.620198e+04      1.655933e+04     -4.160214e+02      5.866155e+01   
     0.045447        1.393742e+04      1.429601e+04     -4.172464e+02      5.866349e+01   
     0.066417        1.254784e+04      1.290792e+04     -4.187549e+02      5.867001e+01   
     0.091251        1.094149e+04      1.130307e+04     -4.202606e+02      5.867938e+01   
     0.119882        9.475288e+03      9.837081e+03     -4.204875e+02      5.869500e+01   
     0.152235        8.398346e+03      8.760042e+03     -4.204147e+02      5.871890e+01   
     0.188220        7.403942e+03      7.764635e+03     -4.194488e+02      5.875640e+01   
     0.227742        6.710721e+03      7.069714e+03     -4.178019e+02      5.880827e+01   
     0.270694        6.060828e+03      6.417545e+03     -4.156008e+02      5.888375e+01   
     0.316959        5.652322e+03      6.005846e+03     -4.125099e+02      5.898664e+01   
     0.366414        5.073001e+03      5.421911e+03     -4.080447e+02      5.913433e+01   
     0.418925        4.710974e+03      5.054446e+03     -4.028051e+02      5.933389e+01   
     0.474351        4.539590e+03      4.877109e+03     -3.971231e+02      5.960453e+01   
     0.532541        4.205701e+03      4.534977e+03     -3.892318e+02      5.995551e+01   
     0.593339        3.889999e+03      4.209232e+03     -3.796387e+02      6.040651e+01   
     0.656582        3.592280e+03      3.899470e+03     -3.681553e+02      6.096445e+01   
     0.722098        3.454718e+03      3.750458e+03     -3.573790e+02      6.163902e+01   
     0.789711        3.184039e+03      3.463920e+03     -3.422839e+02      6.240274e+01   
     0.859239        2.930626e+03      3.192361e+03     -3.249873e+02      6.325282e+01   
     0.930495        2.693907e+03      2.935379e+03     -3.056035e+02      6.413175e+01   
     1.003286        2.587229e+03      2.812228e+03     -2.899711e+02      6.497230e+01   
     1.077416        2.267662e+03      2.463536e+03     -2.615242e+02      6.564988e+01   
     1.152685        2.076230e+03      2.247872e+03     -2.377306e+02      6.608838e+01   
     1.228890        1.808736e+03      1.948567e+03     -2.059803e+02      6.614968e+01   
     1.305826        1.491654e+03      1.592536e+03     -1.665671e+02      6.568454e+01   
     1.383286        7.275432e+02      7.381486e+02     -7.520983e+01      6.460446e+01   
     1.461060        6.285335e+01      0.000000e+00      0.000000e+00      6.285335e+01   
     1.538940        6.040224e+01      0.000000e+00      0.000000e+00      6.040224e+01   
     1.616714        5.728450e+01      0.000000e+00      0.000000e+00      5.728450e+01   
     1.694174        5.357094e+01      0.000000e+00      0.000000e+00      5.357094e+01   
     1.771110        4.936888e+01      0.000000e+00      0.000000e+00      4.936888e+01   
     1.847315        4.483235e+01      0.000000e+00      0.000000e+00      4.483235e+01   
     1.922584        4.015082e+01      0.000000e+00      0.000000e+00      4.015082e+01   
     1.996714        3.549206e+01      0.000000e+00      0.000000e+00      3.549206e+01   
     2.069505        3.099987e+01      0.000000e+00      0.000000e+00      3.099987e+01   
     2.140761        2.679069e+01      0.000000e+00      0.000000e+00      2.679069e+01   
     2.210289        2.294942e+01      0.000000e+00      0.000000e+00      2.294942e+01   
     2.277902        1.952738e+01      0.000000e+00      0.000000e+00      1.952738e+01   
     2.343418        1.654112e+01      0.000000e+00      0.000000e+00      1.654112e+01   
     2.406661        1.398643e+01      0.000000e+00      0.000000e+00      1.398643e+01   
     2.467459        1.183049e+01      0.000000e+00      0.000000e+00      1.183049e+01   
     2.525649        1.002846e+01      0.000000e+00      0.000000e+00      1.002846e+01   
     2.581075        8.535772e+00      0.000000e+00      0.000000e+00      8.535772e+00   
     2.633586        7.306933e+00      0.000000e+00      0.000000e+00      7.306933e+00   
     2.683041        6.301725e+00      0.000000e+00      0.000000e+00      6.301725e+00   
     2.729306        5.480588e+00      0.000000e+00      0.000000e+00      5.480588e+00   
     2.772258        4.810363e+00      0.000000e+00      0.000000e+00      4.810363e+00   
     2.811780        4.264545e+00      0.000000e+00      0.000000e+00      4.264545e+00   
     2.847765        3.821091e+00      0.000000e+00      0.000000e+00      3.821091e+00   
     2.880118        3.461177e+00      0.000000e+00      0.000000e+00      3.461177e+00   
     2.908749        3.171091e+00      0.000000e+00      0.000000e+00      3.171091e+00   
     2.933583        2.938859e+00      0.000000e+00      0.000000e+00      2.938859e+00   
     2.954553        2.756359e+00      0.000000e+00      0.000000e+00      2.756359e+00   
     2.971601        2.616269e+00      0.000000e+00      0.000000e+00      2.616269e+00   
     2.984682        2.513622e+00      0.000000e+00      0.000000e+00      2.513622e+00   
     2.993761        2.444859e+00      0.000000e+00      0.000000e+00      2.444859e+00   
     2.998815        2.407363e+00      0.000000e+00      0.000000e+00      2.407363e+00   
     3.004739        2.364110e+00      0.000000e+00      0.000000e+00      2.364110e+00   
     3.024957        2.222349e+00      0.000000e+00      0.000000e+00      2.222349e+00   
     3.061273        1.988735e+00      0.000000e+00      0.000000e+00      1.988735e+00   
     3.113597        1.694434e+00      0.000000e+00      0.000000e+00      1.694434e+00   
     3.181789        1.375062e+00      0.000000e+00      0.000000e+00      1.375062e+00   
     3.265666        1.063069e+00      0.000000e+00      0.000000e+00      1.063069e+00   
     3.365002        7.827269e-01      0.000000e+00      0.000000e+00      7.827269e-01   
     3.479529        5.483153e-01      0.000000e+00      0.000000e+00      5.483153e-01   
     3.608938        3.647458e-01      0.000000e+00      0.000000e+00      3.647458e-01   
     3.752880        2.298798e-01      0.000000e+00      0.000000e+00      2.298798e-01   
     3.910968        1.368264e-01      0.000000e+00      0.000000e+00      1.368264e-01   
     4.082775        7.655946e-02      0.000000e+00      0.000000e+00      7.655946e-02   
     4.267838        4.004180e-02      0.000000e+00      0.000000e+00      4.004180e-02   
     4.465657        1.944648e-02      0.000000e+00      0.000000e+00      1.944648e-02   
     4.675701        8.698188e-03      0.000000e+00      0.000000e+00      8.698188e-03   
     4.897402        3.548516e-03      0.000000e+00      0.000000e+00      3.548516e-03   
     5.130163        1.302102e-03      0.000000e+00      0.000000e+00      1.302102e-03   
     5.373356        4.225034e-04      0.000000e+00      0.000000e+00      4.225034e-04   
     5.626327        1.202035e-04      0.000000e+00      0.000000e+00      1.202035e-04   
     5.888392        3.208323e-05      0.000000e+00      0.000000e+00      3.208323e-05   
     6.158845        1.125997e-05      0.000000e+00      0.000000e+00      1.125997e-05   
