#        q              total               1              \delta U         \delta U^2    

     0.001185        8.926487e+08      8.927714e+08     -1.255953e+05      2.865219e+03   
     0.006239        4.863918e+08      4.864815e+08     -9.143666e+04      1.691560e+03   
     0.015318        2.627608e+08      2.628232e+08     -6.405160e+04      1.678718e+03   
     0.028399        1.068361e+08      1.068733e+08     -3.890295e+04      1.671532e+03   
     0.045447        8.076206e+07      8.079440e+07     -3.400481e+04      1.662974e+03   
     0.066417        6.167281e+07      6.169983e+07     -2.866724e+04      1.649877e+03   
     0.091251        4.661539e+07      4.663838e+07     -2.461472e+04      1.629833e+03   
     0.119882        3.586832e+07      3.588831e+07     -2.158942e+04      1.600801e+03   
     0.152235        2.902288e+07      2.904072e+07     -1.939397e+04      1.560964e+03   
     0.188220        2.409057e+07      2.410694e+07     -1.787981e+04      1.508636e+03   
     0.227742        2.051117e+07      2.052610e+07     -1.637625e+04      1.442297e+03   
     0.270694        1.738415e+07      1.739768e+07     -1.488631e+04      1.360717e+03   
     0.316959        1.516596e+07      1.517811e+07     -1.341600e+04      1.263308e+03   
     0.366414        1.274143e+07      1.275225e+07     -1.197435e+04      1.150513e+03   
     0.418925        1.103462e+07      1.104417e+07     -1.057318e+04      1.024146e+03   
     0.474351        1.025574e+07      1.026444e+07     -9.583607e+03      8.876519e+02   
     0.532541        8.834485e+06      8.842004e+06     -8.265289e+03      7.462954e+02   
     0.593339        7.581328e+06      7.587754e+06     -7.033150e+03      6.071700e+02   
     0.656582        6.748060e+06      6.753727e+06     -6.146216e+03      4.790071e+02   
     0.722098        5.981688e+06      5.986408e+06     -5.092002e+03      3.715068e+02   
     0.789711        5.080090e+06      5.083958e+06     -4.162789e+03      2.943635e+02   
     0.859239        4.294722e+06      4.297829e+06     -3.362589e+03      2.557527e+02   
     0.930495        3.613277e+06      3.615706e+06     -2.689669e+03      2.605252e+02   
     1.003286        3.158937e+06      3.160765e+06     -2.136466e+03      3.083861e+02   
     1.077416        2.517886e+06      2.519184e+06     -1.690405e+03      3.927005e+02   
     1.152685        1.884227e+06      1.884934e+06     -1.207360e+03      5.004801e+02   
     1.228890        9.927014e+05      9.927280e+05     -6.406327e+02      6.140598e+02   
     1.305826        7.143246e+02      0.000000e+00      0.000000e+00      7.143246e+02   
     1.383286        7.847886e+02      0.000000e+00      0.000000e+00      7.847886e+02   
     1.461060        8.151943e+02      0.000000e+00      0.000000e+00      8.151943e+02   
     1.538940        8.033552e+02      0.000000e+00      0.000000e+00      8.033552e+02   
     1.616714        7.546787e+02      0.000000e+00      0.000000e+00      7.546787e+02   
     1.694174        6.797174e+02      0.000000e+00      0.000000e+00      6.797174e+02   
     1.771110        5.908343e+02      0.000000e+00      0.000000e+00      5.908343e+02   
     1.847315        4.992214e+02      0.000000e+00      0.000000e+00      4.992214e+02   
     1.922584        4.130837e+02      0.000000e+00      0.000000e+00      4.130837e+02   
     1.996714        3.371544e+02      0.000000e+00      0.000000e+00      3.371544e+02   
     2.069505        2.731933e+02      0.000000e+00      0.000000e+00      2.731933e+02   
     2.140761        2.209328e+02      0.000000e+00      0.000000e+00      2.209328e+02   
     2.210289        1.790222e+02      0.000000e+00      0.000000e+00      1.790222e+02   
     2.277902        1.457323e+02      0.000000e+00      0.000000e+00      1.457323e+02   
     2.343418        1.193726e+02      0.000000e+00      0.000000e+00      1.193726e+02   
     2.406661        9.848004e+01      0.000000e+00      0.000000e+00      9.848004e+01   
     2.467459        8.186696e+01      0.000000e+00      0.000000e+00      8.186696e+01   
     2.525649        6.860099e+01      0.000000e+00      0.000000e+00      6.860099e+01   
     2.581075        5.796094e+01      0.000000e+00      0.000000e+00      5.796094e+01   
     2.633586        4.939137e+01      0.000000e+00      0.000000e+00      4.939137e+01   
     2.683041        4.246387e+01      0.000000e+00      0.000000e+00      4.246387e+01   
     2.729306        3.684669e+01      0.000000e+00      0.000000e+00      3.684669e+01   
     2.772258        3.228178e+01      0.000000e+00      0.000000e+00      3.228178e+01   
     2.811780        2.856758e+01      0.000000e+00      0.000000e+00      2.856758e+01   
     2.847765        2.554614e+01      0.000000e+00      0.000000e+00      2.554614e+01   
     2.880118        2.309348e+01      0.000000e+00      0.000000e+00      2.309348e+01   
     2.908749        2.111224e+01      0.000000e+00      0.000000e+00      2.111224e+01   
     2.933583        1.952619e+01      0.000000e+00      0.000000e+00      1.952619e+01   
     2.954553        1.827604e+01      0.000000e+00      0.000000e+00      1.827604e+01   
     2.971601        1.731618e+01      0.000000e+00      0.000000e+00      1.731618e+01   
     2.984682        1.661239e+01      0.000000e+00      0.000000e+00      1.661239e+01   
     2.993761        1.613999e+01      0.000000e+00      0.000000e+00      1.613999e+01   
     2.998815        1.588256e+01      0.000000e+00      0.000000e+00      1.588256e+01   
     3.004739        1.558579e+01      0.000000e+00      0.000000e+00      1.558579e+01   
     3.024957        1.461210e+01      0.000000e+00      0.000000e+00      1.461210e+01   
     3.061273        1.300619e+01      0.000000e+00      0.000000e+00      1.300619e+01   
     3.113597        1.098342e+01      0.000000e+00      0.000000e+00      1.098342e+01   
     3.181789        8.790429e+00      0.000000e+00      0.000000e+00      8.790429e+00   
     3.265666        6.657338e+00      0.000000e+00      0.000000e+00      6.657338e+00   
     3.365002        4.761092e+00      0.000000e+00      0.000000e+00      4.761092e+00   
     3.479529        3.206728e+00      0.000000e+00      0.000000e+00      3.206728e+00   
     3.608938        2.027279e+00      0.000000e+00      0.000000e+00      2.027279e+00   
     3.752880        1.198078e+00      0.000000e+00      0.000000e+00      1.198078e+00   
     3.910968        6.585997e-01      0.000000e+00      0.000000e+00      6.585997e-01   
     4.082775        3.347098e-01      0.000000e+00      0.000000e+00      3.347098e-01   
     4.267838        1.560387e-01      0.000000e+00      0.000000e+00      1.560387e-01   
     4.465657        6.602524e-02      0.000000e+00      0.000000e+00      6.602524e-02   
     4.675701        2.496777e-02      0.000000e+00      0.000000e+00      2.496777e-02   
     4.897402        8.235532e-03      0.000000e+00      0.000000e+00      8.235532e-03   
     5.130163        2.278302e-03      0.000000e+00      0.000000e+00      2.278302e-03   
     5.373356        5.039619e-04      0.000000e+00      0.000000e+00      5.039619e-04   
     5.626327        1.043457e-04      0.000000e+00      0.000000e+00      1.043457e-04   
     5.888392        5.600993e-05      0.000000e+00      0.000000e+00      5.600993e-05   
     6.158845        5.774742e-05      0.000000e+00      0.000000e+00      5.774742e-05   
     6.436958        5.066919e-05      0.000000e+00      0.000000e+00      5.066919e-05   
     6.721980        3.643802e-05      0.000000e+00      0.000000e+00      3.643802e-05   
     7.013143        2.268878e-05      0.000000e+00      0.000000e+00      2.268878e-05   
     7.309662        1.273086e-05      0.000000e+00      0.000000e+00      1.273086e-05   
     7.610739        6.610779e-06      0.000000e+00      0.000000e+00      6.610779e-06   
     7.915560        3.236851e-06      0.000000e+00      0.000000e+00      3.236851e-06   
     8.223305        1.514957e-06      0.000000e+00      0.000000e+00      1.514957e-06   
     8.533144        6.844604e-07      0.000000e+00      0.000000e+00      6.844604e-07   
     8.844241        3.004758e-07      0.000000e+00      0.000000e+00      3.004758e-07   
     9.155759        1.286614e-07      0.000000e+00      0.000000e+00      1.286614e-07   
     9.466856        5.383936e-08      0.000000e+00      0.000000e+00      5.383936e-08   
