#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.001762        8.558682e+08      8.559857e+08     -1.969533e+05      7.948546e+04   
     0.001185          0.009274        5.479235e+08      5.480128e+08     -1.602860e+05      7.096348e+04   
     0.001185          0.022740        3.505061e+08      3.505761e+08     -1.281954e+05      5.821066e+04   
     0.001185          0.042083        1.404500e+08      1.404841e+08     -6.846136e+04      3.443990e+04   
     0.001185          0.067187        9.749181e+07      9.752273e+07     -6.208018e+04      3.115572e+04   
     0.001185          0.097901        7.731938e+07      7.734667e+07     -5.499301e+04      2.769805e+04   
     0.001185          0.134040        6.090969e+07      6.093354e+07     -4.786000e+04      2.401615e+04   
     0.001185          0.175388        4.882553e+07      4.884691e+07     -4.251691e+04      2.114101e+04   
     0.001185          0.221694        3.884419e+07      3.886275e+07     -3.774707e+04      1.918693e+04   
     0.001185          0.272682        3.281488e+07      3.283231e+07     -3.534740e+04      1.791592e+04   
     0.001185          0.328043        2.690926e+07      2.692514e+07     -3.262621e+04      1.674526e+04   
     0.001185          0.387446        2.335762e+07      2.337276e+07     -3.104607e+04      1.591167e+04   
     0.001185          0.450533        2.051217e+07      2.052610e+07     -2.903288e+04      1.510456e+04   
     0.001185          0.516924        1.796159e+07      1.797436e+07     -2.710866e+04      1.433580e+04   
     0.001185          0.586221        1.624412e+07      1.625636e+07     -2.617928e+04      1.394456e+04   
     0.001185          0.658006        1.421278e+07      1.422391e+07     -2.449458e+04      1.336825e+04   
     0.001185          0.731848        1.286526e+07      1.287588e+07     -2.351907e+04      1.289085e+04   
     0.001185          0.807302        1.186258e+07      1.187264e+07     -2.267413e+04      1.261566e+04   
     0.001185          0.883916        1.103463e+07      1.104417e+07     -2.184968e+04      1.230765e+04   
     0.001185          0.961228        9.891003e+06      9.900048e+06     -2.104546e+04      1.200044e+04   
     0.001185          1.038772        8.856478e+06      8.864472e+06     -1.954625e+04      1.155178e+04   
     0.001185          1.116084        8.187328e+06      8.194904e+06     -1.875167e+04      1.117616e+04   
     0.001185          1.192698        7.580622e+06      7.587754e+06     -1.802586e+04      1.089460e+04   
     0.001185          1.268152        7.011844e+06      7.018557e+06     -1.731903e+04      1.060595e+04   
     0.001185          1.341994        6.479052e+06      6.485391e+06     -1.663091e+04      1.029207e+04   
     0.001185          1.413779        5.980441e+06      5.986408e+06     -1.596127e+04      9.994270e+03   
     0.001185          1.483076        5.748521e+06      5.754696e+06     -1.596127e+04      9.786005e+03   
     0.001185          1.549467        5.297549e+06      5.303387e+06     -1.530986e+04      9.471509e+03   
     0.001185          1.612554        5.078335e+06      5.083958e+06     -1.467641e+04      9.052787e+03   
     0.001185          1.671957        4.671703e+06      4.677148e+06     -1.406067e+04      8.615870e+03   
     0.001185          1.727318        4.292551e+06      4.297829e+06     -1.346241e+04      8.184051e+03   
     0.001185          1.778306        4.203575e+06      4.209054e+06     -1.346241e+04      7.983365e+03   
     0.001185          1.824612        3.939175e+06      3.944497e+06     -1.288136e+04      7.560145e+03   
     0.001185          1.865960        3.610515e+06      3.615706e+06     -1.231727e+04      7.125854e+03   
     0.001185          1.902099        3.610347e+06      3.615706e+06     -1.231727e+04      6.957868e+03   
     0.001185          1.932813        3.391006e+06      3.396212e+06     -1.176990e+04      6.563673e+03   
     0.001185          1.957917        3.304746e+06      3.310074e+06     -1.176990e+04      6.442082e+03   
     0.001185          1.977260        3.304647e+06      3.310074e+06     -1.176990e+04      6.342771e+03   
     0.001185          1.990726        3.155610e+06      3.160765e+06     -1.123899e+04      6.084194e+03   
     0.001185          1.998238        3.155512e+06      3.160765e+06     -1.123899e+04      5.986194e+03   
     0.006239          0.001762        4.832446e+08      4.833795e+08     -1.380088e+05      3.151478e+03   
     0.006239          0.009274        4.562876e+08      4.564123e+08     -1.277990e+05      3.103915e+03   
     0.006239          0.022740        3.172640e+08      3.173644e+08     -1.034252e+05      3.009953e+03   
     0.006239          0.042083        1.462502e+08      1.463100e+08     -6.265330e+04      2.888298e+03   
     0.006239          0.067187        9.699989e+07      9.705355e+07     -5.649314e+04      2.836522e+03   
     0.006239          0.097901        7.745187e+07      7.749936e+07     -5.027280e+04      2.777696e+03   
     0.006239          0.134040        6.114725e+07      6.118841e+07     -4.388185e+04      2.715017e+03   
     0.006239          0.175388        4.844794e+07      4.848386e+07     -3.857259e+04      2.649083e+03   
     0.006239          0.221694        3.913755e+07      3.916977e+07     -3.478393e+04      2.571540e+03   
     0.006239          0.272682        3.211970e+07      3.214915e+07     -3.192706e+04      2.481056e+03   
     0.006239          0.328043        2.711957e+07      2.714694e+07     -2.975408e+04      2.379221e+03   
     0.006239          0.387446        2.325435e+07      2.328004e+07     -2.796487e+04      2.270656e+03   
     0.006239          0.450533        2.038354e+07      2.040788e+07     -2.649010e+04      2.152796e+03   
     0.006239          0.516924        1.784956e+07      1.787239e+07     -2.485711e+04      2.028988e+03   
     0.006239          0.586221        1.616772e+07      1.618970e+07     -2.388642e+04      1.902792e+03   
     0.006239          0.658006        1.435762e+07      1.437843e+07     -2.259207e+04      1.773590e+03   
     0.006239          0.731848        1.293530e+07      1.295512e+07     -2.145920e+04      1.642951e+03   
     0.006239          0.807302        1.185346e+07      1.187264e+07     -2.068827e+04      1.513776e+03   
     0.006239          0.883916        1.101796e+07      1.103651e+07     -1.993602e+04      1.387340e+03   
     0.006239          0.961228        9.899766e+06      9.917500e+06     -1.899852e+04      1.264201e+03   
     0.006239          1.038772        8.968773e+06      8.985705e+06     -1.807824e+04      1.145783e+03   
     0.006239          1.116084        8.245636e+06      8.261852e+06     -1.724912e+04      1.033231e+03   
     0.006239          1.192698        7.600416e+06      7.615996e+06     -1.650832e+04      9.283661e+02   
     0.006239          1.268152        7.025908e+06      7.040929e+06     -1.585255e+04      8.308353e+02   
     0.006239          1.341994        6.515162e+06      6.529699e+06     -1.527800e+04      7.409063e+02   
     0.006239          1.413779        6.061509e+06      6.075631e+06     -1.478040e+04      6.589894e+02   
     0.006239          1.483076        5.658596e+06      5.672365e+06     -1.435499e+04      5.856969e+02   
     0.006239          1.549467        5.319421e+06      5.332869e+06     -1.396898e+04      5.202844e+02   
     0.006239          1.612554        5.028269e+06      5.041197e+06     -1.339100e+04      4.622881e+02   
     0.006239          1.671957        4.664729e+06      4.677148e+06     -1.282920e+04      4.110655e+02   
     0.006239          1.727318        4.285913e+06      4.297829e+06     -1.228333e+04      3.669051e+02   
     0.006239          1.778306        4.156415e+06      4.168250e+06     -1.216508e+04      3.303208e+02   
     0.006239          1.824612        3.933042e+06      3.944497e+06     -1.175317e+04      2.981343e+02   
     0.006239          1.865960        3.636742e+06      3.647751e+06     -1.128071e+04      2.716969e+02   
     0.006239          1.902099        3.604718e+06      3.615706e+06     -1.123849e+04      2.508756e+02   
     0.006239          1.932813        3.392148e+06      3.402711e+06     -1.079678e+04      2.335668e+02   
     0.006239          1.957917        3.299556e+06      3.310074e+06     -1.073906e+04      2.206539e+02   
     0.006239          1.977260        3.288674e+06      3.299166e+06     -1.070367e+04      2.112949e+02   
     0.006239          1.990726        3.208205e+06      3.218442e+06     -1.044177e+04      2.045408e+02   
     0.006239          1.998238        3.149527e+06      3.159623e+06     -1.029646e+04      2.011813e+02   
     0.015318          0.001762        2.585153e+08      2.586079e+08     -9.519601e+04      2.554962e+03   
     0.015318          0.009274        2.389501e+08      2.390344e+08     -8.684356e+04      2.546058e+03   
     0.015318          0.022740        1.960312e+08      1.960986e+08     -6.998211e+04      2.521967e+03   
     0.015318          0.042083        1.435475e+08      1.436059e+08     -6.090288e+04      2.492464e+03   
     0.015318          0.067187        9.659993e+07      9.665297e+07     -5.552138e+04      2.474437e+03   
     0.015318          0.097901        7.618983e+07      7.623696e+07     -4.958844e+04      2.454396e+03   
     0.015318          0.134040        6.061589e+07      6.065699e+07     -4.353178e+04      2.433046e+03   
     0.015318          0.175388        4.819257e+07      4.822855e+07     -3.838724e+04      2.401662e+03   
     0.015318          0.221694        3.896287e+07      3.899510e+07     -3.457312e+04      2.348332e+03   
     0.015318          0.272682        3.217784e+07      3.220740e+07     -3.182864e+04      2.275130e+03   
     0.015318          0.328043        2.708565e+07      2.711311e+07     -2.964519e+04      2.187031e+03   
     0.015318          0.387446        2.316894e+07      2.319463e+07     -2.777366e+04      2.088922e+03   
     0.015318          0.450533        2.024323e+07      2.026747e+07     -2.621904e+04      1.981413e+03   
     0.015318          0.516924        1.792627e+07      1.794932e+07     -2.491600e+04      1.865707e+03   
