#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.001762        4.449451e+07      4.449726e+07     -3.951586e+03      1.202409e+03   
     0.001185          0.009274        2.652107e+07      2.652307e+07     -3.134508e+03      1.130177e+03   
     0.001185          0.022740        1.680956e+07      1.681108e+07     -2.529039e+03      1.009886e+03   
     0.001185          0.042083        1.126999e+07      1.127120e+07     -2.082323e+03      8.716936e+02   
     0.001185          0.067187        7.543401e+06      7.544379e+06     -1.712898e+03      7.341727e+02   
     0.001185          0.097901        4.896065e+06      4.896817e+06     -1.358049e+03      6.057826e+02   
     0.001185          0.134040        3.108445e+06      3.109040e+06     -1.090543e+03      4.954802e+02   
     0.001185          0.175388        2.090882e+06      2.091374e+06     -9.053458e+02      4.128726e+02   
     0.001185          0.221694        1.405913e+06      1.406303e+06     -7.424002e+02      3.517826e+02   
     0.001185          0.272682        1.025071e+06      1.025403e+06     -6.339368e+02      3.021760e+02   
     0.001185          0.328043        7.343809e+05      7.346564e+05     -5.365878e+02      2.611107e+02   
     0.001185          0.387446        5.816806e+05      5.819294e+05     -4.775664e+02      2.286825e+02   
     0.001185          0.450533        4.564081e+05      4.566309e+05     -4.230399e+02      2.001872e+02   
     0.001185          0.516924        3.544739e+05      3.546700e+05     -3.728300e+02      1.767233e+02   
     0.001185          0.586221        2.722630e+05      2.724317e+05     -3.267589e+02      1.580703e+02   
     0.001185          0.658006        2.065957e+05      2.067381e+05     -2.846485e+02      1.422467e+02   
     0.001185          0.731848        1.679679e+05      1.680925e+05     -2.485777e+02      1.239540e+02   
     0.001185          0.807302        1.331314e+05      1.332449e+05     -2.285199e+02      1.149829e+02   
     0.001185          0.883916        1.141351e+05      1.142418e+05     -2.115978e+02      1.048775e+02   
     0.001185          0.961228        9.744985e+04      9.755295e+04     -1.955324e+02      9.243838e+01   
     0.001185          1.038772        7.012953e+04      7.021098e+04     -1.658827e+02      8.443873e+01   
     0.001185          1.116084        5.907311e+04      5.914790e+04     -1.522539e+02      7.746462e+01   
     0.001185          1.192698        4.950836e+04      4.957726e+04     -1.393927e+02      7.049411e+01   
     0.001185          1.268152        4.127029e+04      4.133346e+04     -1.272769e+02      6.410466e+01   
     0.001185          1.341994        3.420738e+04      3.426507e+04     -1.158843e+02      5.819399e+01   
     0.001185          1.413779        3.420410e+04      3.426507e+04     -1.158843e+02      5.491336e+01   
     0.001185          1.483076        2.818099e+04      2.823402e+04     -1.051926e+02      5.215395e+01   
     0.001185          1.549467        2.306669e+04      2.311478e+04     -9.517952e+01      4.709099e+01   
     0.001185          1.612554        1.875016e+04      1.879356e+04     -8.582289e+01      4.243045e+01   
     0.001185          1.671957        1.874852e+04      1.879356e+04     -8.582289e+01      4.078372e+01   
     0.001185          1.727318        1.512797e+04      1.516758e+04     -7.710042e+01      3.748945e+01   
     0.001185          1.778306        1.210921e+04      1.214432e+04     -6.898985e+01      3.387954e+01   
     0.001185          1.824612        1.210830e+04      1.214432e+04     -6.898985e+01      3.296781e+01   
     0.001185          1.865960        9.609166e+03      9.640827e+03     -6.146895e+01      2.980818e+01   
     0.001185          1.902099        9.608614e+03      9.640827e+03     -6.146895e+01      2.925644e+01   
     0.001185          1.932813        9.607573e+03      9.640827e+03     -6.146895e+01      2.821540e+01   
     0.001185          1.957917        7.554574e+03      7.583014e+03     -5.451545e+01      2.607537e+01   
     0.001185          1.977260        7.554208e+03      7.583014e+03     -5.451545e+01      2.570895e+01   
     0.001185          1.990726        7.554057e+03      7.583014e+03     -5.451545e+01      2.555811e+01   
     0.001185          1.998238        7.553858e+03      7.583014e+03     -5.451545e+01      2.535903e+01   
     0.006239          0.001762        2.312625e+07      2.312830e+07     -2.349555e+03      3.069804e+02   
     0.006239          0.009274        2.190150e+07      2.190336e+07     -2.156846e+03      2.900622e+02   
     0.006239          0.022740        1.618706e+07      1.618865e+07     -1.860725e+03      2.645806e+02   
     0.006239          0.042083        1.106630e+07      1.106764e+07     -1.568510e+03      2.344595e+02   
     0.006239          0.067187        7.455082e+06      7.456177e+06     -1.297928e+03      2.024057e+02   
     0.006239          0.097901        4.868762e+06      4.869644e+06     -1.053518e+03      1.712408e+02   
     0.006239          0.134040        3.126109e+06      3.126812e+06     -8.483699e+02      1.445413e+02   
     0.006239          0.175388        2.069449e+06      2.070022e+06     -6.963011e+02      1.235003e+02   
     0.006239          0.221694        1.444049e+06      1.444528e+06     -5.856794e+02      1.069752e+02   
     0.006239          0.272682        1.043676e+06      1.044084e+06     -5.012476e+02      9.372436e+01   
     0.006239          0.328043        7.663314e+05      7.666753e+05     -4.262689e+02      8.240817e+01   
     0.006239          0.387446        5.761479e+05      5.764505e+05     -3.758100e+02      7.312552e+01   
     0.006239          0.450533        4.387730e+05      4.390314e+05     -3.231130e+02      6.472029e+01   
     0.006239          0.516924        3.387782e+05      3.390037e+05     -2.830959e+02      5.762127e+01   
     0.006239          0.586221        2.687213e+05      2.689259e+05     -2.562391e+02      5.157953e+01   
     0.006239          0.658006        2.065584e+05      2.067381e+05     -2.261267e+02      4.641203e+01   
     0.006239          0.731848        1.665976e+05      1.667523e+05     -1.958973e+02      4.124931e+01   
     0.006239          0.807302        1.331010e+05      1.332449e+05     -1.815377e+02      3.758858e+01   
     0.006239          0.883916        1.141077e+05      1.142418e+05     -1.680947e+02      3.394338e+01   
     0.006239          0.961228        9.136526e+04      9.148064e+04     -1.456634e+02      3.027779e+01   
     0.006239          1.038772        7.261157e+04      7.271592e+04     -1.317783e+02      2.742430e+01   
     0.006239          1.116084        5.905192e+04      5.914790e+04     -1.209515e+02      2.497661e+01   
     0.006239          1.192698        4.948922e+04      4.957726e+04     -1.107344e+02      2.268822e+01   
     0.006239          1.268152        4.153461e+04      4.161531e+04     -1.011096e+02      2.040900e+01   
     0.006239          1.341994        3.650250e+04      3.657609e+04     -9.205922e+01      1.847185e+01   
     0.006239          1.413779        3.318129e+04      3.325353e+04     -8.934154e+01      1.709409e+01   
     0.006239          1.483076        2.816622e+04      2.823402e+04     -8.356566e+01      1.575727e+01   
     0.006239          1.549467        2.305348e+04      2.311478e+04     -7.561124e+01      1.430853e+01   
     0.006239          1.612554        1.873838e+04      1.879356e+04     -6.817827e+01      1.300379e+01   
     0.006239          1.671957        1.873734e+04      1.879356e+04     -6.817827e+01      1.196486e+01   
     0.006239          1.727318        1.511752e+04      1.516758e+04     -6.124908e+01      1.119422e+01   
     0.006239          1.778306        1.303471e+04      1.307949e+04     -5.480600e+01      1.003363e+01   
     0.006239          1.824612        1.209921e+04      1.214432e+04     -5.480600e+01      9.698574e+00   
     0.006239          1.865960        1.045137e+04      1.049148e+04     -4.883134e+01      8.724438e+00   
     0.006239          1.902099        9.600593e+03      9.640827e+03     -4.883134e+01      8.597123e+00   
     0.006239          1.932813        9.600028e+03      9.640827e+03     -4.883134e+01      8.032215e+00   
     0.006239          1.957917        7.884500e+03      7.920243e+03     -4.330743e+01      7.564175e+00   
     0.006239          1.977260        7.547268e+03      7.583014e+03     -4.330743e+01      7.561146e+00   
     0.006239          1.990726        7.547145e+03      7.583014e+03     -4.330743e+01      7.437653e+00   
     0.006239          1.998238        7.547065e+03      7.583014e+03     -4.330743e+01      7.358018e+00   
     0.015318          0.001762        1.402656e+07      1.402816e+07     -1.713155e+03      1.124013e+02   
     0.015318          0.009274        1.382318e+07      1.382472e+07     -1.641542e+03      1.083450e+02   
     0.015318          0.022740        1.290309e+07      1.290449e+07     -1.500183e+03      1.013177e+02   
     0.015318          0.042083        1.017478e+07      1.017600e+07     -1.312052e+03      9.226986e+01   
     0.015318          0.067187        7.107292e+06      7.108319e+06     -1.109277e+03      8.224584e+01   
     0.015318          0.097901        4.727471e+06      4.728312e+06     -9.127991e+02      7.223008e+01   
     0.015318          0.134040        3.080993e+06      3.081677e+06     -7.472825e+02      6.322516e+01   
     0.015318          0.175388        2.057414e+06      2.057979e+06     -6.208469e+02      5.583604e+01   
     0.015318          0.221694        1.429647e+06      1.430123e+06     -5.253848e+02      4.973968e+01   
     0.015318          0.272682        1.037134e+06      1.037541e+06     -4.517496e+02      4.452290e+01   
