#        q              total               1              \delta U         \delta U^2    

     0.001185        1.157968e+04      1.161273e+04     -3.557448e+01      2.522749e+00   
     0.006239        6.742758e+03      6.775837e+03     -3.560161e+01      2.522761e+00   
     0.015318        4.176158e+03      4.209232e+03     -3.559661e+01      2.522766e+00   
     0.028399        3.430851e+03      3.463920e+03     -3.559164e+01      2.522681e+00   
     0.045447        2.543302e+03      2.576357e+03     -3.557813e+01      2.522524e+00   
     0.066417        1.915552e+03      1.948567e+03     -3.553691e+01      2.522323e+00   
     0.091251        1.559582e+03      1.592536e+03     -3.547648e+01      2.521955e+00   
     0.119882        1.323175e+03      1.356037e+03     -3.538401e+01      2.521506e+00   
     0.152235        1.111483e+03      1.144193e+03     -3.523144e+01      2.521033e+00   
     0.188220        9.231768e+02      9.556474e+02     -3.499139e+01      2.520843e+00   
     0.227742        8.100321e+02      8.422233e+02     -3.471250e+01      2.521298e+00   
     0.270694        7.063396e+02      7.381486e+02     -3.433206e+01      2.523071e+00   
     0.316959        6.117288e+02      6.430212e+02     -3.381956e+01      2.527173e+00   
     0.366414        5.258344e+02      5.564389e+02     -3.313943e+01      2.534965e+00   
     0.418925        4.483037e+02      4.779996e+02     -3.224406e+01      2.548107e+00   
     0.474351        4.127831e+02      4.417079e+02     -3.149341e+01      2.568607e+00   
     0.532541        3.471823e+02      3.747292e+02     -3.014518e+01      2.598353e+00   
     0.593339        2.890760e+02      3.148881e+02     -2.845146e+01      2.639312e+00   
     0.656582        2.630189e+02      2.875186e+02     -2.719240e+01      2.692700e+00   
     0.722098        2.154578e+02      2.376301e+02     -2.493116e+01      2.758864e+00   
     0.789711        1.944702e+02      2.150106e+02     -2.337664e+01      2.836282e+00   
     0.859239        1.564455e+02      1.741699e+02     -2.064741e+01      2.922979e+00   
     0.930495        1.399457e+02      1.558481e+02     -1.891660e+01      3.014178e+00   
     1.003286        1.102822e+02      1.231504e+02     -1.597097e+01      3.102722e+00   
     1.077416        8.551967e+01      9.537875e+01     -1.303885e+01      3.179764e+00   
     1.152685        6.511299e+01      7.213097e+01     -1.025552e+01      3.237541e+00   
     1.228890        4.853482e+01      5.300495e+01     -7.736729e+00      3.266602e+00   
     1.305826        2.482317e+01      2.550973e+01     -3.945161e+00      3.258594e+00   
     1.383286        1.135593e+01      9.676105e+00     -1.529031e+00      3.208859e+00   
     1.461060        3.116281e+00      0.000000e+00      0.000000e+00      3.116281e+00   
     1.538940        2.982055e+00      0.000000e+00      0.000000e+00      2.982055e+00   
     1.616714        2.811099e+00      0.000000e+00      0.000000e+00      2.811099e+00   
     1.694174        2.610494e+00      0.000000e+00      0.000000e+00      2.610494e+00   
     1.771110        2.388706e+00      0.000000e+00      0.000000e+00      2.388706e+00   
     1.847315        2.155525e+00      0.000000e+00      0.000000e+00      2.155525e+00   
     1.922584        1.921142e+00      0.000000e+00      0.000000e+00      1.921142e+00   
     1.996714        1.693844e+00      0.000000e+00      0.000000e+00      1.693844e+00   
     2.069505        1.479926e+00      0.000000e+00      0.000000e+00      1.479926e+00   
     2.140761        1.283871e+00      0.000000e+00      0.000000e+00      1.283871e+00   
     2.210289        1.108345e+00      0.000000e+00      0.000000e+00      1.108345e+00   
     2.277902        9.543955e-01      0.000000e+00      0.000000e+00      9.543955e-01   
     2.343418        8.217025e-01      0.000000e+00      0.000000e+00      8.217025e-01   
     2.406661        7.091655e-01      0.000000e+00      0.000000e+00      7.091655e-01   
     2.467459        6.146619e-01      0.000000e+00      0.000000e+00      6.146619e-01   
     2.525649        5.358532e-01      0.000000e+00      0.000000e+00      5.358532e-01   
     2.581075        4.704819e-01      0.000000e+00      0.000000e+00      4.704819e-01   
     2.633586        4.164364e-01      0.000000e+00      0.000000e+00      4.164364e-01   
     2.683041        3.719009e-01      0.000000e+00      0.000000e+00      3.719009e-01   
     2.729306        3.351866e-01      0.000000e+00      0.000000e+00      3.351866e-01   
     2.772258        3.048911e-01      0.000000e+00      0.000000e+00      3.048911e-01   
     2.811780        2.798989e-01      0.000000e+00      0.000000e+00      2.798989e-01   
     2.847765        2.593188e-01      0.000000e+00      0.000000e+00      2.593188e-01   
     2.880118        2.423882e-01      0.000000e+00      0.000000e+00      2.423882e-01   
     2.908749        2.285545e-01      0.000000e+00      0.000000e+00      2.285545e-01   
     2.933583        2.173457e-01      0.000000e+00      0.000000e+00      2.173457e-01   
     2.954553        2.084210e-01      0.000000e+00      0.000000e+00      2.084210e-01   
     2.971601        2.015002e-01      0.000000e+00      0.000000e+00      2.015002e-01   
     2.984682        1.963872e-01      0.000000e+00      0.000000e+00      1.963872e-01   
     2.993761        1.929358e-01      0.000000e+00      0.000000e+00      1.929358e-01   
     2.998815        1.910465e-01      0.000000e+00      0.000000e+00      1.910465e-01   
     3.004739        1.888614e-01      0.000000e+00      0.000000e+00      1.888614e-01   
     3.024957        1.816373e-01      0.000000e+00      0.000000e+00      1.816373e-01   
     3.061273        1.695117e-01      0.000000e+00      0.000000e+00      1.695117e-01   
     3.113597        1.537611e-01      0.000000e+00      0.000000e+00      1.537611e-01   
     3.181789        1.358498e-01      0.000000e+00      0.000000e+00      1.358498e-01   
     3.265666        1.171609e-01      0.000000e+00      0.000000e+00      1.171609e-01   
     3.365002        9.880793e-02      0.000000e+00      0.000000e+00      9.880793e-02   
     3.479529        8.157574e-02      0.000000e+00      0.000000e+00      8.157574e-02   
     3.608938        6.595746e-02      0.000000e+00      0.000000e+00      6.595746e-02   
     3.752880        5.221908e-02      0.000000e+00      0.000000e+00      5.221908e-02   
     3.910968        4.045849e-02      0.000000e+00      0.000000e+00      4.045849e-02   
     4.082775        3.065445e-02      0.000000e+00      0.000000e+00      3.065445e-02   
     4.267838        2.270167e-02      0.000000e+00      0.000000e+00      2.270167e-02   
     4.465657        1.643102e-02      0.000000e+00      0.000000e+00      1.643102e-02   
     4.675701        1.162791e-02      0.000000e+00      0.000000e+00      1.162791e-02   
     4.897402        8.053148e-03      0.000000e+00      0.000000e+00      8.053148e-03   
     5.130163        5.465467e-03      0.000000e+00      0.000000e+00      5.465467e-03   
     5.373356        3.640327e-03      0.000000e+00      0.000000e+00      3.640327e-03   
     5.626327        2.383338e-03      0.000000e+00      0.000000e+00      2.383338e-03   
     5.888392        1.535807e-03      0.000000e+00      0.000000e+00      1.535807e-03   
     6.158845        9.749600e-04      0.000000e+00      0.000000e+00      9.749600e-04   
     6.436958        6.099430e-04      0.000000e+00      0.000000e+00      6.099430e-04   
     6.721980        3.760015e-04      0.000000e+00      0.000000e+00      3.760015e-04   
     7.013143        2.283246e-04      0.000000e+00      0.000000e+00      2.283246e-04   
     7.309662        1.365736e-04      0.000000e+00      0.000000e+00      1.365736e-04   
     7.610739        8.056160e-05      0.000000e+00      0.000000e+00      8.056160e-05   
     7.915560        4.702966e-05      0.000000e+00      0.000000e+00      4.702966e-05   
     8.223305        2.737797e-05      0.000000e+00      0.000000e+00      2.737797e-05   
     8.533144        1.610771e-05      0.000000e+00      0.000000e+00      1.610771e-05   
     8.844241        9.766469e-06      0.000000e+00      0.000000e+00      9.766469e-06   
     9.155759        6.236987e-06      0.000000e+00      0.000000e+00      6.236987e-06   
     9.466856        4.259201e-06      0.000000e+00      0.000000e+00      4.259201e-06   
     9.776695        3.109967e-06      0.000000e+00      0.000000e+00      3.109967e-06   
    10.084440        2.391923e-06      0.000000e+00      0.000000e+00      2.391923e-06   
    10.389261        1.897536e-06      0.000000e+00      0.000000e+00      1.897536e-06   
    10.690338        1.524452e-06      0.000000e+00      0.000000e+00      1.524452e-06   
    10.986857        1.225097e-06      0.000000e+00      0.000000e+00      1.225097e-06   
    11.278020        9.782370e-07      0.000000e+00      0.000000e+00      9.782370e-07   
    11.563042        7.739793e-07      0.000000e+00      0.000000e+00      7.739793e-07   
    11.841155        6.065739e-07      0.000000e+00      0.000000e+00      6.065739e-07   
    12.111608        4.713899e-07      0.000000e+00      0.000000e+00      4.713899e-07   
    12.373673        3.639425e-07      0.000000e+00      0.000000e+00      3.639425e-07   
    12.626644        2.797958e-07      0.000000e+00      0.000000e+00      2.797958e-07   
    12.869837        2.147332e-07      0.000000e+00      0.000000e+00      2.147332e-07   
    13.102598        1.649455e-07      0.000000e+00      0.000000e+00      1.649455e-07   
    13.324299        1.271482e-07      0.000000e+00      0.000000e+00      1.271482e-07   
    13.534343        9.861336e-08      0.000000e+00      0.000000e+00      9.861336e-08   
    13.732162        7.714605e-08      0.000000e+00      0.000000e+00      7.714605e-08   
    13.917225        6.102342e-08      0.000000e+00      0.000000e+00      6.102342e-08   
    14.089032        4.892422e-08      0.000000e+00      0.000000e+00      4.892422e-08   
