#        q              total               1              \delta U         \delta U^2    

     0.001185        1.393066e+04      1.394010e+04     -9.477342e+00      3.325745e-02   
     0.006239        7.060257e+03      7.069714e+03     -9.490273e+00      3.325005e-02   
     0.015318        4.694512e+03      4.703970e+03     -9.490500e+00      3.321882e-02   
     0.028399        3.316835e+03      3.326293e+03     -9.491256e+00      3.315444e-02   
     0.045447        2.566899e+03      2.576357e+03     -9.491234e+00      3.304618e-02   
     0.066417        2.035723e+03      2.045177e+03     -9.487122e+00      3.291866e-02   
     0.091251        1.667634e+03      1.677083e+03     -9.481684e+00      3.274842e-02   
     0.119882        1.346599e+03      1.356037e+03     -9.470428e+00      3.256948e-02   
     0.152235        1.134773e+03      1.144193e+03     -9.452882e+00      3.234545e-02   
     0.188220        9.462566e+02      9.556474e+02     -9.422807e+00      3.210339e-02   
     0.227742        8.328641e+02      8.422233e+02     -9.391069e+00      3.184153e-02   
     0.270694        7.288358e+02      7.381486e+02     -9.344359e+00      3.155895e-02   
     0.316959        6.337764e+02      6.430212e+02     -9.276013e+00      3.126946e-02   
     0.366414        5.472921e+02      5.564389e+02     -9.177740e+00      3.094777e-02   
     0.418925        4.689933e+02      4.779996e+02     -9.036891e+00      3.061102e-02   
     0.474351        4.327947e+02      4.417079e+02     -8.943466e+00      3.023472e-02   
     0.532541        3.660516e+02      3.747292e+02     -8.707453e+00      2.983909e-02   
     0.593339        3.354157e+02      3.439416e+02     -8.555235e+00      2.940478e-02   
     0.656582        2.793657e+02      2.875186e+02     -8.181842e+00      2.894681e-02   
     0.722098        2.538603e+02      2.617826e+02     -7.950790e+00      2.845132e-02   
     0.789711        2.076307e+02      2.150106e+02     -7.407839e+00      2.793216e-02   
     0.859239        1.868123e+02      1.938740e+02     -7.089025e+00      2.738149e-02   
     0.930495        1.494959e+02      1.558481e+02     -6.379055e+00      2.680797e-02   
     1.003286        1.175940e+02      1.231504e+02     -5.582679e+00      2.620410e-02   
     1.077416        9.067009e+01      9.537875e+01     -4.734244e+00      2.557675e-02   
     1.152685        6.828093e+01      7.213097e+01     -3.874957e+00      2.492008e-02   
     1.228890        4.222720e+01      4.486194e+01     -2.658979e+00      2.423590e-02   
     1.305826        2.390366e+01      2.550973e+01     -1.629589e+00      2.351953e-02   
     1.383286        4.790274e+00      5.127079e+00     -3.595741e-01      2.276927e-02   
     1.461060        2.198196e-02      0.000000e+00      0.000000e+00      2.198196e-02   
     1.538940        2.115801e-02      0.000000e+00      0.000000e+00      2.115801e-02   
     1.616714        2.030055e-02      0.000000e+00      0.000000e+00      2.030055e-02   
     1.694174        1.941650e-02      0.000000e+00      0.000000e+00      1.941650e-02   
     1.771110        1.855112e-02      0.000000e+00      0.000000e+00      1.855112e-02   
     1.847315        1.781992e-02      0.000000e+00      0.000000e+00      1.781992e-02   
     1.922584        1.741581e-02      0.000000e+00      0.000000e+00      1.741581e-02   
     1.996714        1.765955e-02      0.000000e+00      0.000000e+00      1.765955e-02   
     2.069505        1.907421e-02      0.000000e+00      0.000000e+00      1.907421e-02   
     2.140761        2.168894e-02      0.000000e+00      0.000000e+00      2.168894e-02   
     2.210289        2.588538e-02      0.000000e+00      0.000000e+00      2.588538e-02   
     2.277902        3.166774e-02      0.000000e+00      0.000000e+00      3.166774e-02   
     2.343418        3.909371e-02      0.000000e+00      0.000000e+00      3.909371e-02   
     2.406661        4.816173e-02      0.000000e+00      0.000000e+00      4.816173e-02   
