#        q              total               1              \delta U         \delta U^2    

     0.001185        6.742426e+07      6.742779e+07     -4.063205e+03      5.323431e+02   
     0.006239        2.295408e+07      2.295599e+07     -2.054949e+03      1.538018e+02   
     0.015318        8.857651e+06      8.858815e+06     -1.223041e+03      5.957636e+01   
     0.028399        5.998420e+06      5.999371e+06     -9.847699e+02      3.345194e+01   
     0.045447        3.318110e+06      3.318808e+06     -7.230015e+02      2.444380e+01   
     0.066417        1.897935e+06      1.898456e+06     -5.419464e+02      2.121341e+01   
     0.091251        1.267666e+06      1.268086e+06     -4.392587e+02      1.997912e+01   
     0.119882        9.190672e+05      9.194182e+05     -3.703092e+02      1.927959e+01   
     0.152235        6.542993e+05      6.545890e+05     -3.083379e+02      1.863090e+01   
     0.188220        4.563958e+05      4.566309e+05     -2.529728e+02      1.787120e+01   
     0.227742        3.544692e+05      3.546700e+05     -2.177473e+02      1.693803e+01   
     0.270694        2.722624e+05      2.724317e+05     -1.851043e+02      1.580963e+01   
     0.316959        2.065975e+05      2.067381e+05     -1.551475e+02      1.449006e+01   
     0.366414        1.546971e+05      1.548121e+05     -1.279962e+02      1.300764e+01   
     0.418925        1.141495e+05      1.142418e+05     -1.037612e+02      1.141655e+01   
     0.474351        9.747325e+04      9.755295e+04     -8.949129e+01      9.797018e+00   
     0.532541        7.014918e+04      7.021098e+04     -7.005120e+01      8.252265e+00   
     0.593339        4.953046e+04      4.957726e+04     -5.370329e+01      6.901286e+00   
     0.656582        4.129504e+04      4.133346e+04     -4.428584e+01      5.865487e+00   
     0.722098        2.820646e+04      2.823402e+04     -3.280948e+01      5.249420e+00   
     0.789711        2.309337e+04      2.311478e+04     -2.652995e+01      5.117518e+00   
     0.859239        1.515378e+04      1.516758e+04     -1.926968e+01      5.470239e+00   
     0.930495        1.213492e+04      1.214432e+04     -1.563022e+01      6.226350e+00   
     1.003286        7.578836e+03      7.583014e+03     -1.139827e+01      7.220097e+00   
     1.077416        4.548447e+03      4.548553e+03     -8.326606e+00      8.220094e+00   
     1.152685        2.604346e+03      2.601438e+03     -6.064306e+00      8.972308e+00   
     1.228890        1.409665e+03      1.404762e+03     -4.356976e+00      9.259749e+00   
     1.305826        3.322695e+02      3.253732e+02     -2.065028e+00      8.961288e+00   
     1.383286        5.412918e+01      4.681351e+01     -7.715984e-01      8.087269e+00   
     1.461060        6.775154e+00      0.000000e+00      0.000000e+00      6.775154e+00   
     1.538940        5.244530e+00      0.000000e+00      0.000000e+00      5.244530e+00   
     1.616714        3.729259e+00      0.000000e+00      0.000000e+00      3.729259e+00   
     1.694174        2.414590e+00      0.000000e+00      0.000000e+00      2.414590e+00   
     1.771110        1.402108e+00      0.000000e+00      0.000000e+00      1.402108e+00   
     1.847315        7.092141e-01      0.000000e+00      0.000000e+00      7.092141e-01   
     1.922584        2.935783e-01      0.000000e+00      0.000000e+00      2.935783e-01   
     1.996714        8.552054e-02      0.000000e+00      0.000000e+00      8.552054e-02   
     2.069505        1.431399e-02      0.000000e+00      0.000000e+00      1.431399e-02   
     2.140761        2.260419e-02      0.000000e+00      0.000000e+00      2.260419e-02   
     2.210289        7.031107e-02      0.000000e+00      0.000000e+00      7.031107e-02   
     2.277902        1.324580e-01      0.000000e+00      0.000000e+00      1.324580e-01   
     2.343418        1.949844e-01      0.000000e+00      0.000000e+00      1.949844e-01   
     2.406661        2.508452e-01      0.000000e+00      0.000000e+00      2.508452e-01   
     2.467459        2.971637e-01      0.000000e+00      0.000000e+00      2.971637e-01   
     2.525649        3.333939e-01      0.000000e+00      0.000000e+00      3.333939e-01   
     2.581075        3.602089e-01      0.000000e+00      0.000000e+00      3.602089e-01   
     2.633586        3.788470e-01      0.000000e+00      0.000000e+00      3.788470e-01   
     2.683041        3.907366e-01      0.000000e+00      0.000000e+00      3.907366e-01   
     2.729306        3.972883e-01      0.000000e+00      0.000000e+00      3.972883e-01   
     2.772258        3.997884e-01      0.000000e+00      0.000000e+00      3.997884e-01   
     2.811780        3.993529e-01      0.000000e+00      0.000000e+00      3.993529e-01   
     2.847765        3.969169e-01      0.000000e+00      0.000000e+00      3.969169e-01   
     2.880118        3.932443e-01      0.000000e+00      0.000000e+00      3.932443e-01   
     2.908749        3.889453e-01      0.000000e+00      0.000000e+00      3.889453e-01   
     2.933583        3.844986e-01      0.000000e+00      0.000000e+00      3.844986e-01   
     2.954553        3.802727e-01      0.000000e+00      0.000000e+00      3.802727e-01   
     2.971601        3.765456e-01      0.000000e+00      0.000000e+00      3.765456e-01   
     2.984682        3.735212e-01      0.000000e+00      0.000000e+00      3.735212e-01   
     2.993761        3.713430e-01      0.000000e+00      0.000000e+00      3.713430e-01   
     2.998815        3.701034e-01      0.000000e+00      0.000000e+00      3.701034e-01   
     3.004739        3.686268e-01      0.000000e+00      0.000000e+00      3.686268e-01   
     3.024957        3.634037e-01      0.000000e+00      0.000000e+00      3.634037e-01   
     3.061273        3.533807e-01      0.000000e+00      0.000000e+00      3.533807e-01   
     3.113597        3.377560e-01      0.000000e+00      0.000000e+00      3.377560e-01   
     3.181789        3.159042e-01      0.000000e+00      0.000000e+00      3.159042e-01   
     3.265666        2.877666e-01      0.000000e+00      0.000000e+00      2.877666e-01   
     3.365002        2.541171e-01      0.000000e+00      0.000000e+00      2.541171e-01   
     3.479529        2.166006e-01      0.000000e+00      0.000000e+00      2.166006e-01   
     3.608938        1.775147e-01      0.000000e+00      0.000000e+00      1.775147e-01   
     3.752880        1.393986e-01      0.000000e+00      0.000000e+00      1.393986e-01   
     3.910968        1.045614e-01      0.000000e+00      0.000000e+00      1.045614e-01   
     4.082775        7.469280e-02      0.000000e+00      0.000000e+00      7.469280e-02   
     4.267838        5.065956e-02      0.000000e+00      0.000000e+00      5.065956e-02   
     4.465657        3.251288e-02      0.000000e+00      0.000000e+00      3.251288e-02   
     4.675701        1.966491e-02      0.000000e+00      0.000000e+00      1.966491e-02   
     4.897402        1.114963e-02      0.000000e+00      0.000000e+00      1.114963e-02   
     5.130163        5.882085e-03      0.000000e+00      0.000000e+00      5.882085e-03   
     5.373356        2.855552e-03      0.000000e+00      0.000000e+00      2.855552e-03   
     5.626327        1.253295e-03      0.000000e+00      0.000000e+00      1.253295e-03   
     5.888392        4.822174e-04      0.000000e+00      0.000000e+00      4.822174e-04   
     6.158845        1.530508e-04      0.000000e+00      0.000000e+00      1.530508e-04   
     6.436958        3.454487e-05      0.000000e+00      0.000000e+00      3.454487e-05   
     6.721980        3.164369e-06      0.000000e+00      0.000000e+00      3.164369e-06   
     7.013143        6.374473e-07      0.000000e+00      0.000000e+00      6.374473e-07   
     7.309662        3.725031e-06      0.000000e+00      0.000000e+00      3.725031e-06   
     7.610739        5.514409e-06      0.000000e+00      0.000000e+00      5.514409e-06   
     7.915560        5.334831e-06      0.000000e+00      0.000000e+00      5.334831e-06   
     8.223305        4.124667e-06      0.000000e+00      0.000000e+00      4.124667e-06   
     8.533144        2.746059e-06      0.000000e+00      0.000000e+00      2.746059e-06   
     8.844241        1.630203e-06      0.000000e+00      0.000000e+00      1.630203e-06   
     9.155759        8.785304e-07      0.000000e+00      0.000000e+00      8.785304e-07   
     9.466856        4.335202e-07      0.000000e+00      0.000000e+00      4.335202e-07   
     9.776695        1.962852e-07      0.000000e+00      0.000000e+00      1.962852e-07   
    10.084440        8.117662e-08      0.000000e+00      0.000000e+00      8.117662e-08   
    10.389261        3.025013e-08      0.000000e+00      0.000000e+00      3.025013e-08   
    10.690338        9.855502e-09      0.000000e+00      0.000000e+00      9.855502e-09   
    10.986857        2.621605e-09      0.000000e+00      0.000000e+00      2.621605e-09   
    11.278020        4.711134e-10      0.000000e+00      0.000000e+00      4.711134e-10   
    11.563042        2.245690e-11      0.000000e+00      0.000000e+00      2.245690e-11   
    11.841155        2.180343e-11      0.000000e+00      0.000000e+00      2.180343e-11   
    12.111608        7.753126e-11      0.000000e+00      0.000000e+00      7.753126e-11   
    12.373673        1.031345e-10      0.000000e+00      0.000000e+00      1.031345e-10   
    12.626644        9.952922e-11      0.000000e+00      0.000000e+00      9.952922e-11   
    12.869837        8.207235e-11      0.000000e+00      0.000000e+00      8.207235e-11   
    13.102598        6.187529e-11      0.000000e+00      0.000000e+00      6.187529e-11   
    13.324299        4.419785e-11      0.000000e+00      0.000000e+00      4.419785e-11   
    13.534343        3.057473e-11      0.000000e+00      0.000000e+00      3.057473e-11   
    13.732162        2.079312e-11      0.000000e+00      0.000000e+00      2.079312e-11   
    13.917225        1.405772e-11      0.000000e+00      0.000000e+00      1.405772e-11   
    14.089032        9.532255e-12      0.000000e+00      0.000000e+00      9.532255e-12   
    14.247120        6.530886e-12      0.000000e+00      0.000000e+00      6.530886e-12   
    14.391062        4.550173e-12      0.000000e+00      0.000000e+00      4.550173e-12   
    14.520471        3.242286e-12      0.000000e+00      0.000000e+00      3.242286e-12   
    14.634998        2.375225e-12      0.000000e+00      0.000000e+00      2.375225e-12   
    14.734334        1.797438e-12      0.000000e+00      0.000000e+00      1.797438e-12   
    14.818211        1.411165e-12      0.000000e+00      0.000000e+00      1.411165e-12   
    14.886403        1.153858e-12      0.000000e+00      0.000000e+00      1.153858e-12   
    14.938727        9.858668e-13      0.000000e+00      0.000000e+00      9.858668e-13   
    14.975043        8.825642e-13      0.000000e+00      0.000000e+00      8.825642e-13   
    14.995261        8.471793e-13      0.000000e+00      0.000000e+00      8.471793e-13   
