#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.001762        6.580477e+07      6.582832e+07     -4.100809e+04      1.746453e+04   
     0.001185          0.009274        3.472397e+07      3.474231e+07     -3.001722e+04      1.167662e+04   
     0.001185          0.022740        1.085044e+07      1.085858e+07     -1.729935e+04      9.161513e+03   
     0.001185          0.042083        7.820097e+06      7.826933e+06     -1.469215e+04      7.855777e+03   
     0.001185          0.067187        5.125397e+06      5.130852e+06     -1.183482e+04      6.379560e+03   
     0.001185          0.097901        3.106944e+06      3.111125e+06     -9.180039e+03      4.999159e+03   
     0.001185          0.134040        1.989312e+06      1.992582e+06     -7.372739e+03      4.103548e+03   
     0.001185          0.175388        1.435904e+06      1.438744e+06     -6.345533e+03      3.506124e+03   
     0.001185          0.221694        1.061574e+06      1.063940e+06     -5.418460e+03      3.051816e+03   
     0.001185          0.272682        7.860760e+05      7.880711e+05     -4.649080e+03      2.653942e+03   
     0.001185          0.328043        6.117544e+05      6.135154e+05     -4.081913e+03      2.320889e+03   
     0.001185          0.387446        4.550877e+05      4.566309e+05     -3.615857e+03      2.072603e+03   
     0.001185          0.450533        3.533124e+05      3.546700e+05     -3.186698e+03      1.829091e+03   
     0.001185          0.516924        2.900451e+05      2.912153e+05     -2.792913e+03      1.622720e+03   
     0.001185          0.586221        2.365955e+05      2.376993e+05     -2.608811e+03      1.504935e+03   
     0.001185          0.658006        1.782568e+05      1.792131e+05     -2.265236e+03      1.308925e+03   
     0.001185          0.731848        1.539351e+05      1.548121e+05     -2.105383e+03      1.228347e+03   
     0.001185          0.807302        1.324291e+05      1.332449e+05     -1.953232e+03      1.137427e+03   
     0.001185          0.883916        1.049067e+05      1.055681e+05     -1.671278e+03      1.009853e+03   
     0.001185          0.961228        8.512607e+04      8.574557e+04     -1.541095e+03      9.215936e+02   
     0.001185          1.038772        6.964169e+04      7.021098e+04     -1.417853e+03      8.485632e+02   
     0.001185          1.116084        5.863224e+04      5.914790e+04     -1.301362e+03      7.857076e+02   
     0.001185          1.192698        5.167698e+04      5.213910e+04     -1.191434e+03      7.293094e+02   
     0.001185          1.268152        4.670624e+04      4.713409e+04     -1.132720e+03      7.048716e+02   
     0.001185          1.341994        4.091933e+04      4.133346e+04     -1.087876e+03      6.737429e+02   
     0.001185          1.413779        3.387924e+04      3.426507e+04     -9.904999e+02      6.046666e+02   
     0.001185          1.483076        2.788758e+04      2.823402e+04     -8.991145e+02      5.526743e+02   
     0.001185          1.549467        2.281046e+04      2.311478e+04     -8.135298e+02      5.092100e+02   
     0.001185          1.612554        2.279530e+04      2.311478e+04     -8.135298e+02      4.940488e+02   
     0.001185          1.671957        1.850352e+04      1.879356e+04     -7.335557e+02      4.435161e+02   
     0.001185          1.727318        1.491581e+04      1.516758e+04     -6.590020e+02      4.072343e+02   
     0.001185          1.778306        1.490543e+04      1.516758e+04     -6.590020e+02      3.968560e+02   
