#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.001762        6.578703e+07      6.582832e+07     -4.312968e+04      1.839045e+03   
     0.001185          0.009274        3.471223e+07      3.474231e+07     -3.157019e+04      1.492018e+03   
     0.001185          0.022740        1.084168e+07      1.085858e+07     -1.819435e+04      1.297933e+03   
     0.001185          0.042083        7.812615e+06      7.826933e+06     -1.545226e+04      1.134767e+03   
     0.001185          0.067187        5.119350e+06      5.130852e+06     -1.244710e+04      9.451529e+02   
     0.001185          0.097901        3.102244e+06      3.111125e+06     -9.654977e+03      7.736312e+02   
     0.001185          0.134040        1.985483e+06      1.992582e+06     -7.754174e+03      6.560428e+02   
     0.001185          0.175388        1.432644e+06      1.438744e+06     -6.673824e+03      5.738626e+02   
     0.001185          0.221694        1.058750e+06      1.063940e+06     -5.698789e+03      5.081898e+02   
     0.001185          0.272682        7.836322e+05      7.880711e+05     -4.889604e+03      4.507217e+02   
     0.001185          0.328043        6.096236e+05      6.135154e+05     -4.293094e+03      4.013693e+02   
     0.001185          0.387446        4.531890e+05      4.566309e+05     -3.802927e+03      3.609888e+02   
     0.001185          0.450533        3.516424e+05      3.546700e+05     -3.351564e+03      3.239478e+02   
     0.001185          0.516924        2.885675e+05      2.912153e+05     -2.937407e+03      2.896084e+02   
     0.001185          0.586221        2.352211e+05      2.376993e+05     -2.743780e+03      2.655716e+02   
     0.001185          0.658006        1.770677e+05      1.792131e+05     -2.382430e+03      2.370554e+02   
     0.001185          0.731848        1.528161e+05      1.548121e+05     -2.214307e+03      2.183076e+02   
     0.001185          0.807302        1.313891e+05      1.332449e+05     -2.054284e+03      1.985017e+02   
     0.001185          0.883916        1.039869e+05      1.055681e+05     -1.757743e+03      1.765533e+02   
     0.001185          0.961228        8.428587e+04      8.574557e+04     -1.620824e+03      1.611211e+02   
     0.001185          1.038772        6.886664e+04      7.021098e+04     -1.491206e+03      1.468748e+02   
     0.001185          1.116084        5.791248e+04      5.914790e+04     -1.368690e+03      1.332716e+02   
     0.001185          1.192698        5.100687e+04      5.213910e+04     -1.253074e+03      1.208359e+02   
     0.001185          1.268152        4.605497e+04      4.713409e+04     -1.191322e+03      1.122075e+02   
     0.001185          1.341994        4.029442e+04      4.133346e+04     -1.144158e+03      1.051126e+02   
     0.001185          1.413779        3.331868e+04      3.426507e+04     -1.041744e+03      9.534762e+01   
     0.001185          1.483076        2.737413e+04      2.823402e+04     -9.456309e+02      8.574066e+01   
     0.001185          1.549467        2.233619e+04      2.311478e+04     -8.556185e+02      7.703321e+01   
     0.001185          1.612554        2.233243e+04      2.311478e+04     -8.556185e+02      7.327142e+01   
     0.001185          1.671957        1.808834e+04      1.879356e+04     -7.715068e+02      6.628580e+01   
     0.001185          1.727318        1.453426e+04      1.516758e+04     -6.930960e+02      5.978433e+01   
     0.001185          1.778306        1.453188e+04      1.516758e+04     -6.930960e+02      5.739458e+01   
     0.001185          1.824612        1.157579e+04      1.214432e+04     -6.201859e+02      5.165612e+01   
     0.001185          1.865960        1.157406e+04      1.214432e+04     -6.201859e+02      4.992492e+01   
     0.001185          1.902099        9.133420e+03      9.640827e+03     -5.525765e+02      4.516963e+01   
     0.001185          1.932813        9.132181e+03      9.640827e+03     -5.525765e+02      4.393073e+01   
     0.001185          1.957917        9.130733e+03      9.640827e+03     -5.525765e+02      4.248276e+01   
     0.001185          1.977260        7.132005e+03      7.583014e+03     -4.900679e+02      3.905805e+01   
     0.001185          1.990726        7.131706e+03      7.583014e+03     -4.900679e+02      3.875909e+01   
     0.001185          1.998238        7.131390e+03      7.583014e+03     -4.900679e+02      3.844375e+01   
     0.006239          0.001762        2.123147e+07      2.125333e+07     -2.222725e+04      3.661977e+02   
     0.006239          0.009274        1.792943e+07      1.794783e+07     -1.874179e+04      3.382255e+02   
     0.006239          0.022740        1.102133e+07      1.103787e+07     -1.685343e+04      3.152380e+02   
     0.006239          0.042083        7.655155e+06      7.669310e+06     -1.444485e+04      2.899358e+02   
     0.006239          0.067187        5.049950e+06      5.061372e+06     -1.168293e+04      2.605425e+02   
     0.006239          0.097901        3.073019e+06      3.081964e+06     -9.179153e+03      2.337486e+02   
     0.006239          0.134040        1.993430e+06      2.000702e+06     -7.484905e+03      2.128642e+02   
     0.006239          0.175388        1.415717e+06      1.421916e+06     -6.395123e+03      1.958268e+02   
     0.006239          0.221694        1.046807e+06      1.052139e+06     -5.511990e+03      1.803948e+02   
     0.006239          0.272682        7.891502e+05      7.937784e+05     -4.794140e+03      1.659087e+02   
     0.006239          0.328043        6.018194e+05      6.058537e+05     -4.186950e+03      1.527389e+02   
     0.006239          0.387446        4.635870e+05      4.671554e+05     -3.708901e+03      1.404453e+02   
     0.006239          0.450533        3.597614e+05      3.629014e+05     -3.268698e+03      1.286607e+02   
     0.006239          0.516924        2.839708e+05      2.867181e+05     -2.864781e+03      1.174698e+02   
     0.006239          0.586221        2.320468e+05      2.345803e+05     -2.640828e+03      1.073123e+02   
     0.006239          0.658006        1.818839e+05      1.841100e+05     -2.323525e+03      9.740877e+01   
     0.006239          0.731848        1.527410e+05      1.548121e+05     -2.159559e+03      8.842345e+01   
     0.006239          0.807302        1.289609e+05      1.308488e+05     -1.967465e+03      7.959173e+01   
     0.006239          0.883916        1.048298e+05      1.064878e+05     -1.729218e+03      7.122158e+01   
     0.006239          0.961228        8.504761e+04      8.656450e+04     -1.580750e+03      6.385772e+01   
     0.006239          1.038772        7.081482e+04      7.221208e+04     -1.454337e+03      5.707197e+01   
     0.006239          1.116084        5.964955e+04      6.093365e+04     -1.334849e+03      5.075154e+01   
     0.006239          1.192698        5.131481e+04      5.249202e+04     -1.222092e+03      4.487838e+01   
     0.006239          1.268152        4.557184e+04      4.668279e+04     -1.150742e+03      3.979574e+01   
     0.006239          1.341994        4.025311e+04      4.133346e+04     -1.115870e+03      3.551675e+01   
     0.006239          1.413779        3.328054e+04      3.426507e+04     -1.015988e+03      3.145179e+01   
     0.006239          1.483076        2.733939e+04      2.823402e+04     -9.222506e+02      2.761331e+01   
     0.006239          1.549467        2.253318e+04      2.334330e+04     -8.344637e+02      2.434955e+01   
     0.006239          1.612554        2.208084e+04      2.288537e+04     -8.261818e+02      2.164811e+01   
     0.006239          1.671957        1.806049e+04      1.879356e+04     -7.524316e+02      1.936385e+01   
     0.006239          1.727318        1.466292e+04      1.532178e+04     -6.759595e+02      1.710275e+01   
