#        q              total               1              \delta U         \delta U^2    

     0.001185        6.737595e+07      6.742779e+07     -5.232976e+04      4.890404e+02   
     0.006239        2.194607e+07      2.197330e+07     -2.743213e+04      2.050756e+02   
     0.015318        9.178660e+06      9.197341e+06     -1.884490e+04      1.633920e+02   
     0.028399        6.228884e+06      6.244221e+06     -1.548824e+04      1.512073e+02   
     0.045447        3.457160e+06      3.468513e+06     -1.149833e+04      1.460008e+02   
     0.066417        1.984054e+06      1.992582e+06     -8.670449e+03      1.427585e+02   
     0.091251        1.328494e+06      1.335407e+06     -7.053011e+03      1.397405e+02   
     0.119882        9.651378e+05      9.709656e+05     -5.964072e+03      1.362412e+02   
     0.152235        6.886164e+05      6.934681e+05     -4.983686e+03      1.320001e+02   
     0.188220        4.814831e+05      4.854646e+05     -4.108391e+03      1.269010e+02   
     0.227742        3.512314e+05      3.546700e+05     -3.559450e+03      1.208288e+02   
     0.270694        2.694931e+05      2.724317e+05     -3.052257e+03      1.136728e+02   
     0.316959        2.042563e+05      2.067381e+05     -2.587149e+03      1.053548e+02   
     0.366414        1.527434e+05      1.548121e+05     -2.164610e+03      9.587902e+01   
     0.418925        1.125421e+05      1.142418e+05     -1.785083e+03      8.537502e+01   
     0.474351        9.605593e+04      9.755295e+04     -1.571135e+03      7.411780e+01   
     0.532541        6.901479e+04      7.021098e+04     -1.258731e+03      6.254274e+01   
     0.593339        5.321296e+04      5.415156e+04     -9.898396e+02      5.124394e+01   
     0.656582        4.053655e+04      4.133346e+04     -8.378586e+02      4.095218e+01   
     0.722098        3.050033e+04      3.110371e+04     -6.358630e+02      3.248381e+01   
     0.789711        2.261803e+04      2.311478e+04     -5.234088e+02      2.665635e+01   
     0.859239        1.480936e+04      1.516758e+04     -3.823847e+02      2.416338e+01   
     0.930495        1.186353e+04      1.214432e+04     -3.062188e+02      2.542466e+01   
     1.003286        7.398284e+03      7.583014e+03     -2.151636e+02      3.043325e+01   
     1.077416        4.439791e+03      4.548553e+03     -1.474155e+02      3.865274e+01   
     1.152685        2.552240e+03      2.601438e+03     -9.820646e+01      4.900858e+01   
     1.228890        1.195378e+03      1.188953e+03     -5.359256e+01      6.001773e+01   
     1.305826        3.688060e+02      3.253732e+02     -2.661596e+01      7.004874e+01   
     1.383286        9.781549e+01      2.480508e+01     -4.643884e+00      7.765429e+01   
     1.461060        8.187352e+01      0.000000e+00      0.000000e+00      8.187352e+01   
     1.538940        8.240204e+01      0.000000e+00      0.000000e+00      8.240204e+01   
     1.616714        7.957399e+01      0.000000e+00      0.000000e+00      7.957399e+01   
     1.694174        7.417971e+01      0.000000e+00      0.000000e+00      7.417971e+01   
     1.771110        6.720420e+01      0.000000e+00      0.000000e+00      6.720420e+01   
     1.847315        5.958444e+01      0.000000e+00      0.000000e+00      5.958444e+01   
     1.922584        5.205258e+01      0.000000e+00      0.000000e+00      5.205258e+01   
     1.996714        4.508078e+01      0.000000e+00      0.000000e+00      4.508078e+01   
     2.069505        3.890420e+01      0.000000e+00      0.000000e+00      3.890420e+01   
     2.140761        3.358353e+01      0.000000e+00      0.000000e+00      3.358353e+01   
     2.210289        2.907383e+01      0.000000e+00      0.000000e+00      2.907383e+01   
     2.277902        2.528030e+01      0.000000e+00      0.000000e+00      2.528030e+01   
     2.343418        2.209487e+01      0.000000e+00      0.000000e+00      2.209487e+01   
     2.406661        1.941572e+01      0.000000e+00      0.000000e+00      1.941572e+01   
     2.467459        1.715518e+01      0.000000e+00      0.000000e+00      1.715518e+01   
     2.525649        1.524108e+01      0.000000e+00      0.000000e+00      1.524108e+01   
     2.581075        1.361515e+01      0.000000e+00      0.000000e+00      1.361515e+01   
     2.633586        1.223062e+01      0.000000e+00      0.000000e+00      1.223062e+01   
     2.683041        1.104983e+01      0.000000e+00      0.000000e+00      1.104983e+01   
     2.729306        1.004232e+01      0.000000e+00      0.000000e+00      1.004232e+01   
     2.772258        9.183241e+00      0.000000e+00      0.000000e+00      9.183241e+00   
     2.811780        8.452201e+00      0.000000e+00      0.000000e+00      8.452201e+00   
     2.847765        7.832411e+00      0.000000e+00      0.000000e+00      7.832411e+00   
     2.880118        7.310004e+00      0.000000e+00      0.000000e+00      7.310004e+00   
     2.908749        6.873539e+00      0.000000e+00      0.000000e+00      6.873539e+00   
     2.933583        6.513622e+00      0.000000e+00      0.000000e+00      6.513622e+00   
     2.954553        6.222613e+00      0.000000e+00      0.000000e+00      6.222613e+00   
     2.971601        5.994403e+00      0.000000e+00      0.000000e+00      5.994403e+00   
     2.984682        5.824241e+00      0.000000e+00      0.000000e+00      5.824241e+00   
     2.993761        5.708605e+00      0.000000e+00      0.000000e+00      5.708605e+00   
     2.998815        5.645090e+00      0.000000e+00      0.000000e+00      5.645090e+00   
     3.004739        5.571425e+00      0.000000e+00      0.000000e+00      5.571425e+00   
     3.024957        5.326203e+00      0.000000e+00      0.000000e+00      5.326203e+00   
     3.061273        4.908900e+00      0.000000e+00      0.000000e+00      4.908900e+00   
     3.113597        4.356842e+00      0.000000e+00      0.000000e+00      4.356842e+00   
