#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.001762        6.578318e+07      6.582832e+07     -4.543729e+04      3.039469e+02   
     0.001185          0.009274        3.470934e+07      3.474231e+07     -3.325931e+04      2.868726e+02   
     0.001185          0.022740        1.083968e+07      1.085858e+07     -1.916781e+04      2.710784e+02   
     0.001185          0.042083        7.810905e+06      7.826933e+06     -1.627901e+04      2.509728e+02   
     0.001185          0.067187        5.117966e+06      5.130852e+06     -1.311307e+04      2.270255e+02   
     0.001185          0.097901        3.101158e+06      3.111125e+06     -1.017155e+04      2.049116e+02   
     0.001185          0.134040        1.984600e+06      1.992582e+06     -8.169052e+03      1.879044e+02   
     0.001185          0.175388        1.431887e+06      1.438744e+06     -7.030899e+03      1.742582e+02   
     0.001185          0.221694        1.058098e+06      1.063940e+06     -6.003696e+03      1.619060e+02   
     0.001185          0.272682        7.830700e+05      7.880711e+05     -5.151216e+03      1.501493e+02   
     0.001185          0.328043        6.091316e+05      6.135154e+05     -4.522792e+03      1.389794e+02   
     0.001185          0.387446        4.527530e+05      4.566309e+05     -4.006398e+03      1.284665e+02   
     0.001185          0.450533        3.512574e+05      3.546700e+05     -3.530886e+03      1.182888e+02   
     0.001185          0.516924        2.882289e+05      2.912153e+05     -3.094569e+03      1.081873e+02   
     0.001185          0.586221        2.349079e+05      2.376993e+05     -2.890583e+03      9.915911e+01   
     0.001185          0.658006        1.767932e+05      1.792131e+05     -2.509899e+03      8.998449e+01   
     0.001185          0.731848        1.525611e+05      1.548121e+05     -2.332781e+03      8.173081e+01   
     0.001185          0.807302        1.311543e+05      1.332449e+05     -2.164197e+03      7.356428e+01   
     0.001185          0.883916        1.037819e+05      1.055681e+05     -1.851789e+03      6.553682e+01   
     0.001185          0.961228        8.409665e+04      8.574557e+04     -1.707545e+03      5.861901e+01   
     0.001185          1.038772        6.869211e+04      7.021098e+04     -1.570992e+03      5.212763e+01   
     0.001185          1.116084        5.775201e+04      5.914790e+04     -1.441920e+03      4.602660e+01   
     0.001185          1.192698        5.085944e+04      5.213910e+04     -1.320118e+03      4.045686e+01   
     0.001185          1.268152        4.591471e+04      4.713409e+04     -1.255062e+03      3.568391e+01   
     0.001185          1.341994        4.015969e+04      4.133346e+04     -1.205375e+03      3.160174e+01   
     0.001185          1.413779        3.319531e+04      3.426507e+04     -1.097482e+03      2.771476e+01   
     0.001185          1.483076        2.726188e+04      2.823402e+04     -9.962258e+02      2.408342e+01   
     0.001185          1.549467        2.223425e+04      2.311478e+04     -9.013974e+02      2.087051e+01   
     0.001185          1.612554        2.223197e+04      2.311478e+04     -9.013974e+02      1.859102e+01   
     0.001185          1.671957        1.799707e+04      1.879356e+04     -8.127854e+02      1.629699e+01   
     0.001185          1.727318        1.445162e+04      1.516758e+04     -7.301793e+02      1.422335e+01   
     0.001185          1.778306        1.445027e+04      1.516758e+04     -7.301793e+02      1.287043e+01   
     0.001185          1.824612        1.150229e+04      1.214432e+04     -6.533682e+02      1.134085e+01   
