#        q              total               1              \delta U         \delta U^2    

     0.001185        1.072948e+08      1.073385e+08     -4.403621e+04      3.353973e+02   
     0.006239        2.742476e+07      2.744688e+07     -2.222311e+04      1.126559e+02   
     0.015318        1.187330e+07      1.188798e+07     -1.476604e+04      8.308170e+01   
     0.028399        5.985773e+06      5.996129e+06     -1.042966e+04      7.426618e+01   
     0.045447        3.460518e+06      3.468513e+06     -8.065806e+03      7.073198e+01   
     0.066417        2.187061e+06      2.193379e+06     -6.387298e+03      6.883057e+01   
     0.091251        1.401153e+06      1.406303e+06     -5.217915e+03      6.725910e+01   
     0.119882        9.668356e+05      9.709656e+05     -4.195559e+03      6.554138e+01   
     0.152235        6.900190e+05      6.934681e+05     -3.512578e+03      6.351065e+01   
     0.188220        4.826226e+05      4.854646e+05     -2.903132e+03      6.109776e+01   
     0.227742        3.522045e+05      3.546700e+05     -2.523796e+03      5.824618e+01   
     0.270694        2.703129e+05      2.724317e+05     -2.173718e+03      5.490026e+01   
     0.316959        2.049363e+05      2.067381e+05     -1.852855e+03      5.102209e+01   
     0.366414        1.532975e+05      1.548121e+05     -1.561238e+03      4.660900e+01   
     0.418925        1.221209e+05      1.233780e+05     -1.298871e+03      4.171111e+01   
     0.474351        9.643377e+04      9.755295e+04     -1.155625e+03      3.644370e+01   
     0.532541        6.930387e+04      7.021098e+04     -9.380982e+02      3.098805e+01   
     0.593339        5.835487e+04      5.914790e+04     -8.186192e+02      2.559197e+01   
     0.656582        4.070757e+04      4.133346e+04     -6.464491e+02      2.055789e+01   
     0.722098        3.372875e+04      3.426507e+04     -5.525470e+02      1.622420e+01   
     0.789711        2.270414e+04      2.311478e+04     -4.235742e+02      1.293336e+01   
     0.859239        1.844988e+04      1.879356e+04     -3.546690e+02      1.099037e+01   
     0.930495        1.189127e+04      1.214432e+04     -2.636671e+02      1.061353e+01   
     1.003286        7.402780e+03      7.583014e+03     -1.921174e+02      1.188332e+01   
     1.077416        4.426286e+03      4.548553e+03     -1.369711e+02      1.470425e+01   
     1.152685        2.524921e+03      2.601438e+03     -9.530732e+01      1.879026e+01   
     1.228890        9.754187e+02      1.006297e+03     -5.456297e+01      2.368467e+01   
     1.305826        2.682932e+02      2.625425e+02     -2.306793e+01      2.881855e+01   
     1.383286        3.897967e+01      9.020029e+00     -3.638213e+00      3.359785e+01   
     1.461060        3.750025e+01      0.000000e+00      0.000000e+00      3.750025e+01   
     1.538940        4.015800e+01      0.000000e+00      0.000000e+00      4.015800e+01   
     1.616714        4.140402e+01      0.000000e+00      0.000000e+00      4.140402e+01   
     1.694174        4.127222e+01      0.000000e+00      0.000000e+00      4.127222e+01   
     1.771110        3.995800e+01      0.000000e+00      0.000000e+00      3.995800e+01   
     1.847315        3.775480e+01      0.000000e+00      0.000000e+00      3.775480e+01   
     1.922584        3.498676e+01      0.000000e+00      0.000000e+00      3.498676e+01   
     1.996714        3.195357e+01      0.000000e+00      0.000000e+00      3.195357e+01   
     2.069505        2.889613e+01      0.000000e+00      0.000000e+00      2.889613e+01   
     2.140761        2.598340e+01      0.000000e+00      0.000000e+00      2.598340e+01   
     2.210289        2.331580e+01      0.000000e+00      0.000000e+00      2.331580e+01   
     2.277902        2.093821e+01      0.000000e+00      0.000000e+00      2.093821e+01   
     2.343418        1.885656e+01      0.000000e+00      0.000000e+00      1.885656e+01   
     2.406661        1.705322e+01      0.000000e+00      0.000000e+00      1.705322e+01   
     2.467459        1.549912e+01      0.000000e+00      0.000000e+00      1.549912e+01   
     2.525649        1.416193e+01      0.000000e+00      0.000000e+00      1.416193e+01   
     2.581075        1.301068e+01      0.000000e+00      0.000000e+00      1.301068e+01   
     2.633586        1.201804e+01      0.000000e+00      0.000000e+00      1.201804e+01   
     2.683041        1.116088e+01      0.000000e+00      0.000000e+00      1.116088e+01   
     2.729306        1.042012e+01      0.000000e+00      0.000000e+00      1.042012e+01   
     2.772258        9.780149e+00      0.000000e+00      0.000000e+00      9.780149e+00   
     2.811780        9.228297e+00      0.000000e+00      0.000000e+00      9.228297e+00   
     2.847765        8.754229e+00      0.000000e+00      0.000000e+00      8.754229e+00   
     2.880118        8.349516e+00      0.000000e+00      0.000000e+00      8.349516e+00   
     2.908749        8.007277e+00      0.000000e+00      0.000000e+00      8.007277e+00   
     2.933583        7.721908e+00      0.000000e+00      0.000000e+00      7.721908e+00   
     2.954553        7.488877e+00      0.000000e+00      0.000000e+00      7.488877e+00   
     2.971601        7.304574e+00      0.000000e+00      0.000000e+00      7.304574e+00   
     2.984682        7.166197e+00      0.000000e+00      0.000000e+00      7.166197e+00   
     2.993761        7.071674e+00      0.000000e+00      0.000000e+00      7.071674e+00   
     2.998815        7.019581e+00      0.000000e+00      0.000000e+00      7.019581e+00   
     3.004739        6.959005e+00      0.000000e+00      0.000000e+00      6.959005e+00   
     3.024957        6.756079e+00      0.000000e+00      0.000000e+00      6.756079e+00   
     3.061273        6.405873e+00      0.000000e+00      0.000000e+00      6.405873e+00   
     3.113597        5.931766e+00      0.000000e+00      0.000000e+00      5.931766e+00   
     3.181789        5.363659e+00      0.000000e+00      0.000000e+00      5.363659e+00   
     3.265666        4.734707e+00      0.000000e+00      0.000000e+00      4.734707e+00   
     3.365002        4.078292e+00      0.000000e+00      0.000000e+00      4.078292e+00   
     3.479529        3.425496e+00      0.000000e+00      0.000000e+00      3.425496e+00   
     3.608938        2.803148e+00      0.000000e+00      0.000000e+00      2.803148e+00   
     3.752880        2.232444e+00      0.000000e+00      0.000000e+00      2.232444e+00   
     3.910968        1.728154e+00      0.000000e+00      0.000000e+00      1.728154e+00   
     4.082775        1.298440e+00      0.000000e+00      0.000000e+00      1.298440e+00   
     4.267838        9.452934e-01      0.000000e+00      0.000000e+00      9.452934e-01   
     4.465657        6.655002e-01      0.000000e+00      0.000000e+00      6.655002e-01   
     4.675701        4.519684e-01      0.000000e+00      0.000000e+00      4.519684e-01   
     4.897402        2.952003e-01      0.000000e+00      0.000000e+00      2.952003e-01   
     5.130163        1.846933e-01      0.000000e+00      0.000000e+00      1.846933e-01   
     5.373356        1.101030e-01      0.000000e+00      0.000000e+00      1.101030e-01   
     5.626327        6.207750e-02      0.000000e+00      0.000000e+00      6.207750e-02   
     5.888392        3.274365e-02      0.000000e+00      0.000000e+00      3.274365e-02   
     6.158845        1.588560e-02      0.000000e+00      0.000000e+00      1.588560e-02   
     6.436958        6.887550e-03      0.000000e+00      0.000000e+00      6.887550e-03   
     6.721980        2.526217e-03      0.000000e+00      0.000000e+00      2.526217e-03   
     7.013143        6.914665e-04      0.000000e+00      0.000000e+00      6.914665e-04   
     7.309662        9.700950e-05      0.000000e+00      0.000000e+00      9.700950e-05   
     7.610739        2.197949e-05      0.000000e+00      0.000000e+00      2.197949e-05   
     7.915560        1.040592e-04      0.000000e+00      0.000000e+00      1.040592e-04   
     8.223305        1.888476e-04      0.000000e+00      0.000000e+00      1.888476e-04   
     8.533144        2.297582e-04      0.000000e+00      0.000000e+00      2.297582e-04   
     8.844241        2.276434e-04      0.000000e+00      0.000000e+00      2.276434e-04   
     9.155759        1.983462e-04      0.000000e+00      0.000000e+00      1.983462e-04   
     9.466856        1.578427e-04      0.000000e+00      0.000000e+00      1.578427e-04   
     9.776695        1.172167e-04      0.000000e+00      0.000000e+00      1.172167e-04   
    10.084440        8.232577e-05      0.000000e+00      0.000000e+00      8.232577e-05   
    10.389261        5.517130e-05      0.000000e+00      0.000000e+00      5.517130e-05   
    10.690338        3.549448e-05      0.000000e+00      0.000000e+00      3.549448e-05   
    10.986857        2.201374e-05      0.000000e+00      0.000000e+00      2.201374e-05   
    11.278020        1.319816e-05      0.000000e+00      0.000000e+00      1.319816e-05   
    11.563042        7.661915e-06      0.000000e+00      0.000000e+00      7.661915e-06   
    11.841155        4.309767e-06      0.000000e+00      0.000000e+00      4.309767e-06   
    12.111608        2.348621e-06      0.000000e+00      0.000000e+00      2.348621e-06   
    12.373673        1.239563e-06      0.000000e+00      0.000000e+00      1.239563e-06   
    12.626644        6.342092e-07      0.000000e+00      0.000000e+00      6.342092e-07   
    12.869837        3.166699e-07      0.000000e+00      0.000000e+00      3.166699e-07   
    13.102598        1.579673e-07      0.000000e+00      0.000000e+00      1.579673e-07   
    13.324299        8.362245e-08      0.000000e+00      0.000000e+00      8.362245e-08   
    13.534343        5.208639e-08      0.000000e+00      0.000000e+00      5.208639e-08   
    13.732162        4.099869e-08      0.000000e+00      0.000000e+00      4.099869e-08   
    13.917225        3.881723e-08      0.000000e+00      0.000000e+00      3.881723e-08   
    14.089032        3.990156e-08      0.000000e+00      0.000000e+00      3.990156e-08   
    14.247120        4.169911e-08      0.000000e+00      0.000000e+00      4.169911e-08   
    14.391062        4.319697e-08      0.000000e+00      0.000000e+00      4.319697e-08   
    14.520471        4.411149e-08      0.000000e+00      0.000000e+00      4.411149e-08   
    14.634998        4.447613e-08      0.000000e+00      0.000000e+00      4.447613e-08   
    14.734334        4.443608e-08      0.000000e+00      0.000000e+00      4.443608e-08   
    14.818211        4.415239e-08      0.000000e+00      0.000000e+00      4.415239e-08   
    14.886403        4.376397e-08      0.000000e+00      0.000000e+00      4.376397e-08   
    14.938727        4.337652e-08      0.000000e+00      0.000000e+00      4.337652e-08   
    14.975043        4.306089e-08      0.000000e+00      0.000000e+00      4.306089e-08   
    14.995261        4.288840e-08      0.000000e+00      0.000000e+00      4.288840e-08   
