#        q              total               1              \delta U         \delta U^2    

     0.001185        6.742430e+07      6.742779e+07     -3.900569e+03      4.055608e+02   
     0.006239        2.103084e+07      2.103267e+07     -1.954514e+03      1.205457e+02   
     0.015318        9.547578e+06      9.548804e+06     -1.275471e+03      4.972475e+01   
     0.028399        6.498059e+06      6.499064e+06     -1.035111e+03      3.001351e+01   
     0.045447        3.624227e+06      3.624970e+06     -7.652946e+02      2.319664e+01   
     0.066417        2.090818e+06      2.091374e+06     -5.769569e+02      2.075318e+01   
     0.091251        1.405853e+06      1.406303e+06     -4.695735e+02      1.977053e+01   
     0.119882        1.025025e+06      1.025403e+06     -3.972003e+02      1.915391e+01   
     0.152235        7.343430e+05      7.346564e+05     -3.319405e+02      1.853460e+01   
     0.188220        5.158632e+05      5.161189e+05     -2.734594e+02      1.778581e+01   
     0.227742        3.544653e+05      3.546700e+05     -2.215606e+02      1.685714e+01   
     0.270694        2.722589e+05      2.724317e+05     -1.885178e+02      1.573054e+01   
     0.316959        2.065943e+05      2.067381e+05     -1.581899e+02      1.441186e+01   
     0.366414        1.546944e+05      1.548121e+05     -1.306921e+02      1.293052e+01   
     0.418925        1.141470e+05      1.142418e+05     -1.061312e+02      1.134179e+01   
     0.474351        9.747095e+04      9.755295e+04     -9.172493e+01      9.726413e+00   
     0.532541        7.014719e+04      7.021098e+04     -7.197134e+01      8.188966e+00   
     0.593339        5.909432e+04      5.914790e+04     -6.042457e+01      6.849349e+00   
     0.656582        4.129355e+04      4.133346e+04     -4.574069e+01      5.829789e+00   
     0.722098        3.423289e+04      3.426507e+04     -3.741617e+01      5.234958e+00   
     0.789711        2.309241e+04      2.311478e+04     -2.749402e+01      5.128140e+00   
     0.859239        1.515314e+04      1.516758e+04     -1.994542e+01      5.507168e+00   
     0.930495        1.213451e+04      1.214432e+04     -1.609516e+01      6.286138e+00   
     1.003286        7.578697e+03      7.583014e+03     -1.161092e+01      7.293185e+00   
     1.077416        4.548513e+03      4.548553e+03     -8.330914e+00      8.290728e+00   
     1.152685        2.604547e+03      2.601438e+03     -5.911756e+00      9.020546e+00   
     1.228890        1.012090e+03      1.006297e+03     -3.472975e+00      9.265705e+00   
     1.305826        3.324220e+02      3.253732e+02     -1.861853e+00      8.910597e+00   
     1.383286        2.076996e+01      1.314347e+01     -3.492562e-01      7.975748e+00   
     1.461060        6.610615e+00      0.000000e+00      0.000000e+00      6.610615e+00   
     1.538940        5.044784e+00      0.000000e+00      0.000000e+00      5.044784e+00   
     1.616714        3.517177e+00      0.000000e+00      0.000000e+00      3.517177e+00   
     1.694174        2.212432e+00      0.000000e+00      0.000000e+00      2.212432e+00   
     1.771110        1.227268e+00      0.000000e+00      0.000000e+00      1.227268e+00   
     1.847315        5.724462e-01      0.000000e+00      0.000000e+00      5.724462e-01   
     1.922584        1.993681e-01      0.000000e+00      0.000000e+00      1.993681e-01   
     1.996714        3.359231e-02      0.000000e+00      0.000000e+00      3.359231e-02   
     2.069505        1.330465e-03      0.000000e+00      0.000000e+00      1.330465e-03   
     2.140761        4.356398e-02      0.000000e+00      0.000000e+00      4.356398e-02   
     2.210289        1.195370e-01      0.000000e+00      0.000000e+00      1.195370e-01   
     2.277902        2.042445e-01      0.000000e+00      0.000000e+00      2.042445e-01   
     2.343418        2.839975e-01      0.000000e+00      0.000000e+00      2.839975e-01   
     2.406661        3.523480e-01      0.000000e+00      0.000000e+00      3.523480e-01   
     2.467459        4.071168e-01      0.000000e+00      0.000000e+00      4.071168e-01   
     2.525649        4.484725e-01      0.000000e+00      0.000000e+00      4.484725e-01   
     2.581075        4.777654e-01      0.000000e+00      0.000000e+00      4.777654e-01   
     2.633586        4.968451e-01      0.000000e+00      0.000000e+00      4.968451e-01   
     2.683041        5.076711e-01      0.000000e+00      0.000000e+00      5.076711e-01   
     2.729306        5.121033e-01      0.000000e+00      0.000000e+00      5.121033e-01   
     2.772258        5.117985e-01      0.000000e+00      0.000000e+00      5.117985e-01   
     2.811780        5.081723e-01      0.000000e+00      0.000000e+00      5.081723e-01   
     2.847765        5.023976e-01      0.000000e+00      0.000000e+00      5.023976e-01   
     2.880118        4.954228e-01      0.000000e+00      0.000000e+00      4.954228e-01   
     2.908749        4.879993e-01      0.000000e+00      0.000000e+00      4.879993e-01   
     2.933583        4.807111e-01      0.000000e+00      0.000000e+00      4.807111e-01   
     2.954553        4.740044e-01      0.000000e+00      0.000000e+00      4.740044e-01   
     2.971601        4.682126e-01      0.000000e+00      0.000000e+00      4.682126e-01   
     2.984682        4.635784e-01      0.000000e+00      0.000000e+00      4.635784e-01   
     2.993761        4.602711e-01      0.000000e+00      0.000000e+00      4.602711e-01   
     2.998815        4.583991e-01      0.000000e+00      0.000000e+00      4.583991e-01   
     3.004739        4.561779e-01      0.000000e+00      0.000000e+00      4.561779e-01   
     3.024957        4.483898e-01      0.000000e+00      0.000000e+00      4.483898e-01   
     3.061273        4.336845e-01      0.000000e+00      0.000000e+00      4.336845e-01   
     3.113597        4.112152e-01      0.000000e+00      0.000000e+00      4.112152e-01   
     3.181789        3.804299e-01      0.000000e+00      0.000000e+00      3.804299e-01   
     3.265666        3.415570e-01      0.000000e+00      0.000000e+00      3.415570e-01   
     3.365002        2.959283e-01      0.000000e+00      0.000000e+00      2.959283e-01   
     3.479529        2.460024e-01      0.000000e+00      0.000000e+00      2.460024e-01   
     3.608938        1.950490e-01      0.000000e+00      0.000000e+00      1.950490e-01   
     3.752880        1.465722e-01      0.000000e+00      0.000000e+00      1.465722e-01   
     3.910968        1.036489e-01      0.000000e+00      0.000000e+00      1.036489e-01   
     4.082775        6.838174e-02      0.000000e+00      0.000000e+00      6.838174e-02   
     4.267838        4.162114e-02      0.000000e+00      0.000000e+00      4.162114e-02   
     4.465657        2.300708e-02      0.000000e+00      0.000000e+00      2.300708e-02   
     4.675701        1.127627e-02      0.000000e+00      0.000000e+00      1.127627e-02   
     4.897402        4.705165e-03      0.000000e+00      0.000000e+00      4.705165e-03   
     5.130163        1.543411e-03      0.000000e+00      0.000000e+00      1.543411e-03   
     5.373356        3.270547e-04      0.000000e+00      0.000000e+00      3.270547e-04   
     5.626327        2.474755e-05      0.000000e+00      0.000000e+00      2.474755e-05   
     5.888392        3.306738e-05      0.000000e+00      0.000000e+00      3.306738e-05   
     6.158845        7.688020e-05      0.000000e+00      0.000000e+00      7.688020e-05   
     6.436958        7.947164e-05      0.000000e+00      0.000000e+00      7.947164e-05   
     6.721980        5.142316e-05      0.000000e+00      0.000000e+00      5.142316e-05   
     7.013143        2.076579e-05      0.000000e+00      0.000000e+00      2.076579e-05   
     7.309662        3.444210e-06      0.000000e+00      0.000000e+00      3.444210e-06   
     7.610739        2.074705e-07      0.000000e+00      0.000000e+00      2.074705e-07   
     7.915560        4.213298e-06      0.000000e+00      0.000000e+00      4.213298e-06   
     8.223305        8.641000e-06      0.000000e+00      0.000000e+00      8.641000e-06   
     8.533144        1.017004e-05      0.000000e+00      0.000000e+00      1.017004e-05   
     8.844241        8.775955e-06      0.000000e+00      0.000000e+00      8.775955e-06   
     9.155759        5.971629e-06      0.000000e+00      0.000000e+00      5.971629e-06   
     9.466856        3.242878e-06      0.000000e+00      0.000000e+00      3.242878e-06   
     9.776695        1.353877e-06      0.000000e+00      0.000000e+00      1.353877e-06   
    10.084440        3.798532e-07      0.000000e+00      0.000000e+00      3.798532e-07   
    10.389261        4.171094e-08      0.000000e+00      0.000000e+00      4.171094e-08   
    10.690338        1.168289e-08      0.000000e+00      0.000000e+00      1.168289e-08   
    10.986857        6.532483e-08      0.000000e+00      0.000000e+00      6.532483e-08   
    11.278020        1.014905e-07      0.000000e+00      0.000000e+00      1.014905e-07   
    11.563042        1.006031e-07      0.000000e+00      0.000000e+00      1.006031e-07   
    11.841155        7.684963e-08      0.000000e+00      0.000000e+00      7.684963e-08   
    12.111608        4.821267e-08      0.000000e+00      0.000000e+00      4.821267e-08   
    12.373673        2.524982e-08      0.000000e+00      0.000000e+00      2.524982e-08   
    12.626644        1.083405e-08      0.000000e+00      0.000000e+00      1.083405e-08   
    12.869837        3.540838e-09      0.000000e+00      0.000000e+00      3.540838e-09   
    13.102598        7.091869e-10      0.000000e+00      0.000000e+00      7.091869e-10   
    13.324299        7.152812e-11      0.000000e+00      0.000000e+00      7.152812e-11   
    13.534343        2.191110e-10      0.000000e+00      0.000000e+00      2.191110e-10   
    13.732162        4.758197e-10      0.000000e+00      0.000000e+00      4.758197e-10   
    13.917225        6.142210e-10      0.000000e+00      0.000000e+00      6.142210e-10   
    14.089032        6.175703e-10      0.000000e+00      0.000000e+00      6.175703e-10   
    14.247120        5.364572e-10      0.000000e+00      0.000000e+00      5.364572e-10   
    14.391062        4.232872e-10      0.000000e+00      0.000000e+00      4.232872e-10   
    14.520471        3.123586e-10      0.000000e+00      0.000000e+00      3.123586e-10   
    14.634998        2.199783e-10      0.000000e+00      0.000000e+00      2.199783e-10   
    14.734334        1.503928e-10      0.000000e+00      0.000000e+00      1.503928e-10   
    14.818211        1.015884e-10      0.000000e+00      0.000000e+00      1.015884e-10   
    14.886403        6.926136e-11      0.000000e+00      0.000000e+00      6.926136e-11   
    14.938727        4.899363e-11      0.000000e+00      0.000000e+00      4.899363e-11   
    14.975043        3.720637e-11      0.000000e+00      0.000000e+00      3.720637e-11   
    14.995261        3.599314e-11      0.000000e+00      0.000000e+00      3.599314e-11   
