#        q              total               1              \delta U         \delta U^2    

     0.001185        5.799377e+06      1.161273e+04     -1.105221e+06      6.892985e+06   
     0.006239        4.516648e+06      6.485780e+03     -9.394996e+05      5.449662e+06   
     0.015318        2.898908e+06      4.370081e+03     -7.653715e+05      3.659909e+06   
     0.028399       -6.212099e+05      3.605292e+03     -6.248165e+05      1.361900e+00   
     0.045447       -4.674578e+05      2.692571e+03     -4.701517e+05      1.361294e+00   
     0.066417       -3.605376e+05      2.045177e+03     -3.625842e+05      1.360198e+00   
     0.091251       -2.956608e+05      1.677083e+03     -2.973392e+05      1.358381e+00   
     0.119882       -2.474637e+05      1.432064e+03     -2.488971e+05      1.355666e+00   
     0.152235       -2.104062e+05      1.212152e+03     -2.116197e+05      1.351872e+00   
     0.188220       -1.774742e+05      1.015991e+03     -1.784915e+05      1.346973e+00   
     0.227742       -1.522045e+05      8.422233e+02     -1.530480e+05      1.341026e+00   
     0.270694       -1.286451e+05      7.381486e+02     -1.293846e+05      1.334325e+00   
     0.316959       -1.160918e+05      6.430212e+02     -1.167362e+05      1.327457e+00   
     0.366414       -1.038473e+05      5.564389e+02     -1.044051e+05      1.321372e+00   
     0.418925       -8.722331e+04      4.779996e+02     -8.770262e+04      1.317392e+00   
     0.474351       -7.629249e+04      4.417079e+02     -7.673551e+04      1.317263e+00   
     0.532541       -6.597453e+04      3.747292e+02     -6.635059e+04      1.322929e+00   
     0.593339       -6.540750e+04      3.439416e+02     -6.575278e+04      1.336685e+00   
     0.656582       -6.303089e+04      2.875186e+02     -6.331977e+04      1.360698e+00   
     0.722098       -6.026655e+04      2.617826e+02     -6.052973e+04      1.396948e+00   
     0.789711       -5.477315e+04      2.150106e+02     -5.498961e+04      1.446562e+00   
     0.859239       -4.629592e+04      1.741699e+02     -4.647160e+04      1.510286e+00   
     0.930495       -4.155363e+04      1.558481e+02     -4.171107e+04      1.587367e+00   
     1.003286       -3.172966e+04      1.231504e+02     -3.185448e+04      1.675492e+00   
     1.077416       -2.234389e+04      9.537875e+01     -2.244104e+04      1.770744e+00   
     1.152685       -1.405785e+04      7.213097e+01     -1.413185e+04      1.868774e+00   
     1.228890       -5.823867e+03      4.486194e+01     -5.870692e+03      1.963476e+00   
     1.305826       -1.303506e+03      2.550973e+01     -1.331064e+03      2.048100e+00   
     1.383286       -1.727176e+02      5.127079e+00     -1.799613e+02      2.116547e+00   
     1.461060        2.163992e+00      0.000000e+00      0.000000e+00      2.163992e+00   
     1.538940        2.186348e+00      0.000000e+00      0.000000e+00      2.186348e+00   
     1.616714        2.181597e+00      0.000000e+00      0.000000e+00      2.181597e+00   
     1.694174        2.149612e+00      0.000000e+00      0.000000e+00      2.149612e+00   
     1.771110        2.091947e+00      0.000000e+00      0.000000e+00      2.091947e+00   
     1.847315        2.011521e+00      0.000000e+00      0.000000e+00      2.011521e+00   
     1.922584        1.912872e+00      0.000000e+00      0.000000e+00      1.912872e+00   
     1.996714        1.801422e+00      0.000000e+00      0.000000e+00      1.801422e+00   
     2.069505        1.682364e+00      0.000000e+00      0.000000e+00      1.682364e+00   
     2.140761        1.560450e+00      0.000000e+00      0.000000e+00      1.560450e+00   
     2.210289        1.439750e+00      0.000000e+00      0.000000e+00      1.439750e+00   
     2.277902        1.323498e+00      0.000000e+00      0.000000e+00      1.323498e+00   
     2.343418        1.214067e+00      0.000000e+00      0.000000e+00      1.214067e+00   
     2.406661        1.113119e+00      0.000000e+00      0.000000e+00      1.113119e+00   
     2.467459        1.021383e+00      0.000000e+00      0.000000e+00      1.021383e+00   
     2.525649        9.389791e-01      0.000000e+00      0.000000e+00      9.389791e-01   
     2.581075        8.656663e-01      0.000000e+00      0.000000e+00      8.656663e-01   
     2.633586        8.009463e-01      0.000000e+00      0.000000e+00      8.009463e-01   
     2.683041        7.442392e-01      0.000000e+00      0.000000e+00      7.442392e-01   
     2.729306        6.947926e-01      0.000000e+00      0.000000e+00      6.947926e-01   
     2.772258        6.518630e-01      0.000000e+00      0.000000e+00      6.518630e-01   
     2.811780        6.147845e-01      0.000000e+00      0.000000e+00      6.147845e-01   
     2.847765        5.829708e-01      0.000000e+00      0.000000e+00      5.829708e-01   
     2.880118        5.558489e-01      0.000000e+00      0.000000e+00      5.558489e-01   
     2.908749        5.329801e-01      0.000000e+00      0.000000e+00      5.329801e-01   
     2.933583        5.139567e-01      0.000000e+00      0.000000e+00      5.139567e-01   
     2.954553        4.984666e-01      0.000000e+00      0.000000e+00      4.984666e-01   
     2.971601        4.862393e-01      0.000000e+00      0.000000e+00      4.862393e-01   
     2.984682        4.770781e-01      0.000000e+00      0.000000e+00      4.770781e-01   
     2.993761        4.708302e-01      0.000000e+00      0.000000e+00      4.708302e-01   
     2.998815        4.673890e-01      0.000000e+00      0.000000e+00      4.673890e-01   
     3.004739        4.633895e-01      0.000000e+00      0.000000e+00      4.633895e-01   
     3.024957        4.500132e-01      0.000000e+00      0.000000e+00      4.500132e-01   
     3.061273        4.270090e-01      0.000000e+00      0.000000e+00      4.270090e-01   
     3.113597        3.960254e-01      0.000000e+00      0.000000e+00      3.960254e-01   
     3.181789        3.591329e-01      0.000000e+00      0.000000e+00      3.591329e-01   
     3.265666        3.185507e-01      0.000000e+00      0.000000e+00      3.185507e-01   
     3.365002        2.763875e-01      0.000000e+00      0.000000e+00      2.763875e-01   
     3.479529        2.344896e-01      0.000000e+00      0.000000e+00      2.344896e-01   
     3.608938        1.943864e-01      0.000000e+00      0.000000e+00      1.943864e-01   
     3.752880        1.572805e-01      0.000000e+00      0.000000e+00      1.572805e-01   
     3.910968        1.240392e-01      0.000000e+00      0.000000e+00      1.240392e-01   
     4.082775        9.519891e-02      0.000000e+00      0.000000e+00      9.519891e-02   
     4.267838        7.098295e-02      0.000000e+00      0.000000e+00      7.098295e-02   
     4.465657        5.132581e-02      0.000000e+00      0.000000e+00      5.132581e-02   
     4.675701        3.591832e-02      0.000000e+00      0.000000e+00      3.591832e-02   
     4.897402        2.427197e-02      0.000000e+00      0.000000e+00      2.427197e-02   
     5.130163        1.579554e-02      0.000000e+00      0.000000e+00      1.579554e-02   
     5.373356        9.866342e-03      0.000000e+00      0.000000e+00      9.866342e-03   
     5.626327        5.891072e-03      0.000000e+00      0.000000e+00      5.891072e-03   
     5.888392        3.345062e-03      0.000000e+00      0.000000e+00      3.345062e-03   
     6.158845        1.794770e-03      0.000000e+00      0.000000e+00      1.794770e-03   
     6.436958        9.031579e-04      0.000000e+00      0.000000e+00      9.031579e-04   
     6.721980        4.234580e-04      0.000000e+00      0.000000e+00      4.234580e-04   
     7.013143        1.855542e-04      0.000000e+00      0.000000e+00      1.855542e-04   
     7.309662        7.932228e-05      0.000000e+00      0.000000e+00      7.932228e-05   
     7.610739        3.832707e-05      0.000000e+00      0.000000e+00      3.832707e-05   
     7.915560        2.562475e-05      0.000000e+00      0.000000e+00      2.562475e-05   
     8.223305        2.269938e-05      0.000000e+00      0.000000e+00      2.269938e-05   
     8.533144        2.157413e-05      0.000000e+00      0.000000e+00      2.157413e-05   
     8.844241        1.966883e-05      0.000000e+00      0.000000e+00      1.966883e-05   
     9.155759        1.675892e-05      0.000000e+00      0.000000e+00      1.675892e-05   
     9.466856        1.337253e-05      0.000000e+00      0.000000e+00      1.337253e-05   
     9.776695        1.007183e-05      0.000000e+00      0.000000e+00      1.007183e-05   
    10.084440        7.216758e-06      0.000000e+00      0.000000e+00      7.216758e-06   
    10.389261        4.951972e-06      0.000000e+00      0.000000e+00      4.951972e-06   
    10.690338        3.271263e-06      0.000000e+00      0.000000e+00      3.271263e-06   
    10.986857        2.089185e-06      0.000000e+00      0.000000e+00      2.089185e-06   
    11.278020        1.294241e-06      0.000000e+00      0.000000e+00      1.294241e-06   
    11.563042        7.797970e-07      0.000000e+00      0.000000e+00      7.797970e-07   
    11.841155        4.579600e-07      0.000000e+00      0.000000e+00      4.579600e-07   
    12.111608        2.626737e-07      0.000000e+00      0.000000e+00      2.626737e-07   
    12.373673        1.474720e-07      0.000000e+00      0.000000e+00      1.474720e-07   
    12.626644        8.131701e-08      0.000000e+00      0.000000e+00      8.131701e-08   
    12.869837        4.431651e-08      0.000000e+00      0.000000e+00      4.431651e-08   
    13.102598        2.417027e-08      0.000000e+00      0.000000e+00      2.417027e-08   
    13.324299        1.350897e-08      0.000000e+00      0.000000e+00      1.350897e-08   
    13.534343        8.039835e-09      0.000000e+00      0.000000e+00      8.039835e-09   
    13.732162        5.330818e-09      0.000000e+00      0.000000e+00      5.330818e-09   
    13.917225        4.040310e-09      0.000000e+00      0.000000e+00      4.040310e-09   
    14.089032        3.449216e-09      0.000000e+00      0.000000e+00      3.449216e-09   
    14.247120        3.186125e-09      0.000000e+00      0.000000e+00      3.186125e-09   
    14.391062        3.068132e-09      0.000000e+00      0.000000e+00      3.068132e-09   
    14.520471        3.010063e-09      0.000000e+00      0.000000e+00      3.010063e-09   
    14.634998        2.975894e-09      0.000000e+00      0.000000e+00      2.975894e-09   
    14.734334        2.952727e-09      0.000000e+00      0.000000e+00      2.952727e-09   
    14.818211        2.935613e-09      0.000000e+00      0.000000e+00      2.935613e-09   
    14.886403        2.921754e-09      0.000000e+00      0.000000e+00      2.921754e-09   
    14.938727        2.910029e-09      0.000000e+00      0.000000e+00      2.910029e-09   
    14.975043        2.901255e-09      0.000000e+00      0.000000e+00      2.901255e-09   
    14.995261        2.897931e-09      0.000000e+00      0.000000e+00      2.897931e-09   
