#        q              total               1              \delta U         \delta U^2    

     0.001185        2.023915e+04      2.038353e+04     -1.551430e+02      1.076317e+01   
     0.006239        1.415145e+04      1.429601e+04     -1.553166e+02      1.076301e+01   
     0.015318        9.974927e+03      1.011947e+04     -1.553074e+02      1.076224e+01   
     0.028399        5.662222e+03      5.806769e+03     -1.553070e+02      1.076003e+01   
     0.045447        4.559425e+03      4.703970e+03     -1.552992e+02      1.075494e+01   
     0.066417        3.755069e+03      3.899470e+03     -1.551475e+02      1.074582e+01   
     0.091251        3.182026e+03      3.326293e+03     -1.549980e+02      1.073074e+01   
     0.119882        2.668267e+03      2.812228e+03     -1.546694e+02      1.070796e+01   
     0.152235        2.320009e+03      2.463536e+03     -1.542031e+02      1.067571e+01   
     0.188220        2.002015e+03      2.144929e+03     -1.535465e+02      1.063267e+01   
     0.227742        1.806419e+03      1.948567e+03     -1.527250e+02      1.057791e+01   
     0.270694        1.623475e+03      1.764570e+03     -1.516060e+02      1.051169e+01   
     0.316959        1.452832e+03      1.592536e+03     -1.501391e+02      1.043521e+01   
     0.366414        1.294221e+03      1.432064e+03     -1.481949e+02      1.035197e+01   
     0.418925        1.147406e+03      1.282750e+03     -1.456110e+02      1.026669e+01   
     0.474351        1.012132e+03      1.144193e+03     -1.422479e+02      1.018647e+01   
     0.532541        9.495170e+02      1.078823e+03     -1.394248e+02      1.011889e+01   
     0.593339        8.312208e+02      9.556474e+02     -1.345001e+02      1.007358e+01   
     0.656582        7.771822e+02      8.977415e+02     -1.306190e+02      1.005972e+01   
     0.722098        6.752817e+02      7.890424e+02     -1.238461e+02      1.008536e+01   
     0.789711        5.837874e+02      6.894916e+02     -1.158577e+02      1.015343e+01   
     0.859239        5.430166e+02      6.430212e+02     -1.102722e+02      1.026762e+01   
     0.930495        4.662200e+02      5.564389e+02     -1.006413e+02      1.042236e+01   
     1.003286        3.983897e+02      4.779996e+02     -9.021483e+01      1.060495e+01   
     1.077416        3.387705e+02      4.073012e+02     -7.932451e+01      1.079383e+01   
     1.152685        2.620040e+02      3.148881e+02     -6.385488e+01      1.097075e+01   
     1.228890        1.996315e+02      2.376301e+02     -4.910510e+01      1.110650e+01   
     1.305826        9.671522e+01      1.086740e+02     -2.312894e+01      1.117019e+01   
     1.383286        1.662397e+01      7.162831e+00     -1.678632e+00      1.113977e+01   
     1.461060        1.100096e+01      0.000000e+00      0.000000e+00      1.100096e+01   
     1.538940        1.074421e+01      0.000000e+00      0.000000e+00      1.074421e+01   
     1.616714        1.037147e+01      0.000000e+00      0.000000e+00      1.037147e+01   
     1.694174        9.892676e+00      0.000000e+00      0.000000e+00      9.892676e+00   
     1.771110        9.324599e+00      0.000000e+00      0.000000e+00      9.324599e+00   
     1.847315        8.691190e+00      0.000000e+00      0.000000e+00      8.691190e+00   
     1.922584        8.021917e+00      0.000000e+00      0.000000e+00      8.021917e+00   
     1.996714        7.343711e+00      0.000000e+00      0.000000e+00      7.343711e+00   
     2.069505        6.679314e+00      0.000000e+00      0.000000e+00      6.679314e+00   
     2.140761        6.047205e+00      0.000000e+00      0.000000e+00      6.047205e+00   
     2.210289        5.460901e+00      0.000000e+00      0.000000e+00      5.460901e+00   
     2.277902        4.928722e+00      0.000000e+00      0.000000e+00      4.928722e+00   
     2.343418        4.454155e+00      0.000000e+00      0.000000e+00      4.454155e+00   
     2.406661        4.037436e+00      0.000000e+00      0.000000e+00      4.037436e+00   
     2.467459        3.674890e+00      0.000000e+00      0.000000e+00      3.674890e+00   
     2.525649        3.361361e+00      0.000000e+00      0.000000e+00      3.361361e+00   
     2.581075        3.091428e+00      0.000000e+00      0.000000e+00      3.091428e+00   
     2.633586        2.859567e+00      0.000000e+00      0.000000e+00      2.859567e+00   
     2.683041        2.660858e+00      0.000000e+00      0.000000e+00      2.660858e+00   
     2.729306        2.490535e+00      0.000000e+00      0.000000e+00      2.490535e+00   
     2.772258        2.344547e+00      0.000000e+00      0.000000e+00      2.344547e+00   
     2.811780        2.219611e+00      0.000000e+00      0.000000e+00      2.219611e+00   
     2.847765        2.113056e+00      0.000000e+00      0.000000e+00      2.113056e+00   
     2.880118        2.022551e+00      0.000000e+00      0.000000e+00      2.022551e+00   
     2.908749        1.946377e+00      0.000000e+00      0.000000e+00      1.946377e+00   
     2.933583        1.883053e+00      0.000000e+00      0.000000e+00      1.883053e+00   
     2.954553        1.831485e+00      0.000000e+00      0.000000e+00      1.831485e+00   
     2.971601        1.790760e+00      0.000000e+00      0.000000e+00      1.790760e+00   
     2.984682        1.760219e+00      0.000000e+00      0.000000e+00      1.760219e+00   
     2.993761        1.739381e+00      0.000000e+00      0.000000e+00      1.739381e+00   
     2.998815        1.727896e+00      0.000000e+00      0.000000e+00      1.727896e+00   
     3.004739        1.714544e+00      0.000000e+00      0.000000e+00      1.714544e+00   
     3.024957        1.669838e+00      0.000000e+00      0.000000e+00      1.669838e+00   
     3.061273        1.592734e+00      0.000000e+00      0.000000e+00      1.592734e+00   
     3.113597        1.488293e+00      0.000000e+00      0.000000e+00      1.488293e+00   
     3.181789        1.362765e+00      0.000000e+00      0.000000e+00      1.362765e+00   
     3.265666        1.222781e+00      0.000000e+00      0.000000e+00      1.222781e+00   
     3.365002        1.074742e+00      0.000000e+00      0.000000e+00      1.074742e+00   
     3.479529        9.245625e-01      0.000000e+00      0.000000e+00      9.245625e-01   
     3.608938        7.775689e-01      0.000000e+00      0.000000e+00      7.775689e-01   
     3.752880        6.384289e-01      0.000000e+00      0.000000e+00      6.384289e-01   
