#        q              total               1              \delta U         \delta U^2    

     0.001185        1.332545e+07      2.038353e+04     -2.576644e+06      1.588171e+07   
     0.006239        1.167399e+07      1.502589e+04     -2.386560e+06      1.404552e+07   
     0.015318        7.023143e+06      1.099897e+04     -1.795557e+06      8.807701e+06   
     0.028399       -1.144637e+06      7.069714e+03     -1.151712e+06      5.169353e+00   
     0.045447       -8.736311e+05      5.054446e+03     -8.786907e+05      5.167402e+00   
     0.066417       -7.308897e+05      4.209232e+03     -7.351041e+05      5.163896e+00   
     0.091251       -6.218010e+05      3.605292e+03     -6.254115e+05      5.158129e+00   
     0.119882       -5.295736e+05      3.062073e+03     -5.326409e+05      5.149470e+00   
     0.152235       -4.621560e+05      2.692571e+03     -4.648537e+05      5.137464e+00   
     0.188220       -3.941254e+05      2.247872e+03     -3.963784e+05      5.121918e+00   
     0.227742       -3.598859e+05      2.045177e+03     -3.619362e+05      5.103029e+00   
     0.270694       -3.110056e+05      1.764570e+03     -3.127753e+05      5.081836e+00   
     0.316959       -2.899575e+05      1.592536e+03     -2.915551e+05      5.060092e+00   
     0.366414       -2.704345e+05      1.432064e+03     -2.718716e+05      5.041028e+00   
     0.418925       -2.422731e+05      1.282750e+03     -2.435609e+05      5.028843e+00   
     0.474351       -2.217190e+05      1.212152e+03     -2.229362e+05      5.029298e+00   
     0.532541       -2.042489e+05      1.078823e+03     -2.053327e+05      5.048736e+00   
     0.593339       -2.012726e+05      9.556474e+02     -2.022333e+05      5.094743e+00   
     0.656582       -2.028218e+05      8.977415e+02     -2.037247e+05      5.174734e+00   
     0.722098       -1.943452e+05      7.890424e+02     -1.951395e+05      5.295645e+00   
     0.789711       -1.845277e+05      7.381486e+02     -1.852713e+05      5.461400e+00   
     0.859239       -1.709491e+05      6.430212e+02     -1.715978e+05      5.675641e+00   
     0.930495       -1.485155e+05      5.564389e+02     -1.490779e+05      5.936288e+00   
     1.003286       -1.229745e+05      4.779996e+02     -1.234587e+05      6.236825e+00   
     1.077416       -9.620057e+04      4.073012e+02     -9.661443e+04      6.564494e+00   
     1.152685       -6.266128e+04      3.148881e+02     -6.298307e+04      6.905834e+00   
     1.228890       -3.447079e+04      2.376301e+02     -3.471566e+04      7.240334e+00   
     1.305826       -3.720848e+03      6.207787e+01     -3.790471e+03      7.544194e+00   
     1.383286       -7.076383e+01      2.287079e+00     -8.084670e+01      7.795789e+00   
     1.461060        7.976999e+00      0.000000e+00      0.000000e+00      7.976999e+00   
     1.538940        8.071706e+00      0.000000e+00      0.000000e+00      8.071706e+00   
     1.616714        8.070706e+00      0.000000e+00      0.000000e+00      8.070706e+00   
     1.694174        7.971330e+00      0.000000e+00      0.000000e+00      7.971330e+00   
     1.771110        7.777041e+00      0.000000e+00      0.000000e+00      7.777041e+00   
     1.847315        7.496561e+00      0.000000e+00      0.000000e+00      7.496561e+00   
     1.922584        7.145348e+00      0.000000e+00      0.000000e+00      7.145348e+00   
     1.996714        6.742800e+00      0.000000e+00      0.000000e+00      6.742800e+00   
     2.069505        6.307950e+00      0.000000e+00      0.000000e+00      6.307950e+00   
     2.140761        5.858717e+00      0.000000e+00      0.000000e+00      5.858717e+00   
     2.210289        5.410834e+00      0.000000e+00      0.000000e+00      5.410834e+00   
     2.277902        4.977095e+00      0.000000e+00      0.000000e+00      4.977095e+00   
     2.343418        4.567134e+00      0.000000e+00      0.000000e+00      4.567134e+00   
     2.406661        4.187810e+00      0.000000e+00      0.000000e+00      4.187810e+00   
     2.467459        3.842413e+00      0.000000e+00      0.000000e+00      3.842413e+00   
     2.525649        3.531716e+00      0.000000e+00      0.000000e+00      3.531716e+00   
     2.581075        3.255116e+00      0.000000e+00      0.000000e+00      3.255116e+00   
     2.633586        3.010857e+00      0.000000e+00      0.000000e+00      3.010857e+00   
     2.683041        2.796854e+00      0.000000e+00      0.000000e+00      2.796854e+00   
     2.729306        2.610309e+00      0.000000e+00      0.000000e+00      2.610309e+00   
     2.772258        2.448411e+00      0.000000e+00      0.000000e+00      2.448411e+00   
     2.811780        2.308653e+00      0.000000e+00      0.000000e+00      2.308653e+00   
     2.847765        2.188791e+00      0.000000e+00      0.000000e+00      2.188791e+00   
     2.880118        2.086654e+00      0.000000e+00      0.000000e+00      2.086654e+00   
     2.908749        2.000558e+00      0.000000e+00      0.000000e+00      2.000558e+00   
     2.933583        1.928968e+00      0.000000e+00      0.000000e+00      1.928968e+00   
     2.954553        1.870689e+00      0.000000e+00      0.000000e+00      1.870689e+00   
     2.971601        1.824704e+00      0.000000e+00      0.000000e+00      1.824704e+00   
     2.984682        1.790246e+00      0.000000e+00      0.000000e+00      1.790246e+00   
     2.993761        1.766759e+00      0.000000e+00      0.000000e+00      1.766759e+00   
     2.998815        1.753820e+00      0.000000e+00      0.000000e+00      1.753820e+00   
     3.004739        1.738785e+00      0.000000e+00      0.000000e+00      1.738785e+00   
     3.024957        1.688503e+00      0.000000e+00      0.000000e+00      1.688503e+00   
     3.061273        1.602057e+00      0.000000e+00      0.000000e+00      1.602057e+00   
     3.113597        1.485666e+00      0.000000e+00      0.000000e+00      1.485666e+00   
     3.181789        1.347145e+00      0.000000e+00      0.000000e+00      1.347145e+00   
     3.265666        1.194842e+00      0.000000e+00      0.000000e+00      1.194842e+00   
     3.365002        1.036655e+00      0.000000e+00      0.000000e+00      1.036655e+00   
     3.479529        8.794994e-01      0.000000e+00      0.000000e+00      8.794994e-01   
     3.608938        7.290907e-01      0.000000e+00      0.000000e+00      7.290907e-01   
     3.752880        5.899327e-01      0.000000e+00      0.000000e+00      5.899327e-01   
     3.910968        4.652733e-01      0.000000e+00      0.000000e+00      4.652733e-01   
     4.082775        3.571187e-01      0.000000e+00      0.000000e+00      3.571187e-01   
     4.267838        2.662985e-01      0.000000e+00      0.000000e+00      2.662985e-01   
     4.465657        1.925736e-01      0.000000e+00      0.000000e+00      1.925736e-01   
     4.675701        1.347823e-01      0.000000e+00      0.000000e+00      1.347823e-01   
     4.897402        9.109717e-02      0.000000e+00      0.000000e+00      9.109717e-02   
     5.130163        5.929692e-02      0.000000e+00      0.000000e+00      5.929692e-02   
     5.373356        3.704969e-02      0.000000e+00      0.000000e+00      3.704969e-02   
     5.626327        2.213066e-02      0.000000e+00      0.000000e+00      2.213066e-02   
     5.888392        1.257294e-02      0.000000e+00      0.000000e+00      1.257294e-02   
     6.158845        6.750417e-03      0.000000e+00      0.000000e+00      6.750417e-03   
     6.436958        3.399956e-03      0.000000e+00      0.000000e+00      3.399956e-03   
     6.721980        1.596080e-03      0.000000e+00      0.000000e+00      1.596080e-03   
     7.013143        7.003908e-04      0.000000e+00      0.000000e+00      7.003908e-04   
     7.309662        2.997037e-04      0.000000e+00      0.000000e+00      2.997037e-04   
     7.610739        1.446188e-04      0.000000e+00      0.000000e+00      1.446188e-04   
     7.915560        9.626518e-05      0.000000e+00      0.000000e+00      9.626518e-05   
     8.223305        8.497302e-05      0.000000e+00      0.000000e+00      8.497302e-05   
     8.533144        8.065459e-05      0.000000e+00      0.000000e+00      8.065459e-05   
     8.844241        7.351896e-05      0.000000e+00      0.000000e+00      7.351896e-05   
     9.155759        6.265716e-05      0.000000e+00      0.000000e+00      6.265716e-05   
     9.466856        5.001467e-05      0.000000e+00      0.000000e+00      5.001467e-05   
     9.776695        3.768484e-05      0.000000e+00      0.000000e+00      3.768484e-05   
    10.084440        2.701324e-05      0.000000e+00      0.000000e+00      2.701324e-05   
