#        q              total               1              \delta U         \delta U^2    

     0.001185        2.027127e+04      2.038353e+04     -1.220592e+02      9.799550e+00   
     0.006239        1.491348e+04      1.502589e+04     -1.222067e+02      9.799516e+00   
     0.015318        1.088656e+04      1.099897e+04     -1.222106e+02      9.799368e+00   
     0.028399        6.957306e+03      7.069714e+03     -1.222069e+02      9.798932e+00   
     0.045447        4.942040e+03      5.054446e+03     -1.222035e+02      9.797734e+00   
     0.066417        4.096936e+03      4.209232e+03     -1.220910e+02      9.795744e+00   
     0.091251        3.493107e+03      3.605292e+03     -1.219770e+02      9.792482e+00   
     0.119882        2.950108e+03      3.062073e+03     -1.217520e+02      9.787712e+00   
     0.152235        2.580950e+03      2.692571e+03     -1.214029e+02      9.781443e+00   
     0.188220        2.136784e+03      2.247872e+03     -1.208628e+02      9.774049e+00   
     0.227742        1.934720e+03      2.045177e+03     -1.202233e+02      9.766256e+00   
     0.270694        1.655165e+03      1.764570e+03     -1.191644e+02      9.759846e+00   
     0.316959        1.484355e+03      1.592536e+03     -1.179383e+02      9.757140e+00   
     0.366414        1.325506e+03      1.432064e+03     -1.163203e+02      9.762370e+00   
     0.418925        1.178343e+03      1.282750e+03     -1.141877e+02      9.780246e+00   
     0.474351        1.109748e+03      1.212152e+03     -1.122215e+02      9.817114e+00   
     0.532541        9.797037e+02      1.078823e+03     -1.089981e+02      9.878881e+00   
     0.593339        8.606623e+02      9.556474e+02     -1.049575e+02      9.972504e+00   
     0.656582        8.061798e+02      8.977415e+02     -1.016651e+02      1.010339e+01   
     0.722098        7.031653e+02      7.890424e+02     -9.615197e+01      1.027482e+01   
     0.789711        6.566624e+02      7.381486e+02     -9.197048e+01      1.048423e+01   
     0.859239        5.687172e+02      6.430212e+02     -8.503326e+01      1.072923e+01   
     0.930495        4.901191e+02      5.564389e+02     -7.731771e+01      1.099794e+01   
     1.003286        4.202464e+02      4.779996e+02     -6.902465e+01      1.127147e+01   
     1.077416        3.584038e+02      4.073012e+02     -6.042031e+01      1.152291e+01   
     1.152685        2.781835e+02      3.148881e+02     -4.843439e+01      1.172979e+01   
     1.228890        2.124179e+02      2.376301e+02     -3.707246e+01      1.186032e+01   
     1.305826        6.375233e+01      6.207787e+01     -1.020875e+01      1.188321e+01   
     1.383286        1.364749e+01      2.287079e+00     -4.177949e-01      1.177820e+01   
     1.461060        1.153447e+01      0.000000e+00      0.000000e+00      1.153447e+01   
     1.538940        1.114817e+01      0.000000e+00      0.000000e+00      1.114817e+01   
     1.616714        1.062805e+01      0.000000e+00      0.000000e+00      1.062805e+01   
     1.694174        9.991411e+00      0.000000e+00      0.000000e+00      9.991411e+00   
     1.771110        9.262290e+00      0.000000e+00      0.000000e+00      9.262290e+00   
     1.847315        8.471572e+00      0.000000e+00      0.000000e+00      8.471572e+00   
     1.922584        7.654891e+00      0.000000e+00      0.000000e+00      7.654891e+00   
     1.996714        6.843547e+00      0.000000e+00      0.000000e+00      6.843547e+00   
     2.069505        6.062964e+00      0.000000e+00      0.000000e+00      6.062964e+00   
     2.140761        5.332899e+00      0.000000e+00      0.000000e+00      5.332899e+00   
     2.210289        4.666982e+00      0.000000e+00      0.000000e+00      4.666982e+00   
     2.277902        4.072703e+00      0.000000e+00      0.000000e+00      4.072703e+00   
     2.343418        3.552039e+00      0.000000e+00      0.000000e+00      3.552039e+00   
     2.406661        3.103451e+00      0.000000e+00      0.000000e+00      3.103451e+00   
     2.467459        2.721054e+00      0.000000e+00      0.000000e+00      2.721054e+00   
     2.525649        2.397478e+00      0.000000e+00      0.000000e+00      2.397478e+00   
     2.581075        2.125289e+00      0.000000e+00      0.000000e+00      2.125289e+00   
     2.633586        1.897145e+00      0.000000e+00      0.000000e+00      1.897145e+00   
     2.683041        1.706611e+00      0.000000e+00      0.000000e+00      1.706611e+00   
     2.729306        1.547524e+00      0.000000e+00      0.000000e+00      1.547524e+00   
     2.772258        1.414669e+00      0.000000e+00      0.000000e+00      1.414669e+00   
     2.811780        1.303844e+00      0.000000e+00      0.000000e+00      1.303844e+00   
     2.847765        1.211641e+00      0.000000e+00      0.000000e+00      1.211641e+00   
     2.880118        1.135095e+00      0.000000e+00      0.000000e+00      1.135095e+00   
     2.908749        1.072034e+00      0.000000e+00      0.000000e+00      1.072034e+00   
     2.933583        1.020583e+00      0.000000e+00      0.000000e+00      1.020583e+00   
     2.954553        9.793800e-01      0.000000e+00      0.000000e+00      9.793800e-01   
     2.971601        9.472802e-01      0.000000e+00      0.000000e+00      9.472802e-01   
     2.984682        9.234726e-01      0.000000e+00      0.000000e+00      9.234726e-01   
     2.993761        9.073671e-01      0.000000e+00      0.000000e+00      9.073671e-01   
     2.998815        8.985337e-01      0.000000e+00      0.000000e+00      8.985337e-01   
     3.004739        8.883053e-01      0.000000e+00      0.000000e+00      8.883053e-01   
     3.024957        8.543848e-01      0.000000e+00      0.000000e+00      8.543848e-01   
     3.061273        7.970950e-01      0.000000e+00      0.000000e+00      7.970950e-01   
     3.113597        7.219971e-01      0.000000e+00      0.000000e+00      7.219971e-01   
     3.181789        6.356717e-01      0.000000e+00      0.000000e+00      6.356717e-01   
     3.265666        5.446127e-01      0.000000e+00      0.000000e+00      5.446127e-01   
     3.365002        4.543802e-01      0.000000e+00      0.000000e+00      4.543802e-01   
     3.479529        3.692428e-01      0.000000e+00      0.000000e+00      3.692428e-01   
     3.608938        2.921587e-01      0.000000e+00      0.000000e+00      2.921587e-01   
     3.752880        2.249168e-01      0.000000e+00      0.000000e+00      2.249168e-01   
     3.910968        1.682794e-01      0.000000e+00      0.000000e+00      1.682794e-01   
     4.082775        1.221851e-01      0.000000e+00      0.000000e+00      1.221851e-01   
     4.267838        8.596493e-02      0.000000e+00      0.000000e+00      8.596493e-02   
     4.465657        5.852510e-02      0.000000e+00      0.000000e+00      5.852510e-02   
     4.675701        3.850752e-02      0.000000e+00      0.000000e+00      3.850752e-02   
     4.897402        2.446293e-02      0.000000e+00      0.000000e+00      2.446293e-02   
     5.130163        1.499332e-02      0.000000e+00      0.000000e+00      1.499332e-02   
     5.373356        8.863461e-03      0.000000e+00      0.000000e+00      8.863461e-03   
     5.626327        5.057244e-03      0.000000e+00      0.000000e+00      5.057244e-03   
     5.888392        2.791453e-03      0.000000e+00      0.000000e+00      2.791453e-03   
     6.158845        1.498538e-03      0.000000e+00      0.000000e+00      1.498538e-03   
     6.436958        7.909597e-04      0.000000e+00      0.000000e+00      7.909597e-04   
     6.721980        4.185195e-04      0.000000e+00      0.000000e+00      4.185195e-04   
     7.013143        2.285787e-04      0.000000e+00      0.000000e+00      2.285787e-04   
     7.309662        1.331886e-04      0.000000e+00      0.000000e+00      1.331886e-04   
     7.610739        8.453827e-05      0.000000e+00      0.000000e+00      8.453827e-05   
     7.915560        5.813849e-05      0.000000e+00      0.000000e+00      5.813849e-05   
     8.223305        4.221898e-05      0.000000e+00      0.000000e+00      4.221898e-05   
     8.533144        3.146136e-05      0.000000e+00      0.000000e+00      3.146136e-05   
     8.844241        2.357825e-05      0.000000e+00      0.000000e+00      2.357825e-05   
     9.155759        1.758650e-05      0.000000e+00      0.000000e+00      1.758650e-05   
     9.466856        1.301036e-05      0.000000e+00      0.000000e+00      1.301036e-05   
     9.776695        9.553447e-06      0.000000e+00      0.000000e+00      9.553447e-06   
    10.084440        6.983914e-06      0.000000e+00      0.000000e+00      6.983914e-06   
    10.389261        5.104058e-06      0.000000e+00      0.000000e+00      5.104058e-06   
    10.690338        3.746601e-06      0.000000e+00      0.000000e+00      3.746601e-06   
    10.986857        2.775366e-06      0.000000e+00      0.000000e+00      2.775366e-06   
    11.278020        2.084026e-06      0.000000e+00      0.000000e+00      2.084026e-06   
    11.563042        1.592486e-06      0.000000e+00      0.000000e+00      1.592486e-06   
    11.841155        1.242142e-06      0.000000e+00      0.000000e+00      1.242142e-06   
    12.111608        9.910214e-07      0.000000e+00      0.000000e+00      9.910214e-07   
    12.373673        8.095151e-07      0.000000e+00      0.000000e+00      8.095151e-07   
    12.626644        6.769476e-07      0.000000e+00      0.000000e+00      6.769476e-07   
    12.869837        5.789482e-07      0.000000e+00      0.000000e+00      5.789482e-07   
    13.102598        5.055451e-07      0.000000e+00      0.000000e+00      5.055451e-07   
    13.324299        4.497987e-07      0.000000e+00      0.000000e+00      4.497987e-07   
    13.534343        4.068691e-07      0.000000e+00      0.000000e+00      4.068691e-07   
    13.732162        3.733543e-07      0.000000e+00      0.000000e+00      3.733543e-07   
    13.917225        3.468560e-07      0.000000e+00      0.000000e+00      3.468560e-07   
    14.089032        3.256961e-07      0.000000e+00      0.000000e+00      3.256961e-07   
    14.247120        3.087363e-07      0.000000e+00      0.000000e+00      3.087363e-07   
    14.391062        2.952175e-07      0.000000e+00      0.000000e+00      2.952175e-07   
    14.520471        2.845387e-07      0.000000e+00      0.000000e+00      2.845387e-07   
    14.634998        2.762718e-07      0.000000e+00      0.000000e+00      2.762718e-07   
    14.734334        2.700809e-07      0.000000e+00      0.000000e+00      2.700809e-07   
    14.818211        2.655341e-07      0.000000e+00      0.000000e+00      2.655341e-07   
    14.886403        2.622098e-07      0.000000e+00      0.000000e+00      2.622098e-07   
    14.938727        2.598201e-07      0.000000e+00      0.000000e+00      2.598201e-07   
    14.975043        2.582529e-07      0.000000e+00      0.000000e+00      2.582529e-07   
    14.995261        2.575415e-07      0.000000e+00      0.000000e+00      2.575415e-07   
