#        q              total               1              \delta U         \delta U^2    

     0.001185        4.961121e+08      4.961130e+08     -1.084117e+03      2.302093e+02   
     0.006239        1.306797e+08      1.306801e+08     -4.271689e+02      5.438920e+01   
     0.015318        5.724866e+07      5.724891e+07     -2.603897e+02      1.630145e+01   
     0.028399        3.204791e+07      3.204809e+07     -1.875041e+02      5.405336e+00   
     0.045447        1.927831e+07      1.927845e+07     -1.428301e+02      1.721689e+00   
     0.066417        1.277360e+07      1.277371e+07     -1.153787e+02      5.328229e-01   
     0.091251        8.858719e+06      8.858815e+06     -9.578506e+01      1.728876e-01   
     0.119882        6.498982e+06      6.499064e+06     -8.191917e+01      6.364290e-02   
     0.152235        4.688075e+06      4.688144e+06     -6.950425e+01      2.872606e-02   
     0.188220        3.624909e+06      3.624970e+06     -6.105446e+01      1.648418e-02   
     0.227742        2.770742e+06      2.770795e+06     -5.331400e+01      1.175338e-02   
     0.270694        2.300311e+06      2.300359e+06     -4.850467e+01      9.710912e-03   
     0.316959        1.898412e+06      1.898456e+06     -4.398169e+01      8.719269e-03   
     0.366414        1.556813e+06      1.556853e+06     -3.973669e+01      8.162491e-03   
     0.418925        1.268050e+06      1.268086e+06     -3.576198e+01      7.794584e-03   
     0.474351        1.025371e+06      1.025403e+06     -3.205021e+01      7.498913e-03   
     0.532541        8.226952e+05      8.227238e+05     -2.859432e+01      7.249028e-03   
     0.593339        7.346295e+05      7.346564e+05     -2.689508e+01      7.012315e-03   
     0.656582        5.819056e+05      5.819294e+05     -2.380843e+01      6.781764e-03   
     0.722098        5.160966e+05      5.161189e+05     -2.228449e+01      6.561807e-03   
     0.789711        4.029504e+05      4.029699e+05     -1.955449e+01      6.358831e-03   
     0.859239        3.546518e+05      3.546700e+05     -1.820292e+01      6.174557e-03   
     0.930495        2.724159e+05      2.724317e+05     -1.581621e+01      6.019409e-03   
     1.003286        2.067245e+05      2.067381e+05     -1.364736e+01      5.904476e-03   
     1.077416        1.548004e+05      1.548121e+05     -1.168757e+01      5.837605e-03   
     1.152685        1.142319e+05      1.142418e+05     -9.927489e+00      5.830480e-03   
     1.228890        7.020329e+04      7.021098e+04     -7.688907e+00      5.893115e-03   
     1.305826        4.132764e+04      4.133346e+04     -5.823603e+00      6.037344e-03   
     1.383286        6.126206e+00      6.190216e+00     -7.029662e-02      6.286473e-03   
