#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.001762        4.547154e+08      4.547157e+08     -4.897037e+02      2.101546e+02   
     0.001185          0.009274        1.668079e+08      1.668080e+08     -3.155280e+02      1.895813e+02   
     0.001185          0.022740        7.642920e+07      7.642926e+07     -2.197427e+02      1.599804e+02   
     0.001185          0.042083        4.250711e+07      4.250714e+07     -1.654261e+02      1.321474e+02   
     0.001185          0.067187        2.645587e+07      2.645590e+07     -1.317726e+02      1.099036e+02   
     0.001185          0.097901        1.789925e+07      1.789927e+07     -1.084754e+02      9.250828e+01   
     0.001185          0.134040        1.277370e+07      1.277371e+07     -9.198426e+01      7.915518e+01   
     0.001185          0.175388        9.384169e+06      9.384178e+06     -7.815860e+01      6.859764e+01   
     0.001185          0.221694        7.032961e+06      7.032969e+06     -6.825341e+01      6.045162e+01   
     0.001185          0.272682        5.532106e+06      5.532113e+06     -6.053416e+01      5.366519e+01   
     0.001185          0.328043        4.308218e+06      4.308224e+06     -5.342003e+01      4.792953e+01   
     0.001185          0.387446        3.624964e+06      3.624970e+06     -4.900125e+01      4.308824e+01   
     0.001185          0.450533        3.034500e+06      3.034506e+06     -4.483312e+01      3.915305e+01   
     0.001185          0.516924        2.526460e+06      2.526465e+06     -4.090832e+01      3.588679e+01   
     0.001185          0.586221        2.091370e+06      2.091374e+06     -3.721953e+01      3.335987e+01   
     0.001185          0.658006        1.720598e+06      1.720601e+06     -3.375943e+01      3.063180e+01   
     0.001185          0.731848        1.556850e+06      1.556853e+06     -3.211285e+01      2.903839e+01   
     0.001185          0.807302        1.268084e+06      1.268086e+06     -2.898206e+01      2.680715e+01   
     0.001185          0.883916        1.141377e+06      1.141379e+06     -2.749603e+01      2.562012e+01   
     0.001185          0.961228        1.025401e+06      1.025403e+06     -2.606167e+01      2.439740e+01   
     0.001185          1.038772        9.194166e+05      9.194182e+05     -2.467809e+01      2.301404e+01   
     0.001185          1.116084        8.227224e+05      8.227238e+05     -2.334436e+01      2.200214e+01   
     0.001185          1.192698        7.346553e+05      7.346564e+05     -2.205957e+01      2.104074e+01   
     0.001185          1.268152        6.545883e+05      6.545890e+05     -2.082281e+01      2.015253e+01   
     0.001185          1.341994        5.819290e+05      5.819294e+05     -1.963316e+01      1.914542e+01   
     0.001185          1.413779        5.161185e+05      5.161189e+05     -1.848970e+01      1.809581e+01   
     0.001185          1.483076        4.566306e+05      4.566309e+05     -1.739153e+01      1.701963e+01   
     0.001185          1.549467        4.521827e+05      4.521836e+05     -1.722214e+01      1.623499e+01   
     0.001185          1.612554        4.029695e+05      4.029699e+05     -1.633772e+01      1.596056e+01   
     0.001185          1.671957        3.546697e+05      3.546700e+05     -1.532736e+01      1.497812e+01   
     0.001185          1.727318        3.287089e+05      3.287091e+05     -1.435953e+01      1.411653e+01   
     0.001185          1.778306        3.112934e+05      3.112940e+05     -1.435953e+01      1.383825e+01   
     0.001185          1.824612        2.724313e+05      2.724317e+05     -1.343333e+01      1.301537e+01   
     0.001185          1.865960        2.724310e+05      2.724317e+05     -1.343333e+01      1.275877e+01   
     0.001185          1.902099        2.376988e+05      2.376993e+05     -1.254784e+01      1.201272e+01   
     0.001185          1.932813        2.376986e+05      2.376993e+05     -1.254784e+01      1.182049e+01   
     0.001185          1.957917        2.376985e+05      2.376993e+05     -1.254784e+01      1.167530e+01   
     0.001185          1.977260        2.376980e+05      2.376993e+05     -1.254784e+01      1.115508e+01   
     0.001185          1.990726        2.067374e+05      2.067381e+05     -1.170214e+01      1.097362e+01   
     0.001185          1.998238        2.067373e+05      2.067381e+05     -1.170214e+01      1.091762e+01   
     0.006239          0.001762        1.304760e+08      1.304761e+08     -1.682730e+02      4.942910e+01   
     0.006239          0.009274        1.200143e+08      1.200144e+08     -1.451685e+02      4.455331e+01   
     0.006239          0.022740        7.279423e+07      7.279431e+07     -1.154554e+02      3.871040e+01   
     0.006239          0.042083        4.190847e+07      4.190853e+07     -9.159670e+01      3.317737e+01   
     0.006239          0.067187        2.632580e+07      2.632584e+07     -7.424833e+01      2.834166e+01   
     0.006239          0.097901        1.773474e+07      1.773478e+07     -6.172393e+01      2.440072e+01   
     0.006239          0.134040        1.258188e+07      1.258191e+07     -5.250557e+01      2.115285e+01   
     0.006239          0.175388        9.290391e+06      9.290418e+06     -4.529182e+01      1.851063e+01   
     0.006239          0.221694        7.049015e+06      7.049038e+06     -3.966323e+01      1.638819e+01   
     0.006239          0.272682        5.485878e+06      5.485898e+06     -3.516181e+01      1.463105e+01   
     0.006239          0.328043        4.392580e+06      4.392599e+06     -3.150476e+01      1.313689e+01   
     0.006239          0.387446        3.561490e+06      3.561507e+06     -2.839283e+01      1.190564e+01   
     0.006239          0.450533        2.935780e+06      2.935795e+06     -2.558049e+01      1.083927e+01   
     0.006239          0.516924        2.462494e+06      2.462508e+06     -2.351517e+01      9.985100e+00   
     0.006239          0.586221        2.091361e+06      2.091374e+06     -2.195043e+01      9.247618e+00   
     0.006239          0.658006        1.728696e+06      1.728707e+06     -1.990981e+01      8.571927e+00   
