#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.001762        2.420250e+08      2.420430e+08     -9.047362e+04      7.245072e+04   
     0.001185          0.009274        1.516018e+08      1.516112e+08     -7.304600e+04      6.363936e+04   
     0.001185          0.022740        9.430926e+07      9.431505e+07     -5.729816e+04      5.150910e+04   
     0.001185          0.042083        3.312407e+07      3.312476e+07     -2.536181e+04      2.467253e+04   
     0.001185          0.067187        1.974956e+07      1.975051e+07     -2.155757e+04      2.061203e+04   
     0.001185          0.097901        1.263814e+07      1.263904e+07     -1.886179e+04      1.796692e+04   
     0.001185          0.134040        9.267566e+06      9.268211e+06     -1.640427e+04      1.575968e+04   
     0.001185          0.175388        7.060509e+06      7.061037e+06     -1.435668e+04      1.382931e+04   
     0.001185          0.221694        5.504062e+06      5.504508e+06     -1.266945e+04      1.222431e+04   
     0.001185          0.272682        4.284605e+06      4.284860e+06     -1.111987e+04      1.086543e+04   
     0.001185          0.328043        3.454791e+06      3.455026e+06     -1.016040e+04      9.925803e+03   
     0.001185          0.387446        2.887534e+06      2.887686e+06     -9.257769e+03      9.105248e+03   
     0.001185          0.450533        2.293464e+06      2.293520e+06     -8.410247e+03      8.354286e+03   
     0.001185          0.516924        1.892535e+06      1.892438e+06     -7.616095e+03      7.713303e+03   
     0.001185          0.586221        1.715009e+06      1.714965e+06     -7.238490e+03      7.282461e+03   
     0.001185          0.658006        1.477151e+06      1.477115e+06     -6.873577e+03      6.909129e+03   
     0.001185          0.731848        1.234814e+06      1.234593e+06     -6.180958e+03      6.401546e+03   
     0.001185          0.807302        1.080072e+06      1.079769e+06     -5.852818e+03      6.156012e+03   
     0.001185          0.883916        9.694073e+05      9.690406e+05     -5.536503e+03      5.903218e+03   
     0.001185          0.961228        8.683815e+05      8.679395e+05     -5.231794e+03      5.673808e+03   
     0.001185          1.038772        7.762534e+05      7.757842e+05     -4.938475e+03      5.407673e+03   
     0.001185          1.116084        6.924340e+05      6.919300e+05     -4.656329e+03      5.160286e+03   
     0.001185          1.192698        6.162948e+05      6.157679e+05     -4.385139e+03      4.912070e+03   
     0.001185          1.268152        5.472751e+05      5.467226e+05     -4.124688e+03      4.677241e+03   
     0.001185          1.341994        4.848559e+05      4.842521e+05     -3.874760e+03      4.478589e+03   
     0.001185          1.413779        4.284669e+05      4.278457e+05     -3.635137e+03      4.256375e+03   
     0.001185          1.483076        3.776203e+05      3.770231e+05     -3.405602e+03      4.002738e+03   
     0.001185          1.549467        3.319922e+05      3.313333e+05     -3.185938e+03      3.844833e+03   
     0.001185          1.612554        3.318737e+05      3.313333e+05     -3.185938e+03      3.726317e+03   
     0.001185          1.671957        2.908454e+05      2.903530e+05     -2.975928e+03      3.468382e+03   
     0.001185          1.727318        2.541535e+05      2.536855e+05     -2.775356e+03      3.243382e+03   
     0.001185          1.778306        2.540840e+05      2.536855e+05     -2.775356e+03      3.173881e+03   
     0.001185          1.824612        2.213193e+05      2.209600e+05     -2.584005e+03      2.943305e+03   
     0.001185          1.865960        2.088602e+05      2.085178e+05     -2.438500e+03      2.780934e+03   
     0.001185          1.902099        1.920915e+05      1.918300e+05     -2.401657e+03      2.663180e+03   
     0.001185          1.932813        1.920109e+05      1.918300e+05     -2.401657e+03      2.582621e+03   
     0.001185          1.957917        1.781510e+05      1.779669e+05     -2.228095e+03      2.412188e+03   
     0.001185          1.977260        1.661265e+05      1.659723e+05     -2.228095e+03      2.382305e+03   
     0.001185          1.990726        1.660977e+05      1.659723e+05     -2.228095e+03      2.353527e+03   
     0.001185          1.998238        1.660821e+05      1.659723e+05     -2.228095e+03      2.337908e+03   
     0.006239          0.001762        1.326241e+08      1.326811e+08     -5.760502e+04      5.857979e+02   
     0.006239          0.009274        1.246808e+08      1.247330e+08     -5.276780e+04      5.786958e+02   
