#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.001762        2.419376e+08      2.420430e+08     -1.107358e+05      5.310217e+03   
     0.001185          0.009274        1.515266e+08      1.516112e+08     -8.940512e+04      4.794905e+03   
     0.001185          0.022740        9.424886e+07      9.431505e+07     -7.013044e+04      3.944423e+03   
     0.001185          0.042083        3.309606e+07      3.312476e+07     -3.104175e+04      2.338722e+03   
     0.001185          0.067187        1.972616e+07      1.975051e+07     -2.638552e+04      2.034806e+03   
     0.001185          0.097901        1.261780e+07      1.263904e+07     -2.308601e+04      1.845885e+03   
     0.001185          0.134040        9.249818e+06      9.268211e+06     -2.007811e+04      1.685016e+03   
     0.001185          0.175388        7.045003e+06      7.061037e+06     -1.757195e+04      1.537873e+03   
     0.001185          0.221694        5.490408e+06      5.504508e+06     -1.550685e+04      1.406887e+03   
     0.001185          0.272682        4.272541e+06      4.284860e+06     -1.361023e+04      1.291234e+03   
     0.001185          0.328043        3.443789e+06      3.455026e+06     -1.243588e+04      1.198625e+03   
     0.001185          0.387446        2.877470e+06      2.887686e+06     -1.133110e+04      1.114557e+03   
     0.001185          0.450533        2.284262e+06      2.293520e+06     -1.029377e+04      1.035905e+03   
     0.001185          0.516924        1.884079e+06      1.892438e+06     -9.321767e+03      9.631069e+02   
     0.001185          0.586221        1.707008e+06      1.714965e+06     -8.859595e+03      9.021608e+02   
     0.001185          0.658006        1.469547e+06      1.477115e+06     -8.412958e+03      8.443359e+02   
     0.001185          0.731848        1.227807e+06      1.234593e+06     -7.565223e+03      7.797528e+02   
     0.001185          0.807302        1.073336e+06      1.079769e+06     -7.163594e+03      7.305248e+02   
     0.001185          0.883916        9.629475e+05      9.690406e+05     -6.776437e+03      6.834093e+02   
     0.001185          0.961228        8.621745e+05      8.679395e+05     -6.403487e+03      6.385518e+02   
     0.001185          1.038772        7.703335e+05      7.757842e+05     -6.044477e+03      5.938490e+02   
     0.001185          1.116084        6.867820e+05      6.919300e+05     -5.699143e+03      5.511490e+02   
     0.001185          1.192698        6.109108e+05      6.157679e+05     -5.367219e+03      5.101208e+02   
     0.001185          1.268152        5.421462e+05      5.467226e+05     -5.048439e+03      4.720238e+02   
     0.001185          1.341994        4.799475e+05      4.842521e+05     -4.742537e+03      4.379870e+02   
     0.001185          1.413779        4.238010e+05      4.278457e+05     -4.449248e+03      4.045675e+02   
     0.001185          1.483076        3.732268e+05      3.770231e+05     -4.168308e+03      3.719418e+02   
     0.001185          1.549467        3.277812e+05      3.313333e+05     -3.899449e+03      3.472979e+02   
     0.001185          1.612554        3.277603e+05      3.313333e+05     -3.899449e+03      3.263752e+02   
     0.001185          1.671957        2.870098e+05      2.903530e+05     -3.642406e+03      2.992441e+02   
     0.001185          1.727318        2.505637e+05      2.536855e+05     -3.396915e+03      2.751109e+02   
     0.001185          1.778306        2.505507e+05      2.536855e+05     -3.396915e+03      2.620884e+02   
     0.001185          1.824612        2.180387e+05      2.209600e+05     -3.162709e+03      2.414266e+02   
     0.001185          1.865960        2.057587e+05      2.085178e+05     -2.984618e+03      2.255379e+02   
     0.001185          1.902099        1.891042e+05      1.918300e+05     -2.939523e+03      2.137733e+02   
     0.001185          1.932813        1.890953e+05      1.918300e+05     -2.939523e+03      2.048036e+02   
     0.001185          1.957917        1.754313e+05      1.779669e+05     -2.727091e+03      1.914875e+02   
     0.001185          1.977260        1.634332e+05      1.659723e+05     -2.727091e+03      1.879664e+02   
     0.001185          1.990726        1.634301e+05      1.659723e+05     -2.727091e+03      1.849188e+02   
     0.001185          1.998238        1.634280e+05      1.659723e+05     -2.727091e+03      1.828091e+02   
     0.006239          0.001762        1.325990e+08      1.326811e+08     -8.293425e+04      8.279879e+02   
     0.006239          0.009274        1.246578e+08      1.247330e+08     -7.597007e+04      8.146082e+02   
     0.006239          0.022740        8.496924e+07      8.502927e+07     -6.081632e+04      7.853623e+02   
     0.006239          0.042083        3.527994e+07      3.531183e+07     -3.262029e+04      7.331413e+02   
     0.006239          0.067187        1.953290e+07      1.955808e+07     -2.588967e+04      7.132069e+02   
     0.006239          0.097901        1.253010e+07      1.255206e+07     -2.265424e+04      6.966845e+02   
     0.006239          0.134040        9.273289e+06      9.292443e+06     -1.983431e+04      6.803510e+02   
     0.006239          0.175388        7.110162e+06      7.126864e+06     -1.736225e+04      6.595638e+02   
     0.006239          0.221694        5.509998e+06      5.524598e+06     -1.523416e+04      6.340898e+02   
     0.006239          0.272682        4.347255e+06      4.360205e+06     -1.355596e+04      6.061705e+02   
     0.006239          0.328043        3.466804e+06      3.478403e+06     -1.217606e+04      5.765887e+02   
     0.006239          0.387446        2.826963e+06      2.837530e+06     -1.111292e+04      5.456664e+02   
     0.006239          0.450533        2.325688e+06      2.335318e+06     -1.014300e+04      5.136302e+02   
     0.006239          0.516924        1.946917e+06      1.955781e+06     -9.344336e+03      4.808528e+02   
     0.006239          0.586221        1.677821e+06      1.686103e+06     -8.729831e+03      4.475336e+02   
     0.006239          0.658006        1.445178e+06      1.452918e+06     -8.153938e+03      4.141012e+02   
     0.006239          0.731848        1.227787e+06      1.234876e+06     -7.469975e+03      3.807934e+02   
     0.006239          0.807302        1.073059e+06      1.079769e+06     -7.058670e+03      3.482028e+02   
     0.006239          0.883916        9.626799e+05      9.690406e+05     -6.677184e+03      3.164924e+02   
     0.006239          0.961228        8.619158e+05      8.679395e+05     -6.309696e+03      2.860045e+02   
     0.006239          1.038772        7.634992e+05      7.691981e+05     -5.955945e+03      2.570764e+02   
     0.006239          1.116084        6.759675e+05      6.813533e+05     -5.615669e+03      2.298830e+02   
     0.006239          1.192698        6.023819e+05      6.074660e+05     -5.288606e+03      2.044902e+02   
     0.006239          1.268152        5.406476e+05      5.454410e+05     -4.974495e+03      1.810783e+02   
     0.006239          1.341994        4.797386e+05      4.842521e+05     -4.673074e+03      1.596555e+02   
     0.006239          1.413779        4.236021e+05      4.278457e+05     -4.384081e+03      1.405201e+02   
     0.006239          1.483076        3.730392e+05      3.770231e+05     -4.107255e+03      1.233363e+02   
     0.006239          1.549467        3.363526e+05      3.401895e+05     -3.945035e+03      1.081096e+02   
     0.006239          1.612554        3.239643e+05      3.277117e+05     -3.842334e+03      9.495696e+01   
     0.006239          1.671957        2.868473e+05      2.903530e+05     -3.589057e+03      8.344520e+01   
     0.006239          1.727318        2.504117e+05      2.536855e+05     -3.347161e+03      7.335236e+01   
     0.006239          1.778306        2.484526e+05      2.517085e+05     -3.321076e+03      6.522614e+01   
     0.006239          1.824612        2.179017e+05      2.209600e+05     -3.116386e+03      5.804907e+01   
     0.006239          1.865960        2.093149e+05      2.122563e+05     -2.993630e+03      5.224941e+01   
     0.006239          1.902099        1.889810e+05      1.918300e+05     -2.896469e+03      4.747322e+01   
