#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.001762        2.767933e+08      2.768698e+08     -7.733425e+04      7.862731e+02   
     0.001185          0.009274        1.073130e+08      1.073616e+08     -4.935289e+04      7.771936e+02   
     0.001185          0.022740        5.141756e+07      5.145173e+07     -3.490457e+04      7.414684e+02   
     0.001185          0.042083        2.967600e+07      2.970232e+07     -2.701434e+04      6.996868e+02   
     0.001185          0.067187        1.902283e+07      1.904412e+07     -2.195121e+04      6.650295e+02   
     0.001185          0.097901        1.305592e+07      1.307360e+07     -1.832086e+04      6.381759e+02   
     0.001185          0.134040        9.463137e+06      9.478244e+06     -1.572319e+04      6.165613e+02   
     0.001185          0.175388        7.192082e+06      7.205433e+06     -1.394495e+04      5.939841e+02   
     0.001185          0.221694        5.492771e+06      5.504508e+06     -1.230610e+04      5.691808e+02   
     0.001185          0.272682        4.274602e+06      4.284860e+06     -1.080096e+04      5.426418e+02   
     0.001185          0.328043        3.445672e+06      3.455026e+06     -9.869010e+03      5.148644e+02   
     0.001185          0.387446        2.879180e+06      2.887686e+06     -8.992268e+03      4.860005e+02   
     0.001185          0.450533        2.392469e+06      2.400182e+06     -8.169052e+03      4.559678e+02   
     0.001185          0.516924        2.077604e+06      2.084955e+06     -7.776989e+03      4.262798e+02   
     0.001185          0.586221        1.708330e+06      1.714965e+06     -7.030899e+03      3.957438e+02   
     0.001185          0.658006        1.470804e+06      1.477115e+06     -6.676452e+03      3.655883e+02   
     0.001185          0.731848        1.257819e+06      1.263488e+06     -6.003696e+03      3.350012e+02   
     0.001185          0.807302        1.074390e+06      1.079769e+06     -5.684967e+03      3.057752e+02   
     0.001185          0.883916        9.639405e+05      9.690406e+05     -5.377723e+03      2.776980e+02   
     0.001185          0.961228        8.631086e+05      8.679395e+05     -5.081753e+03      2.508778e+02   
     0.001185          1.038772        7.712126e+05      7.757842e+05     -4.796846e+03      2.253189e+02   
     0.001185          1.116084        6.876084e+05      6.919300e+05     -4.522792e+03      2.011148e+02   
     0.001185          1.192698        6.116871e+05      6.157679e+05     -4.259379e+03      1.786262e+02   
     0.001185          1.268152        5.428743e+05      5.467226e+05     -4.006398e+03      1.581237e+02   
     0.001185          1.341994        4.806278e+05      4.842521e+05     -3.763637e+03      1.393842e+02   
     0.001185          1.413779        4.244373e+05      4.278457e+05     -3.530886e+03      1.224836e+02   
     0.001185          1.483076        3.738229e+05      3.770231e+05     -3.307933e+03      1.077372e+02   
     0.001185          1.549467        3.719742e+05      3.751872e+05     -3.307933e+03      9.494151e+01   
     0.001185          1.612554        3.283221e+05      3.313333e+05     -3.094569e+03      8.336632e+01   
     0.001185          1.671957        2.875355e+05      2.903530e+05     -2.890583e+03      7.311150e+01   
     0.001185          1.727318        2.581504e+05      2.607816e+05     -2.695763e+03      6.451487e+01   
     0.001185          1.778306        2.510474e+05      2.536855e+05     -2.695763e+03      5.765593e+01   
