#        q              total               1              \delta U         \delta U^2    

     0.001185        2.476728e+08      2.476821e+08     -9.947951e+03      6.848006e+02   
     0.006239        1.306734e+08      1.306801e+08     -6.883461e+03      1.948206e+02   
     0.015318        6.387510e+07      6.387973e+07     -4.745589e+03      1.139664e+02   
     0.028399        1.370591e+07      1.370800e+07     -2.181785e+03      8.898936e+01   
     0.045447        1.028121e+07      1.028301e+07     -1.879975e+03      8.021893e+01   
     0.066417        7.601402e+06      7.602935e+06     -1.609542e+03      7.693837e+01   
     0.091251        5.530822e+06      5.532113e+06     -1.366419e+03      7.508619e+01   
     0.119882        3.953239e+06      3.954313e+06     -1.148069e+03      7.340646e+01   
     0.152235        3.033580e+06      3.034506e+06     -9.971980e+02      7.140214e+01   
     0.188220        2.299570e+06      2.300359e+06     -8.582967e+02      6.883999e+01   
     0.227742        1.897753e+06      1.898456e+06     -7.679618e+02      6.559201e+01   
     0.270694        1.556233e+06      1.556853e+06     -6.819892e+02      6.159779e+01   
     0.316959        1.267542e+06      1.268086e+06     -6.006033e+02      5.685538e+01   
     0.366414        1.024930e+06      1.025403e+06     -5.241203e+02      5.143360e+01   
     0.418925        9.189849e+05      9.194182e+05     -4.787812e+02      4.547840e+01   
     0.474351        7.342852e+05      7.346564e+05     -4.103486e+02      3.922302e+01   
     0.532541        5.816144e+05      5.819294e+05     -3.480507e+02      3.298065e+01   
     0.593339        5.158354e+05      5.161189e+05     -3.106419e+02      2.712991e+01   
     0.656582        4.027330e+05      4.029699e+05     -2.589557e+02      2.207800e+01   
     0.722098        3.544597e+05      3.546700e+05     -2.285353e+02      1.820962e+01   
     0.789711        2.722592e+05      2.724317e+05     -1.883057e+02      1.581443e+01   
     0.859239        2.065986e+05      2.067381e+05     -1.545537e+02      1.501140e+01   
     0.930495        1.790925e+05      1.792131e+05     -1.362569e+02      1.568235e+01   
     1.003286        1.331503e+05      1.332449e+05     -1.120643e+02      1.744012e+01   
     1.077416        8.288175e+04      8.294714e+04     -8.504520e+01      1.965852e+01   
     1.152685        4.953510e+04      4.957726e+04     -6.374176e+01      2.157826e+01   
     1.228890        2.309481e+04      2.311478e+04     -4.244799e+01      2.247966e+01   
     1.305826        2.297461e+02      2.118447e+02     -3.976607e+00      2.187807e+01   
     1.383286        1.967156e+01      0.000000e+00      0.000000e+00      1.967156e+01   
     1.461060        1.617494e+01      0.000000e+00      0.000000e+00      1.617494e+01   
     1.538940        1.201208e+01      0.000000e+00      0.000000e+00      1.201208e+01   
     1.616714        7.906368e+00      0.000000e+00      0.000000e+00      7.906368e+00   
     1.694174        4.458738e+00      0.000000e+00      0.000000e+00      4.458738e+00   
     1.771110        2.004176e+00      0.000000e+00      0.000000e+00      2.004176e+00   
     1.847315        5.897002e-01      0.000000e+00      0.000000e+00      5.897002e-01   
     1.922584        5.181092e-02      0.000000e+00      0.000000e+00      5.181092e-02   
     1.996714        1.326376e-01      0.000000e+00      0.000000e+00      1.326376e-01   
     2.069505        5.775637e-01      0.000000e+00      0.000000e+00      5.775637e-01   
     2.140761        1.187890e+00      0.000000e+00      0.000000e+00      1.187890e+00   
     2.210289        1.832556e+00      0.000000e+00      0.000000e+00      1.832556e+00   
     2.277902        2.436883e+00      0.000000e+00      0.000000e+00      2.436883e+00   
