#        q              total               1              \delta U         \delta U^2    

     0.001185        1.814467e+08      1.814467e+08     -2.455259e+01      1.223667e+01   
     0.006239        5.724890e+07      5.724891e+07     -7.007301e+00      2.923813e+00   
     0.015318        2.661973e+07      2.661973e+07     -3.580914e+00      8.985172e-01   
     0.028399        1.574806e+07      1.574806e+07     -2.354148e+00      3.030819e-01   
     0.045447        1.028301e+07      1.028301e+07     -1.756654e+00      9.757299e-02   
     0.066417        7.032968e+06      7.032969e+06     -1.403920e+00      3.026431e-02   
     0.091251        5.095583e+06      5.095584e+06     -1.179360e+00      9.512200e-03   
     0.119882        3.954312e+06      3.954313e+06     -1.033659e+00      3.200538e-03   
     0.152235        3.034505e+06      3.034506e+06     -9.033772e-01      1.166638e-03   
     0.188220        2.300359e+06      2.300359e+06     -7.853995e-01      4.625414e-04   
     0.227742        1.898455e+06      1.898456e+06     -7.125809e-01      2.021633e-04   
     0.270694        1.556853e+06      1.556853e+06     -6.443884e-01      9.435527e-05   
     0.316959        1.268085e+06      1.268086e+06     -5.806006e-01      4.726017e-05   
     0.366414        1.025403e+06      1.025403e+06     -5.210525e-01      2.546037e-05   
     0.418925        9.194178e+05      9.194182e+05     -4.922004e-01      1.450885e-05   
     0.474351        7.346559e+05      7.346564e+05     -4.387073e-01      8.745224e-06   
     0.532541        6.545886e+05      6.545890e+05     -4.127028e-01      5.609554e-06   
     0.593339        5.161186e+05      5.161189e+05     -3.650050e-01      3.746708e-06   
     0.656582        4.029696e+05      4.029699e+05     -3.210424e-01      2.593516e-06   
     0.722098        3.546697e+05      3.546700e+05     -2.996088e-01      1.877859e-06   
     0.789711        2.724314e+05      2.724317e+05     -2.610275e-01      1.434445e-06   
     0.859239        2.376991e+05      2.376993e+05     -2.421995e-01      1.144978e-06   
     0.930495        1.792129e+05      1.792131e+05     -2.087491e-01      9.904964e-07   
     1.003286        1.332447e+05      1.332449e+05     -1.785336e-01      9.521920e-07   
     1.077416        8.294700e+04      8.294714e+04     -1.396126e-01      1.022253e-06   
     1.152685        4.957716e+04      4.957726e+04     -1.068989e-01      1.223081e-06   
     1.228890        1.879349e+04      1.879356e+04     -6.513794e-02      1.585124e-06   
     1.305826        2.118378e+02      2.118447e+02     -6.839708e-03      2.190602e-06   
     1.383286        3.075834e-06      0.000000e+00      0.000000e+00      3.075834e-06   
     1.461060        4.269453e-06      0.000000e+00      0.000000e+00      4.269453e-06   
     1.538940        5.852759e-06      0.000000e+00      0.000000e+00      5.852759e-06   
     1.616714        7.925563e-06      0.000000e+00      0.000000e+00      7.925563e-06   
     1.694174        1.059510e-05      0.000000e+00      0.000000e+00      1.059510e-05   
     1.771110        1.395590e-05      0.000000e+00      0.000000e+00      1.395590e-05   
     1.847315        1.810814e-05      0.000000e+00      0.000000e+00      1.810814e-05   
     1.922584        2.312844e-05      0.000000e+00      0.000000e+00      2.312844e-05   
     1.996714        2.908617e-05      0.000000e+00      0.000000e+00      2.908617e-05   
     2.069505        3.601921e-05      0.000000e+00      0.000000e+00      3.601921e-05   
     2.140761        4.394227e-05      0.000000e+00      0.000000e+00      4.394227e-05   
     2.210289        5.284109e-05      0.000000e+00      0.000000e+00      5.284109e-05   
     2.277902        6.266324e-05      0.000000e+00      0.000000e+00      6.266324e-05   
     2.343418        7.334354e-05      0.000000e+00      0.000000e+00      7.334354e-05   
     2.406661        8.476420e-05      0.000000e+00      0.000000e+00      8.476420e-05   
     2.467459        9.680423e-05      0.000000e+00      0.000000e+00      9.680423e-05   
     2.525649        1.093124e-04      0.000000e+00      0.000000e+00      1.093124e-04   
     2.581075        1.221207e-04      0.000000e+00      0.000000e+00      1.221207e-04   
     2.633586        1.350483e-04      0.000000e+00      0.000000e+00      1.350483e-04   
     2.683041        1.479150e-04      0.000000e+00      0.000000e+00      1.479150e-04   
     2.729306        1.605448e-04      0.000000e+00      0.000000e+00      1.605448e-04   
     2.772258        1.727319e-04      0.000000e+00      0.000000e+00      1.727319e-04   
     2.811780        1.843320e-04      0.000000e+00      0.000000e+00      1.843320e-04   
     2.847765        1.951644e-04      0.000000e+00      0.000000e+00      1.951644e-04   
     2.880118        2.051028e-04      0.000000e+00      0.000000e+00      2.051028e-04   
     2.908749        2.139463e-04      0.000000e+00      0.000000e+00      2.139463e-04   
     2.933583        2.216911e-04      0.000000e+00      0.000000e+00      2.216911e-04   
     2.954553        2.281509e-04      0.000000e+00      0.000000e+00      2.281509e-04   
     2.971601        2.332721e-04      0.000000e+00      0.000000e+00      2.332721e-04   
     2.984682        2.370125e-04      0.000000e+00      0.000000e+00      2.370125e-04   
     2.993761        2.392849e-04      0.000000e+00      0.000000e+00      2.392849e-04   
     2.998815        2.400950e-04      0.000000e+00      0.000000e+00      2.400950e-04   
     3.004739        2.445492e-04      0.000000e+00      0.000000e+00      2.445492e-04   
     3.024957        2.562253e-04      0.000000e+00      0.000000e+00      2.562253e-04   
     3.061273        2.745666e-04      0.000000e+00      0.000000e+00      2.745666e-04   
     3.113597        3.002089e-04      0.000000e+00      0.000000e+00      3.002089e-04   
     3.181789        3.340286e-04      0.000000e+00      0.000000e+00      3.340286e-04   
     3.265666        3.768574e-04      0.000000e+00      0.000000e+00      3.768574e-04   
     3.365002        4.295307e-04      0.000000e+00      0.000000e+00      4.295307e-04   
     3.479529        4.924509e-04      0.000000e+00      0.000000e+00      4.924509e-04   
     3.608938        5.656024e-04      0.000000e+00      0.000000e+00      5.656024e-04   
     3.752880        6.480770e-04      0.000000e+00      0.000000e+00      6.480770e-04   
     3.910968        7.379134e-04      0.000000e+00      0.000000e+00      7.379134e-04   
     4.082775        8.318148e-04      0.000000e+00      0.000000e+00      8.318148e-04   
     4.267838        9.251536e-04      0.000000e+00      0.000000e+00      9.251536e-04   
     4.465657        1.012089e-03      0.000000e+00      0.000000e+00      1.012089e-03   
     4.675701        1.085977e-03      0.000000e+00      0.000000e+00      1.085977e-03   
     4.897402        1.140042e-03      0.000000e+00      0.000000e+00      1.140042e-03   
     5.130163        1.168285e-03      0.000000e+00      0.000000e+00      1.168285e-03   
     5.373356        1.166337e-03      0.000000e+00      0.000000e+00      1.166337e-03   
     5.626327        1.132413e-03      0.000000e+00      0.000000e+00      1.132413e-03   
     5.888392        1.067664e-03      0.000000e+00      0.000000e+00      1.067664e-03   
     6.158845        9.763270e-04      0.000000e+00      0.000000e+00      9.763270e-04   
     6.436958        8.651133e-04      0.000000e+00      0.000000e+00      8.651133e-04   
     6.721980        7.423488e-04      0.000000e+00      0.000000e+00      7.423488e-04   
     7.013143        6.166754e-04      0.000000e+00      0.000000e+00      6.166754e-04   
     7.309662        4.959358e-04      0.000000e+00      0.000000e+00      4.959358e-04   
     7.610739        3.862659e-04      0.000000e+00      0.000000e+00      3.862659e-04   
     7.915560        2.915737e-04      0.000000e+00      0.000000e+00      2.915737e-04   
     8.223305        2.135507e-04      0.000000e+00      0.000000e+00      2.135507e-04   
     8.533144        1.519852e-04      0.000000e+00      0.000000e+00      1.519852e-04   
     8.844241        1.053185e-04      0.000000e+00      0.000000e+00      1.053185e-04   
     9.155759        7.122679e-05      0.000000e+00      0.000000e+00      7.122679e-05   
     9.466856        4.714660e-05      0.000000e+00      0.000000e+00      4.714660e-05   
     9.776695        3.064449e-05      0.000000e+00      0.000000e+00      3.064449e-05   
    10.084440        1.963212e-05      0.000000e+00      0.000000e+00      1.963212e-05   
    10.389261        1.244624e-05      0.000000e+00      0.000000e+00      1.244624e-05   
    10.690338        7.842161e-06      0.000000e+00      0.000000e+00      7.842161e-06   
    10.986857        4.932382e-06      0.000000e+00      0.000000e+00      4.932382e-06   
    11.278020        3.109931e-06      0.000000e+00      0.000000e+00      3.109931e-06   
    11.563042        1.973418e-06      0.000000e+00      0.000000e+00      1.973418e-06   
    11.841155        1.264562e-06      0.000000e+00      0.000000e+00      1.264562e-06   
    12.111608        8.205351e-07      0.000000e+00      0.000000e+00      8.205351e-07   
    12.373673        5.401835e-07      0.000000e+00      0.000000e+00      5.401835e-07   
