#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.001762        1.685518e+08      1.685523e+08     -5.704880e+02      1.522260e+02   
     0.001185          0.009274        6.909754e+07      6.909778e+07     -3.865505e+02      1.391883e+02   
     0.001185          0.022740        3.463755e+07      3.463771e+07     -2.803643e+02      1.201579e+02   
     0.001185          0.042083        2.075606e+07      2.075618e+07     -2.194576e+02      1.017649e+02   
     0.001185          0.067187        1.370791e+07      1.370800e+07     -1.802075e+02      8.685967e+01   
     0.001185          0.097901        9.548729e+06      9.548804e+06     -1.504043e+02      7.479933e+01   
     0.001185          0.134040        7.032906e+06      7.032969e+06     -1.290789e+02      6.537584e+01   
     0.001185          0.175388        5.532057e+06      5.532113e+06     -1.144805e+02      5.793799e+01   
     0.001185          0.221694        4.308174e+06      4.308224e+06     -1.010264e+02      5.171432e+01   
     0.001185          0.272682        3.318766e+06      3.318808e+06     -8.867005e+01      4.667384e+01   
     0.001185          0.328043        2.770757e+06      2.770795e+06     -8.101922e+01      4.251517e+01   
     0.001185          0.387446        2.300325e+06      2.300359e+06     -7.382165e+01      3.890588e+01   
     0.001185          0.450533        1.898425e+06      1.898456e+06     -6.706348e+01      3.577100e+01   
     0.001185          0.516924        1.720570e+06      1.720601e+06     -6.384486e+01      3.300192e+01   
     0.001185          0.586221        1.406276e+06      1.406303e+06     -5.771987e+01      3.096245e+01   
     0.001185          0.658006        1.268060e+06      1.268086e+06     -5.481005e+01      2.887383e+01   
     0.001185          0.731848        1.025381e+06      1.025403e+06     -4.928709e+01      2.672334e+01   
     0.001185          0.807302        9.193969e+05      9.194182e+05     -4.667050e+01      2.536278e+01   
     0.001185          0.883916        8.227037e+05      8.227238e+05     -4.414819e+01      2.405495e+01   
     0.001185          0.961228        7.346373e+05      7.346564e+05     -4.171843e+01      2.264299e+01   
     0.001185          1.038772        6.545711e+05      6.545890e+05     -3.937950e+01      2.142829e+01   
     0.001185          1.116084        5.819127e+05      5.819294e+05     -3.712967e+01      2.038273e+01   
     0.001185          1.192698        5.161032e+05      5.161189e+05     -3.496719e+01      1.921710e+01   
     0.001185          1.268152        4.566161e+05      4.566309e+05     -3.289035e+01      1.808203e+01   
     0.001185          1.341994        4.029560e+05      4.029699e+05     -3.089742e+01      1.694373e+01   
     0.001185          1.413779        3.546569e+05      3.546700e+05     -2.898666e+01      1.585780e+01   
     0.001185          1.483076        3.112816e+05      3.112940e+05     -2.715634e+01      1.476228e+01   
     0.001185          1.549467        3.112810e+05      3.112940e+05     -2.715634e+01      1.420164e+01   
     0.001185          1.612554        2.724199e+05      2.724317e+05     -2.540474e+01      1.361745e+01   
     0.001185          1.671957        2.376883e+05      2.376993e+05     -2.373012e+01      1.264150e+01   
     0.001185          1.727318        2.067277e+05      2.067381e+05     -2.213075e+01      1.168805e+01   
     0.001185          1.778306        2.067275e+05      2.067381e+05     -2.213075e+01      1.148483e+01   
     0.001185          1.824612        1.792032e+05      1.792131e+05     -2.060491e+01      1.069317e+01   
     0.001185          1.865960        1.792026e+05      1.792131e+05     -2.060491e+01      1.014010e+01   
     0.001185          1.902099        1.548028e+05      1.548121e+05     -1.915086e+01      9.801118e+00   
     0.001185          1.932813        1.548025e+05      1.548121e+05     -1.915086e+01      9.483005e+00   
     0.001185          1.957917        1.332361e+05      1.332449e+05     -1.776688e+01      8.990318e+00   
     0.001185          1.977260        1.332361e+05      1.332449e+05     -1.776688e+01      8.946896e+00   
     0.001185          1.990726        1.332361e+05      1.332449e+05     -1.776688e+01      8.925728e+00   
     0.001185          1.998238        1.332359e+05      1.332449e+05     -1.776688e+01      8.795859e+00   
