#        q              total               1              \delta U         \delta U^2    

     0.001185        1.903619e+04      1.904976e+04     -1.358721e+01      1.399779e-02   
     0.006239        1.068678e+04      1.070037e+04     -1.359436e+01      1.399225e-02   
     0.015318        7.282959e+03      7.296537e+03     -1.359262e+01      1.397713e-02   
     0.028399        5.598568e+03      5.612141e+03     -1.358749e+01      1.394889e-02   
     0.045447        4.521400e+03      4.534977e+03     -1.359064e+01      1.392215e-02   
     0.066417        3.736891e+03      3.750458e+03     -1.358092e+01      1.389067e-02   
     0.091251        3.178804e+03      3.192361e+03     -1.357111e+01      1.384491e-02   
     0.119882        2.798680e+03      2.812228e+03     -1.356144e+01      1.379577e-02   
     0.152235        2.450015e+03      2.463536e+03     -1.353519e+01      1.373069e-02   
     0.188220        2.131447e+03      2.144929e+03     -1.349554e+01      1.365649e-02   
     0.227742        1.935124e+03      1.948567e+03     -1.345617e+01      1.357317e-02   
     0.270694        1.751186e+03      1.764570e+03     -1.339773e+01      1.347886e-02   
     0.316959        1.579240e+03      1.592536e+03     -1.330956e+01      1.337964e-02   
     0.366414        1.418888e+03      1.432064e+03     -1.318838e+01      1.326939e-02   
     0.418925        1.342946e+03      1.356037e+03     -1.310434e+01      1.315748e-02   
     0.474351        1.199261e+03      1.212152e+03     -1.290389e+01      1.304218e-02   
     0.532541        1.131440e+03      1.144193e+03     -1.276609e+01      1.293582e-02   
     0.593339        1.003561e+03      1.015991e+03     -1.244248e+01      1.284275e-02   
     0.656582        8.857367e+02      8.977415e+02     -1.201755e+01      1.277866e-02   
     0.722098        8.304872e+02      8.422233e+02     -1.174881e+01      1.275502e-02   
     0.789711        7.270138e+02      7.381486e+02     -1.114756e+01      1.279251e-02   
     0.859239        6.787181e+02      6.894916e+02     -1.078644e+01      1.290910e-02   
     0.930495        5.886898e+02      5.986870e+02     -1.001032e+01      1.312940e-02   
     1.003286        5.071021e+02      5.162265e+02     -9.137918e+00      1.347434e-02   
     1.077416        3.995905e+02      4.073012e+02     -7.724648e+00      1.397070e-02   
     1.152685        3.086401e+02      3.148881e+02     -6.262690e+00      1.464290e-02   
     1.228890        1.898729e+02      1.938740e+02     -4.016543e+00      1.551504e-02   
     1.305826        2.016164e+01      2.058372e+01     -4.386862e-01      1.660837e-02   
     1.383286        1.794106e-02      0.000000e+00      0.000000e+00      1.794106e-02   
     1.461060        1.952842e-02      0.000000e+00      0.000000e+00      1.952842e-02   
     1.538940        2.138075e-02      0.000000e+00      0.000000e+00      2.138075e-02   
     1.616714        2.350379e-02      0.000000e+00      0.000000e+00      2.350379e-02   
     1.694174        2.589825e-02      0.000000e+00      0.000000e+00      2.589825e-02   
     1.771110        2.855905e-02      0.000000e+00      0.000000e+00      2.855905e-02   
     1.847315        3.147517e-02      0.000000e+00      0.000000e+00      3.147517e-02   
     1.922584        3.462921e-02      0.000000e+00      0.000000e+00      3.462921e-02   
     1.996714        3.799655e-02      0.000000e+00      0.000000e+00      3.799655e-02   
     2.069505        4.154805e-02      0.000000e+00      0.000000e+00      4.154805e-02   
     2.140761        4.525030e-02      0.000000e+00      0.000000e+00      4.525030e-02   
     2.210289        4.906744e-02      0.000000e+00      0.000000e+00      4.906744e-02   
     2.277902        5.295809e-02      0.000000e+00      0.000000e+00      5.295809e-02   
     2.343418        5.688359e-02      0.000000e+00      0.000000e+00      5.688359e-02   
     2.406661        6.080308e-02      0.000000e+00      0.000000e+00      6.080308e-02   
