#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.001762        8.791849e+08      8.794056e+08     -2.408654e+05      2.013227e+04   
     0.001185          0.009274        5.539592e+08      5.541363e+08     -1.951362e+05      1.799006e+04   
     0.001185          0.022740        3.207526e+08      3.208838e+08     -1.448983e+05      1.373009e+04   
     0.001185          0.042083        9.779847e+07      9.785757e+07     -6.768029e+04      8.577228e+03   
     0.001185          0.067187        6.120285e+07      6.125436e+07     -5.927099e+04      7.762480e+03   
     0.001185          0.097901        4.766747e+07      4.771318e+07     -5.275349e+04      7.045144e+03   
     0.001185          0.134040        3.654737e+07      3.658703e+07     -4.604198e+04      6.377988e+03   
     0.001185          0.175388        2.849411e+07      2.852870e+07     -4.040758e+04      5.823406e+03   
     0.001185          0.221694        2.277297e+07      2.280377e+07     -3.616856e+04      5.370976e+03   
     0.001185          0.272682        1.853600e+07      1.856365e+07     -3.265197e+04      4.997704e+03   
     0.001185          0.328043        1.566685e+07      1.569259e+07     -3.043901e+04      4.698657e+03   
     0.001185          0.387446        1.317578e+07      1.319967e+07     -2.832836e+04      4.435776e+03   
     0.001185          0.450533        1.141880e+07      1.144094e+07     -2.631761e+04      4.176807e+03   
     0.001185          0.516924        1.024308e+07      1.026444e+07     -2.534894e+04      3.993459e+03   
     0.001185          0.586221        8.822274e+06      8.842004e+06     -2.348349e+04      3.753604e+03   
     0.001185          0.658006        8.029131e+06      8.048132e+06     -2.258611e+04      3.584926e+03   
     0.001185          0.731848        7.286697e+06      7.305003e+06     -2.171188e+04      3.406080e+03   
     0.001185          0.807302        6.468561e+06      6.485391e+06     -2.003169e+04      3.201352e+03   
     0.001185          0.883916        5.738517e+06      5.754696e+06     -1.922512e+04      3.046497e+03   
     0.001185          0.961228        5.287848e+06      5.303387e+06     -1.844049e+04      2.901414e+03   
     0.001185          1.038772        4.867043e+06      4.881965e+06     -1.767751e+04      2.755740e+03   
     0.001185          1.116084        4.474501e+06      4.488823e+06     -1.693587e+04      2.613266e+03   
     0.001185          1.192698        4.108691e+06      4.122424e+06     -1.621527e+04      2.481729e+03   
     0.001185          1.268152        3.768130e+06      3.781292e+06     -1.551540e+04      2.353633e+03   
     0.001185          1.341994        3.451405e+06      3.464013e+06     -1.483597e+04      2.228127e+03   
     0.001185          1.413779        3.157167e+06      3.169235e+06     -1.417667e+04      2.109094e+03   
     0.001185          1.483076        2.884112e+06      2.895661e+06     -1.353719e+04      1.988326e+03   
     0.001185          1.549467        2.631006e+06      2.642055e+06     -1.291724e+04      1.868562e+03   
     0.001185          1.612554        2.508631e+06      2.519184e+06     -1.231652e+04      1.763481e+03   
     0.001185          1.671957        2.396609e+06      2.407233e+06     -1.231652e+04      1.693254e+03   
     0.001185          1.727318        2.179916e+06      2.190064e+06     -1.173471e+04      1.586363e+03   
     0.001185          1.778306        2.075268e+06      2.084955e+06     -1.117151e+04      1.484258e+03   
     0.001185          1.824612        1.979731e+06      1.989472e+06     -1.117151e+04      1.429944e+03   
     0.001185          1.865960        1.834038e+06      1.843324e+06     -1.062664e+04      1.340896e+03   
     0.001185          1.902099        1.785971e+06      1.795261e+06     -1.057265e+04      1.282283e+03   
     0.001185          1.932813        1.706086e+06      1.714965e+06     -1.009977e+04      1.220905e+03   
     0.001185          1.957917        1.625046e+06      1.633954e+06     -1.009977e+04      1.191866e+03   
     0.001185          1.977260        1.543123e+06      1.551581e+06     -9.590612e+03      1.132361e+03   
     0.001185          1.990726        1.543102e+06      1.551581e+06     -9.590612e+03      1.111488e+03   
     0.001185          1.998238        1.543093e+06      1.551581e+06     -9.590612e+03      1.102619e+03   
     0.006239          0.001762        4.849411e+08      4.851179e+08     -1.797132e+05      2.857720e+03   
     0.006239          0.009274        4.535916e+08      4.537522e+08     -1.633800e+05      2.797718e+03   
     0.006239          0.022740        2.717359e+08      2.718486e+08     -1.153334e+05      2.681065e+03   
     0.006239          0.042083        9.957743e+07      9.964069e+07     -6.580628e+04      2.553150e+03   
     0.006239          0.067187        6.118229e+07      6.123765e+07     -5.786167e+04      2.498783e+03   
     0.006239          0.097901        4.712474e+07      4.717333e+07     -5.103222e+04      2.443917e+03   
     0.006239          0.134040        3.669243e+07      3.673490e+07     -4.485910e+04      2.388351e+03   
     0.006239          0.175388        2.871420e+07      2.875137e+07     -3.948803e+04      2.322259e+03   
     0.006239          0.221694        2.292391e+07      2.295698e+07     -3.532013e+04      2.243058e+03   
     0.006239          0.272682        1.867132e+07      1.870134e+07     -3.217537e+04      2.155449e+03   
     0.006239          0.328043        1.554842e+07      1.557604e+07     -2.967423e+04      2.063012e+03   
     0.006239          0.387446        1.326125e+07      1.328690e+07     -2.761661e+04      1.964264e+03   
     0.006239          0.450533        1.149369e+07      1.151766e+07     -2.582843e+04      1.859740e+03   
     0.006239          0.516924        1.019148e+07      1.021431e+07     -2.459137e+04      1.752777e+03   
     0.006239          0.586221        8.820753e+06      8.842004e+06     -2.289347e+04      1.642130e+03   
     0.006239          0.658006        8.022989e+06      8.043478e+06     -2.201863e+04      1.529745e+03   
     0.006239          0.731848        7.182172e+06      7.201621e+06     -2.086682e+04      1.417567e+03   
     0.006239          0.807302        6.436558e+06      6.454824e+06     -1.957237e+04      1.306134e+03   
     0.006239          0.883916        5.767829e+06      5.785374e+06     -1.874208e+04      1.197121e+03   
     0.006239          0.961228        5.286502e+06      5.303387e+06     -1.797717e+04      1.091407e+03   
     0.006239          1.038772        4.865721e+06      4.881965e+06     -1.723336e+04      9.900203e+02   
     0.006239          1.116084        4.473207e+06      4.488823e+06     -1.651036e+04      8.938203e+02   
     0.006239          1.192698        4.107420e+06      4.122424e+06     -1.580786e+04      8.036201e+02   
     0.006239          1.268152        3.766886e+06      3.781292e+06     -1.512558e+04      7.192392e+02   
     0.006239          1.341994        3.450192e+06      3.464013e+06     -1.446322e+04      6.416855e+02   
     0.006239          1.413779        3.155985e+06      3.169235e+06     -1.382048e+04      5.713106e+02   
     0.006239          1.483076        2.882972e+06      2.895661e+06     -1.319707e+04      5.077145e+02   
     0.006239          1.549467        2.635231e+06      2.647373e+06     -1.259270e+04      4.506955e+02   
     0.006239          1.612554        2.519315e+06      2.531085e+06     -1.217002e+04      4.000554e+02   
     0.006239          1.671957        2.393095e+06      2.404733e+06     -1.199459e+04      3.567774e+02   
     0.006239          1.727318        2.178943e+06      2.190064e+06     -1.143987e+04      3.185235e+02   
