#        q              total               1              \delta U         \delta U^2    

     0.001185        9.085177e+08      9.085724e+08     -2.055755e+05      1.508948e+05   
     0.006239        4.864767e+08      4.866030e+08     -1.278779e+05      1.581076e+03   
     0.015318        2.037850e+08      2.038561e+08     -7.255741e+04      1.498446e+03   
     0.028399        6.888605e+07      6.892757e+07     -4.298979e+04      1.468253e+03   
     0.045447        5.094972e+07      5.098547e+07     -3.720637e+04      1.453011e+03   
     0.066417        3.708442e+07      3.711492e+07     -3.193774e+04      1.438981e+03   
     0.091251        2.816505e+07      2.819078e+07     -2.715705e+04      1.420843e+03   
     0.119882        2.116242e+07      2.118465e+07     -2.363493e+04      1.396026e+03   
     0.152235        1.678147e+07      1.680123e+07     -2.112324e+04      1.362879e+03   
     0.188220        1.364000e+07      1.365743e+07     -1.874941e+04      1.320050e+03   
     0.227742        1.142506e+07      1.144094e+07     -1.714497e+04      1.266304e+03   
     0.270694        9.516753e+06      9.531131e+06     -1.557945e+04      1.200546e+03   
     0.316959        8.181969e+06      8.194904e+06     -1.405705e+04      1.122048e+03   
     0.366414        7.292936e+06      7.305003e+06     -1.309776e+04      1.030800e+03   
     0.418925        6.226852e+06      6.237562e+06     -1.163771e+04      9.278081e+02   
     0.474351        5.293957e+06      5.303387e+06     -1.024564e+04      8.152961e+02   
     0.532541        4.873338e+06      4.881965e+06     -9.323692e+03      6.968344e+02   
     0.593339        4.114945e+06      4.122424e+06     -8.057013e+03      5.774018e+02   
     0.656582        3.457584e+06      3.464013e+06     -6.891961e+03      4.632982e+02   
     0.722098        3.163484e+06      3.169235e+06     -6.112591e+03      3.617271e+02   
     0.789711        2.637199e+06      2.642055e+06     -5.135923e+03      2.800700e+02   
     0.859239        2.186010e+06      2.190064e+06     -4.279587e+03      2.249737e+02   
     0.930495        1.889098e+06      1.892438e+06     -3.541283e+03      2.009958e+02   
     1.003286        1.548876e+06      1.551581e+06     -2.914486e+03      2.093671e+02   
     1.077416        1.261346e+06      1.263488e+06     -2.389067e+03      2.470433e+02   
     1.152685        8.623657e+05      8.637996e+05     -1.740430e+03      3.065350e+02   
     1.228890        5.967601e+05      5.976091e+05     -1.225811e+03      3.768768e+02   
     1.305826        4.456044e+02      0.000000e+00      0.000000e+00      4.456044e+02   
     1.383286        5.013085e+02      0.000000e+00      0.000000e+00      5.013085e+02   
