#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.001762        8.792408e+08      8.794056e+08     -1.692816e+05      4.448710e+03   
     0.001185          0.009274        5.540033e+08      5.541363e+08     -1.371428e+05      4.112170e+03   
     0.001185          0.022740        3.207854e+08      3.208838e+08     -1.018353e+05      3.391478e+03   
     0.001185          0.042083        9.781266e+07      9.785757e+07     -4.756608e+04      2.658506e+03   
     0.001185          0.067187        6.121522e+07      6.125436e+07     -4.165598e+04      2.514469e+03   
     0.001185          0.097901        4.767849e+07      4.771318e+07     -3.707544e+04      2.385989e+03   
     0.001185          0.134040        3.655694e+07      3.658703e+07     -3.235856e+04      2.265028e+03   
     0.001185          0.175388        2.850245e+07      2.852870e+07     -2.839867e+04      2.152373e+03   
     0.001185          0.221694        2.278039e+07      2.280377e+07     -2.541946e+04      2.045144e+03   
     0.001185          0.272682        1.854265e+07      1.856365e+07     -2.294799e+04      1.943254e+03   
     0.001185          0.328043        1.567304e+07      1.569259e+07     -2.139271e+04      1.847195e+03   
     0.001185          0.387446        1.318151e+07      1.319967e+07     -1.990933e+04      1.751993e+03   
     0.001185          0.450533        1.142409e+07      1.144094e+07     -1.849616e+04      1.654136e+03   
     0.001185          0.516924        1.024819e+07      1.026444e+07     -1.781538e+04      1.563060e+03   
     0.001185          0.586221        8.826964e+06      8.842004e+06     -1.650433e+04      1.463730e+03   
     0.001185          0.658006        8.033630e+06      8.048132e+06     -1.587364e+04      1.371810e+03   
     0.001185          0.731848        7.291022e+06      7.305003e+06     -1.525923e+04      1.278653e+03   
     0.001185          0.807302        6.472496e+06      6.485391e+06     -1.407838e+04      1.183078e+03   
     0.001185          0.883916        5.742280e+06      5.754696e+06     -1.351152e+04      1.095183e+03   
     0.001185          0.961228        5.291439e+06      5.303387e+06     -1.296008e+04      1.011380e+03   
     0.001185          1.038772        4.870472e+06      4.881965e+06     -1.242385e+04      9.307830e+02   
     0.001185          1.116084        4.477774e+06      4.488823e+06     -1.190262e+04      8.531790e+02   
     0.001185          1.192698        4.111808e+06      4.122424e+06     -1.139618e+04      7.803105e+02   
     0.001185          1.268152        3.771100e+06      3.781292e+06     -1.090431e+04      7.128031e+02   
     0.001185          1.341994        3.454236e+06      3.464013e+06     -1.042680e+04      6.498408e+02   
     0.001185          1.413779        3.159863e+06      3.169235e+06     -9.963442e+03      5.918743e+02   
     0.001185          1.483076        2.886685e+06      2.895661e+06     -9.514015e+03      5.378572e+02   
     0.001185          1.549467        2.633466e+06      2.642055e+06     -9.078311e+03      4.888879e+02   
     0.001185          1.612554        2.510974e+06      2.519184e+06     -8.656116e+03      4.461618e+02   
     0.001185          1.671957        2.398988e+06      2.407233e+06     -8.656116e+03      4.114519e+02   
     0.001185          1.727318        2.182193e+06      2.190064e+06     -8.247217e+03      3.757939e+02   
     0.001185          1.778306        2.077447e+06      2.084955e+06     -7.851403e+03      3.431635e+02   
     0.001185          1.824612        1.981942e+06      1.989472e+06     -7.851403e+03      3.205599e+02   
     0.001185          1.865960        1.836152e+06      1.843324e+06     -7.468459e+03      2.963070e+02   
     0.001185          1.902099        1.788109e+06      1.795261e+06     -7.430517e+03      2.777663e+02   
     0.001185          1.932813        1.708129e+06      1.714965e+06     -7.098174e+03      2.616249e+02   
     0.001185          1.957917        1.627107e+06      1.633954e+06     -7.098174e+03      2.516319e+02   
     0.001185          1.977260        1.545080e+06      1.551581e+06     -6.740335e+03      2.387638e+02   
     0.001185          1.990726        1.545074e+06      1.551581e+06     -6.740335e+03      2.326738e+02   
     0.001185          1.998238        1.545071e+06      1.551581e+06     -6.740335e+03      2.298822e+02   
     0.006239          0.001762        4.849912e+08      4.851179e+08     -1.284338e+05      1.762253e+03   
     0.006239          0.009274        4.536371e+08      4.537522e+08     -1.167611e+05      1.741328e+03   
     0.006239          0.022740        2.717678e+08      2.718486e+08     -8.242418e+04      1.700984e+03   
     0.006239          0.042083        9.959532e+07      9.964069e+07     -4.702912e+04      1.656599e+03   
     0.006239          0.067187        6.119794e+07      6.123765e+07     -4.135142e+04      1.636897e+03   
     0.006239          0.097901        4.713847e+07      4.717333e+07     -3.647069e+04      1.617379e+03   
     0.006239          0.134040        3.670443e+07      3.673490e+07     -3.205901e+04      1.596914e+03   
     0.006239          0.175388        2.872471e+07      2.875137e+07     -2.822052e+04      1.565804e+03   
     0.006239          0.221694        2.293326e+07      2.295698e+07     -2.524189e+04      1.520938e+03   
     0.006239          0.272682        1.867981e+07      1.870134e+07     -2.299445e+04      1.466641e+03   
     0.006239          0.328043        1.555623e+07      1.557604e+07     -2.120699e+04      1.405948e+03   
     0.006239          0.387446        1.326850e+07      1.328690e+07     -1.973649e+04      1.338806e+03   
     0.006239          0.450533        1.150046e+07      1.151766e+07     -1.845854e+04      1.266382e+03   
     0.006239          0.516924        1.019793e+07      1.021431e+07     -1.757447e+04      1.190909e+03   
     0.006239          0.586221        8.826756e+06      8.842004e+06     -1.636105e+04      1.112220e+03   
     0.006239          0.658006        8.028774e+06      8.043478e+06     -1.573583e+04      1.031618e+03   
     0.006239          0.731848        7.187659e+06      7.201621e+06     -1.491268e+04      9.509337e+02   
     0.006239          0.807302        6.441707e+06      6.454824e+06     -1.398759e+04      8.707381e+02   
     0.006239          0.883916        5.772772e+06      5.785374e+06     -1.339422e+04      7.919383e+02   
     0.006239          0.961228        5.291256e+06      5.303387e+06     -1.284757e+04      7.157636e+02   
     0.006239          1.038772        4.870292e+06      4.881965e+06     -1.231600e+04      6.428868e+02   
     0.006239          1.116084        4.477598e+06      4.488823e+06     -1.179929e+04      5.738739e+02   
     0.006239          1.192698        4.111636e+06      4.122424e+06     -1.129725e+04      5.095527e+02   
     0.006239          1.268152        3.770932e+06      3.781292e+06     -1.080965e+04      4.498874e+02   
     0.006239          1.341994        3.454072e+06      3.464013e+06     -1.033628e+04      3.954275e+02   
     0.006239          1.413779        3.159704e+06      3.169235e+06     -9.876945e+03      3.463523e+02   
     0.006239          1.483076        2.886532e+06      2.895661e+06     -9.431420e+03      3.024313e+02   
     0.006239          1.549467        2.638637e+06      2.647373e+06     -8.999498e+03      2.635791e+02   
