#        q              total               1              \delta U         \delta U^2    

     0.001185        9.245449e+08      9.245588e+08     -1.903557e+04      5.166919e+03   
     0.006239        4.772657e+08      4.772754e+08     -1.086491e+04      1.165643e+03   
     0.015318        1.539496e+08      1.539548e+08     -5.741247e+03      5.315584e+02   
     0.028399        5.415212e+07      5.415508e+07     -3.284268e+03      3.228219e+02   
     0.045447        4.069140e+07      4.069394e+07     -2.790605e+03      2.558218e+02   
     0.066417        3.014264e+07      3.014478e+07     -2.373422e+03      2.327407e+02   
     0.091251        2.197844e+07      2.198023e+07     -2.008251e+03      2.228114e+02   
     0.119882        1.685776e+07      1.685928e+07     -1.741812e+03      2.163566e+02   
     0.152235        1.370666e+07      1.370800e+07     -1.551434e+03      2.099344e+02   
     0.188220        1.106250e+07      1.106366e+07     -1.371365e+03      2.022169e+02   
     0.227742        9.547750e+06      9.548804e+06     -1.247222e+03      1.926264e+02   
     0.270694        8.209940e+06      8.210884e+06     -1.125357e+03      1.808952e+02   
     0.316959        7.032130e+06      7.032969e+06     -1.006303e+03      1.669733e+02   
     0.366414        6.498288e+06      6.499064e+06     -9.272465e+02      1.510247e+02   
     0.418925        5.531434e+06      5.532113e+06     -8.129121e+02      1.334542e+02   
     0.474351        4.687555e+06      4.688144e+06     -7.045687e+02      1.149196e+02   
     0.532541        4.307690e+06      4.308224e+06     -6.300125e+02      9.632849e+01   
     0.593339        3.624514e+06      3.624970e+06     -5.343363e+02      7.879611e+01   
     0.656582        3.034121e+06      3.034506e+06     -4.487304e+02      6.355313e+01   
     0.722098        2.770455e+06      2.770795e+06     -3.917400e+02      5.179060e+01   
     0.789711        2.300078e+06      2.300359e+06     -3.258964e+02      4.444679e+01   
     0.859239        1.898226e+06      1.898456e+06     -2.715729e+02      4.197853e+01   
     0.930495        1.556669e+06      1.556853e+06     -2.279338e+02      4.413261e+01   
     1.003286        1.267942e+06      1.268086e+06     -1.935522e+02      4.983641e+01   
     1.077416        1.025294e+06      1.025403e+06     -1.665913e+02      5.725673e+01   
     1.152685        6.536614e+05      6.537266e+05     -1.293251e+02      6.410040e+01   
     1.228890        3.884077e+05      3.884376e+05     -9.800923e+01      6.812544e+01   
     1.305826        6.773223e+01      0.000000e+00      0.000000e+00      6.773223e+01   
     1.383286        6.242787e+01      0.000000e+00      0.000000e+00      6.242787e+01   
     1.461060        5.296701e+01      0.000000e+00      0.000000e+00      5.296701e+01   
     1.538940        4.106510e+01      0.000000e+00      0.000000e+00      4.106510e+01   
     1.616714        2.880608e+01      0.000000e+00      0.000000e+00      2.880608e+01   
     1.694174        1.799539e+01      0.000000e+00      0.000000e+00      1.799539e+01   
     1.771110        9.723303e+00      0.000000e+00      0.000000e+00      9.723303e+00   
     1.847315        4.269569e+00      0.000000e+00      0.000000e+00      4.269569e+00   
     1.922584        1.296361e+00      0.000000e+00      0.000000e+00      1.296361e+00   
     1.996714        1.626790e-01      0.000000e+00      0.000000e+00      1.626790e-01   
     2.069505        1.988412e-01      0.000000e+00      0.000000e+00      1.988412e-01   
     2.140761        8.625683e-01      0.000000e+00      0.000000e+00      8.625683e-01   
     2.210289        1.782730e+00      0.000000e+00      0.000000e+00      1.782730e+00   
     2.277902        2.737167e+00      0.000000e+00      0.000000e+00      2.737167e+00   
     2.343418        3.609159e+00      0.000000e+00      0.000000e+00      3.609159e+00   
     2.406661        4.347645e+00      0.000000e+00      0.000000e+00      4.347645e+00   
     2.467459        4.939040e+00      0.000000e+00      0.000000e+00      4.939040e+00   
     2.525649        5.389643e+00      0.000000e+00      0.000000e+00      5.389643e+00   
     2.581075        5.715340e+00      0.000000e+00      0.000000e+00      5.715340e+00   
     2.633586        5.935729e+00      0.000000e+00      0.000000e+00      5.935729e+00   
     2.683041        6.070842e+00      0.000000e+00      0.000000e+00      6.070842e+00   
     2.729306        6.139398e+00      0.000000e+00      0.000000e+00      6.139398e+00   
     2.772258        6.157976e+00      0.000000e+00      0.000000e+00      6.157976e+00   
     2.811780        6.140738e+00      0.000000e+00      0.000000e+00      6.140738e+00   
     2.847765        6.099455e+00      0.000000e+00      0.000000e+00      6.099455e+00   
     2.880118        6.043709e+00      0.000000e+00      0.000000e+00      6.043709e+00   
     2.908749        5.981158e+00      0.000000e+00      0.000000e+00      5.981158e+00   
     2.933583        5.917824e+00      0.000000e+00      0.000000e+00      5.917824e+00   
     2.954553        5.858363e+00      0.000000e+00      0.000000e+00      5.858363e+00   
     2.971601        5.806304e+00      0.000000e+00      0.000000e+00      5.806304e+00   
     2.984682        5.764253e+00      0.000000e+00      0.000000e+00      5.764253e+00   
     2.993761        5.734050e+00      0.000000e+00      0.000000e+00      5.734050e+00   
     2.998815        5.716889e+00      0.000000e+00      0.000000e+00      5.716889e+00   
     3.004739        5.696469e+00      0.000000e+00      0.000000e+00      5.696469e+00   
     3.024957        5.624402e+00      0.000000e+00      0.000000e+00      5.624402e+00   
     3.061273        5.486591e+00      0.000000e+00      0.000000e+00      5.486591e+00   
     3.113597        5.272348e+00      0.000000e+00      0.000000e+00      5.272348e+00   
     3.181789        4.972731e+00      0.000000e+00      0.000000e+00      4.972731e+00   
     3.265666        4.585384e+00      0.000000e+00      0.000000e+00      4.585384e+00   
     3.365002        4.118047e+00      0.000000e+00      0.000000e+00      4.118047e+00   
     3.479529        3.589513e+00      0.000000e+00      0.000000e+00      3.589513e+00   
     3.608938        3.027603e+00      0.000000e+00      0.000000e+00      3.027603e+00   
     3.752880        2.464746e+00      0.000000e+00      0.000000e+00      2.464746e+00   
     3.910968        1.932490e+00      0.000000e+00      0.000000e+00      1.932490e+00   
     4.082775        1.456534e+00      0.000000e+00      0.000000e+00      1.456534e+00   
     4.267838        1.053491e+00      0.000000e+00      0.000000e+00      1.053491e+00   
     4.465657        7.299421e-01      0.000000e+00      0.000000e+00      7.299421e-01   
     4.675701        4.835484e-01      0.000000e+00      0.000000e+00      4.835484e-01   
     4.897402        3.055138e-01      0.000000e+00      0.000000e+00      3.055138e-01   
     5.130163        1.835103e-01      0.000000e+00      0.000000e+00      1.835103e-01   
     5.373356        1.043213e-01      0.000000e+00      0.000000e+00      1.043213e-01   
     5.626327        5.576056e-02      0.000000e+00      0.000000e+00      5.576056e-02   
     5.888392        2.774782e-02      0.000000e+00      0.000000e+00      2.774782e-02   
     6.158845        1.265497e-02      0.000000e+00      0.000000e+00      1.265497e-02   
     6.436958        5.149929e-03      0.000000e+00      0.000000e+00      5.149929e-03   
     6.721980        1.777156e-03      0.000000e+00      0.000000e+00      1.777156e-03   
     7.013143        4.627898e-04      0.000000e+00      0.000000e+00      4.627898e-04   
     7.309662        6.179788e-05      0.000000e+00      0.000000e+00      6.179788e-05   
     7.610739        1.240264e-06      0.000000e+00      0.000000e+00      1.240264e-06   
     7.915560        2.945630e-05      0.000000e+00      0.000000e+00      2.945630e-05   
     8.223305        5.672720e-05      0.000000e+00      0.000000e+00      5.672720e-05   
     8.533144        6.394400e-05      0.000000e+00      0.000000e+00      6.394400e-05   
     8.844241        5.610317e-05      0.000000e+00      0.000000e+00      5.610317e-05   
     9.155759        4.212632e-05      0.000000e+00      0.000000e+00      4.212632e-05   
     9.466856        2.825256e-05      0.000000e+00      0.000000e+00      2.825256e-05   
