#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.001762        2.948953e+08      2.949016e+08     -6.471641e+03      1.855494e+02   
     0.001185          0.009274        1.834642e+08      1.834692e+08     -5.212439e+03      1.805146e+02   
     0.001185          0.022740        1.134626e+08      1.134666e+08     -4.142850e+03      1.712647e+02   
     0.001185          0.042083        6.377100e+07      6.377394e+07     -3.105074e+03      1.593913e+02   
     0.001185          0.067187        3.353557e+07      3.353769e+07     -2.271251e+03      1.501504e+02   
     0.001185          0.097901        2.239632e+07      2.239804e+07     -1.854614e+03      1.430399e+02   
     0.001185          0.134040        1.646410e+07      1.646555e+07     -1.586333e+03      1.365493e+02   
     0.001185          0.175388        1.270372e+07      1.270499e+07     -1.406221e+03      1.302165e+02   
     0.001185          0.221694        9.547706e+06      9.548804e+06     -1.222396e+03      1.238879e+02   
     0.001185          0.272682        7.601962e+06      7.602935e+06     -1.090757e+03      1.174008e+02   
     0.001185          0.328043        5.998513e+06      5.999371e+06     -9.689255e+02      1.108408e+02   
     0.001185          0.387446        5.094795e+06      5.095584e+06     -8.929651e+02      1.041392e+02   
     0.001185          0.450533        4.003031e+06      4.003721e+06     -7.866346e+02      9.742609e+01   
     0.001185          0.516924        3.318178e+06      3.318808e+06     -7.206570e+02      9.064322e+01   
     0.001185          0.586221        3.033901e+06      3.034506e+06     -6.890988e+02      8.392959e+01   
     0.001185          0.658006        2.525914e+06      2.526465e+06     -6.287734e+02      7.736438e+01   
     0.001185          0.731848        2.156774e+06      2.157276e+06     -5.720755e+02      7.058828e+01   
     0.001185          0.807302        1.897975e+06      1.898456e+06     -5.450518e+02      6.433941e+01   
     0.001185          0.883916        1.720140e+06      1.720601e+06     -5.188927e+02      5.820723e+01   
     0.001185          0.961228        1.556412e+06      1.556853e+06     -4.935843e+02      5.219602e+01   
     0.001185          1.038772        1.267687e+06      1.268086e+06     -4.454632e+02      4.661609e+01   
     0.001185          1.116084        1.140998e+06      1.141379e+06     -4.226223e+02      4.146711e+01   
     0.001185          1.192698        1.025039e+06      1.025403e+06     -4.005759e+02      3.668484e+01   
     0.001185          1.268152        9.190712e+05      9.194182e+05     -3.793098e+02      3.229682e+01   
     0.001185          1.341994        8.223933e+05      8.227238e+05     -3.588100e+02      2.833656e+01   
     0.001185          1.413779        7.640123e+05      7.643266e+05     -3.390624e+02      2.479567e+01   
     0.001185          1.483076        7.343391e+05      7.346564e+05     -3.390624e+02      2.179564e+01   
     0.001185          1.549467        6.542881e+05      6.545890e+05     -3.200530e+02      1.911838e+01   
     0.001185          1.612554        5.816444e+05      5.819294e+05     -3.017676e+02      1.669095e+01   
     0.001185          1.671957        5.158493e+05      5.161189e+05     -2.841924e+02      1.458549e+01   
     0.001185          1.727318        5.158477e+05      5.161189e+05     -2.841924e+02      1.294072e+01   
     0.001185          1.778306        4.563751e+05      4.566309e+05     -2.673131e+02      1.147236e+01   
     0.001185          1.824612        4.027290e+05      4.029699e+05     -2.511157e+02      1.017849e+01   
     0.001185          1.865960        4.027281e+05      4.029699e+05     -2.511157e+02      9.262938e+00   
     0.001185          1.902099        3.544428e+05      3.546700e+05     -2.355862e+02      8.372686e+00   
     0.001185          1.932813        3.544423e+05      3.546700e+05     -2.355862e+02      7.807599e+00   
     0.001185          1.957917        3.544418e+05      3.546700e+05     -2.355862e+02      7.340066e+00   
     0.001185          1.977260        3.110801e+05      3.112940e+05     -2.207104e+02      6.870591e+00   
     0.001185          1.990726        3.110799e+05      3.112940e+05     -2.207104e+02      6.649347e+00   
     0.001185          1.998238        3.110798e+05      3.112940e+05     -2.207104e+02      6.540922e+00   
     0.006239          0.001762        1.603644e+08      1.603692e+08     -4.888466e+03      1.406235e+02   
     0.006239          0.009274        1.506031e+08      1.506074e+08     -4.459359e+03      1.388698e+02   
     0.006239          0.022740        1.071076e+08      1.071112e+08     -3.725298e+03      1.359819e+02   
     0.006239          0.042083        6.143864e+07      6.144131e+07     -2.807276e+03      1.323782e+02   
     0.006239          0.067187        3.362021e+07      3.362224e+07     -2.157491e+03      1.286867e+02   
     0.006239          0.097901        2.244107e+07      2.244275e+07     -1.805183e+03      1.249469e+02   
     0.006239          0.134040        1.637164e+07      1.637307e+07     -1.550069e+03      1.208953e+02   
     0.006239          0.175388        1.247066e+07      1.247190e+07     -1.361483e+03      1.164547e+02   
     0.006239          0.221694        9.731840e+06      9.732937e+06     -1.208502e+03      1.116468e+02   
     0.006239          0.272682        7.680194e+06      7.681165e+06     -1.077614e+03      1.065216e+02   
     0.006239          0.328043        6.137164e+06      6.138025e+06     -9.625532e+02      1.011011e+02   
     0.006239          0.387446        4.973381e+06      4.974151e+06     -8.659521e+02      9.540178e+01   
     0.006239          0.450533        4.100972e+06      4.101664e+06     -7.814612e+02      8.942988e+01   
     0.006239          0.516924        3.435895e+06      3.436528e+06     -7.159175e+02      8.333900e+01   
     0.006239          0.586221        2.952260e+06      2.952849e+06     -6.661456e+02      7.717442e+01   
     0.006239          0.658006        2.525911e+06      2.526465e+06     -6.246382e+02      7.096166e+01   
     0.006239          0.731848        2.185181e+06      2.185685e+06     -5.683132e+02      6.476317e+01   
     0.006239          0.807302        1.897973e+06      1.898456e+06     -5.414672e+02      5.874185e+01   
     0.006239          0.883916        1.720138e+06      1.720601e+06     -5.154801e+02      5.287302e+01   
     0.006239          0.961228        1.514443e+06      1.514873e+06     -4.771163e+02      4.725849e+01   
     0.006239          1.038772        1.312216e+06      1.312617e+06     -4.425335e+02      4.194313e+01   
     0.006239          1.116084        1.149595e+06      1.149978e+06     -4.198429e+02      3.699750e+01   
     0.006239          1.192698        1.025038e+06      1.025403e+06     -3.979414e+02      3.243300e+01   
     0.006239          1.268152        9.190697e+05      9.194182e+05     -3.768152e+02      2.826046e+01   
     0.006239          1.341994        8.362248e+05      8.365567e+05     -3.564502e+02      2.450031e+01   
     0.006239          1.413779        7.744554e+05      7.747710e+05     -3.368325e+02      2.114675e+01   
     0.006239          1.483076        7.293450e+05      7.296614e+05     -3.345423e+02      1.821709e+01   
     0.006239          1.549467        6.542867e+05      6.545890e+05     -3.179481e+02      1.565569e+01   
     0.006239          1.612554        5.816431e+05      5.819294e+05     -2.997830e+02      1.343278e+01   
     0.006239          1.671957        5.158481e+05      5.161189e+05     -2.823233e+02      1.153929e+01   
     0.006239          1.727318        5.129032e+05      5.131739e+05     -2.807124e+02      9.949548e+00   
     0.006239          1.778306        4.563740e+05      4.566309e+05     -2.655550e+02      8.621352e+00   
     0.006239          1.824612        4.164335e+05      4.166754e+05     -2.494642e+02      7.512934e+00   
     0.006239          1.865960        4.027271e+05      4.029699e+05     -2.494642e+02      6.632405e+00   
     0.006239          1.902099        3.686563e+05      3.688844e+05     -2.340368e+02      5.903920e+00   
     0.006239          1.932813        3.544414e+05      3.546700e+05     -2.340368e+02      5.351829e+00   
     0.006239          1.957917        3.544409e+05      3.546700e+05     -2.340368e+02      4.919967e+00   
     0.006239          1.977260        3.257380e+05      3.259526e+05     -2.192589e+02      4.596805e+00   
     0.006239          1.990726        3.110791e+05      3.112940e+05     -2.192589e+02      4.396305e+00   
     0.006239          1.998238        3.110790e+05      3.112940e+05     -2.192589e+02      4.285845e+00   
     0.015318          0.001762        9.016362e+07      9.016716e+07     -3.673970e+03      1.310848e+02   
     0.015318          0.009274        8.772585e+07      8.772916e+07     -3.436928e+03      1.301252e+02   
     0.015318          0.022740        7.629568e+07      7.629849e+07     -2.945662e+03      1.284779e+02   
     0.015318          0.042083        5.337423e+07      5.337649e+07     -2.382126e+03      1.262316e+02   
     0.015318          0.067187        3.325507e+07      3.325694e+07     -1.989282e+03      1.235750e+02   
     0.015318          0.097901        2.216711e+07      2.216870e+07     -1.707519e+03      1.205309e+02   
     0.015318          0.134040        1.624454e+07      1.624592e+07     -1.495182e+03      1.170213e+02   
     0.015318          0.175388        1.238695e+07      1.238816e+07     -1.318877e+03      1.130168e+02   
     0.015318          0.221694        9.654271e+06      9.655336e+06     -1.174072e+03      1.085736e+02   
     0.015318          0.272682        7.650920e+06      7.651868e+06     -1.050977e+03      1.037519e+02   
     0.015318          0.328043        6.104582e+06      6.105424e+06     -9.413845e+02      9.860747e+01   
     0.015318          0.387446        4.984035e+06      4.984795e+06     -8.537930e+02      9.312315e+01   
     0.015318          0.450533        4.106166e+06      4.106858e+06     -7.786202e+02      8.736604e+01   
     0.015318          0.516924        3.451152e+06      3.451785e+06     -7.142137e+02      8.143318e+01   
     0.015318          0.586221        2.917800e+06      2.918382e+06     -6.568031e+02      7.540072e+01   
     0.015318          0.658006        2.520868e+06      2.521414e+06     -6.157087e+02      6.930435e+01   
     0.015318          0.731848        2.187961e+06      2.188464e+06     -5.669607e+02      6.322607e+01   
     0.015318          0.807302        1.921663e+06      1.922146e+06     -5.401785e+02      5.728525e+01   
     0.015318          0.883916        1.686734e+06      1.687186e+06     -5.042664e+02      5.149821e+01   
     0.015318          0.961228        1.492556e+06      1.492979e+06     -4.691017e+02      4.596143e+01   
     0.015318          1.038772        1.324896e+06      1.325297e+06     -4.414803e+02      4.072554e+01   
     0.015318          1.116084        1.180353e+06      1.180736e+06     -4.188437e+02      3.583522e+01   
     0.015318          1.192698        1.055568e+06      1.055934e+06     -3.969944e+02      3.132518e+01   
     0.015318          1.268152        9.480346e+05      9.483833e+05     -3.759184e+02      2.720901e+01   
     0.015318          1.341994        8.554376e+05      8.557697e+05     -3.556019e+02      2.350291e+01   
     0.015318          1.413779        7.756528e+05      7.759686e+05     -3.360309e+02      2.020165e+01   
     0.015318          1.483076        7.075486e+05      7.078551e+05     -3.237720e+02      1.730407e+01   
     0.015318          1.549467        6.487952e+05      6.490950e+05     -3.145292e+02      1.477911e+01   
     0.015318          1.612554        5.816430e+05      5.819294e+05     -2.990696e+02      1.260581e+01   
     0.015318          1.671957        5.323661e+05      5.326370e+05     -2.816514e+02      1.075334e+01   
     0.015318          1.727318        4.962623e+05      4.965241e+05     -2.709583e+02      9.197268e+00   
     0.015318          1.778306        4.563739e+05      4.566309e+05     -2.649230e+02      7.903726e+00   
     0.015318          1.824612        4.235336e+05      4.237757e+05     -2.488705e+02      6.834354e+00   
     0.015318          1.865960        4.027270e+05      4.029699e+05     -2.488705e+02      5.970644e+00   
     0.015318          1.902099        3.739312e+05      3.741594e+05     -2.334798e+02      5.275404e+00   
     0.015318          1.932813        3.544413e+05      3.546700e+05     -2.334798e+02      4.734420e+00   
     0.015318          1.957917        3.433407e+05      3.435626e+05     -2.261678e+02      4.320066e+00   
     0.015318          1.977260        3.293495e+05      3.295642e+05     -2.187371e+02      4.016108e+00   
     0.015318          1.990726        3.201766e+05      3.203915e+05     -2.187371e+02      3.816422e+00   
     0.015318          1.998238        3.150867e+05      3.153017e+05     -2.187371e+02      3.708726e+00   
     0.028399          0.001762        4.165947e+07      4.166184e+07     -2.495345e+03      1.279351e+02   
     0.028399          0.009274        4.154179e+07      4.154405e+07     -2.387943e+03      1.271321e+02   
     0.028399          0.022740        4.092991e+07      4.093200e+07     -2.211169e+03      1.257579e+02   
     0.028399          0.042083        3.786041e+07      3.786229e+07     -1.996550e+03      1.238598e+02   
     0.028399          0.067187        3.047692e+07      3.047858e+07     -1.779836e+03      1.214910e+02   
     0.028399          0.097901        2.164124e+07      2.164271e+07     -1.583858e+03      1.186647e+02   
     0.028399          0.134040        1.591107e+07      1.591236e+07     -1.410768e+03      1.153329e+02   
     0.028399          0.175388        1.221482e+07      1.221598e+07     -1.261651e+03      1.114801e+02   
     0.028399          0.221694        9.549336e+06      9.550357e+06     -1.128298e+03      1.071700e+02   
     0.028399          0.272682        7.568800e+06      7.569711e+06     -1.013462e+03      1.024697e+02   
     0.028399          0.328043        6.077103e+06      6.077921e+06     -9.153357e+02      9.742970e+01   
     0.028399          0.387446        4.953979e+06      4.954718e+06     -8.308927e+02      9.204117e+01   
     0.028399          0.450533        4.089715e+06      4.090389e+06     -7.606075e+02      8.635812e+01   
     0.028399          0.516924        3.435490e+06      3.436109e+06     -6.992190e+02      8.049799e+01   
     0.028399          0.586221        2.929158e+06      2.929731e+06     -6.475132e+02      7.452736e+01   
     0.028399          0.658006        2.515340e+06      2.515876e+06     -6.037669e+02      6.848273e+01   
     0.028399          0.731848        2.189345e+06      2.189846e+06     -5.636682e+02      6.246320e+01   
     0.028399          0.807302        1.912230e+06      1.912702e+06     -5.282766e+02      5.656625e+01   
