#        q              total               1              \delta U         \delta U^2    

     0.001185        3.064060e+08      3.064136e+08     -7.715458e+03      1.064801e+02   
     0.006239        1.579785e+08      1.579839e+08     -5.540143e+03      1.063801e+02   
     0.015318        7.906834e+07      7.907215e+07     -3.919035e+03      1.064044e+02   
     0.028399        2.197827e+07      2.198023e+07     -2.064923e+03      1.062863e+02   
     0.045447        1.469698e+07      1.469856e+07     -1.685596e+03      1.058194e+02   
     0.066417        1.106231e+07      1.106366e+07     -1.457597e+03      1.049853e+02   
     0.091251        8.209739e+06      8.210884e+06     -1.249150e+03      1.037378e+02   
     0.119882        5.998414e+06      5.999371e+06     -1.059404e+03      1.019246e+02   
     0.152235        4.687318e+06      4.688144e+06     -9.259854e+02      9.937949e+01   
     0.188220        3.624264e+06      3.624970e+06     -8.016412e+02      9.595542e+01   
     0.227742        3.033879e+06      3.034506e+06     -7.183445e+02      9.154053e+01   
     0.270694        2.525913e+06      2.526465e+06     -6.380221e+02      8.606987e+01   
     0.316959        2.090893e+06      2.091374e+06     -5.610632e+02      7.955024e+01   
     0.366414        1.720185e+06      1.720601e+06     -4.879696e+02      7.207513e+01   
     0.418925        1.405948e+06      1.406303e+06     -4.193322e+02      6.384816e+01   
     0.474351        1.267766e+06      1.268086e+06     -3.750021e+02      5.518939e+01   
     0.532541        1.025135e+06      1.025403e+06     -3.146004e+02      4.653679e+01   
     0.593339        8.225016e+05      8.227238e+05     -2.605578e+02      3.842229e+01   
     0.656582        7.344619e+05      7.346564e+05     -2.259372e+02      3.142775e+01   
     0.722098        5.817720e+05      5.819294e+05     -1.835955e+02      2.610977e+01   
     0.789711        5.159841e+05      5.161189e+05     -1.576921e+02      2.290038e+01   
     0.859239        4.028643e+05      4.029699e+05     -1.276080e+02      2.199530e+01   
     0.930495        3.112135e+05      3.112940e+05     -1.037397e+02      2.325078e+01   
     1.003286        2.376404e+05      2.376993e+05     -8.510512e+01      2.613266e+01   
     1.077416        1.791722e+05      1.792131e+05     -7.058929e+01      2.975101e+01   
     1.152685        1.332188e+05      1.332449e+05     -5.909516e+01      3.300637e+01   
     1.228890        7.020366e+04      7.021098e+04     -4.215376e+01      3.483392e+01   
     1.305826        8.022070e+01      4.681351e+01     -1.076602e+00      3.448379e+01   
     1.383286        3.254099e+01      9.553777e-01     -1.524069e-01      3.173802e+01   
     1.461060        2.697048e+01      0.000000e+00      0.000000e+00      2.697048e+01   
     1.538940        2.101161e+01      0.000000e+00      0.000000e+00      2.101161e+01   
     1.616714        1.486857e+01      0.000000e+00      0.000000e+00      1.486857e+01   
     1.694174        9.419543e+00      0.000000e+00      0.000000e+00      9.419543e+00   
     1.771110        5.204711e+00      0.000000e+00      0.000000e+00      5.204711e+00   
     1.847315        2.376009e+00      0.000000e+00      0.000000e+00      2.376009e+00   
     1.922584        7.835032e-01      0.000000e+00      0.000000e+00      7.835032e-01   
     1.996714        1.227574e-01      0.000000e+00      0.000000e+00      1.227574e-01   
     2.069505        6.739741e-02      0.000000e+00      0.000000e+00      6.739741e-02   
     2.140761        3.476459e-01      0.000000e+00      0.000000e+00      3.476459e-01   
     2.210289        7.750892e-01      0.000000e+00      0.000000e+00      7.750892e-01   
     2.277902        1.234351e+00      0.000000e+00      0.000000e+00      1.234351e+00   
     2.343418        1.662945e+00      0.000000e+00      0.000000e+00      1.662945e+00   
     2.406661        2.031987e+00      0.000000e+00      0.000000e+00      2.031987e+00   
     2.467459        2.332151e+00      0.000000e+00      0.000000e+00      2.332151e+00   
     2.525649        2.564741e+00      0.000000e+00      0.000000e+00      2.564741e+00   
     2.581075        2.736382e+00      0.000000e+00      0.000000e+00      2.736382e+00   
     2.633586        2.855954e+00      0.000000e+00      0.000000e+00      2.855954e+00   
     2.683041        2.932850e+00      0.000000e+00      0.000000e+00      2.932850e+00   
