#        q              total               1              \delta U         \delta U^2    

     0.001185        2.407742e+04      2.424141e+04     -1.806060e+02      1.662157e+01   
     0.006239        1.761120e+04      1.777548e+04     -1.809055e+02      1.662139e+01   
     0.015318        1.308157e+04      1.324611e+04     -1.811593e+02      1.662049e+01   
     0.028399        8.338728e+03      8.503663e+03     -1.815536e+02      1.661858e+01   
     0.045447        6.044194e+03      6.209421e+03     -1.818406e+02      1.661422e+01   
     0.066417        5.070824e+03      5.236030e+03     -1.818107e+02      1.660549e+01   
     0.091251        4.204889e+03      4.370081e+03     -1.817839e+02      1.659188e+01   
     0.119882        3.585486e+03      3.750458e+03     -1.815430e+02      1.657055e+01   
     0.152235        3.161702e+03      3.326293e+03     -1.811315e+02      1.654037e+01   
     0.188220        2.648198e+03      2.812228e+03     -1.805305e+02      1.650048e+01   
     0.227742        2.413063e+03      2.576357e+03     -1.797444e+02      1.645050e+01   
     0.270694        2.085779e+03      2.247872e+03     -1.784836e+02      1.639021e+01   
     0.316959        1.884476e+03      2.045177e+03     -1.770234e+02      1.632219e+01   
     0.366414        1.696190e+03      1.855048e+03     -1.751073e+02      1.624968e+01   
     0.418925        1.520730e+03      1.677083e+03     -1.725316e+02      1.617922e+01   
     0.474351        1.357799e+03      1.510880e+03     -1.691983e+02      1.611752e+01   
     0.532541        1.281977e+03      1.432064e+03     -1.661609e+02      1.607440e+01   
     0.593339        1.137572e+03      1.282750e+03     -1.612398e+02      1.606159e+01   
     0.656582        1.071198e+03      1.212152e+03     -1.570406e+02      1.608621e+01   
     0.722098        9.448484e+02      1.078823e+03     -1.501330e+02      1.615848e+01   
     0.789711        8.300363e+02      9.556474e+02     -1.418927e+02      1.628159e+01   
     0.859239        7.784877e+02      8.977415e+02     -1.357123e+02      1.645844e+01   
     0.930495        6.802057e+02      7.890424e+02     -1.255174e+02      1.668063e+01   
     1.003286        5.921650e+02      6.894916e+02     -1.142574e+02      1.693077e+01   
     1.077416        5.136293e+02      5.986870e+02     -1.022379e+02      1.718009e+01   
     1.152685        4.438060e+02      5.162265e+02     -8.982307e+01      1.740256e+01   
     1.228890        3.523168e+02      4.073012e+02     -7.254459e+01      1.756016e+01   
     1.305826        2.535024e+02      2.875186e+02     -5.162413e+01      1.760792e+01   
     1.383286        6.867577e+01      6.207787e+01     -1.091734e+01      1.751524e+01   
     1.461060        1.726178e+01      0.000000e+00      0.000000e+00      1.726178e+01   
     1.538940        1.683129e+01      0.000000e+00      0.000000e+00      1.683129e+01   
     1.616714        1.622548e+01      0.000000e+00      0.000000e+00      1.622548e+01   
     1.694174        1.545686e+01      0.000000e+00      0.000000e+00      1.545686e+01   
     1.771110        1.454765e+01      0.000000e+00      0.000000e+00      1.454765e+01   
     1.847315        1.353211e+01      0.000000e+00      0.000000e+00      1.353211e+01   
     1.922584        1.245384e+01      0.000000e+00      0.000000e+00      1.245384e+01   
     1.996714        1.135435e+01      0.000000e+00      0.000000e+00      1.135435e+01   
     2.069505        1.026977e+01      0.000000e+00      0.000000e+00      1.026977e+01   
     2.140761        9.230698e+00      0.000000e+00      0.000000e+00      9.230698e+00   
     2.210289        8.260321e+00      0.000000e+00      0.000000e+00      8.260321e+00   
     2.277902        7.373953e+00      0.000000e+00      0.000000e+00      7.373953e+00   
     2.343418        6.579433e+00      0.000000e+00      0.000000e+00      6.579433e+00   
     2.406661        5.879594e+00      0.000000e+00      0.000000e+00      5.879594e+00   
     2.467459        5.269467e+00      0.000000e+00      0.000000e+00      5.269467e+00   
     2.525649        4.741999e+00      0.000000e+00      0.000000e+00      4.741999e+00   
     2.581075        4.288604e+00      0.000000e+00      0.000000e+00      4.288604e+00   
     2.633586        3.900642e+00      0.000000e+00      0.000000e+00      3.900642e+00   
     2.683041        3.569983e+00      0.000000e+00      0.000000e+00      3.569983e+00   
     2.729306        3.288566e+00      0.000000e+00      0.000000e+00      3.288566e+00   
     2.772258        3.049111e+00      0.000000e+00      0.000000e+00      3.049111e+00   
     2.811780        2.845914e+00      0.000000e+00      0.000000e+00      2.845914e+00   
     2.847765        2.674191e+00      0.000000e+00      0.000000e+00      2.674191e+00   
     2.880118        2.529526e+00      0.000000e+00      0.000000e+00      2.529526e+00   
     2.908749        2.408796e+00      0.000000e+00      0.000000e+00      2.408796e+00   
     2.933583        2.309208e+00      0.000000e+00      0.000000e+00      2.309208e+00   
     2.954553        2.228664e+00      0.000000e+00      0.000000e+00      2.228664e+00   
     2.971601        2.165424e+00      0.000000e+00      0.000000e+00      2.165424e+00   
     2.984682        2.118210e+00      0.000000e+00      0.000000e+00      2.118210e+00   
     2.993761        2.086117e+00      0.000000e+00      0.000000e+00      2.086117e+00   
     2.998815        2.068477e+00      0.000000e+00      0.000000e+00      2.068477e+00   
     3.004739        2.048017e+00      0.000000e+00      0.000000e+00      2.048017e+00   
     3.024957        1.979694e+00      0.000000e+00      0.000000e+00      1.979694e+00   
     3.061273        1.863045e+00      0.000000e+00      0.000000e+00      1.863045e+00   
     3.113597        1.707431e+00      0.000000e+00      0.000000e+00      1.707431e+00   
     3.181789        1.524336e+00      0.000000e+00      0.000000e+00      1.524336e+00   
     3.265666        1.325781e+00      0.000000e+00      0.000000e+00      1.325781e+00   
     3.365002        1.122894e+00      0.000000e+00      0.000000e+00      1.122894e+00   
     3.479529        9.252745e-01      0.000000e+00      0.000000e+00      9.252745e-01   
     3.608938        7.407029e-01      0.000000e+00      0.000000e+00      7.407029e-01   
     3.752880        5.750486e-01      0.000000e+00      0.000000e+00      5.750486e-01   
     3.910968        4.320705e-01      0.000000e+00      0.000000e+00      4.320705e-01   
     4.082775        3.134489e-01      0.000000e+00      0.000000e+00      3.134489e-01   
     4.267838        2.189720e-01      0.000000e+00      0.000000e+00      2.189720e-01   
     4.465657        1.468981e-01      0.000000e+00      0.000000e+00      1.468981e-01   
     4.675701        9.433549e-02      0.000000e+00      0.000000e+00      9.433549e-02   
     4.897402        5.777558e-02      0.000000e+00      0.000000e+00      5.777558e-02   
     5.130163        3.358277e-02      0.000000e+00      0.000000e+00      3.358277e-02   
     5.373356        1.841207e-02      0.000000e+00      0.000000e+00      1.841207e-02   
     5.626327        9.440011e-03      0.000000e+00      0.000000e+00      9.440011e-03   
     5.888392        4.473424e-03      0.000000e+00      0.000000e+00      4.473424e-03   
     6.158845        1.928362e-03      0.000000e+00      0.000000e+00      1.928362e-03   
     6.436958        7.431177e-04      0.000000e+00      0.000000e+00      7.431177e-04   
     6.721980        2.572510e-04      0.000000e+00      0.000000e+00      2.572510e-04   
     7.013143        9.294314e-05      0.000000e+00      0.000000e+00      9.294314e-05   
     7.309662        5.394119e-05      0.000000e+00      0.000000e+00      5.394119e-05   
     7.610739        5.077709e-05      0.000000e+00      0.000000e+00      5.077709e-05   
     7.915560        5.012586e-05      0.000000e+00      0.000000e+00      5.012586e-05   
     8.223305        4.423719e-05      0.000000e+00      0.000000e+00      4.423719e-05   
     8.533144        3.457400e-05      0.000000e+00      0.000000e+00      3.457400e-05   
     8.844241        2.426819e-05      0.000000e+00      0.000000e+00      2.426819e-05   
     9.155759        1.548123e-05      0.000000e+00      0.000000e+00      1.548123e-05   
     9.466856        9.035696e-06      0.000000e+00      0.000000e+00      9.035696e-06   
     9.776695        4.834724e-06      0.000000e+00      0.000000e+00      4.834724e-06   
    10.084440        2.367646e-06      0.000000e+00      0.000000e+00      2.367646e-06   
    10.389261        1.058725e-06      0.000000e+00      0.000000e+00      1.058725e-06   
    10.690338        4.361188e-07      0.000000e+00      0.000000e+00      4.361188e-07   
    10.986857        1.760723e-07      0.000000e+00      0.000000e+00      1.760723e-07   
    11.278020        8.475177e-08      0.000000e+00      0.000000e+00      8.475177e-08   
