#        q              total               1              \delta U         \delta U^2    

     0.001185        2.938154e+08      2.938229e+08     -1.073103e+04      3.141477e+03   
     0.006239        1.579785e+08      1.579839e+08     -6.250977e+03      8.092840e+02   
     0.015318        8.772571e+07      8.772972e+07     -4.333941e+03      3.203263e+02   
     0.028399        3.615364e+07      3.615614e+07     -2.683552e+03      1.847985e+02   
     0.045447        1.927667e+07      1.927845e+07     -1.920744e+03      1.352143e+02   
     0.066417        1.370652e+07      1.370800e+07     -1.600501e+03      1.186442e+02   
     0.091251        9.547593e+06      9.548804e+06     -1.323660e+03      1.124561e+02   
     0.119882        7.031953e+06      7.032969e+06     -1.124996e+03      1.089575e+02   
     0.152235        5.531233e+06      5.532113e+06     -9.855795e+02      1.057516e+02   
     0.188220        3.953596e+06      3.954313e+06     -8.198590e+02      1.020130e+02   
     0.227742        3.318171e+06      3.318808e+06     -7.352927e+02      9.740619e+01   
     0.270694        2.525933e+06      2.526465e+06     -6.242407e+02      9.178702e+01   
     0.316959        2.090910e+06      2.091374e+06     -5.487507e+02      8.512597e+01   
     0.366414        1.720201e+06      1.720601e+06     -4.771005e+02      7.750014e+01   
     0.418925        1.405962e+06      1.406303e+06     -4.098619e+02      6.910045e+01   
     0.474351        1.141092e+06      1.141379e+06     -3.476464e+02      6.023757e+01   
     0.532541        1.025147e+06      1.025403e+06     -3.073600e+02      5.133711e+01   
     0.593339        8.225121e+05      8.227238e+05     -2.545596e+02      4.291900e+01   
     0.656582        7.344711e+05      7.346564e+05     -2.207921e+02      3.555079e+01   
     0.722098        5.817797e+05      5.819294e+05     -1.795275e+02      2.977688e+01   
     0.789711        4.565118e+05      4.566309e+05     -1.451993e+02      2.601968e+01   
     0.859239        4.028693e+05      4.029699e+05     -1.251188e+02      2.447402e+01   
     0.930495        3.112171e+05      3.112940e+05     -1.019226e+02      2.501102e+01   
     1.003286        2.376427e+05      2.376993e+05     -8.379879e+01      2.713086e+01   
     1.077416        1.791734e+05      1.792131e+05     -6.964497e+01      2.999851e+01   
     1.152685        1.332191e+05      1.332449e+05     -5.838620e+01      3.258329e+01   
     1.228890        8.293573e+04      8.294714e+04     -4.529049e+01      3.388850e+01   
     1.305826        4.133507e+04      4.133346e+04     -3.160416e+01      3.321215e+01   
     1.383286        1.950429e+03      1.926831e+03     -6.750282e+00      3.034790e+01   
     1.461060        2.563932e+01      0.000000e+00      0.000000e+00      2.563932e+01   
     1.538940        1.985757e+01      0.000000e+00      0.000000e+00      1.985757e+01   
     1.616714        1.394418e+01      0.000000e+00      0.000000e+00      1.394418e+01   
     1.694174        8.726610e+00      0.000000e+00      0.000000e+00      8.726610e+00   
     1.771110        4.718967e+00      0.000000e+00      0.000000e+00      4.718967e+00   
     1.847315        2.067411e+00      0.000000e+00      0.000000e+00      2.067411e+00   
     1.922584        6.253282e-01      0.000000e+00      0.000000e+00      6.253282e-01   
     1.996714        9.159689e-02      0.000000e+00      0.000000e+00      9.159689e-02   
     2.069505        1.403149e-01      0.000000e+00      0.000000e+00      1.403149e-01   
     2.140761        5.009828e-01      0.000000e+00      0.000000e+00      5.009828e-01   
     2.210289        9.856124e-01      0.000000e+00      0.000000e+00      9.856124e-01   
     2.277902        1.481263e+00      0.000000e+00      0.000000e+00      1.481263e+00   
     2.343418        1.929320e+00      0.000000e+00      0.000000e+00      1.929320e+00   
     2.406661        2.305167e+00      0.000000e+00      0.000000e+00      2.305167e+00   
     2.467459        2.603345e+00      0.000000e+00      0.000000e+00      2.603345e+00   
     2.525649        2.828270e+00      0.000000e+00      0.000000e+00      2.828270e+00   
     2.581075        2.988885e+00      0.000000e+00      0.000000e+00      2.988885e+00   
     2.633586        3.095722e+00      0.000000e+00      0.000000e+00      3.095722e+00   
     2.683041        3.159306e+00      0.000000e+00      0.000000e+00      3.159306e+00   
     2.729306        3.189350e+00      0.000000e+00      0.000000e+00      3.189350e+00   
     2.772258        3.194387e+00      0.000000e+00      0.000000e+00      3.194387e+00   
     2.811780        3.181663e+00      0.000000e+00      0.000000e+00      3.181663e+00   
     2.847765        3.157176e+00      0.000000e+00      0.000000e+00      3.157176e+00   
     2.880118        3.125789e+00      0.000000e+00      0.000000e+00      3.125789e+00   
     2.908749        3.091380e+00      0.000000e+00      0.000000e+00      3.091380e+00   
     2.933583        3.056989e+00      0.000000e+00      0.000000e+00      3.056989e+00   
     2.954553        3.024960e+00      0.000000e+00      0.000000e+00      3.024960e+00   
     2.971601        2.997066e+00      0.000000e+00      0.000000e+00      2.997066e+00   
     2.984682        2.974614e+00      0.000000e+00      0.000000e+00      2.974614e+00   
     2.993761        2.958526e+00      0.000000e+00      0.000000e+00      2.958526e+00   
     2.998815        2.949397e+00      0.000000e+00      0.000000e+00      2.949397e+00   
     3.004739        2.938545e+00      0.000000e+00      0.000000e+00      2.938545e+00   
     3.024957        2.900332e+00      0.000000e+00      0.000000e+00      2.900332e+00   
     3.061273        2.827555e+00      0.000000e+00      0.000000e+00      2.827555e+00   
     3.113597        2.714981e+00      0.000000e+00      0.000000e+00      2.714981e+00   
     3.181789        2.558339e+00      0.000000e+00      0.000000e+00      2.558339e+00   
     3.265666        2.356747e+00      0.000000e+00      0.000000e+00      2.356747e+00   
     3.365002        2.114465e+00      0.000000e+00      0.000000e+00      2.114465e+00   
     3.479529        1.841335e+00      0.000000e+00      0.000000e+00      1.841335e+00   
     3.608938        1.551716e+00      0.000000e+00      0.000000e+00      1.551716e+00   
     3.752880        1.262224e+00      0.000000e+00      0.000000e+00      1.262224e+00   
     3.910968        9.889412e-01      0.000000e+00      0.000000e+00      9.889412e-01   
     4.082775        7.449051e-01      0.000000e+00      0.000000e+00      7.449051e-01   
