#        q              total               1              \delta U         \delta U^2    

     0.001185        2.937314e+08      2.938229e+08     -9.522281e+04      3.694889e+03   
     0.006239        1.542570e+08      1.543242e+08     -6.774255e+04      6.098884e+02   
     0.015318        8.544016e+07      8.548990e+07     -5.034769e+04      6.092156e+02   
     0.028399        2.637781e+07      2.640141e+07     -2.420432e+04      6.080839e+02   
     0.045447        1.623658e+07      1.625636e+07     -2.038119e+04      6.057271e+02   
     0.066417        1.185563e+07      1.187264e+07     -1.760680e+04      6.015827e+02   
     0.091251        8.506020e+06      8.520501e+06     -1.507559e+04      5.950492e+02   
     0.119882        6.225370e+06      6.237562e+06     -1.277733e+04      5.854651e+02   
     0.152235        4.871365e+06      4.881965e+06     -1.117238e+04      5.721909e+02   
     0.188220        3.613524e+06      3.622652e+06     -9.682867e+03      5.546084e+02   
     0.227742        2.887885e+06      2.895661e+06     -8.308097e+03      5.321499e+02   
     0.270694        2.291755e+06      2.298648e+06     -7.397648e+03      5.043637e+02   
     0.316959        1.890891e+06      1.896950e+06     -6.530231e+03      4.710116e+02   
     0.366414        1.631105e+06      1.636680e+06     -6.007315e+03      4.321885e+02   
     0.418925        1.330589e+06      1.335407e+06     -5.206599e+03      3.884339e+02   
     0.474351        1.077717e+06      1.081838e+06     -4.462067e+03      3.408147e+02   
     0.532541        9.672625e+05      9.709656e+05     -3.994149e+03      2.909935e+02   
     0.593339        7.743385e+05      7.774440e+05     -3.346763e+03      2.412392e+02   
     0.656582        6.512746e+05      6.538487e+05     -2.768531e+03      1.943516e+02   
     0.722098        5.457871e+05      5.480372e+05     -2.403638e+03      1.534882e+02   
     0.789711        4.271405e+05      4.289622e+05     -1.943479e+03      1.218521e+02   
     0.859239        3.764936e+05      3.780494e+05     -1.658065e+03      1.022268e+02   
     0.930495        2.899962e+05      2.912153e+05     -1.315453e+03      9.641231e+01   
     1.003286        2.207490e+05      2.216789e+05     -1.034554e+03      1.046726e+02   
     1.077416        1.658842e+05      1.665664e+05     -8.075691e+02      1.253480e+02   
     1.152685        1.135869e+05      1.140107e+05     -5.785813e+02      1.548380e+02   
     1.228890        6.982491e+04      7.004391e+04     -4.070620e+02      1.880696e+02   
     1.305826        1.189599e+04      1.176414e+04     -8.757865e+01      2.194298e+02   
     1.383286        2.665899e+02      2.340281e+01     -7.296453e-01      2.439167e+02   
     1.461060        2.581628e+02      0.000000e+00      0.000000e+00      2.581628e+02   
     1.538940        2.609766e+02      0.000000e+00      0.000000e+00      2.609766e+02   
     1.616714        2.532481e+02      0.000000e+00      0.000000e+00      2.532481e+02   
     1.694174        2.373410e+02      0.000000e+00      0.000000e+00      2.373410e+02   
     1.771110        2.162622e+02      0.000000e+00      0.000000e+00      2.162622e+02   
     1.847315        1.929131e+02      0.000000e+00      0.000000e+00      1.929131e+02   
     1.922584        1.696078e+02      0.000000e+00      0.000000e+00      1.696078e+02   
     1.996714        1.478902e+02      0.000000e+00      0.000000e+00      1.478902e+02   
     2.069505        1.285774e+02      0.000000e+00      0.000000e+00      1.285774e+02   
     2.140761        1.119269e+02      0.000000e+00      0.000000e+00      1.119269e+02   
     2.210289        9.783638e+01      0.000000e+00      0.000000e+00      9.783638e+01   
     2.277902        8.601873e+01      0.000000e+00      0.000000e+00      8.601873e+01   
     2.343418        7.612655e+01      0.000000e+00      0.000000e+00      7.612655e+01   
     2.406661        6.782485e+01      0.000000e+00      0.000000e+00      6.782485e+01   
     2.467459        6.082397e+01      0.000000e+00      0.000000e+00      6.082397e+01   
     2.525649        5.488755e+01      0.000000e+00      0.000000e+00      5.488755e+01   
     2.581075        4.982828e+01      0.000000e+00      0.000000e+00      4.982828e+01   
     2.633586        4.549916e+01      0.000000e+00      0.000000e+00      4.549916e+01   
     2.683041        4.178469e+01      0.000000e+00      0.000000e+00      4.178469e+01   
     2.729306        3.859336e+01      0.000000e+00      0.000000e+00      3.859336e+01   
     2.772258        3.585194e+01      0.000000e+00      0.000000e+00      3.585194e+01   
     2.811780        3.350124e+01      0.000000e+00      0.000000e+00      3.350124e+01   
     2.847765        3.149301e+01      0.000000e+00      0.000000e+00      3.149301e+01   
     2.880118        2.978772e+01      0.000000e+00      0.000000e+00      2.978772e+01   
     2.908749        2.835295e+01      0.000000e+00      0.000000e+00      2.835295e+01   
     2.933583        2.716215e+01      0.000000e+00      0.000000e+00      2.716215e+01   
     2.954553        2.619377e+01      0.000000e+00      0.000000e+00      2.619377e+01   
     2.971601        2.543061e+01      0.000000e+00      0.000000e+00      2.543061e+01   
     2.984682        2.485927e+01      0.000000e+00      0.000000e+00      2.485927e+01   
     2.993761        2.446985e+01      0.000000e+00      0.000000e+00      2.446985e+01   
     2.998815        2.425553e+01      0.000000e+00      0.000000e+00      2.425553e+01   
     3.004739        2.400657e+01      0.000000e+00      0.000000e+00      2.400657e+01   
     3.024957        2.317480e+01      0.000000e+00      0.000000e+00      2.317480e+01   
     3.061273        2.174771e+01      0.000000e+00      0.000000e+00      2.174771e+01   
     3.113597        1.983413e+01      0.000000e+00      0.000000e+00      1.983413e+01   
     3.181789        1.757248e+01      0.000000e+00      0.000000e+00      1.757248e+01   
     3.265666        1.511451e+01      0.000000e+00      0.000000e+00      1.511451e+01   
     3.365002        1.260973e+01      0.000000e+00      0.000000e+00      1.260973e+01   
     3.479529        1.019207e+01      0.000000e+00      0.000000e+00      1.019207e+01   
     3.608938        7.969774e+00      0.000000e+00      0.000000e+00      7.969774e+00   
     3.752880        6.019121e+00      0.000000e+00      0.000000e+00      6.019121e+00   
     3.910968        4.382234e+00      0.000000e+00      0.000000e+00      4.382234e+00   
     4.082775        3.068948e+00      0.000000e+00      0.000000e+00      3.068948e+00   
     4.267838        2.062168e+00      0.000000e+00      0.000000e+00      2.062168e+00   
     4.465657        1.325566e+00      0.000000e+00      0.000000e+00      1.325566e+00   
     4.675701        8.121078e-01      0.000000e+00      0.000000e+00      8.121078e-01   
     4.897402        4.719314e-01      0.000000e+00      0.000000e+00      4.719314e-01   
     5.130163        2.584439e-01      0.000000e+00      0.000000e+00      2.584439e-01   
     5.373356        1.321401e-01      0.000000e+00      0.000000e+00      1.321401e-01   
     5.626327        6.220171e-02      0.000000e+00      0.000000e+00      6.220171e-02   
     5.888392        2.636060e-02      0.000000e+00      0.000000e+00      2.636060e-02   
     6.158845        9.680672e-03      0.000000e+00      0.000000e+00      9.680672e-03   
