#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.001762        3.752768e+08      3.753400e+08     -8.424229e+04      2.104272e+04   
     0.001185          0.009274        1.414402e+08      1.414735e+08     -5.334904e+04      2.006773e+04   
     0.001185          0.022740        6.657317e+07      6.659294e+07     -3.697397e+04      1.720138e+04   
     0.001185          0.042083        3.798244e+07      3.799641e+07     -2.824922e+04      1.427691e+04   
     0.001185          0.067187        2.413291e+07      2.414372e+07     -2.273085e+04      1.191479e+04   
     0.001185          0.097901        1.640708e+07      1.641587e+07     -1.889279e+04      1.011137e+04   
     0.001185          0.134040        1.186508e+07      1.187264e+07     -1.628031e+04      8.727580e+03   
     0.001185          0.175388        8.835654e+06      8.842004e+06     -1.399888e+04      7.648396e+03   
     0.001185          0.221694        6.800578e+06      6.806229e+06     -1.243528e+04      6.784025e+03   
     0.001185          0.272682        5.306004e+06      5.310932e+06     -1.100831e+04      6.080778e+03   
     0.001185          0.328043        4.480145e+06      4.484738e+06     -1.009574e+04      5.502899e+03   
     0.001185          0.387446        3.618426e+06      3.622652e+06     -9.248977e+03      5.022540e+03   
     0.001185          0.450533        3.028612e+06      3.032448e+06     -8.450936e+03      4.615525e+03   
     0.001185          0.516924        2.521188e+06      2.524643e+06     -7.700173e+03      4.245038e+03   
     0.001185          0.586221        2.189998e+06      2.193379e+06     -7.342069e+03      3.960928e+03   
     0.001185          0.658006        1.893987e+06      1.896950e+06     -6.659516e+03      3.696603e+03   
     0.001185          0.731848        1.633845e+06      1.636680e+06     -6.334706e+03      3.498905e+03   
     0.001185          0.807302        1.402634e+06      1.405071e+06     -5.717115e+03      3.280796e+03   
     0.001185          0.883916        1.264595e+06      1.266935e+06     -5.423973e+03      3.084183e+03   
     0.001185          0.961228        1.087180e+06      1.089392e+06     -5.141027e+03      2.928741e+03   
     0.001185          1.038772        9.688626e+05      9.709656e+05     -4.868096e+03      2.765079e+03   
     0.001185          1.116084        8.677552e+05      8.697283e+05     -4.605000e+03      2.631942e+03   
     0.001185          1.192698        7.756042e+05      7.774440e+05     -4.351558e+03      2.511690e+03   
     0.001185          1.268152        6.917497e+05      6.934681e+05     -4.107589e+03      2.389237e+03   
     0.001185          1.341994        6.155846e+05      6.171909e+05     -3.872913e+03      2.266625e+03   
     0.001185          1.413779        5.797595e+05      5.812450e+05     -3.647350e+03      2.161825e+03   
     0.001185          1.483076        5.464733e+05      5.480372e+05     -3.647350e+03      2.083445e+03   
     0.001185          1.549467        4.840127e+05      4.854646e+05     -3.430720e+03      1.978822e+03   
     0.001185          1.612554        4.276045e+05      4.289622e+05     -3.222841e+03      1.865209e+03   
     0.001185          1.671957        4.011648e+05      4.024342e+05     -3.023534e+03      1.754090e+03   
     0.001185          1.727318        3.767272e+05      3.780494e+05     -3.023534e+03      1.701290e+03   
     0.001185          1.778306        3.310468e+05      3.322749e+05     -2.832618e+03      1.604445e+03   
     0.001185          1.824612        3.200329e+05      3.212426e+05     -2.738567e+03      1.528901e+03   
     0.001185          1.865960        2.900396e+05      2.912153e+05     -2.649912e+03      1.474281e+03   
     0.001185          1.902099        2.804722e+05      2.816275e+05     -2.562668e+03      1.407371e+03   
