#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.001762        3.752427e+08      3.753400e+08     -9.837822e+04      1.009490e+03   
     0.001185          0.009274        1.414122e+08      1.414735e+08     -6.230106e+04      9.905807e+02   
     0.001185          0.022740        6.655070e+07      6.659294e+07     -4.317824e+04      9.404888e+02   
     0.001185          0.042083        3.796431e+07      3.799641e+07     -3.298946e+04      8.903187e+02   
     0.001185          0.067187        2.411803e+07      2.414372e+07     -2.654511e+04      8.465389e+02   
     0.001185          0.097901        1.639461e+07      1.641587e+07     -2.206302e+04      8.061838e+02   
     0.001185          0.134040        1.185439e+07      1.187264e+07     -1.901216e+04      7.683947e+02   
     0.001185          0.175388        8.826388e+06      8.842004e+06     -1.634790e+04      7.318009e+02   
     0.001185          0.221694        6.792403e+06      6.806229e+06     -1.452193e+04      6.957431e+02   
     0.001185          0.272682        5.298736e+06      5.310932e+06     -1.285551e+04      6.597799e+02   
     0.001185          0.328043        4.473572e+06      4.484738e+06     -1.178981e+04      6.237454e+02   
     0.001185          0.387446        3.612438e+06      3.622652e+06     -1.080096e+04      5.872691e+02   
     0.001185          0.450533        3.023129e+06      3.032448e+06     -9.869010e+03      5.504417e+02   
     0.001185          0.516924        2.516164e+06      2.524643e+06     -8.992268e+03      5.131636e+02   
     0.001185          0.586221        2.185282e+06      2.193379e+06     -8.574075e+03      4.766989e+02   
     0.001185          0.658006        1.889613e+06      1.896950e+06     -7.776989e+03      4.399727e+02   
     0.001185          0.731848        1.629687e+06      1.636680e+06     -7.397675e+03      4.045398e+02   
     0.001185          0.807302        1.398763e+06      1.405071e+06     -6.676452e+03      3.692631e+02   
     0.001185          0.883916        1.260936e+06      1.266935e+06     -6.334121e+03      3.351320e+02   
     0.001185          0.961228        1.083692e+06      1.089392e+06     -6.003696e+03      3.029305e+02   
     0.001185          1.038772        9.655528e+05      9.709656e+05     -5.684967e+03      2.721503e+02   
     0.001185          1.116084        8.645941e+05      8.697283e+05     -5.377723e+03      2.435419e+02   
     0.001185          1.192698        7.725794e+05      7.774440e+05     -5.081753e+03      2.171293e+02   
     0.001185          1.268152        6.888639e+05      6.934681e+05     -4.796846e+03      1.926971e+02   
     0.001185          1.341994        6.128385e+05      6.171909e+05     -4.522792e+03      1.703648e+02   
     0.001185          1.413779        5.771361e+05      5.812450e+05     -4.259379e+03      1.504699e+02   
     0.001185          1.483076        5.439110e+05      5.480372e+05     -4.259379e+03      1.331363e+02   
     0.001185          1.549467        4.815755e+05      4.854646e+05     -4.006398e+03      1.173375e+02   
     0.001185          1.612554        4.253018e+05      4.289622e+05     -3.763637e+03      1.032353e+02   
     0.001185          1.671957        3.989943e+05      4.024342e+05     -3.530886e+03      9.096053e+01   
     0.001185          1.727318        3.745998e+05      3.780494e+05     -3.530886e+03      8.128283e+01   
     0.001185          1.778306        3.290393e+05      3.322749e+05     -3.307933e+03      7.223701e+01   
     0.001185          1.824612        3.181093e+05      3.212426e+05     -3.198101e+03      6.487813e+01   
     0.001185          1.865960        2.881797e+05      2.912153e+05     -3.094569e+03      5.895294e+01   
     0.001185          1.902099        2.786886e+05      2.816275e+05     -2.992685e+03      5.382398e+01   
     0.001185          1.932813        2.516328e+05      2.544736e+05     -2.890583e+03      4.975355e+01   
     0.001185          1.957917        2.516300e+05      2.544736e+05     -2.890583e+03      4.698241e+01   
     0.001185          1.977260        2.405099e+05      2.432283e+05     -2.762846e+03      4.446141e+01   
     0.001185          1.990726        2.346695e+05      2.373226e+05     -2.695763e+03      4.265146e+01   
     0.001185          1.998238        2.226747e+05      2.253286e+05     -2.695763e+03      4.180332e+01   
     0.006239          0.001762        1.115017e+08      1.115562e+08     -5.524011e+04      7.304406e+02   
     0.006239          0.009274        1.029362e+08      1.029866e+08     -5.103812e+04      7.261276e+02   
