#        q              total               1              \delta U         \delta U^2    

     0.001185        2.408296e+04      2.424141e+04     -1.735170e+02      1.507159e+01   
     0.006239        1.720518e+04      1.736371e+04     -1.735975e+02      1.507150e+01   
     0.015318        1.274941e+04      1.290792e+04     -1.735874e+02      1.507113e+01   
     0.028399        6.050984e+03      6.209421e+03     -1.735070e+02      1.507072e+01   
     0.045447        5.077598e+03      5.236030e+03     -1.735018e+02      1.506970e+01   
     0.066417        4.376716e+03      4.534977e+03     -1.733287e+02      1.506731e+01   
     0.091251        3.741442e+03      3.899470e+03     -1.730928e+02      1.506423e+01   
     0.119882        3.168608e+03      3.326293e+03     -1.727447e+02      1.505923e+01   
     0.152235        2.778276e+03      2.935379e+03     -1.721548e+02      1.505270e+01   
     0.188220        2.420085e+03      2.576357e+03     -1.713177e+02      1.504532e+01   
     0.227742        2.092794e+03      2.247872e+03     -1.701169e+02      1.503834e+01   
     0.270694        1.891507e+03      2.045177e+03     -1.687024e+02      1.503286e+01   
     0.316959        1.703316e+03      1.855048e+03     -1.667642e+02      1.503248e+01   
     0.366414        1.614698e+03      1.764570e+03     -1.649122e+02      1.504083e+01   
     0.418925        1.445690e+03      1.592536e+03     -1.619107e+02      1.506443e+01   
     0.474351        1.289122e+03      1.432064e+03     -1.580504e+02      1.510894e+01   
     0.532541        1.216540e+03      1.356037e+03     -1.546793e+02      1.518254e+01   
     0.593339        1.078373e+03      1.212152e+03     -1.490732e+02      1.529401e+01   
     0.656582        9.520293e+02      1.078823e+03     -1.422407e+02      1.544705e+01   
     0.722098        8.946927e+02      1.015991e+03     -1.369455e+02      1.564714e+01   
     0.789711        7.854859e+02      8.977415e+02     -1.281480e+02      1.589238e+01   
     0.859239        7.366293e+02      8.422233e+02     -1.217742e+02      1.618030e+01   
     0.930495        6.433125e+02      7.381486e+02     -1.113329e+02      1.649677e+01   
     1.003286        5.597063e+02      6.430212e+02     -1.001341e+02      1.681925e+01   
     1.077416        4.850359e+02      5.564389e+02     -8.851814e+01      1.711515e+01   
     1.152685        3.866890e+02      4.417079e+02     -7.237393e+01      1.735503e+01   
     1.228890        3.045398e+02      3.439416e+02     -5.690154e+01      1.749981e+01   
     1.305826        8.571450e+01      8.183221e+01     -1.362345e+01      1.750574e+01   
     1.383286        1.797034e+01      7.539822e-01     -1.286186e-01      1.734497e+01   
     1.461060        1.700122e+01      0.000000e+00      0.000000e+00      1.700122e+01   
     1.538940        1.646449e+01      0.000000e+00      0.000000e+00      1.646449e+01   
     1.616714        1.574304e+01      0.000000e+00      0.000000e+00      1.574304e+01   
     1.694174        1.485631e+01      0.000000e+00      0.000000e+00      1.485631e+01   
     1.771110        1.383284e+01      0.000000e+00      0.000000e+00      1.383284e+01   
     1.847315        1.271225e+01      0.000000e+00      0.000000e+00      1.271225e+01   
     1.922584        1.154230e+01      0.000000e+00      0.000000e+00      1.154230e+01   
     1.996714        1.036695e+01      0.000000e+00      0.000000e+00      1.036695e+01   
     2.069505        9.223131e+00      0.000000e+00      0.000000e+00      9.223131e+00   
     2.140761        8.141152e+00      0.000000e+00      0.000000e+00      8.141152e+00   
     2.210289        7.143040e+00      0.000000e+00      0.000000e+00      7.143040e+00   
     2.277902        6.242370e+00      0.000000e+00      0.000000e+00      6.242370e+00   
     2.343418        5.444970e+00      0.000000e+00      0.000000e+00      5.444970e+00   
     2.406661        4.751707e+00      0.000000e+00      0.000000e+00      4.751707e+00   
     2.467459        4.155531e+00      0.000000e+00      0.000000e+00      4.155531e+00   
     2.525649        3.647472e+00      0.000000e+00      0.000000e+00      3.647472e+00   
     2.581075        3.217302e+00      0.000000e+00      0.000000e+00      3.217302e+00   
     2.633586        2.854986e+00      0.000000e+00      0.000000e+00      2.854986e+00   
     2.683041        2.551292e+00      0.000000e+00      0.000000e+00      2.551292e+00   
     2.729306        2.297168e+00      0.000000e+00      0.000000e+00      2.297168e+00   
     2.772258        2.084512e+00      0.000000e+00      0.000000e+00      2.084512e+00   
     2.811780        1.907030e+00      0.000000e+00      0.000000e+00      1.907030e+00   
     2.847765        1.759470e+00      0.000000e+00      0.000000e+00      1.759470e+00   
     2.880118        1.636994e+00      0.000000e+00      0.000000e+00      1.636994e+00   
     2.908749        1.536228e+00      0.000000e+00      0.000000e+00      1.536228e+00   
     2.933583        1.454147e+00      0.000000e+00      0.000000e+00      1.454147e+00   
     2.954553        1.388503e+00      0.000000e+00      0.000000e+00      1.388503e+00   
     2.971601        1.337432e+00      0.000000e+00      0.000000e+00      1.337432e+00   
     2.984682        1.299591e+00      0.000000e+00      0.000000e+00      1.299591e+00   
     2.993761        1.274013e+00      0.000000e+00      0.000000e+00      1.274013e+00   
     2.998815        1.260005e+00      0.000000e+00      0.000000e+00      1.260005e+00   
     3.004739        1.243806e+00      0.000000e+00      0.000000e+00      1.243806e+00   
     3.024957        1.190039e+00      0.000000e+00      0.000000e+00      1.190039e+00   
     3.061273        1.099584e+00      0.000000e+00      0.000000e+00      1.099584e+00   
     3.113597        9.816549e-01      0.000000e+00      0.000000e+00      9.816549e-01   
     3.181789        8.472428e-01      0.000000e+00      0.000000e+00      8.472428e-01   
     3.265666        7.072958e-01      0.000000e+00      0.000000e+00      7.072958e-01   
     3.365002        5.711515e-01      0.000000e+00      0.000000e+00      5.711515e-01   
     3.479529        4.458714e-01      0.000000e+00      0.000000e+00      4.458714e-01   
     3.608938        3.361043e-01      0.000000e+00      0.000000e+00      3.361043e-01   
     3.752880        2.442713e-01      0.000000e+00      0.000000e+00      2.442713e-01   
     3.910968        1.708065e-01      0.000000e+00      0.000000e+00      1.708065e-01   
     4.082775        1.146221e-01      0.000000e+00      0.000000e+00      1.146221e-01   
     4.267838        7.360134e-02      0.000000e+00      0.000000e+00      7.360134e-02   
     4.465657        4.509045e-02      0.000000e+00      0.000000e+00      4.509045e-02   
     4.675701        2.627062e-02      0.000000e+00      0.000000e+00      2.627062e-02   
     4.897402        1.450388e-02      0.000000e+00      0.000000e+00      1.450388e-02   
     5.130163        7.552931e-03      0.000000e+00      0.000000e+00      7.552931e-03   
     5.373356        3.688631e-03      0.000000e+00      0.000000e+00      3.688631e-03   
     5.626327        1.675557e-03      0.000000e+00      0.000000e+00      1.675557e-03   
     5.888392        6.996589e-04      0.000000e+00      0.000000e+00      6.996589e-04   
     6.158845        2.639373e-04      0.000000e+00      0.000000e+00      2.639373e-04   
     6.436958        8.793492e-05      0.000000e+00      0.000000e+00      8.793492e-05   
     6.721980        2.562742e-05      0.000000e+00      0.000000e+00      2.562742e-05   
     7.013143        7.521886e-06      0.000000e+00      0.000000e+00      7.521886e-06   
     7.309662        3.829104e-06      0.000000e+00      0.000000e+00      3.829104e-06   
     7.610739        3.494252e-06      0.000000e+00      0.000000e+00      3.494252e-06   
     7.915560        3.280448e-06      0.000000e+00      0.000000e+00      3.280448e-06   
     8.223305        2.701919e-06      0.000000e+00      0.000000e+00      2.701919e-06   
     8.533144        1.967535e-06      0.000000e+00      0.000000e+00      1.967535e-06   
     8.844241        1.298511e-06      0.000000e+00      0.000000e+00      1.298511e-06   
     9.155759        7.926203e-07      0.000000e+00      0.000000e+00      7.926203e-07   
     9.466856        4.545084e-07      0.000000e+00      0.000000e+00      4.545084e-07   
     9.776695        2.479581e-07      0.000000e+00      0.000000e+00      2.479581e-07   
