#        q              total               1              \delta U         \delta U^2    

     0.001185        2.474410e+04      2.475535e+04     -1.125293e+01      9.678467e-03   
     0.006239        1.323487e+04      1.324611e+04     -1.124785e+01      9.674770e-03   
     0.015318        9.010282e+03      9.021523e+03     -1.125069e+01      9.667140e-03   
     0.028399        6.836403e+03      6.847642e+03     -1.124843e+01      9.654978e-03   
     0.045447        5.410670e+03      5.421911e+03     -1.125125e+01      9.653091e-03   
     0.066417        4.523739e+03      4.534977e+03     -1.124739e+01      9.651751e-03   
     0.091251        3.888235e+03      3.899470e+03     -1.124476e+01      9.649675e-03   
     0.119882        3.315063e+03      3.326293e+03     -1.124000e+01      9.648534e-03   
     0.152235        2.924161e+03      2.935379e+03     -1.122762e+01      9.647208e-03   
     0.188220        2.565157e+03      2.576357e+03     -1.121002e+01      9.646598e-03   
     0.227742        2.342875e+03      2.354058e+03     -1.119323e+01      9.646103e-03   
     0.270694        2.133771e+03      2.144929e+03     -1.116730e+01      9.645737e-03   
     0.316959        1.937450e+03      1.948567e+03     -1.112613e+01      9.645398e-03   
     0.366414        1.753511e+03      1.764570e+03     -1.106835e+01      9.644995e-03   
     0.418925        1.581560e+03      1.592536e+03     -1.098583e+01      9.644568e-03   
     0.474351        1.421206e+03      1.432064e+03     -1.086714e+01      9.644086e-03   
     0.532541        1.345257e+03      1.356037e+03     -1.078997e+01      9.643591e-03   
     0.593339        1.201572e+03      1.212152e+03     -1.059019e+01      9.643028e-03   
     0.656582        1.133739e+03      1.144193e+03     -1.046373e+01      9.642417e-03   
     0.722098        1.005849e+03      1.015991e+03     -1.015123e+01      9.641691e-03   
     0.789711        8.880026e+02      8.977415e+02     -9.748519e+00      9.640855e-03   
     0.859239        8.327217e+02      8.422233e+02     -9.511244e+00      9.639897e-03   
     0.930495        7.291928e+02      7.381486e+02     -8.965483e+00      9.638828e-03   
     1.003286        6.346992e+02      6.430212e+02     -8.331617e+00      9.637595e-03   
     1.077416        5.488230e+02      5.564389e+02     -7.625487e+00      9.636163e-03   
     1.152685        4.352392e+02      4.417079e+02     -6.478399e+00      9.634461e-03   
     1.228890        3.386508e+02      3.439416e+02     -5.300350e+00      9.632481e-03   
     1.305826        5.884332e+01      5.981592e+01     -9.822301e-01      9.630112e-03   
     1.383286        9.627272e-03      0.000000e+00      0.000000e+00      9.627272e-03   
     1.461060        9.623855e-03      0.000000e+00      0.000000e+00      9.623855e-03   
     1.538940        9.619767e-03      0.000000e+00      0.000000e+00      9.619767e-03   
     1.616714        9.614925e-03      0.000000e+00      0.000000e+00      9.614925e-03   
     1.694174        9.609261e-03      0.000000e+00      0.000000e+00      9.609261e-03   
     1.771110        9.602755e-03      0.000000e+00      0.000000e+00      9.602755e-03   
     1.847315        9.595364e-03      0.000000e+00      0.000000e+00      9.595364e-03   
     1.922584        9.587046e-03      0.000000e+00      0.000000e+00      9.587046e-03   
     1.996714        9.577832e-03      0.000000e+00      0.000000e+00      9.577832e-03   
     2.069505        9.567745e-03      0.000000e+00      0.000000e+00      9.567745e-03   
     2.140761        9.556785e-03      0.000000e+00      0.000000e+00      9.556785e-03   
     2.210289        9.544997e-03      0.000000e+00      0.000000e+00      9.544997e-03   
     2.277902        9.532443e-03      0.000000e+00      0.000000e+00      9.532443e-03   
     2.343418        9.519200e-03      0.000000e+00      0.000000e+00      9.519200e-03   
     2.406661        9.505345e-03      0.000000e+00      0.000000e+00      9.505345e-03   
     2.467459        9.490987e-03      0.000000e+00      0.000000e+00      9.490987e-03   
     2.525649        9.476250e-03      0.000000e+00      0.000000e+00      9.476250e-03   
     2.581075        9.461273e-03      0.000000e+00      0.000000e+00      9.461273e-03   
     2.633586        9.446205e-03      0.000000e+00      0.000000e+00      9.446205e-03   
     2.683041        9.431197e-03      0.000000e+00      0.000000e+00      9.431197e-03   
     2.729306        9.416415e-03      0.000000e+00      0.000000e+00      9.416415e-03   
     2.772258        9.402034e-03      0.000000e+00      0.000000e+00      9.402034e-03   
     2.811780        9.388225e-03      0.000000e+00      0.000000e+00      9.388225e-03   
     2.847765        9.375160e-03      0.000000e+00      0.000000e+00      9.375160e-03   
     2.880118        9.363006e-03      0.000000e+00      0.000000e+00      9.363006e-03   
     2.908749        9.351921e-03      0.000000e+00      0.000000e+00      9.351921e-03   
     2.933583        9.342052e-03      0.000000e+00      0.000000e+00      9.342052e-03   
     2.954553        9.333528e-03      0.000000e+00      0.000000e+00      9.333528e-03   
     2.971601        9.326471e-03      0.000000e+00      0.000000e+00      9.326471e-03   
     2.984682        9.320979e-03      0.000000e+00      0.000000e+00      9.320979e-03   
     2.993761        9.317124e-03      0.000000e+00      0.000000e+00      9.317124e-03   
     2.998815        9.314964e-03      0.000000e+00      0.000000e+00      9.314964e-03   
     3.004739        9.312420e-03      0.000000e+00      0.000000e+00      9.312420e-03   
     3.024957        9.303629e-03      0.000000e+00      0.000000e+00      9.303629e-03   
     3.061273        9.287413e-03      0.000000e+00      0.000000e+00      9.287413e-03   
     3.113597        9.263077e-03      0.000000e+00      0.000000e+00      9.263077e-03   
     3.181789        9.229581e-03      0.000000e+00      0.000000e+00      9.229581e-03   
     3.265666        9.185502e-03      0.000000e+00      0.000000e+00      9.185502e-03   
     3.365002        9.129025e-03      0.000000e+00      0.000000e+00      9.129025e-03   
     3.479529        9.057852e-03      0.000000e+00      0.000000e+00      9.057852e-03   
     3.608938        8.969158e-03      0.000000e+00      0.000000e+00      8.969158e-03   
     3.752880        8.859505e-03      0.000000e+00      0.000000e+00      8.859505e-03   
     3.910968        8.724721e-03      0.000000e+00      0.000000e+00      8.724721e-03   
     4.082775        8.559739e-03      0.000000e+00      0.000000e+00      8.559739e-03   
     4.267838        8.358108e-03      0.000000e+00      0.000000e+00      8.358108e-03   
     4.465657        8.110641e-03      0.000000e+00      0.000000e+00      8.110641e-03   
     4.675701        7.801906e-03      0.000000e+00      0.000000e+00      7.801906e-03   
     4.897402        7.706228e-03      0.000000e+00      0.000000e+00      7.706228e-03   
     5.130163        1.084169e-02      0.000000e+00      0.000000e+00      1.084169e-02   
     5.373356        2.428963e-02      0.000000e+00      0.000000e+00      2.428963e-02   
     5.626327        5.384123e-02      0.000000e+00      0.000000e+00      5.384123e-02   
     5.888392        8.732870e-02      0.000000e+00      0.000000e+00      8.732870e-02   
     6.158845        1.145485e-01      0.000000e+00      0.000000e+00      1.145485e-01   
     6.436958        1.006878e-01      0.000000e+00      0.000000e+00      1.006878e-01   
     6.721980        6.126167e-02      0.000000e+00      0.000000e+00      6.126167e-02   
     7.013143        2.898699e-02      0.000000e+00      0.000000e+00      2.898699e-02   
     7.309662        1.085252e-02      0.000000e+00      0.000000e+00      1.085252e-02   
     7.610739        4.200182e-03      0.000000e+00      0.000000e+00      4.200182e-03   
     7.915560        1.677465e-03      0.000000e+00      0.000000e+00      1.677465e-03   
     8.223305        6.447639e-04      0.000000e+00      0.000000e+00      6.447639e-04   
     8.533144        2.429749e-04      0.000000e+00      0.000000e+00      2.429749e-04   
     8.844241        1.038921e-04      0.000000e+00      0.000000e+00      1.038921e-04   
     9.155759        6.480915e-05      0.000000e+00      0.000000e+00      6.480915e-05   
     9.466856        5.702456e-05      0.000000e+00      0.000000e+00      5.702456e-05   
     9.776695        5.467714e-05      0.000000e+00      0.000000e+00      5.467714e-05   
    10.084440        5.029134e-05      0.000000e+00      0.000000e+00      5.029134e-05   
    10.389261        4.331993e-05      0.000000e+00      0.000000e+00      4.331993e-05   
    10.690338        3.513021e-05      0.000000e+00      0.000000e+00      3.513021e-05   
    10.986857        2.709286e-05      0.000000e+00      0.000000e+00      2.709286e-05   
    11.278020        2.005648e-05      0.000000e+00      0.000000e+00      2.005648e-05   
    11.563042        1.436249e-05      0.000000e+00      0.000000e+00      1.436249e-05   
    11.841155        1.001227e-05      0.000000e+00      0.000000e+00      1.001227e-05   
    12.111608        6.830727e-06      0.000000e+00      0.000000e+00      6.830727e-06   
    12.373673        4.581877e-06      0.000000e+00      0.000000e+00      4.581877e-06   
    12.626644        3.034500e-06      0.000000e+00      0.000000e+00      3.034500e-06   
    12.869837        1.992270e-06      0.000000e+00      0.000000e+00      1.992270e-06   
    13.102598        1.301966e-06      0.000000e+00      0.000000e+00      1.301966e-06   
    13.324299        8.505374e-07      0.000000e+00      0.000000e+00      8.505374e-07   
    13.534343        5.580986e-07      0.000000e+00      0.000000e+00      5.580986e-07   
    13.732162        3.698692e-07      0.000000e+00      0.000000e+00      3.698692e-07   
    13.917225        2.491271e-07      0.000000e+00      0.000000e+00      2.491271e-07   
    14.089032        1.717558e-07      0.000000e+00      0.000000e+00      1.717558e-07   
    14.247120        1.221107e-07      0.000000e+00      0.000000e+00      1.221107e-07   
    14.391062        9.015138e-08      0.000000e+00      0.000000e+00      9.015138e-08   
    14.520471        6.948954e-08      0.000000e+00      0.000000e+00      6.948954e-08   
    14.634998        5.608316e-08      0.000000e+00      0.000000e+00      5.608316e-08   
    14.734334        4.738241e-08      0.000000e+00      0.000000e+00      4.738241e-08   
    14.818211        4.171800e-08      0.000000e+00      0.000000e+00      4.171800e-08   
    14.886403        3.802486e-08      0.000000e+00      0.000000e+00      3.802486e-08   
    14.938727        3.564309e-08      0.000000e+00      0.000000e+00      3.564309e-08   
    14.975043        3.419989e-08      0.000000e+00      0.000000e+00      3.419989e-08   
    14.995261        3.350461e-08      0.000000e+00      0.000000e+00      3.350461e-08   
