#        q              total               1              \delta U         \delta U^2    

     0.001185        2.475465e+04      2.475535e+04     -7.729028e-01      7.110173e-02   
     0.006239        1.324541e+04      1.324611e+04     -7.707315e-01      7.110318e-02   
     0.015318        9.020823e+03      9.021523e+03     -7.717253e-01      7.111215e-02   
     0.028399        6.846941e+03      6.847642e+03     -7.720064e-01      7.114018e-02   
     0.045447        5.421209e+03      5.421911e+03     -7.732906e-01      7.120390e-02   
     0.066417        4.534273e+03      4.534977e+03     -7.750145e-01      7.132167e-02   
     0.091251        3.898764e+03      3.899470e+03     -7.781264e-01      7.151516e-02   
     0.119882        3.325582e+03      3.326293e+03     -7.827757e-01      7.180255e-02   
     0.152235        2.934662e+03      2.935379e+03     -7.889892e-01      7.220946e-02   
     0.188220        2.575632e+03      2.576357e+03     -7.979442e-01      7.275019e-02   
     0.227742        2.353322e+03      2.354058e+03     -8.100585e-01      7.341370e-02   
     0.270694        2.144177e+03      2.144929e+03     -8.255434e-01      7.419190e-02   
     0.316959        1.947797e+03      1.948567e+03     -8.445702e-01      7.504774e-02   
     0.366414        1.763778e+03      1.764570e+03     -8.678025e-01      7.591285e-02   
     0.418925        1.591718e+03      1.592536e+03     -8.951725e-01      7.670261e-02   
     0.474351        1.431215e+03      1.432064e+03     -9.261574e-01      7.731278e-02   
     0.532541        1.355151e+03      1.356037e+03     -9.635469e-01      7.763092e-02   
     0.593339        1.211229e+03      1.212152e+03     -1.000376e+00      7.754123e-02   
     0.656582        1.143225e+03      1.144193e+03     -1.045396e+00      7.693231e-02   
     0.722098        1.014984e+03      1.015991e+03     -1.082673e+00      7.577552e-02   
     0.789711        8.967016e+02      8.977415e+02     -1.113919e+00      7.402007e-02   
     0.859239        8.411348e+02      8.422233e+02     -1.160187e+00      7.171758e-02   
     0.930495        7.370411e+02      7.381486e+02     -1.176475e+00      6.898131e-02   
     1.003286        6.419101e+02      6.430212e+02     -1.176991e+00      6.595535e-02   
     1.077416        5.553422e+02      5.564389e+02     -1.159438e+00      6.275253e-02   
     1.152685        4.407045e+02      4.417079e+02     -1.063061e+00      5.960071e-02   
     1.228890        3.430633e+02      3.439416e+02     -9.348939e-01      5.663798e-02   
     1.305826        5.968335e+01      5.981592e+01     -1.866018e-01      5.402679e-02   
     1.383286        5.201823e-02      0.000000e+00      0.000000e+00      5.201823e-02   
     1.461060        5.075356e-02      0.000000e+00      0.000000e+00      5.075356e-02   
     1.538940        5.035772e-02      0.000000e+00      0.000000e+00      5.035772e-02   
     1.616714        5.086307e-02      0.000000e+00      0.000000e+00      5.086307e-02   
     1.694174        5.222616e-02      0.000000e+00      0.000000e+00      5.222616e-02   
     1.771110        5.433914e-02      0.000000e+00      0.000000e+00      5.433914e-02   
     1.847315        5.705818e-02      0.000000e+00      0.000000e+00      5.705818e-02   
     1.922584        6.006638e-02      0.000000e+00      0.000000e+00      6.006638e-02   
     1.996714        6.298524e-02      0.000000e+00      0.000000e+00      6.298524e-02   
     2.069505        6.552471e-02      0.000000e+00      0.000000e+00      6.552471e-02   
     2.140761        6.746953e-02      0.000000e+00      0.000000e+00      6.746953e-02   
     2.210289        6.868764e-02      0.000000e+00      0.000000e+00      6.868764e-02   
     2.277902        6.911259e-02      0.000000e+00      0.000000e+00      6.911259e-02   
     2.343418        6.876290e-02      0.000000e+00      0.000000e+00      6.876290e-02   
     2.406661        6.770279e-02      0.000000e+00      0.000000e+00      6.770279e-02   
     2.467459        6.605828e-02      0.000000e+00      0.000000e+00      6.605828e-02   
     2.525649        6.397377e-02      0.000000e+00      0.000000e+00      6.397377e-02   
     2.581075        6.159347e-02      0.000000e+00      0.000000e+00      6.159347e-02   
     2.633586        5.904349e-02      0.000000e+00      0.000000e+00      5.904349e-02   
     2.683041        5.643587e-02      0.000000e+00      0.000000e+00      5.643587e-02   
     2.729306        5.386036e-02      0.000000e+00      0.000000e+00      5.386036e-02   
     2.772258        5.139014e-02      0.000000e+00      0.000000e+00      5.139014e-02   
     2.811780        4.907471e-02      0.000000e+00      0.000000e+00      4.907471e-02   
     2.847765        4.694842e-02      0.000000e+00      0.000000e+00      4.694842e-02   
     2.880118        4.503643e-02      0.000000e+00      0.000000e+00      4.503643e-02   
     2.908749        4.335096e-02      0.000000e+00      0.000000e+00      4.335096e-02   
     2.933583        4.189888e-02      0.000000e+00      0.000000e+00      4.189888e-02   
     2.954553        4.068311e-02      0.000000e+00      0.000000e+00      4.068311e-02   
     2.971601        3.970321e-02      0.000000e+00      0.000000e+00      3.970321e-02   
     2.984682        3.895660e-02      0.000000e+00      0.000000e+00      3.895660e-02   
     2.993761        3.844214e-02      0.000000e+00      0.000000e+00      3.844214e-02   
     2.998815        3.815674e-02      0.000000e+00      0.000000e+00      3.815674e-02   
     3.004739        3.782320e-02      0.000000e+00      0.000000e+00      3.782320e-02   
     3.024957        3.669462e-02      0.000000e+00      0.000000e+00      3.669462e-02   
     3.061273        3.470669e-02      0.000000e+00      0.000000e+00      3.470669e-02   
     3.113597        3.194204e-02      0.000000e+00      0.000000e+00      3.194204e-02   
     3.181789        2.853610e-02      0.000000e+00      0.000000e+00      2.853610e-02   
     3.265666        2.468052e-02      0.000000e+00      0.000000e+00      2.468052e-02   
