#        q              total               1              \delta U         \delta U^2    

     0.001185        5.452353e+03      5.454202e+03     -1.988758e+00      1.402405e-01   
     0.006239        5.452353e+03      5.454202e+03     -1.989309e+00      1.402373e-01   
     0.015318        5.452353e+03      5.454202e+03     -1.989271e+00      1.401760e-01   
     0.028399        3.601752e+03      3.603600e+03     -1.988057e+00      1.399674e-01   
     0.045447        2.270705e+03      2.272550e+03     -1.984852e+00      1.398878e-01   
     0.066417        1.548941e+03      1.550780e+03     -1.978896e+00      1.397397e-01   
     0.091251        1.052264e+03      1.054092e+03     -1.967632e+00      1.394998e-01   
     0.119882        7.589478e+02      7.607600e+02     -1.951381e+00      1.391344e-01   
     0.152235        5.431301e+02      5.449180e+02     -1.926549e+00      1.386232e-01   
     0.188220        4.004638e+02      4.022200e+02     -1.894139e+00      1.379392e-01   
     0.227742        2.967375e+02      2.984520e+02     -1.851597e+00      1.370755e-01   
     0.270694        2.221268e+02      2.237900e+02     -1.799218e+00      1.360379e-01   
     0.316959        1.611553e+02      1.627500e+02     -1.729539e+00      1.348514e-01   
     0.366414        1.252007e+02      1.267300e+02     -1.662865e+00      1.335699e-01   
     0.418925        9.501064e+01      9.646000e+01     -1.581633e+00      1.322728e-01   
     0.474351        7.467929e+01      7.604800e+01     -1.499784e+00      1.310693e-01   
     0.532541        5.746783e+01      5.874000e+01     -1.402255e+00      1.300829e-01   
     0.593339        4.645999e+01      4.764200e+01     -1.311466e+00      1.294519e-01   
     0.656582        3.997271e+01      4.108000e+01     -1.236593e+00      1.293072e-01   
     0.722098        3.141750e+01      3.241200e+01     -1.124251e+00      1.297478e-01   
     0.789711        2.646618e+01      2.737000e+01     -1.034628e+00      1.308090e-01   
     0.859239        2.006222e+01      2.083200e+01     -9.022687e-01      1.324921e-01   
     0.930495        1.644272e+01      1.711000e+01     -8.019594e-01      1.346836e-01   
     1.003286        1.329711e+01      1.386000e+01     -7.000525e-01      1.371586e-01   
     1.077416        1.059099e+01      1.105000e+01     -5.986060e-01      1.395969e-01   
     1.152685        8.289847e+00      8.648000e+00     -4.998522e-01      1.416988e-01   
     1.228890        6.358998e+00      6.622000e+00     -4.060807e-01      1.430785e-01   
     1.305826        4.763902e+00      4.940000e+00     -3.194530e-01      1.433550e-01   
     1.383286        2.923822e+00      2.992000e+00     -2.104429e-01      1.422654e-01   
     1.461060        2.021681e+00      2.030000e+00     -1.480399e-01      1.397205e-01   
     1.538940        1.069553e+00      1.012000e+00     -7.810366e-02      1.356565e-01   
     1.616714        5.054674e-01      4.080000e-01     -3.270508e-02      1.301725e-01   
     1.694174        1.491342e-01      2.800000e-02     -2.335819e-03      1.234700e-01   
     1.771110        1.157822e-01      0.000000e+00      0.000000e+00      1.157822e-01   
