#        q              total               1              \delta U         \delta U^2    

     0.001185        5.453876e+03      5.454202e+03     -3.275981e-01      1.513247e-03   
     0.006239        5.453876e+03      5.454202e+03     -3.276581e-01      1.513197e-03   
     0.015318        5.453876e+03      5.454202e+03     -3.277007e-01      1.511916e-03   
     0.028399        3.542024e+03      3.542350e+03     -3.275654e-01      1.507684e-03   
     0.045447        2.272224e+03      2.272550e+03     -3.271475e-01      1.506538e-03   
     0.066417        1.550455e+03      1.550780e+03     -3.263721e-01      1.504637e-03   
     0.091251        1.053769e+03      1.054092e+03     -3.249159e-01      1.501750e-03   
     0.119882        7.604387e+02      7.607600e+02     -3.228331e-01      1.497718e-03   
     0.152235        5.445999e+02      5.449180e+02     -3.195983e-01      1.492343e-03   
     0.188220        4.019061e+02      4.022200e+02     -3.153838e-01      1.485546e-03   
     0.227742        2.981436e+02      2.984520e+02     -3.098474e-01      1.477306e-03   
     0.270694        2.234885e+02      2.237900e+02     -3.029918e-01      1.467707e-03   
     0.316959        1.703944e+02      1.706880e+02     -2.950550e-01      1.457023e-03   
     0.366414        1.264468e+02      1.267300e+02     -2.846539e-01      1.445603e-03   
     0.418925        9.618797e+01      9.646000e+01     -2.734598e-01      1.434181e-03   
     0.474351        7.578704e+01      7.604800e+01     -2.623825e-01      1.423645e-03   
     0.532541        5.849224e+01      5.874000e+01     -2.491725e-01      1.415387e-03   
     0.593339        4.740603e+01      4.764200e+01     -2.373854e-01      1.410965e-03   
     0.656582        3.493189e+01      3.515000e+01     -2.195233e-01      1.412505e-03   
     0.722098        2.961256e+01      2.982000e+01     -2.088654e-01      1.422265e-03   
     0.789711        2.268960e+01      2.288000e+01     -1.918469e-01      1.442996e-03   
     0.859239        1.873252e+01      1.891000e+01     -1.789615e-01      1.477491e-03   
     0.930495        1.526447e+01      1.542800e+01     -1.650572e-01      1.528774e-03   
     1.003286        1.225355e+01      1.240200e+01     -1.500535e-01      1.599717e-03   
     1.077416        9.667808e+00      9.800000e+00     -1.338854e-01      1.693075e-03   
     1.152685        7.475214e+00      7.590000e+00     -1.165976e-01      1.811237e-03   
     1.228890        6.516866e+00      6.622000e+00     -1.070900e-01      1.956078e-03   
     1.305826        4.853407e+00      4.940000e+00     -8.872164e-02      2.128684e-03   
     1.383286        4.141258e+00      4.218000e+00     -7.907170e-02      2.329319e-03   
     1.461060        2.933447e+00      2.992000e+00     -6.111074e-02      2.557521e-03   
     1.538940        2.430530e+00      2.480000e+00     -5.228200e-02      2.811599e-03   
     1.616714        1.604318e+00      1.638000e+00     -3.677046e-02      3.088802e-03   
     1.694174        7.548055e-01      7.700000e-01     -1.858014e-02      3.385650e-03   
     1.771110        1.810465e-01      1.820000e-01     -4.651345e-03      3.697803e-03   
     1.847315        4.020162e-03      0.000000e+00      0.000000e+00      4.020162e-03   
     1.922584        4.347300e-03      0.000000e+00      0.000000e+00      4.347300e-03   
     1.996714        4.673386e-03      0.000000e+00      0.000000e+00      4.673386e-03   
     2.069505        4.992538e-03      0.000000e+00      0.000000e+00      4.992538e-03   
     2.140761        5.299311e-03      0.000000e+00      0.000000e+00      5.299311e-03   
     2.210289        5.588858e-03      0.000000e+00      0.000000e+00      5.588858e-03   
     2.277902        5.857023e-03      0.000000e+00      0.000000e+00      5.857023e-03   
     2.343418        6.100635e-03      0.000000e+00      0.000000e+00      6.100635e-03   
     2.406661        6.317428e-03      0.000000e+00      0.000000e+00      6.317428e-03   
     2.467459        6.506003e-03      0.000000e+00      0.000000e+00      6.506003e-03   
     2.525649        6.666084e-03      0.000000e+00      0.000000e+00      6.666084e-03   
     2.581075        6.798358e-03      0.000000e+00      0.000000e+00      6.798358e-03   
     2.633586        6.904308e-03      0.000000e+00      0.000000e+00      6.904308e-03   
     2.683041        6.985663e-03      0.000000e+00      0.000000e+00      6.985663e-03   
     2.729306        7.045054e-03      0.000000e+00      0.000000e+00      7.045054e-03   
     2.772258        7.085551e-03      0.000000e+00      0.000000e+00      7.085551e-03   
     2.811780        7.110131e-03      0.000000e+00      0.000000e+00      7.110131e-03   
     2.847765        7.121600e-03      0.000000e+00      0.000000e+00      7.121600e-03   
     2.880118        7.123487e-03      0.000000e+00      0.000000e+00      7.123487e-03   
     2.908749        7.118078e-03      0.000000e+00      0.000000e+00      7.118078e-03   
     2.933583        7.108475e-03      0.000000e+00      0.000000e+00      7.108475e-03   
     2.954553        7.096500e-03      0.000000e+00      0.000000e+00      7.096500e-03   
     2.971601        7.084512e-03      0.000000e+00      0.000000e+00      7.084512e-03   
     2.984682        7.073847e-03      0.000000e+00      0.000000e+00      7.073847e-03   
     2.993761        7.065616e-03      0.000000e+00      0.000000e+00      7.065616e-03   
     2.998815        7.060787e-03      0.000000e+00      0.000000e+00      7.060787e-03   
     3.004739        7.054868e-03      0.000000e+00      0.000000e+00      7.054868e-03   
     3.024957        7.032433e-03      0.000000e+00      0.000000e+00      7.032433e-03   
     3.061273        6.983598e-03      0.000000e+00      0.000000e+00      6.983598e-03   
     3.113597        6.895590e-03      0.000000e+00      0.000000e+00      6.895590e-03   
     3.181789        6.751952e-03      0.000000e+00      0.000000e+00      6.751952e-03   
     3.265666        6.535774e-03      0.000000e+00      0.000000e+00      6.535774e-03   
     3.365002        6.230129e-03      0.000000e+00      0.000000e+00      6.230129e-03   
     3.479529        5.817839e-03      0.000000e+00      0.000000e+00      5.817839e-03   
     3.608938        5.297823e-03      0.000000e+00      0.000000e+00      5.297823e-03   
     3.752880        4.682274e-03      0.000000e+00      0.000000e+00      4.682274e-03   
     3.910968        3.997313e-03      0.000000e+00      0.000000e+00      3.997313e-03   
     4.082775        3.282184e-03      0.000000e+00      0.000000e+00      3.282184e-03   
     4.267838        2.583227e-03      0.000000e+00      0.000000e+00      2.583227e-03   
     4.465657        1.944236e-03      0.000000e+00      0.000000e+00      1.944236e-03   
     4.675701        1.397555e-03      0.000000e+00      0.000000e+00      1.397555e-03   
     4.897402        9.592507e-04      0.000000e+00      0.000000e+00      9.592507e-04   
     5.130163        6.289235e-04      0.000000e+00      0.000000e+00      6.289235e-04   
     5.373356        3.939722e-04      0.000000e+00      0.000000e+00      3.939722e-04   
     5.626327        2.356185e-04      0.000000e+00      0.000000e+00      2.356185e-04   
     5.888392        1.341993e-04      0.000000e+00      0.000000e+00      1.341993e-04   
     6.158845        7.243759e-05      0.000000e+00      0.000000e+00      7.243759e-05   
     6.436958        3.676153e-05      0.000000e+00      0.000000e+00      3.676153e-05   
     6.721980        1.733319e-05      0.000000e+00      0.000000e+00      1.733319e-05   
     7.013143        7.466274e-06      0.000000e+00      0.000000e+00      7.466274e-06   
     7.309662        2.882111e-06      0.000000e+00      0.000000e+00      2.882111e-06   
     7.610739        1.002828e-06      0.000000e+00      0.000000e+00      1.002828e-06   
     7.915560        3.757308e-07      0.000000e+00      0.000000e+00      3.757308e-07   
     8.223305        2.461115e-07      0.000000e+00      0.000000e+00      2.461115e-07   
     8.533144        2.621446e-07      0.000000e+00      0.000000e+00      2.621446e-07   
     8.844241        2.855849e-07      0.000000e+00      0.000000e+00      2.855849e-07   
     9.155759        2.793367e-07      0.000000e+00      0.000000e+00      2.793367e-07   
     9.466856        2.463050e-07      0.000000e+00      0.000000e+00      2.463050e-07   
     9.776695        1.998262e-07      0.000000e+00      0.000000e+00      1.998262e-07   
    10.084440        1.517404e-07      0.000000e+00      0.000000e+00      1.517404e-07   
    10.389261        1.092160e-07      0.000000e+00      0.000000e+00      1.092160e-07   
    10.690338        7.519627e-08      0.000000e+00      0.000000e+00      7.519627e-08   
    10.986857        4.986674e-08      0.000000e+00      0.000000e+00      4.986674e-08   
    11.278020        3.201902e-08      0.000000e+00      0.000000e+00      3.201902e-08   
    11.563042        1.998951e-08      0.000000e+00      0.000000e+00      1.998951e-08   
    11.841155        1.217614e-08      0.000000e+00      0.000000e+00      1.217614e-08   
    12.111608        7.259734e-09      0.000000e+00      0.000000e+00      7.259734e-09   
    12.373673        4.251314e-09      0.000000e+00      0.000000e+00      4.251314e-09   
    12.626644        2.456265e-09      0.000000e+00      0.000000e+00      2.456265e-09   
    12.869837        1.409917e-09      0.000000e+00      0.000000e+00      1.409917e-09   
    13.102598        8.133832e-10      0.000000e+00      0.000000e+00      8.133832e-10   
    13.324299        4.806054e-10      0.000000e+00      0.000000e+00      4.806054e-10   
    13.534343        2.989173e-10      0.000000e+00      0.000000e+00      2.989173e-10   
    13.732162        2.018390e-10      0.000000e+00      0.000000e+00      2.018390e-10   
    13.917225        1.510542e-10      0.000000e+00      0.000000e+00      1.510542e-10   
    14.089032        1.249967e-10      0.000000e+00      0.000000e+00      1.249967e-10   
    14.247120        1.118196e-10      0.000000e+00      0.000000e+00      1.118196e-10   
    14.391062        1.051815e-10      0.000000e+00      0.000000e+00      1.051815e-10   
    14.520471        1.017961e-10      0.000000e+00      0.000000e+00      1.017961e-10   
    14.634998        1.000189e-10      0.000000e+00      0.000000e+00      1.000189e-10   
    14.734334        9.903930e-11      0.000000e+00      0.000000e+00      9.903930e-11   
    14.818211        9.844890e-11      0.000000e+00      0.000000e+00      9.844890e-11   
    14.886403        9.804813e-11      0.000000e+00      0.000000e+00      9.804813e-11   
    14.938727        9.776406e-11      0.000000e+00      0.000000e+00      9.776406e-11   
    14.975043        9.761129e-11      0.000000e+00      0.000000e+00      9.761129e-11   
    14.995261        9.756110e-11      0.000000e+00      0.000000e+00      9.756110e-11   
