#        q              total               1              \delta U         \delta U^2    

     0.001185        7.280706e+03      7.296537e+03     -1.650269e+01      6.714522e-01   
     0.006239        4.519137e+03      4.534977e+03     -1.651158e+01      6.714160e-01   
     0.015318        2.338224e+03      2.354058e+03     -1.650559e+01      6.713362e-01   
     0.028399        1.748736e+03      1.764570e+03     -1.650492e+01      6.711620e-01   
     0.045447        1.340211e+03      1.356037e+03     -1.649669e+01      6.707770e-01   
     0.066417        1.000184e+03      1.015991e+03     -1.647730e+01      6.700798e-01   
     0.091251        7.732678e+02      7.890424e+02     -1.644362e+01      6.689606e-01   
     0.119882        6.737585e+02      6.894916e+02     -1.640054e+01      6.673727e-01   
     0.152235        5.407865e+02      5.564389e+02     -1.631756e+01      6.651752e-01   
     0.188220        4.624487e+02      4.779996e+02     -1.621327e+01      6.623970e-01   
     0.227742        3.593872e+02      3.747292e+02     -1.600113e+01      6.591648e-01   
     0.270694        3.287498e+02      3.439416e+02     -1.584753e+01      6.557693e-01   
     0.316959        2.726261e+02      2.875186e+02     -1.554513e+01      6.526529e-01   
     0.366414        2.231581e+02      2.376301e+02     -1.512246e+01      6.505289e-01   
     0.418925        2.008793e+02      2.150106e+02     -1.478169e+01      6.503432e-01   
     0.474351        1.607298e+02      1.741699e+02     -1.409334e+01      6.532387e-01   
     0.532541        1.429323e+02      1.558481e+02     -1.357631e+01      6.604804e-01   
     0.593339        1.112857e+02      1.231504e+02     -1.253810e+01      6.733504e-01   
     0.656582        9.754870e+01      1.086740e+02     -1.181823e+01      6.929663e-01   
     0.722098        8.506819e+01      9.537875e+01     -1.103055e+01      7.199862e-01   
     0.789711        6.336307e+01      7.213097e+01     -9.522308e+00      7.544102e-01   
     0.859239        5.427596e+01      6.207787e+01     -8.597655e+00      7.957415e-01   
     0.930495        3.879170e+01      4.486194e+01     -6.912565e+00      8.423217e-01   
     1.003286        3.251083e+01      3.759858e+01     -5.979132e+00      8.913861e-01   
     1.077416        2.206734e+01      2.550973e+01     -4.381770e+00      9.393784e-01   
     1.152685        1.434647e+01      1.633628e+01     -2.972485e+00      9.826697e-01   
     1.228890        6.782526e+00      7.162831e+00     -1.397394e+00      1.017089e+00   
     1.305826        2.864489e+00      2.287079e+00     -4.614804e-01      1.038890e+00   
     1.383286        1.045503e+00      0.000000e+00      0.000000e+00      1.045503e+00   
     1.461060        1.035703e+00      0.000000e+00      0.000000e+00      1.035703e+00   
     1.538940        1.009451e+00      0.000000e+00      0.000000e+00      1.009451e+00   
     1.616714        9.681068e-01      0.000000e+00      0.000000e+00      9.681068e-01   
     1.694174        9.140539e-01      0.000000e+00      0.000000e+00      9.140539e-01   
     1.771110        8.503709e-01      0.000000e+00      0.000000e+00      8.503709e-01   
     1.847315        7.805251e-01      0.000000e+00      0.000000e+00      7.805251e-01   
     1.922584        7.081419e-01      0.000000e+00      0.000000e+00      7.081419e-01   
     1.996714        6.363161e-01      0.000000e+00      0.000000e+00      6.363161e-01   
     2.069505        5.674326e-01      0.000000e+00      0.000000e+00      5.674326e-01   
     2.140761        5.031978e-01      0.000000e+00      0.000000e+00      5.031978e-01   
     2.210289        4.446697e-01      0.000000e+00      0.000000e+00      4.446697e-01   
     2.277902        3.923528e-01      0.000000e+00      0.000000e+00      3.923528e-01   
     2.343418        3.462879e-01      0.000000e+00      0.000000e+00      3.462879e-01   
     2.406661        3.062333e-01      0.000000e+00      0.000000e+00      3.062333e-01   
     2.467459        2.716797e-01      0.000000e+00      0.000000e+00      2.716797e-01   
     2.525649        2.420259e-01      0.000000e+00      0.000000e+00      2.420259e-01   
     2.581075        2.166673e-01      0.000000e+00      0.000000e+00      2.166673e-01   
     2.633586        1.950275e-01      0.000000e+00      0.000000e+00      1.950275e-01   
     2.683041        1.766009e-01      0.000000e+00      0.000000e+00      1.766009e-01   
     2.729306        1.609233e-01      0.000000e+00      0.000000e+00      1.609233e-01   
     2.772258        1.475952e-01      0.000000e+00      0.000000e+00      1.475952e-01   
     2.811780        1.362872e-01      0.000000e+00      0.000000e+00      1.362872e-01   
     2.847765        1.267303e-01      0.000000e+00      0.000000e+00      1.267303e-01   
     2.880118        1.186917e-01      0.000000e+00      0.000000e+00      1.186917e-01   
     2.908749        1.119874e-01      0.000000e+00      0.000000e+00      1.119874e-01   
     2.933583        1.064658e-01      0.000000e+00      0.000000e+00      1.064658e-01   
     2.954553        1.020056e-01      0.000000e+00      0.000000e+00      1.020056e-01   
     2.971601        9.850907e-02      0.000000e+00      0.000000e+00      9.850907e-02   
