#        q              total               1              \delta U         \delta U^2    

     0.001185        4.068140e+07      4.069394e+07     -2.686166e+04      1.432005e+04   
     0.006239        9.547216e+06      9.548804e+06     -4.935001e+03      3.346356e+03   
     0.015318        3.953482e+06      3.954313e+06     -1.816269e+03      9.853459e+02   
     0.028399        1.897938e+06      1.898456e+06     -8.409368e+02      3.229873e+02   
     0.045447        1.025027e+06      1.025403e+06     -4.765661e+02      1.006724e+02   
     0.066417        6.542847e+05      6.545890e+05     -3.343988e+02      3.005162e+01   
     0.091251        4.027301e+05      4.029699e+05     -2.489732e+02      9.114567e+00   
     0.119882        2.722338e+05      2.724317e+05     -2.008685e+02      3.001085e+00   
     0.152235        1.790523e+05      1.792131e+05     -1.619061e+02      1.107859e+00   
     0.188220        1.331059e+05      1.332449e+05     -1.394375e+02      4.800500e-01   
     0.227742        8.283724e+04      8.294714e+04     -1.101424e+02      2.505932e-01   
     0.270694        5.905481e+04      5.914790e+04     -9.325160e+01      1.599641e-01   
     0.316959        4.949169e+04      4.957726e+04     -8.569840e+01      1.210427e-01   
     0.366414        3.419358e+04      3.426507e+04     -7.159581e+01      1.029901e-01   
     0.418925        2.305571e+04      2.311478e+04     -5.915909e+01      9.378362e-02   
     0.474351        1.873992e+04      1.879356e+04     -5.372419e+01      8.844269e-02   
     0.532541        1.210087e+04      1.214432e+04     -4.353754e+01      8.481168e-02   
     0.593339        9.601776e+03      9.640827e+03     -3.913260e+01      8.180758e-02   
     0.656582        5.874198e+03      5.905016e+03     -3.089734e+01      7.888393e-02   
     0.722098        4.521301e+03      4.548553e+03     -2.732837e+01      7.573646e-02   
     0.789711        2.580744e+03      2.601438e+03     -2.076692e+01      7.220048e-02   
     0.859239        1.909045e+03      1.926831e+03     -1.785367e+01      6.812921e-02   
     0.930495        9.936007e+02      1.006297e+03     -1.275973e+01      6.345862e-02   
     1.003286        4.770426e+02      4.856161e+02     -8.631730e+00      5.819437e-02   
     1.077416        2.064614e+02      2.118447e+02     -5.435636e+00      5.239111e-02   
     1.152685        7.778647e+01      8.086317e+01     -3.122904e+00      4.620689e-02   
     1.228890        1.203902e+01      1.314347e+01     -1.144350e+00      3.990103e-02   
     1.305826        1.647230e-02      7.895684e-03     -2.524052e-02      3.381714e-02   
     1.383286        9.032040e+00      0.000000e+00      0.000000e+00      9.032040e+00   
     1.461060        5.369979e+00      0.000000e+00      0.000000e+00      5.369979e+00   
     1.538940        2.972572e+00      0.000000e+00      0.000000e+00      2.972572e+00   
     1.616714        1.517554e+00      0.000000e+00      0.000000e+00      1.517554e+00   
     1.694174        6.939698e-01      0.000000e+00      0.000000e+00      6.939698e-01   
     1.771110        2.636508e-01      0.000000e+00      0.000000e+00      2.636508e-01   
     1.847315        6.672322e-02      0.000000e+00      0.000000e+00      6.672322e-02   
     1.922584        3.288999e-03      0.000000e+00      0.000000e+00      3.288999e-03   
     1.996714        1.269994e-02      0.000000e+00      0.000000e+00      1.269994e-02   
     2.069505        5.846823e-02      0.000000e+00      0.000000e+00      5.846823e-02   
     2.140761        1.189334e-01      0.000000e+00      0.000000e+00      1.189334e-01   
     2.210289        1.816492e-01      0.000000e+00      0.000000e+00      1.816492e-01   
     2.277902        2.399021e-01      0.000000e+00      0.000000e+00      2.399021e-01   
