#        q              total               1              \delta U         \delta U^2    

     0.001185        4.069004e+07      4.069394e+07     -4.088232e+03      1.897598e+02   
     0.006239        9.546978e+06      9.548804e+06     -1.875403e+03      4.928184e+01   
     0.015318        3.953144e+06      3.954313e+06     -1.187995e+03      1.906685e+01   
     0.028399        1.897650e+06      1.898456e+06     -8.162569e+02      1.057097e+01   
     0.045447        1.024814e+06      1.025403e+06     -5.965380e+02      7.668618e+00   
     0.066417        6.541213e+05      6.545890e+05     -4.744301e+02      6.666839e+00   
     0.091251        4.026058e+05      4.029699e+05     -3.703877e+02      6.272009e+00   
     0.119882        2.721351e+05      2.724317e+05     -3.025814e+02      6.033966e+00   
     0.152235        1.789756e+05      1.792131e+05     -2.432627e+02      5.803190e+00   
     0.188220        1.330432e+05      1.332449e+05     -2.072769e+02      5.529201e+00   
     0.227742        8.279133e+04      8.294714e+04     -1.609955e+02      5.192838e+00   
     0.270694        5.901945e+04      5.914790e+04     -1.332389e+02      4.788666e+00   
     0.316959        4.946264e+04      4.957726e+04     -1.189437e+02      4.321124e+00   
     0.366414        3.417300e+04      3.426507e+04     -9.587872e+01      3.804170e+00   
     0.418925        2.304214e+04      2.311478e+04     -7.589678e+01      3.261518e+00   
     0.474351        1.873073e+04      1.879356e+04     -6.555022e+01      2.726441e+00   
     0.532541        1.209639e+04      1.214432e+04     -5.016747e+01      2.240092e+00   
     0.593339        9.600350e+03      9.640827e+03     -4.232464e+01      1.847690e+00   
     0.656582        5.875378e+03      5.905016e+03     -3.123109e+01      1.592404e+00   
     0.722098        4.524281e+03      4.548553e+03     -2.578002e+01      1.507347e+00   
     0.789711        2.584708e+03      2.601438e+03     -1.833631e+01      1.606045e+00   
     0.859239        1.913821e+03      1.926831e+03     -1.488362e+01      1.873953e+00   
     0.930495        9.983591e+02      1.006297e+03     -1.020140e+01      2.263524e+00   
     1.003286        4.815397e+02      4.856161e+02     -6.772847e+00      2.696426e+00   
     1.077416        2.106087e+02      2.118447e+02     -4.311046e+00      3.075109e+00   
     1.152685        8.158070e+01      8.086317e+01     -2.585934e+00      3.303463e+00   
     1.228890        1.543787e+01      1.314347e+01     -1.017452e+00      3.311849e+00   
     1.305826        3.061663e+00      7.895684e-03     -2.439788e-02      3.078165e+00   
     1.383286        2.635827e+00      0.000000e+00      0.000000e+00      2.635827e+00   
     1.461060        2.063794e+00      0.000000e+00      0.000000e+00      2.063794e+00   
     1.538940        1.461584e+00      0.000000e+00      0.000000e+00      1.461584e+00   
     1.616714        9.195937e-01      0.000000e+00      0.000000e+00      9.195937e-01   
     1.694174        4.968974e-01      0.000000e+00      0.000000e+00      4.968974e-01   
     1.771110        2.139022e-01      0.000000e+00      0.000000e+00      2.139022e-01   
     1.847315        5.910209e-02      0.000000e+00      0.000000e+00      5.910209e-02   
     1.922584        3.159714e-03      0.000000e+00      0.000000e+00      3.159714e-03   
     1.996714        1.262609e-02      0.000000e+00      0.000000e+00      1.262609e-02   
     2.069505        5.875075e-02      0.000000e+00      0.000000e+00      5.875075e-02   
     2.140761        1.208117e-01      0.000000e+00      0.000000e+00      1.208117e-01   
     2.210289        1.857594e-01      0.000000e+00      0.000000e+00      1.857594e-01   
     2.277902        2.463317e-01      0.000000e+00      0.000000e+00      2.463317e-01   
     2.343418        2.990632e-01      0.000000e+00      0.000000e+00      2.990632e-01   
     2.406661        3.427635e-01      0.000000e+00      0.000000e+00      3.427635e-01   
     2.467459        3.775178e-01      0.000000e+00      0.000000e+00      3.775178e-01   
     2.525649        4.040777e-01      0.000000e+00      0.000000e+00      4.040777e-01   
     2.581075        4.235005e-01      0.000000e+00      0.000000e+00      4.235005e-01   
     2.633586        4.369376e-01      0.000000e+00      0.000000e+00      4.369376e-01   
     2.683041        4.455143e-01      0.000000e+00      0.000000e+00      4.455143e-01   
     2.729306        4.502645e-01      0.000000e+00      0.000000e+00      4.502645e-01   
     2.772258        4.521013e-01      0.000000e+00      0.000000e+00      4.521013e-01   
     2.811780        4.518082e-01      0.000000e+00      0.000000e+00      4.518082e-01   
     2.847765        4.500432e-01      0.000000e+00      0.000000e+00      4.500432e-01   
     2.880118        4.473494e-01      0.000000e+00      0.000000e+00      4.473494e-01   
     2.908749        4.441679e-01      0.000000e+00      0.000000e+00      4.441679e-01   
     2.933583        4.408517e-01      0.000000e+00      0.000000e+00      4.408517e-01   
     2.954553        4.376792e-01      0.000000e+00      0.000000e+00      4.376792e-01   
     2.971601        4.348652e-01      0.000000e+00      0.000000e+00      4.348652e-01   
     2.984682        4.325713e-01      0.000000e+00      0.000000e+00      4.325713e-01   
     2.993761        4.309135e-01      0.000000e+00      0.000000e+00      4.309135e-01   
     2.998815        4.299680e-01      0.000000e+00      0.000000e+00      4.299680e-01   
     3.004739        4.288397e-01      0.000000e+00      0.000000e+00      4.288397e-01   
     3.024957        4.248320e-01      0.000000e+00      0.000000e+00      4.248320e-01   
     3.061273        4.170685e-01      0.000000e+00      0.000000e+00      4.170685e-01   
     3.113597        4.047786e-01      0.000000e+00      0.000000e+00      4.047786e-01   
     3.181789        3.872049e-01      0.000000e+00      0.000000e+00      3.872049e-01   
     3.265666        3.638859e-01      0.000000e+00      0.000000e+00      3.638859e-01   
     3.365002        3.348888e-01      0.000000e+00      0.000000e+00      3.348888e-01   
     3.479529        3.009274e-01      0.000000e+00      0.000000e+00      3.009274e-01   
     3.608938        2.633323e-01      0.000000e+00      0.000000e+00      2.633323e-01   
     3.752880        2.238820e-01      0.000000e+00      0.000000e+00      2.238820e-01   
     3.910968        1.845442e-01      0.000000e+00      0.000000e+00      1.845442e-01   
     4.082775        1.471942e-01      0.000000e+00      0.000000e+00      1.471942e-01   
     4.267838        1.133753e-01      0.000000e+00      0.000000e+00      1.133753e-01   
     4.465657        8.414424e-02      0.000000e+00      0.000000e+00      8.414424e-02   
     4.675701        6.001711e-02      0.000000e+00      0.000000e+00      6.001711e-02   
     4.897402        4.100682e-02      0.000000e+00      0.000000e+00      4.100682e-02   
     5.130163        2.672528e-02      0.000000e+00      0.000000e+00      2.672528e-02   
     5.373356        1.651841e-02      0.000000e+00      0.000000e+00      1.651841e-02   
     5.626327        9.603761e-03      0.000000e+00      0.000000e+00      9.603761e-03   
     5.888392        5.188365e-03      0.000000e+00      0.000000e+00      5.188365e-03   
     6.158845        2.554037e-03      0.000000e+00      0.000000e+00      2.554037e-03   
     6.436958        1.106710e-03      0.000000e+00      0.000000e+00      1.106710e-03   
     6.721980        3.935017e-04      0.000000e+00      0.000000e+00      3.935017e-04   
     7.013143        9.562576e-05      0.000000e+00      0.000000e+00      9.562576e-05   
     7.309662        6.732510e-06      0.000000e+00      0.000000e+00      6.732510e-06   
     7.610739        5.414505e-06      0.000000e+00      0.000000e+00      5.414505e-06   
     7.915560        2.840200e-05      0.000000e+00      0.000000e+00      2.840200e-05   
     8.223305        4.827463e-05      0.000000e+00      0.000000e+00      4.827463e-05   
     8.533144        5.712816e-05      0.000000e+00      0.000000e+00      5.712816e-05   
     8.844241        5.594663e-05      0.000000e+00      0.000000e+00      5.594663e-05   
     9.155759        4.853179e-05      0.000000e+00      0.000000e+00      4.853179e-05   
     9.466856        3.858248e-05      0.000000e+00      0.000000e+00      3.858248e-05   
     9.776695        2.866653e-05      0.000000e+00      0.000000e+00      2.866653e-05   
    10.084440        2.015317e-05      0.000000e+00      0.000000e+00      2.015317e-05   
    10.389261        1.351660e-05      0.000000e+00      0.000000e+00      1.351660e-05   
    10.690338        8.697430e-06      0.000000e+00      0.000000e+00      8.697430e-06   
    10.986857        5.389621e-06      0.000000e+00      0.000000e+00      5.389621e-06   
    11.278020        3.223823e-06      0.000000e+00      0.000000e+00      3.223823e-06   
    11.563042        1.863122e-06      0.000000e+00      0.000000e+00      1.863122e-06   
    11.841155        1.039743e-06      0.000000e+00      0.000000e+00      1.039743e-06   
    12.111608        5.589293e-07      0.000000e+00      0.000000e+00      5.589293e-07   
    12.373673        2.879325e-07      0.000000e+00      0.000000e+00      2.879325e-07   
    12.626644        1.408007e-07      0.000000e+00      0.000000e+00      1.408007e-07   
    12.869837        6.425203e-08      0.000000e+00      0.000000e+00      6.425203e-08   
    13.102598        2.649680e-08      0.000000e+00      0.000000e+00      2.649680e-08   
    13.324299        9.227713e-09      0.000000e+00      0.000000e+00      9.227713e-09   
    13.534343        2.269709e-09      0.000000e+00      0.000000e+00      2.269709e-09   
    13.732162        1.763503e-10      0.000000e+00      0.000000e+00      1.763503e-10   
    13.917225        1.551973e-10      0.000000e+00      0.000000e+00      1.551973e-10   
    14.089032        8.521958e-10      0.000000e+00      0.000000e+00      8.521958e-10   
    14.247120        1.662627e-09      0.000000e+00      0.000000e+00      1.662627e-09   
    14.391062        2.353471e-09      0.000000e+00      0.000000e+00      2.353471e-09   
    14.520471        2.864449e-09      0.000000e+00      0.000000e+00      2.864449e-09   
    14.634998        3.207594e-09      0.000000e+00      0.000000e+00      3.207594e-09   
    14.734334        3.418983e-09      0.000000e+00      0.000000e+00      3.418983e-09   
    14.818211        3.537240e-09      0.000000e+00      0.000000e+00      3.537240e-09   
    14.886403        3.595305e-09      0.000000e+00      0.000000e+00      3.595305e-09   
    14.938727        3.618354e-09      0.000000e+00      0.000000e+00      3.618354e-09   
    14.975043        3.623730e-09      0.000000e+00      0.000000e+00      3.623730e-09   
    14.995261        3.623698e-09      0.000000e+00      0.000000e+00      3.623698e-09   
