#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.001762        3.706596e+07      3.706604e+07     -1.390107e+02      5.612881e+01   
     0.001185          0.009274        1.268399e+07      1.268403e+07     -8.656904e+01      4.999414e+01   
     0.001185          0.022740        5.377931e+06      5.377948e+06     -5.803114e+01      4.124889e+01   
     0.001185          0.042083        2.746272e+06      2.746281e+06     -4.208609e+01      3.307958e+01   
     0.001185          0.067187        1.571047e+06      1.571053e+06     -3.211285e+01      2.658011e+01   
     0.001185          0.097901        9.767687e+05      9.767719e+05     -2.482566e+01      2.161891e+01   
     0.001185          0.134040        6.545860e+05      6.545890e+05     -2.082281e+01      1.778791e+01   
     0.001185          0.175388        4.309336e+05      4.309351e+05     -1.641286e+01      1.488080e+01   
     0.001185          0.221694        3.112922e+05      3.112940e+05     -1.435953e+01      1.256002e+01   
     0.001185          0.272682        2.067372e+05      2.067381e+05     -1.170214e+01      1.073284e+01   
     0.001185          0.328043        1.548113e+05      1.548121e+05     -1.012646e+01      9.315708e+00   
     0.001185          0.387446        1.142412e+05      1.142418e+05     -8.698964e+00      8.063372e+00   
     0.001185          0.450533        8.483314e+04      8.483363e+04     -7.412346e+00      6.916504e+00   
     0.001185          0.516924        7.021038e+04      7.021098e+04     -6.819578e+00      6.219299e+00   
     0.001185          0.586221        4.957690e+04      4.957726e+04     -5.730550e+00      5.367810e+00   
     0.001185          0.658006        4.133311e+04      4.133346e+04     -5.232460e+00      4.885264e+00   
     0.001185          0.731848        3.426471e+04      3.426507e+04     -4.764100e+00      4.395962e+00   
     0.001185          0.807302        2.823357e+04      2.823402e+04     -4.324555e+00      3.870748e+00   
     0.001185          0.883916        2.311430e+04      2.311478e+04     -3.912910e+00      3.429046e+00   
     0.001185          0.961228        1.877116e+04      1.877164e+04     -3.524136e+00      3.043799e+00   
     0.001185          1.038772        1.516712e+04      1.516758e+04     -3.169663e+00      2.710787e+00   
     0.001185          1.116084        1.214399e+04      1.214432e+04     -2.836231e+00      2.506147e+00   
     0.001185          1.192698        9.640633e+03      9.640827e+03     -2.527040e+00      2.333458e+00   
     0.001185          1.268152        7.582870e+03      7.583014e+03     -2.241176e+00      2.097018e+00   
     0.001185          1.341994        5.904878e+03      5.905016e+03     -1.977723e+00      1.839889e+00   
     0.001185          1.413779        4.548426e+03      4.548553e+03     -1.735768e+00      1.608945e+00   
     0.001185          1.483076        4.108148e+03      4.108296e+03     -1.567762e+00      1.420388e+00   
     0.001185          1.549467        3.462201e+03      3.462327e+03     -1.514395e+00      1.388729e+00   
     0.001185          1.612554        2.601339e+03      2.601438e+03     -1.312689e+00      1.213755e+00   
     0.001185          1.671957        1.926752e+03      1.926831e+03     -1.129736e+00      1.050797e+00   
     0.001185          1.727318        1.926725e+03      1.926831e+03     -1.129736e+00      1.024080e+00   
     0.001185          1.778306        1.404676e+03      1.404762e+03     -9.646204e-01      8.782467e-01   
     0.001185          1.824612        1.404645e+03      1.404762e+03     -9.646204e-01      8.473417e-01   
     0.001185          1.865960        1.006218e+03      1.006297e+03     -8.164284e-01      7.378194e-01   
     0.001185          1.902099        1.006204e+03      1.006297e+03     -8.164284e-01      7.236587e-01   
     0.001185          1.932813        7.067753e+02      7.068266e+02     -6.842447e-01      6.328590e-01   
     0.001185          1.957917        7.067700e+02      7.068266e+02     -6.842447e-01      6.276191e-01   
     0.001185          1.977260        7.067592e+02      7.068266e+02     -6.842447e-01      6.168282e-01   
     0.001185          1.990726        7.067292e+02      7.068266e+02     -6.842447e-01      5.868392e-01   
     0.001185          1.998238        7.066904e+02      7.068266e+02     -6.842447e-01      5.480441e-01   
     0.006239          0.001762        9.721422e+06      9.721455e+06     -4.583524e+01      1.292914e+01   
     0.006239          0.009274        8.836576e+06      8.836603e+06     -3.885227e+01      1.147766e+01   
     0.006239          0.022740        5.068811e+06      5.068831e+06     -3.004313e+01      9.752392e+00   
     0.006239          0.042083        2.701069e+06      2.701084e+06     -2.297536e+01      8.124045e+00   
     0.006239          0.067187        1.563728e+06      1.563739e+06     -1.794690e+01      6.744561e+00   
     0.006239          0.097901        9.695953e+05      9.696040e+05     -1.429056e+01      5.592002e+00   
     0.006239          0.134040        6.347945e+05      6.348016e+05     -1.169495e+01      4.682496e+00   
     0.006239          0.175388        4.284171e+05      4.284228e+05     -9.635260e+00      3.935539e+00   
     0.006239          0.221694        2.977939e+05      2.977987e+05     -8.101483e+00      3.362828e+00   
     0.006239          0.272682        2.157475e+05      2.157515e+05     -6.901403e+00      2.885296e+00   
     0.006239          0.328043        1.569827e+05      1.569861e+05     -5.972135e+00      2.496619e+00   
     0.006239          0.387446        1.161235e+05      1.161264e+05     -5.130263e+00      2.175830e+00   
     0.006239          0.450533        8.888571e+04      8.888818e+04     -4.371473e+00      1.892974e+00   
     0.006239          0.516924        7.020865e+04      7.021098e+04     -4.021885e+00      1.691311e+00   
     0.006239          0.586221        5.244415e+04      5.244605e+04     -3.379624e+00      1.479084e+00   
     0.006239          0.658006        4.133171e+04      4.133346e+04     -3.085873e+00      1.337374e+00   
     0.006239          0.731848        3.426345e+04      3.426507e+04     -2.809655e+00      1.185796e+00   
     0.006239          0.807302        2.781213e+04      2.781359e+04     -2.512452e+00      1.055037e+00   
     0.006239          0.883916        2.165176e+04      2.165299e+04     -2.161723e+00      9.351495e-01   
     0.006239          0.961228        1.722903e+04      1.723011e+04     -1.907702e+00      8.341579e-01   
     0.006239          1.038772        1.409808e+04      1.409906e+04     -1.737638e+00      7.565013e-01   
     0.006239          1.116084        1.188842e+04      1.188937e+04     -1.637569e+00      6.868941e-01   
     0.006239          1.192698        9.639961e+03      9.640827e+03     -1.490336e+00      6.245723e-01   
     0.006239          1.268152        7.582265e+03      7.583014e+03     -1.321746e+00      5.722023e-01   
     0.006239          1.341994        5.904357e+03      5.905016e+03     -1.166374e+00      5.073582e-01   
     0.006239          1.413779        4.547980e+03      4.548553e+03     -1.023679e+00      4.499582e-01   
     0.006239          1.483076        3.992150e+03      3.992652e+03     -8.985701e-01      3.958655e-01   
     0.006239          1.549467        3.461807e+03      3.462327e+03     -8.931228e-01      3.734526e-01   
     0.006239          1.612554        2.600998e+03      2.601438e+03     -7.741656e-01      3.338009e-01   
     0.006239          1.671957        2.068409e+03      2.068783e+03     -6.662680e-01      2.922957e-01   
     0.006239          1.727318        1.926440e+03      1.926831e+03     -6.662680e-01      2.748237e-01   
     0.006239          1.778306        1.404443e+03      1.404762e+03     -5.688903e-01      2.495689e-01   
     0.006239          1.824612        1.404420e+03      1.404762e+03     -5.688903e-01      2.264606e-01   
     0.006239          1.865960        1.006026e+03      1.006297e+03     -4.814932e-01      2.105351e-01   
     0.006239          1.902099        1.006009e+03      1.006297e+03     -4.814932e-01      1.937818e-01   
     0.006239          1.932813        7.298992e+02      7.301269e+02     -4.035372e-01      1.758081e-01   
     0.006239          1.957917        7.065940e+02      7.068266e+02     -4.035372e-01      1.709344e-01   
     0.006239          1.977260        7.065868e+02      7.068266e+02     -4.035372e-01      1.636744e-01   
     0.006239          1.990726        6.922580e+02      6.924970e+02     -3.953562e-01      1.564068e-01   
     0.006239          1.998238        6.192204e+02      6.194238e+02     -3.536377e-01      1.502005e-01   
     0.015318          0.001762        3.906824e+06      3.906845e+06     -2.422568e+01      3.784270e+00   
     0.015318          0.009274        3.849174e+06      3.849193e+06     -2.252547e+01      3.508920e+00   
     0.015318          0.022740        3.505000e+06      3.505017e+06     -1.960914e+01      3.102421e+00   
     0.015318          0.042083        2.458016e+06      2.458029e+06     -1.630841e+01      2.676328e+00   
     0.015318          0.067187        1.505750e+06      1.505761e+06     -1.337981e+01      2.279155e+00   
     0.015318          0.097901        9.504266e+05      9.504357e+05     -1.096757e+01      1.932066e+00   
     0.015318          0.134040        6.254102e+05      6.254176e+05     -9.070220e+00      1.642350e+00   
     0.015318          0.175388        4.269123e+05      4.269185e+05     -7.615575e+00      1.403830e+00   
     0.015318          0.221694        2.976832e+05      2.976884e+05     -6.421265e+00      1.205645e+00   
     0.015318          0.272682        2.140526e+05      2.140571e+05     -5.490171e+00      1.041632e+00   
     0.015318          0.328043        1.570454e+05      1.570492e+05     -4.737129e+00      9.064354e-01   
     0.015318          0.387446        1.180128e+05      1.180161e+05     -4.127657e+00      7.946449e-01   
     0.015318          0.450533        8.931834e+04      8.932122e+04     -3.578266e+00      6.925434e-01   
     0.015318          0.516924        6.797974e+04      6.798229e+04     -3.162823e+00      6.149843e-01   
     0.015318          0.586221        5.335496e+04      5.335719e+04     -2.766389e+00      5.396455e-01   
     0.015318          0.658006        4.214536e+04      4.214740e+04     -2.525939e+00      4.849925e-01   
     0.015318          0.731848        3.313689e+04      3.313868e+04     -2.224238e+00      4.367434e-01   
     0.015318          0.807302        2.642580e+04      2.642737e+04     -1.954067e+00      3.868003e-01   
     0.015318          0.883916        2.113838e+04      2.113976e+04     -1.727536e+00      3.435993e-01   
     0.015318          0.961228        1.699806e+04      1.699929e+04     -1.540629e+00      3.079542e-01   
     0.015318          1.038772        1.376595e+04      1.376707e+04     -1.388850e+00      2.768901e-01   
     0.015318          1.116084        1.123963e+04      1.124065e+04     -1.267292e+00      2.494266e-01   
     0.015318          1.192698        9.251273e+03      9.252214e+03     -1.170740e+00      2.297283e-01   
     0.015318          1.268152        7.582139e+03      7.583014e+03     -1.081914e+00      2.067800e-01   
     0.015318          1.341994        5.904247e+03      5.905016e+03     -9.547342e-01      1.855673e-01   
     0.015318          1.413779        4.732742e+03      4.733415e+03     -8.379316e-01      1.653012e-01   
     0.015318          1.483076        3.972723e+03      3.973309e+03     -7.319605e-01      1.463067e-01   
     0.015318          1.549467        3.382329e+03      3.382908e+03     -7.142957e-01      1.358931e-01   
     0.015318          1.612554        2.600927e+03      2.601438e+03     -6.336927e-01      1.229460e-01   
     0.015318          1.671957        2.166770e+03      2.167207e+03     -5.453732e-01      1.085125e-01   
     0.015318          1.727318        1.886219e+03      1.886652e+03     -5.340007e-01      1.010315e-01   
     0.015318          1.778306        1.450632e+03      1.451007e+03     -4.656648e-01      9.052135e-02   
     0.015318          1.824612        1.292931e+03      1.293276e+03     -4.287083e-01      8.284062e-02   
     0.015318          1.865960        1.031191e+03      1.031509e+03     -3.941259e-01      7.591958e-02   
     0.015318          1.902099        9.507074e+02      9.510091e+02     -3.724719e-01      7.073345e-02   
     0.015318          1.932813        7.960789e+02      7.963441e+02     -3.303151e-01      6.513005e-02   
     0.015318          1.957917        7.065587e+02      7.068266e+02     -3.303151e-01      6.232679e-02   
     0.015318          1.977260        6.819034e+02      6.821625e+02     -3.187890e-01      5.967955e-02   
     0.015318          1.990726        6.282882e+02      6.285251e+02     -2.937231e-01      5.681254e-02   
     0.015318          1.998238        5.985396e+02      5.987647e+02     -2.798155e-01      5.468549e-02   
     0.028399          0.001762        1.921959e+06      1.921973e+06     -1.546499e+01      1.217258e+00   
     0.028399          0.009274        1.925880e+06      1.925894e+06     -1.486651e+01      1.156716e+00   
     0.028399          0.022740        1.865993e+06      1.866005e+06     -1.368241e+01      1.055316e+00   
     0.028399          0.042083        1.715338e+06      1.715349e+06     -1.215689e+01      9.335910e-01   
     0.028399          0.067187        1.339333e+06      1.339343e+06     -1.049874e+01      8.132320e-01   
     0.028399          0.097901        8.947658e+05      8.947740e+05     -8.927794e+00      7.027151e-01   
     0.028399          0.134040        6.054603e+05      6.054673e+05     -7.597596e+00      6.060680e-01   
     0.028399          0.175388        4.164554e+05      4.164613e+05     -6.454968e+00      5.221183e-01   
     0.028399          0.221694        2.939307e+05      2.939358e+05     -5.513744e+00      4.525193e-01   
     0.028399          0.272682        2.122313e+05      2.122357e+05     -4.757112e+00      3.930013e-01   
     0.028399          0.328043        1.561848e+05      1.561886e+05     -4.131042e+00      3.440898e-01   
     0.028399          0.387446        1.173676e+05      1.173709e+05     -3.611104e+00      3.011738e-01   
     0.028399          0.450533        8.869458e+04      8.869746e+04     -3.142071e+00      2.648050e-01   
     0.028399          0.516924        6.848643e+04      6.848898e+04     -2.789007e+00      2.354577e-01   
     0.028399          0.586221        5.304010e+04      5.304235e+04     -2.461496e+00      2.092147e-01   
     0.028399          0.658006        4.162407e+04      4.162607e+04     -2.189250e+00      1.872414e-01   
     0.028399          0.731848        3.289753e+04      3.289931e+04     -1.947255e+00      1.661318e-01   
     0.028399          0.807302        2.601383e+04      2.601542e+04     -1.733713e+00      1.484081e-01   
     0.028399          0.883916        2.094965e+04      2.095106e+04     -1.546716e+00      1.322231e-01   
     0.028399          0.961228        1.690468e+04      1.690594e+04     -1.384154e+00      1.188471e-01   
     0.028399          1.038772        1.364516e+04      1.364630e+04     -1.243673e+00      1.068004e-01   
     0.028399          1.116084        1.102217e+04      1.102320e+04     -1.122717e+00      9.665316e-02   
     0.028399          1.192698        8.909530e+03      8.910461e+03     -1.018574e+00      8.755399e-02   
     0.028399          1.268152        7.221350e+03      7.222199e+03     -9.285010e-01      7.989690e-02   
     0.028399          1.341994        6.025165e+03      6.025944e+03     -8.498493e-01      7.149558e-02   
     0.028399          1.413779        4.930589e+03      4.931282e+03     -7.569830e-01      6.377351e-02   
     0.028399          1.483076        3.963260e+03      3.963864e+03     -6.604402e-01      5.661442e-02   
     0.028399          1.549467        3.200524e+03      3.201082e+03     -6.106076e-01      5.232433e-02   
     0.028399          1.612554        2.700143e+03      2.700663e+03     -5.664261e-01      4.703710e-02   
     0.028399          1.671957        2.196006e+03      2.196457e+03     -4.926872e-01      4.172671e-02   
     0.028399          1.727318        1.771746e+03      1.772161e+03     -4.531383e-01      3.857757e-02   
     0.028399          1.778306        1.537354e+03      1.537740e+03     -4.206791e-01      3.498720e-02   
     0.028399          1.824612        1.242501e+03      1.242842e+03     -3.721893e-01      3.165440e-02   
     0.028399          1.865960        1.100749e+03      1.101075e+03     -3.557569e-01      2.931818e-02   
     0.028399          1.902099        8.994142e+02      8.997056e+02     -3.183368e-01      2.696434e-02   
     0.028399          1.932813        8.163098e+02      8.165835e+02     -2.984049e-01      2.466827e-02   
     0.028399          1.957917        7.228708e+02      7.231334e+02     -2.864353e-01      2.382802e-02   
