#        q              total               1              \delta U         \delta U^2    

     0.001185        2.658929e+07      2.661973e+07     -3.058956e+04      1.532202e+02   
     0.006239        1.026413e+07      1.028301e+07     -1.894854e+04      6.777667e+01   
     0.015318        2.889881e+06      2.899654e+06     -9.825017e+03      5.199823e+01   
     0.028399        1.549544e+06      1.556853e+06     -7.356775e+03      4.719450e+01   
     0.045447        9.138193e+05      9.194182e+05     -5.644234e+03      4.529690e+01   
     0.066417        5.119457e+05      5.161189e+05     -4.217420e+03      4.418934e+01   
     0.091251        3.290568e+05      3.322749e+05     -3.261377e+03      4.318472e+01   
     0.119882        2.349095e+05      2.376993e+05     -2.831884e+03      4.202327e+01   
     0.152235        1.525876e+05      1.548121e+05     -2.265116e+03      4.060519e+01   
     0.188220        1.123582e+05      1.142418e+05     -1.922525e+03      3.888050e+01   
     0.227742        7.486703e+04      7.631382e+04     -1.483607e+03      3.681222e+01   
     0.270694        5.784769e+04      5.914790e+04     -1.334583e+03      3.436847e+01   
     0.316959        4.027709e+04      4.133346e+04     -1.087910e+03      3.153510e+01   
     0.366414        2.739057e+04      2.823402e+04     -8.717869e+02      2.833268e+01   
     0.418925        2.237964e+04      2.311478e+04     -7.599662e+02      2.482659e+01   
     0.474351        1.459968e+04      1.516758e+04     -5.890340e+02      2.113530e+01   
     0.532541        1.166111e+04      1.214432e+04     -5.006457e+02      1.743244e+01   
     0.593339        7.224002e+03      7.583014e+03     -3.729542e+02      1.394178e+01   
     0.656582        5.607996e+03      5.905016e+03     -3.079457e+02      1.092505e+01   
     0.722098        4.306128e+03      4.548553e+03     -2.510821e+02      8.656994e+00   
     0.789711        2.433561e+03      2.601438e+03     -1.752673e+02      7.389682e+00   
     0.859239        1.795646e+03      1.926831e+03     -1.384894e+02      7.304253e+00   
     0.930495        9.232240e+02      1.006297e+03     -9.153334e+01      8.460398e+00   
     1.003286        6.475750e+02      7.068266e+02     -7.000474e+01      1.075314e+01   
     1.077416        2.959564e+02      3.253732e+02     -4.331337e+01      1.389652e+01   
     1.152685        1.255783e+02      1.334371e+02     -2.530625e+01      1.744746e+01   
     1.228890        3.639671e+01      2.565308e+01     -1.013282e+01      2.087645e+01   
     1.305826        2.346605e+01      1.580716e+00     -1.787155e+00      2.367249e+01   
     1.383286        2.545236e+01      0.000000e+00      0.000000e+00      2.545236e+01   
     1.461060        2.603810e+01      0.000000e+00      0.000000e+00      2.603810e+01   
     1.538940        2.547497e+01      0.000000e+00      0.000000e+00      2.547497e+01   
     1.616714        2.398720e+01      0.000000e+00      0.000000e+00      2.398720e+01   
     1.694174        2.189420e+01      0.000000e+00      0.000000e+00      2.189420e+01   
     1.771110        1.952162e+01      0.000000e+00      0.000000e+00      1.952162e+01   
     1.847315        1.713641e+01      0.000000e+00      0.000000e+00      1.713641e+01   
     1.922584        1.491761e+01      0.000000e+00      0.000000e+00      1.491761e+01   
     1.996714        1.295843e+01      0.000000e+00      0.000000e+00      1.295843e+01   
     2.069505        1.128603e+01      0.000000e+00      0.000000e+00      1.128603e+01   
     2.140761        9.886264e+00      0.000000e+00      0.000000e+00      9.886264e+00   
     2.210289        8.724784e+00      0.000000e+00      0.000000e+00      8.724784e+00   
     2.277902        7.761578e+00      0.000000e+00      0.000000e+00      7.761578e+00   
     2.343418        6.959049e+00      0.000000e+00      0.000000e+00      6.959049e+00   
     2.406661        6.285414e+00      0.000000e+00      0.000000e+00      6.285414e+00   
     2.467459        5.715321e+00      0.000000e+00      0.000000e+00      5.715321e+00   
     2.525649        5.229152e+00      0.000000e+00      0.000000e+00      5.229152e+00   
     2.581075        4.811895e+00      0.000000e+00      0.000000e+00      4.811895e+00   
     2.633586        4.452056e+00      0.000000e+00      0.000000e+00      4.452056e+00   
     2.683041        4.140753e+00      0.000000e+00      0.000000e+00      4.140753e+00   
     2.729306        3.871041e+00      0.000000e+00      0.000000e+00      3.871041e+00   
     2.772258        3.637414e+00      0.000000e+00      0.000000e+00      3.637414e+00   
     2.811780        3.435452e+00      0.000000e+00      0.000000e+00      3.435452e+00   
     2.847765        3.261571e+00      0.000000e+00      0.000000e+00      3.261571e+00   
     2.880118        3.112842e+00      0.000000e+00      0.000000e+00      3.112842e+00   
     2.908749        2.986868e+00      0.000000e+00      0.000000e+00      2.986868e+00   
     2.933583        2.881684e+00      0.000000e+00      0.000000e+00      2.881684e+00   
     2.954553        2.795697e+00      0.000000e+00      0.000000e+00      2.795697e+00   
     2.971601        2.727632e+00      0.000000e+00      0.000000e+00      2.727632e+00   
     2.984682        2.676494e+00      0.000000e+00      0.000000e+00      2.676494e+00   
     2.993761        2.641545e+00      0.000000e+00      0.000000e+00      2.641545e+00   
     2.998815        2.622279e+00      0.000000e+00      0.000000e+00      2.622279e+00   
     3.004739        2.599869e+00      0.000000e+00      0.000000e+00      2.599869e+00   
     3.024957        2.524761e+00      0.000000e+00      0.000000e+00      2.524761e+00   
     3.061273        2.395001e+00      0.000000e+00      0.000000e+00      2.395001e+00   
     3.113597        2.219062e+00      0.000000e+00      0.000000e+00      2.219062e+00   
     3.181789        2.007852e+00      0.000000e+00      0.000000e+00      2.007852e+00   
     3.265666        1.773562e+00      0.000000e+00      0.000000e+00      1.773562e+00   
