#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.001762        2.613964e+07      2.614338e+07     -4.125588e+03      3.857261e+02   
     0.001185          0.009274        1.315716e+07      1.315983e+07     -2.969144e+03      3.008252e+02   
     0.001185          0.022740        4.161506e+06      4.162994e+06     -1.681317e+03      1.935231e+02   
     0.001185          0.042083        2.122651e+06      2.123739e+06     -1.237337e+03      1.491134e+02   
     0.001185          0.067187        1.283393e+06      1.284241e+06     -9.665270e+02      1.186370e+02   
     0.001185          0.097901        8.103153e+05      8.109879e+05     -7.674093e+02      9.479543e+01   
     0.001185          0.134040        5.155800e+05      5.161189e+05     -6.166157e+02      7.771338e+01   
     0.001185          0.175388        3.542241e+05      3.546700e+05     -5.111542e+02      6.522338e+01   
     0.001185          0.221694        2.468118e+05      2.471765e+05     -4.184598e+02      5.383525e+01   
     0.001185          0.272682        1.788968e+05      1.792131e+05     -3.633495e+02      4.709207e+01   
     0.001185          0.328043        1.329721e+05      1.332449e+05     -3.133033e+02      4.048422e+01   
     0.001185          0.387446        9.731991e+04      9.755295e+04     -2.680772e+02      3.504216e+01   
     0.001185          0.450533        8.273176e+04      8.294714e+04     -2.471954e+02      3.181543e+01   
     0.001185          0.516924        5.896676e+04      5.914790e+04     -2.087418e+02      2.759766e+01   
     0.001185          0.586221        4.941120e+04      4.957726e+04     -1.911089e+02      2.504392e+01   
     0.001185          0.658006        3.412739e+04      3.426507e+04     -1.588786e+02      2.119768e+01   
     0.001185          0.731848        2.810911e+04      2.823402e+04     -1.442202e+02      1.930061e+01   
     0.001185          0.807302        2.300159e+04      2.311478e+04     -1.304922e+02      1.729869e+01   
     0.001185          0.883916        1.869180e+04      1.879356e+04     -1.176642e+02      1.591061e+01   
     0.001185          0.961228        1.507633e+04      1.516758e+04     -1.057056e+02      1.445574e+01   
     0.001185          1.038772        1.206277e+04      1.214432e+04     -9.458588e+01      1.303987e+01   
     0.001185          1.116084        9.567747e+03      9.640827e+03     -8.427463e+01      1.119458e+01   
     0.001185          1.192698        7.518554e+03      7.583014e+03     -7.474130e+01      1.028096e+01   
     0.001185          1.268152        7.279639e+03      7.342499e+03     -7.237068e+01      9.511460e+00   
     0.001185          1.341994        5.847902e+03      5.905016e+03     -6.595538e+01      8.840994e+00   
     0.001185          1.413779        4.498397e+03      4.548553e+03     -5.788637e+01      7.729777e+00   
     0.001185          1.483076        3.418758e+03      3.462327e+03     -5.050376e+01      6.934473e+00   
     0.001185          1.549467        3.418457e+03      3.462327e+03     -5.050376e+01      6.633829e+00   
     0.001185          1.612554        2.563412e+03      2.601438e+03     -4.377705e+01      5.751210e+00   
     0.001185          1.671957        1.894278e+03      1.926831e+03     -3.767572e+01      5.122772e+00   
     0.001185          1.727318        1.894106e+03      1.926831e+03     -3.767572e+01      4.950442e+00   
     0.001185          1.778306        1.376904e+03      1.404762e+03     -3.216927e+01      4.310376e+00   
     0.001185          1.824612        1.376738e+03      1.404762e+03     -3.216927e+01      4.144950e+00   
     0.001185          1.865960        9.826489e+02      1.006297e+03     -2.722719e+01      3.579089e+00   
     0.001185          1.902099        9.824623e+02      1.006297e+03     -2.722719e+01      3.392526e+00   
     0.001185          1.932813        9.823744e+02      1.006297e+03     -2.722719e+01      3.304574e+00   
     0.001185          1.957917        6.869456e+02      7.068266e+02     -2.281898e+01      2.937928e+00   
     0.001185          1.977260        6.868930e+02      7.068266e+02     -2.281898e+01      2.885376e+00   
     0.001185          1.990726        6.868117e+02      7.068266e+02     -2.281898e+01      2.804024e+00   
     0.001185          1.998238        6.868352e+02      7.068266e+02     -2.281898e+01      2.827504e+00   
     0.006239          0.001762        1.022833e+07      1.023090e+07     -2.576399e+03      8.980791e+00   
     0.006239          0.009274        8.285644e+06      8.287643e+06     -2.006901e+03      8.029225e+00   
     0.006239          0.022740        4.108853e+06      4.110272e+06     -1.425323e+03      6.688949e+00   
     0.006239          0.042083        2.088385e+06      2.089503e+06     -1.123831e+03      5.714458e+00   
     0.006239          0.067187        1.275801e+06      1.276692e+06     -8.956408e+02      4.823030e+00   
     0.006239          0.097901        7.967620e+05      7.974728e+05     -7.148199e+02      4.052788e+00   
     0.006239          0.134040        5.163320e+05      5.169103e+05     -5.817419e+02      3.444582e+00   
     0.006239          0.175388        3.543428e+05      3.548261e+05     -4.862512e+02      2.966067e+00   
     0.006239          0.221694        2.521196e+05      2.525242e+05     -4.072051e+02      2.563876e+00   
     0.006239          0.272682        1.839183e+05      1.842696e+05     -3.535771e+02      2.245388e+00   
