#        q              total               1              \delta U         \delta U^2    

     0.001185        4.186858e+07      4.189666e+07     -2.817261e+04      8.951733e+01   
     0.006239        9.895491e+06      9.909108e+06     -1.363774e+04      2.002411e+01   
     0.015318        3.945559e+06      3.954313e+06     -8.774593e+03      2.001184e+01   
     0.028399        1.986525e+06      1.992582e+06     -6.076934e+03      1.997776e+01   
     0.045447        1.077396e+06      1.081838e+06     -4.461470e+03      1.990346e+01   
     0.066417        6.510510e+05      6.545890e+05     -3.557737e+03      1.976611e+01   
     0.091251        4.002070e+05      4.029699e+05     -2.782461e+03      1.953994e+01   
     0.119882        2.701743e+05      2.724317e+05     -2.276549e+03      1.919710e+01   
     0.152235        1.773985e+05      1.792131e+05     -1.833272e+03      1.870866e+01   
     0.188220        1.316977e+05      1.332449e+05     -1.565205e+03      1.804870e+01   
     0.227742        8.174557e+04      8.294714e+04     -1.218766e+03      1.719597e+01   
     0.270694        5.815226e+04      5.914790e+04     -1.011778e+03      1.613699e+01   
     0.316959        4.868550e+04      4.957726e+04     -9.066322e+02      1.487120e+01   
     0.366414        3.354443e+04      3.426507e+04     -7.340616e+02      1.341350e+01   
     0.418925        2.254260e+04      2.311478e+04     -5.839738e+02      1.179770e+01   
     0.474351        1.829661e+04      1.879356e+04     -5.070295e+02      1.007947e+01   
     0.532541        1.176263e+04      1.214432e+04     -3.900227e+02      8.336779e+00   
     0.593339        9.317093e+03      9.640827e+03     -3.304033e+02      6.668955e+00   
     0.656582        5.665932e+03      5.905016e+03     -2.442763e+02      5.192065e+00   
     0.722098        4.351316e+03      4.548553e+03     -2.012686e+02      4.030856e+00   
     0.789711        2.462677e+03      2.601438e+03     -1.420672e+02      3.306032e+00   
     0.859239        1.816409e+03      1.926831e+03     -1.135400e+02      3.117772e+00   
     0.930495        9.339404e+02      1.006297e+03     -7.588312e+01      3.526554e+00   
     1.003286        4.415434e+02      4.856161e+02     -4.860818e+01      4.535420e+00   
     1.077416        1.883676e+02      2.118447e+02     -2.955441e+01      6.077307e+00   
     1.152685        7.207581e+01      8.086317e+01     -1.680044e+01      8.013073e+00   
     1.228890        1.705240e+01      1.314347e+01     -6.234772e+00      1.014370e+01   
     1.305826        1.221034e+01      1.579137e-03     -2.816183e-02      1.223693e+01   
     1.383286        1.406388e+01      0.000000e+00      0.000000e+00      1.406388e+01   
     1.461060        1.543749e+01      0.000000e+00      0.000000e+00      1.543749e+01   
     1.538940        1.624240e+01      0.000000e+00      0.000000e+00      1.624240e+01   
     1.616714        1.644878e+01      0.000000e+00      0.000000e+00      1.644878e+01   
     1.694174        1.610681e+01      0.000000e+00      0.000000e+00      1.610681e+01   
     1.771110        1.532547e+01      0.000000e+00      0.000000e+00      1.532547e+01   
     1.847315        1.424316e+01      0.000000e+00      0.000000e+00      1.424316e+01   
     1.922584        1.299908e+01      0.000000e+00      0.000000e+00      1.299908e+01   
     1.996714        1.171195e+01      0.000000e+00      0.000000e+00      1.171195e+01   
     2.069505        1.046911e+01      0.000000e+00      0.000000e+00      1.046911e+01   
     2.140761        9.324984e+00      0.000000e+00      0.000000e+00      9.324984e+00   
     2.210289        8.305848e+00      0.000000e+00      0.000000e+00      8.305848e+00   
     2.277902        7.417556e+00      0.000000e+00      0.000000e+00      7.417556e+00   
     2.343418        6.653304e+00      0.000000e+00      0.000000e+00      6.653304e+00   
     2.406661        5.999948e+00      0.000000e+00      0.000000e+00      5.999948e+00   
     2.467459        5.442337e+00      0.000000e+00      0.000000e+00      5.442337e+00   
     2.525649        4.965853e+00      0.000000e+00      0.000000e+00      4.965853e+00   
     2.581075        4.557599e+00      0.000000e+00      0.000000e+00      4.557599e+00   
     2.633586        4.206759e+00      0.000000e+00      0.000000e+00      4.206759e+00   
     2.683041        3.904507e+00      0.000000e+00      0.000000e+00      3.904507e+00   
     2.729306        3.643729e+00      0.000000e+00      0.000000e+00      3.643729e+00   
     2.772258        3.418713e+00      0.000000e+00      0.000000e+00      3.418713e+00   
     2.811780        3.224861e+00      0.000000e+00      0.000000e+00      3.224861e+00   
     2.847765        3.058456e+00      0.000000e+00      0.000000e+00      3.058456e+00   
     2.880118        2.916480e+00      0.000000e+00      0.000000e+00      2.916480e+00   
     2.908749        2.796478e+00      0.000000e+00      0.000000e+00      2.796478e+00   
     2.933583        2.696456e+00      0.000000e+00      0.000000e+00      2.696456e+00   
     2.954553        2.614805e+00      0.000000e+00      0.000000e+00      2.614805e+00   
     2.971601        2.550243e+00      0.000000e+00      0.000000e+00      2.550243e+00   
     2.984682        2.501780e+00      0.000000e+00      0.000000e+00      2.501780e+00   
     2.993761        2.468679e+00      0.000000e+00      0.000000e+00      2.468679e+00   
     2.998815        2.450438e+00      0.000000e+00      0.000000e+00      2.450438e+00   
     3.004739        2.429228e+00      0.000000e+00      0.000000e+00      2.429228e+00   
     3.024957        2.358188e+00      0.000000e+00      0.000000e+00      2.358188e+00   
     3.061273        2.235626e+00      0.000000e+00      0.000000e+00      2.235626e+00   
     3.113597        2.069778e+00      0.000000e+00      0.000000e+00      2.069778e+00   
     3.181789        1.871159e+00      0.000000e+00      0.000000e+00      1.871159e+00   
     3.265666        1.651398e+00      0.000000e+00      0.000000e+00      1.651398e+00   
     3.365002        1.422176e+00      0.000000e+00      0.000000e+00      1.422176e+00   
     3.479529        1.194341e+00      0.000000e+00      0.000000e+00      1.194341e+00   
     3.608938        9.772292e-01      0.000000e+00      0.000000e+00      9.772292e-01   
     3.752880        7.782010e-01      0.000000e+00      0.000000e+00      7.782010e-01   
     3.910968        6.023725e-01      0.000000e+00      0.000000e+00      6.023725e-01   
     4.082775        4.525633e-01      0.000000e+00      0.000000e+00      4.525633e-01   
