#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.001762        3.832857e+07      3.832872e+07     -9.472728e+02      8.033875e+02   
     0.001185          0.009274        1.304834e+07      1.304832e+07     -5.890963e+02      6.171201e+02   
     0.001185          0.022740        5.498851e+06      5.498796e+06     -3.941577e+02      4.495790e+02   
     0.001185          0.042083        2.811855e+06      2.811803e+06     -2.850115e+02      3.364939e+02   
     0.001185          0.067187        1.605098e+06      1.605053e+06     -2.155392e+02      2.607697e+02   
     0.001185          0.097901        1.001123e+06      1.001087e+06     -1.707761e+02      2.064855e+02   
     0.001185          0.134040        6.546180e+05      6.545890e+05     -1.397612e+02      1.687826e+02   
     0.001185          0.175388        4.438082e+05      4.437830e+05     -1.134463e+02      1.386502e+02   
     0.001185          0.221694        3.113160e+05      3.112940e+05     -9.638019e+01      1.183846e+02   
     0.001185          0.272682        2.110821e+05      2.110616e+05     -7.854394e+01      9.902069e+01   
     0.001185          0.328043        1.548293e+05      1.548121e+05     -6.796806e+01      8.513204e+01   
     0.001185          0.387446        1.142575e+05      1.142418e+05     -5.838684e+01      7.405907e+01   
     0.001185          0.450533        9.092106e+04      9.090813e+04     -5.027880e+01      6.320914e+01   
     0.001185          0.516924        7.022297e+04      7.021098e+04     -4.577253e+01      5.776616e+01   
     0.001185          0.586221        5.139442e+04      5.138374e+04     -3.846305e+01      4.914640e+01   
     0.001185          0.658006        4.134339e+04      4.133346e+04     -3.511990e+01      4.505193e+01   
     0.001185          0.731848        3.427413e+04      3.426507e+04     -3.197630e+01      4.102900e+01   
     0.001185          0.807302        2.824228e+04      2.823402e+04     -2.902611e+01      3.728338e+01   
     0.001185          0.883916        2.312179e+04      2.311478e+04     -2.626318e+01      3.327536e+01   
     0.001185          0.961228        1.878812e+04      1.878260e+04     -2.366756e+01      2.919241e+01   
     0.001185          1.038772        1.517332e+04      1.516758e+04     -2.127456e+01      2.701718e+01   
     0.001185          1.116084        1.215038e+04      1.214432e+04     -1.903658e+01      2.509555e+01   
     0.001185          1.192698        9.646526e+03      9.640827e+03     -1.696132e+01      2.266009e+01   
     0.001185          1.268152        7.587639e+03      7.583014e+03     -1.504262e+01      1.966694e+01   
     0.001185          1.341994        5.908664e+03      5.905016e+03     -1.327434e+01      1.692211e+01   
     0.001185          1.413779        4.552288e+03      4.548553e+03     -1.165035e+01      1.538488e+01   
     0.001185          1.483076        4.290115e+03      4.287413e+03     -1.098149e+01      1.368305e+01   
     0.001185          1.549467        3.465020e+03      3.462327e+03     -1.016451e+01      1.285708e+01   
     0.001185          1.612554        2.603865e+03      2.601438e+03     -8.810675e+00      1.123755e+01   
     0.001185          1.671957        1.928929e+03      1.926831e+03     -7.582706e+00      9.680291e+00   
     0.001185          1.727318        1.928697e+03      1.926831e+03     -7.582706e+00      9.448700e+00   
     0.001185          1.778306        1.406456e+03      1.404762e+03     -6.474464e+00      8.168405e+00   
     0.001185          1.824612        1.406085e+03      1.404762e+03     -6.474464e+00      7.797511e+00   
     0.001185          1.865960        1.007611e+03      1.006297e+03     -5.479810e+00      6.793398e+00   
     0.001185          1.902099        1.007292e+03      1.006297e+03     -5.479810e+00      6.474888e+00   
     0.001185          1.932813        7.078714e+02      7.068266e+02     -4.592603e+00      5.637410e+00   
     0.001185          1.957917        7.077164e+02      7.068266e+02     -4.592603e+00      5.482383e+00   
     0.001185          1.977260        7.076716e+02      7.068266e+02     -4.592603e+00      5.437538e+00   
     0.001185          1.990726        7.074943e+02      7.068266e+02     -4.592603e+00      5.260256e+00   
     0.001185          1.998238        6.851413e+02      6.847408e+02     -4.449100e+00      4.849601e+00   
     0.006239          0.001762        9.983541e+06      9.983935e+06     -4.031566e+02      8.543280e+00   
     0.006239          0.009274        9.077329e+06      9.077665e+06     -3.430587e+02      7.592162e+00   
     0.006239          0.022740        5.195426e+06      5.195685e+06     -2.648182e+02      6.453034e+00   
     0.006239          0.042083        2.758721e+06      2.758917e+06     -2.022426e+02      5.377230e+00   
     0.006239          0.067187        1.596286e+06      1.596440e+06     -1.579921e+02      4.460328e+00   
     0.006239          0.097901        9.866667e+05      9.867888e+05     -1.257874e+02      3.702695e+00   
     0.006239          0.134040        6.431801e+05      6.432796e+05     -1.026725e+02      3.100300e+00   
     0.006239          0.175388        4.336604e+05      4.337424e+05     -8.457861e+01      2.608493e+00   
     0.006239          0.221694        3.021378e+05      3.022069e+05     -7.130522e+01      2.227604e+00   
     0.006239          0.272682        2.178946e+05      2.179528e+05     -6.015162e+01      1.904984e+00   
     0.006239          0.328043        1.587122e+05      1.587626e+05     -5.205225e+01      1.649585e+00   
     0.006239          0.387446        1.175127e+05      1.175559e+05     -4.471463e+01      1.437857e+00   
     0.006239          0.450533        8.999693e+04      9.003382e+04     -3.813489e+01      1.250332e+00   
     0.006239          0.516924        7.017704e+04      7.021098e+04     -3.505416e+01      1.118322e+00   
     0.006239          0.586221        5.315558e+04      5.318406e+04     -2.945631e+01      9.750813e-01   
     0.006239          0.658006        4.130745e+04      4.133346e+04     -2.689602e+01      8.836194e-01   
     0.006239          0.731848        3.424137e+04      3.426507e+04     -2.448854e+01      7.841341e-01   
     0.006239          0.807302        2.800244e+04      2.802381e+04     -2.206367e+01      6.981826e-01   
     0.006239          0.883916        2.196173e+04      2.198024e+04     -1.912602e+01      6.208047e-01   
     0.006239          0.961228        1.747384e+04      1.749017e+04     -1.687821e+01      5.539377e-01   
     0.006239          1.038772        1.428760e+04      1.430246e+04     -1.536348e+01      5.020405e-01   
     0.006239          1.116084        1.200288e+04      1.201685e+04     -1.442584e+01      4.546904e-01   
     0.006239          1.192698        9.628251e+03      9.640827e+03     -1.298955e+01      4.132881e-01   
     0.006239          1.268152        7.571872e+03      7.583014e+03     -1.152015e+01      3.777129e-01   
     0.006239          1.341994        5.895184e+03      5.905016e+03     -1.016594e+01      3.342244e-01   
     0.006239          1.413779        4.539928e+03      4.548553e+03     -8.922236e+00      2.965053e-01   
