#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.001762        2.616307e+07      2.617166e+07     -8.700741e+03      1.129250e+02   
     0.001185          0.009274        1.322248e+07      1.322865e+07     -6.275224e+03      1.041278e+02   
     0.001185          0.022740        4.275632e+06      4.279142e+06     -3.603071e+03      9.371720e+01   
     0.001185          0.042083        2.153830e+06      2.156361e+06     -2.616142e+03      8.543682e+01   
     0.001185          0.067187        1.298438e+06      1.300397e+06     -2.037135e+03      7.795198e+01   
     0.001185          0.097901        8.211541e+05      8.227238e+05     -1.640864e+03      7.120264e+01   
     0.001185          0.134040        5.148849e+05      5.161189e+05     -1.299632e+03      6.561993e+01   
     0.001185          0.175388        3.536533e+05      3.546700e+05     -1.077352e+03      6.065893e+01   
     0.001185          0.221694        2.559734e+05      2.568074e+05     -8.900700e+02      5.607674e+01   
     0.001185          0.272682        1.784992e+05      1.792131e+05     -7.658263e+02      5.198820e+01   
     0.001185          0.328043        1.326325e+05      1.332449e+05     -6.603448e+02      4.797330e+01   
     0.001185          0.387446        9.703187e+04      9.755295e+04     -5.650224e+02      4.394224e+01   
     0.001185          0.450533        8.246631e+04      8.294714e+04     -5.210101e+02      4.018231e+01   
     0.001185          0.516924        5.874453e+04      5.914790e+04     -4.399619e+02      3.659345e+01   
     0.001185          0.586221        4.920750e+04      4.957726e+04     -4.027974e+02      3.303069e+01   
     0.001185          0.658006        3.395970e+04      3.426507e+04     -3.348662e+02      2.949546e+01   
     0.001185          0.731848        2.795641e+04      2.823402e+04     -3.039708e+02      2.635920e+01   
     0.001185          0.807302        2.286308e+04      2.311478e+04     -2.750365e+02      2.334104e+01   
     0.001185          0.883916        1.856603e+04      1.879356e+04     -2.479990e+02      2.047102e+01   
     0.001185          0.961228        1.496267e+04      1.516758e+04     -2.227940e+02      1.788711e+01   
     0.001185          1.038772        1.196044e+04      1.214432e+04     -1.993572e+02      1.547323e+01   
     0.001185          1.116084        9.476460e+03      9.640827e+03     -1.776244e+02      1.325778e+01   
     0.001185          1.192698        7.436745e+03      7.583014e+03     -1.575311e+02      1.126138e+01   
     0.001185          1.268152        7.435029e+03      7.583014e+03     -1.575311e+02      9.546131e+00   
     0.001185          1.341994        5.774223e+03      5.905016e+03     -1.390132e+02      8.219773e+00   
     0.001185          1.413779        4.433402e+03      4.548553e+03     -1.220063e+02      6.854932e+00   
     0.001185          1.483076        3.361584e+03      3.462327e+03     -1.064460e+02      5.702724e+00   
     0.001185          1.549467        3.360715e+03      3.462327e+03     -1.064460e+02      4.834095e+00   
     0.001185          1.612554        2.513234e+03      2.601438e+03     -9.226823e+01      4.064220e+00   
     0.001185          1.671957        1.850796e+03      1.926831e+03     -7.940855e+01      3.373327e+00   
     0.001185          1.727318        1.850340e+03      1.926831e+03     -7.940855e+01      2.917202e+00   
     0.001185          1.778306        1.339402e+03      1.404762e+03     -6.780268e+01      2.442332e+00   
     0.001185          1.824612        1.339106e+03      1.404762e+03     -6.780268e+01      2.145927e+00   
     0.001185          1.865960        9.507367e+02      1.006297e+03     -5.738634e+01      1.826053e+00   
     0.001185          1.902099        9.505619e+02      1.006297e+03     -5.738634e+01      1.651283e+00   
     0.001185          1.932813        9.503628e+02      1.006297e+03     -5.738634e+01      1.452210e+00   
     0.001185          1.957917        6.600586e+02      7.068266e+02     -4.809522e+01      1.327172e+00   
     0.001185          1.977260        6.599846e+02      7.068266e+02     -4.809522e+01      1.253171e+00   
     0.001185          1.990726        6.599441e+02      7.068266e+02     -4.809522e+01      1.212652e+00   
     0.001185          1.998238        6.599118e+02      7.068266e+02     -4.809522e+01      1.180368e+00   
     0.006239          0.001762        1.032109e+07      1.032659e+07     -5.576094e+03      6.899773e+01   
     0.006239          0.009274        8.429802e+06      8.434113e+06     -4.378657e+03      6.703298e+01   
     0.006239          0.022740        4.189936e+06      4.192971e+06     -3.098618e+03      6.409420e+01   
     0.006239          0.042083        2.120388e+06      2.122765e+06     -2.438620e+03      6.138476e+01   
     0.006239          0.067187        1.292942e+06      1.294825e+06     -1.942383e+03      5.851316e+01   
     0.006239          0.097901        8.073003e+05      8.087983e+05     -1.553644e+03      5.562092e+01   
     0.006239          0.134040        5.218354e+05      5.230423e+05     -1.259632e+03      5.277017e+01   
     0.006239          0.175388        3.588449e+05      3.598490e+05     -1.054005e+03      4.993615e+01   
     0.006239          0.221694        2.536033e+05      2.544325e+05     -8.762789e+02      4.703748e+01   
     0.006239          0.272682        1.851069e+05      1.858237e+05     -7.608748e+02      4.411515e+01   
     0.006239          0.328043        1.361274e+05      1.367424e+05     -6.560753e+02      4.112373e+01   
     0.006239          0.387446        1.021841e+05      1.027074e+05     -5.613692e+02      3.808644e+01   
     0.006239          0.450533        7.993325e+04      8.039995e+04     -5.017455e+02      3.504255e+01   
     0.006239          0.516924        5.874277e+04      5.914790e+04     -4.371173e+02      3.198957e+01   
     0.006239          0.586221        4.920604e+04      4.957726e+04     -4.001931e+02      2.896719e+01   
     0.006239          0.658006        3.628886e+04      3.659556e+04     -3.327011e+02      2.600124e+01   
     0.006239          0.731848        2.795521e+04      2.823402e+04     -3.020054e+02      2.318690e+01   
     0.006239          0.807302        2.286201e+04      2.311478e+04     -2.732582e+02      2.048645e+01   
     0.006239          0.883916        1.856510e+04      1.879356e+04     -2.463955e+02      1.793561e+01   
     0.006239          0.961228        1.496177e+04      1.516758e+04     -2.213535e+02      1.555199e+01   
     0.006239          1.038772        1.195963e+04      1.214432e+04     -1.980683e+02      1.337708e+01   
     0.006239          1.116084        9.475751e+03      9.640827e+03     -1.764759e+02      1.139990e+01   
     0.006239          1.192698        7.436122e+03      7.583014e+03     -1.565126e+02      9.620582e+00   
     0.006239          1.268152        6.785482e+03      6.920240e+03     -1.428330e+02      8.075410e+00   
     0.006239          1.341994        5.773655e+03      5.905016e+03     -1.381144e+02      6.752670e+00   
     0.006239          1.413779        4.432931e+03      4.548553e+03     -1.212174e+02      5.595108e+00   
     0.006239          1.483076        3.361178e+03      3.462327e+03     -1.057578e+02      4.608496e+00   
     0.006239          1.549467        3.301617e+03      3.401740e+03     -1.039072e+02      3.784303e+00   
     0.006239          1.612554        2.512889e+03      2.601438e+03     -9.167166e+01      3.122562e+00   
     0.006239          1.671957        1.850485e+03      1.926831e+03     -7.889513e+01      2.549054e+00   
     0.006239          1.727318        1.850050e+03      1.926831e+03     -7.889513e+01      2.114333e+00   
     0.006239          1.778306        1.339146e+03      1.404762e+03     -6.736430e+01      1.748064e+00   
     0.006239          1.824612        1.338866e+03      1.404762e+03     -6.736430e+01      1.467989e+00   
     0.006239          1.865960        9.505183e+02      1.006297e+03     -5.701530e+01      1.236652e+00   
     0.006239          1.902099        9.503586e+02      1.006297e+03     -5.701530e+01      1.076892e+00   
     0.006239          1.932813        8.875186e+02      9.398376e+02     -5.324981e+01      9.308403e-01   
     0.006239          1.957917        6.598786e+02      7.068266e+02     -4.778425e+01      8.361957e-01   
     0.006239          1.977260        6.598189e+02      7.068266e+02     -4.778425e+01      7.765512e-01   
     0.006239          1.990726        6.597734e+02      7.068266e+02     -4.778425e+01      7.309689e-01   
     0.006239          1.998238        6.597472e+02      7.068266e+02     -4.778425e+01      7.048198e-01   
     0.015318          0.001762        2.943370e+06      2.946344e+06     -3.032959e+03      5.928922e+01   
     0.015318          0.009274        2.947308e+06      2.950092e+06     -2.842519e+03      5.844999e+01   
     0.015318          0.022740        2.854435e+06      2.856895e+06     -2.517156e+03      5.715912e+01   
     0.015318          0.042083        2.006933e+06      2.009015e+06     -2.137483e+03      5.560160e+01   
     0.015318          0.067187        1.233232e+06      1.234938e+06     -1.759723e+03      5.377052e+01   
     0.015318          0.097901        7.895158e+05      7.909058e+05     -1.441795e+03      5.172361e+01   
     0.015318          0.134040        5.173126e+05      5.184574e+05     -1.194314e+03      4.953596e+01   
     0.015318          0.175388        3.553575e+05      3.563183e+05     -1.008039e+03      4.719467e+01   
     0.015318          0.221694        2.525283e+05      2.533385e+05     -8.548742e+02      4.470147e+01   
     0.015318          0.272682        1.835083e+05      1.842039e+05     -7.377401e+02      4.209967e+01   
     0.015318          0.328043        1.366298e+05      1.372305e+05     -6.400423e+02      3.937520e+01   
     0.015318          0.387446        1.036151e+05      1.041386e+05     -5.600765e+02      3.655493e+01   
