#        q              total               1              \delta U         \delta U^2    

     0.001185        4.313391e+07      4.313492e+07     -1.088105e+03      7.774781e+01   
     0.006239        1.028254e+07      1.028301e+07     -4.866705e+02      1.800416e+01   
     0.015318        3.954024e+06      3.954313e+06     -2.945350e+02      5.226842e+00   
     0.028399        2.091164e+06      2.091374e+06     -2.118501e+02      1.689639e+00   
     0.045447        1.141224e+06      1.141379e+06     -1.556867e+02      5.320647e-01   
     0.066417        6.544716e+05      6.545890e+05     -1.176251e+02      1.698212e-01   
     0.091251        4.028778e+05      4.029699e+05     -9.218546e+01      6.297024e-02   
     0.119882        2.723560e+05      2.724317e+05     -7.574121e+01      3.118068e-02   
     0.152235        1.791517e+05      1.792131e+05     -6.138698e+01      2.096732e-02   
     0.188220        1.331920e+05      1.332449e+05     -5.288646e+01      1.730277e-02   
     0.227742        8.290547e+04      8.294714e+04     -4.168194e+01      1.572905e-02   
     0.270694        5.911277e+04      5.914790e+04     -3.514923e+01      1.486203e-02   
     0.316959        4.954515e+04      4.957726e+04     -3.212415e+01      1.421255e-02   
     0.366414        3.423844e+04      3.426507e+04     -2.664906e+01      1.361583e-02   
     0.418925        2.309296e+04      2.311478e+04     -2.183056e+01      1.300197e-02   
     0.474351        1.877395e+04      1.879356e+04     -1.962293e+01      1.234225e-02   
     0.532541        1.212862e+04      1.214432e+04     -1.571592e+01      1.163859e-02   
     0.593339        9.626895e+03      9.640827e+03     -1.394242e+01      1.089398e-02   
     0.656582        5.894169e+03      5.905016e+03     -1.085762e+01      1.012626e-02   
     0.722098        4.539087e+03      4.548553e+03     -9.475523e+00      9.353250e-03   
     0.789711        2.594326e+03      2.601438e+03     -7.120338e+00      8.597314e-03   
     0.859239        1.920755e+03      1.926831e+03     -6.084386e+00      7.879330e-03   
     0.930495        1.001942e+03      1.006297e+03     -4.362394e+00      7.220226e-03   
     1.003286        4.826185e+02      4.856161e+02     -3.004253e+00      6.639463e-03   
     1.077416        2.098853e+02      2.118447e+02     -1.965564e+00      6.152730e-03   
     1.152685        7.966694e+01      8.086317e+01     -1.202004e+00      5.773661e-03   
     1.228890        1.266968e+01      1.314347e+01     -4.793009e-01      5.513599e-03   
     1.305826        3.375960e-03      3.158273e-04     -2.322114e-03      5.382247e-03   
     1.383286        5.388797e-03      0.000000e+00      0.000000e+00      5.388797e-03   
     1.461060        5.545013e-03      0.000000e+00      0.000000e+00      5.545013e-03   
     1.538940        5.866127e-03      0.000000e+00      0.000000e+00      5.866127e-03   
