#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.001762        3.963420e+07      3.963432e+07     -1.739990e+02      5.980607e+01   
     0.001185          0.009274        1.342310e+07      1.342315e+07     -1.078105e+02      5.322350e+01   
     0.001185          0.022740        5.623292e+06      5.623321e+06     -7.200296e+01      4.378454e+01   
     0.001185          0.042083        2.878431e+06      2.878448e+06     -5.191395e+01      3.503534e+01   
     0.001185          0.067187        1.639164e+06      1.639175e+06     -3.897330e+01      2.812972e+01   
     0.001185          0.097901        1.025394e+06      1.025403e+06     -3.158124e+01      2.281500e+01   
     0.001185          0.134040        6.545826e+05      6.545890e+05     -2.523285e+01      1.878943e+01   
     0.001185          0.175388        4.566255e+05      4.566309e+05     -2.107485e+01      1.567754e+01   
     0.001185          0.221694        3.112898e+05      3.112940e+05     -1.740072e+01      1.323384e+01   
     0.001185          0.272682        2.153822e+05      2.153852e+05     -1.418052e+01      1.122982e+01   
     0.001185          0.328043        1.548096e+05      1.548121e+05     -1.227112e+01      9.754979e+00   
     0.001185          0.387446        1.142397e+05      1.142418e+05     -1.054131e+01      8.430404e+00   
     0.001185          0.450533        9.741272e+04      9.741518e+04     -9.727210e+00      7.263806e+00   
     0.001185          0.516924        7.020923e+04      7.021098e+04     -8.263887e+00      6.519414e+00   
     0.001185          0.586221        5.318887e+04      5.319022e+04     -6.944215e+00      5.599505e+00   
     0.001185          0.658006        4.133220e+04      4.133346e+04     -6.340635e+00      5.075738e+00   
     0.001185          0.731848        3.426390e+04      3.426507e+04     -5.773082e+00      4.599570e+00   
     0.001185          0.807302        2.823287e+04      2.823402e+04     -5.240446e+00      4.089853e+00   
     0.001185          0.883916        2.311367e+04      2.311478e+04     -4.741620e+00      3.631683e+00   
     0.001185          0.961228        1.879250e+04      1.879356e+04     -4.275495e+00      3.216046e+00   
     0.001185          1.038772        1.516660e+04      1.516758e+04     -3.840962e+00      2.864260e+00   
     0.001185          1.116084        1.214353e+04      1.214432e+04     -3.436912e+00      2.644353e+00   
     0.001185          1.192698        9.640202e+03      9.640827e+03     -3.062239e+00      2.437481e+00   
     0.001185          1.268152        7.582482e+03      7.583014e+03     -2.715831e+00      2.183358e+00   
     0.001185          1.341994        5.904534e+03      5.905016e+03     -2.396583e+00      1.914039e+00   
     0.001185          1.413779        4.548117e+03      4.548553e+03     -2.103384e+00      1.667179e+00   
     0.001185          1.483076        4.465957e+03      4.466531e+03     -2.065454e+00      1.491538e+00   
     0.001185          1.549467        3.461936e+03      3.462327e+03     -1.835126e+00      1.443899e+00   
     0.001185          1.612554        2.601108e+03      2.601438e+03     -1.590701e+00      1.260331e+00   
     0.001185          1.671957        1.926553e+03      1.926831e+03     -1.369001e+00      1.091306e+00   
     0.001185          1.727318        1.926525e+03      1.926831e+03     -1.369001e+00      1.062867e+00   
     0.001185          1.778306        1.404504e+03      1.404762e+03     -1.168916e+00      9.101259e-01   
     0.001185          1.824612        1.404471e+03      1.404762e+03     -1.168916e+00      8.779470e-01   
     0.001185          1.865960        1.006073e+03      1.006297e+03     -9.893386e-01      7.655122e-01   
     0.001185          1.902099        1.006062e+03      1.006297e+03     -9.893386e-01      7.542401e-01   
     0.001185          1.932813        7.066521e+02      7.068266e+02     -8.291600e-01      6.546418e-01   
     0.001185          1.957917        7.066511e+02      7.068266e+02     -8.291600e-01      6.536357e-01   
     0.001185          1.977260        7.066344e+02      7.068266e+02     -8.291600e-01      6.369668e-01   
     0.001185          1.990726        7.065973e+02      7.068266e+02     -8.291600e-01      5.998348e-01   
     0.001185          1.998238        6.624358e+02      6.626550e+02     -7.773434e-01      5.581045e-01   
     0.006239          0.001762        1.025403e+07      1.025408e+07     -6.264162e+01      1.374957e+01   
     0.006239          0.009274        9.324992e+06      9.325033e+06     -5.311907e+01      1.218814e+01   
     0.006239          0.022740        5.325506e+06      5.325537e+06     -4.094743e+01      1.034465e+01   
     0.006239          0.042083        2.817639e+06      2.817662e+06     -3.125483e+01      8.610981e+00   
     0.006239          0.067187        1.629768e+06      1.629786e+06     -2.438603e+01      7.121388e+00   
     0.006239          0.097901        1.004079e+06      1.004093e+06     -1.945746e+01      5.914064e+00   
     0.006239          0.134040        6.517468e+05      6.517577e+05     -1.580484e+01      4.941643e+00   
     0.006239          0.175388        4.390879e+05      4.390967e+05     -1.303501e+01      4.160657e+00   
     0.006239          0.221694        3.066077e+05      3.066151e+05     -1.100373e+01      3.549234e+00   
     0.006239          0.272682        2.201480e+05      2.201542e+05     -9.193060e+00      3.018217e+00   
     0.006239          0.328043        1.605337e+05      1.605391e+05     -7.955221e+00      2.615481e+00   
     0.006239          0.387446        1.189809e+05      1.189854e+05     -6.833801e+00      2.277310e+00   
     0.006239          0.450533        9.126557e+04      9.126950e+04     -5.908201e+00      1.987348e+00   
     0.006239          0.516924        7.020739e+04      7.021098e+04     -5.357378e+00      1.771243e+00   
     0.006239          0.586221        5.391910e+04      5.392207e+04     -4.501850e+00      1.535918e+00   
     0.006239          0.658006        4.133075e+04      4.133346e+04     -4.110557e+00      1.396191e+00   
     0.006239          0.731848        3.426257e+04      3.426507e+04     -3.742619e+00      1.238861e+00   
     0.006239          0.807302        2.823173e+04      2.823402e+04     -3.397318e+00      1.106366e+00   
     0.006239          0.883916        2.230551e+04      2.230749e+04     -2.966577e+00      9.844821e-01   
