#        q              total               1              \delta U         \delta U^2    

     0.001185        7.284522e+03      7.296537e+03     -1.258937e+01      5.741803e-01   
     0.006239        4.522955e+03      4.534977e+03     -1.259589e+01      5.741515e-01   
     0.015318        2.451519e+03      2.463536e+03     -1.259137e+01      5.741062e-01   
     0.028399        1.752553e+03      1.764570e+03     -1.259085e+01      5.740326e-01   
     0.045447        1.344027e+03      1.356037e+03     -1.258418e+01      5.738713e-01   
     0.066417        1.003996e+03      1.015991e+03     -1.256908e+01      5.735951e-01   
     0.091251        8.302488e+02      8.422233e+02     -1.254764e+01      5.731779e-01   
     0.119882        6.775558e+02      6.894916e+02     -1.250850e+01      5.726634e-01   
     0.152235        5.445675e+02      5.564389e+02     -1.244336e+01      5.720017e-01   
     0.188220        4.662099e+02      4.779996e+02     -1.236105e+01      5.713073e-01   
     0.227742        3.956296e+02      4.073012e+02     -1.224241e+01      5.707697e-01   
     0.270694        3.324387e+02      3.439416e+02     -1.207353e+01      5.707140e-01   
     0.316959        2.762534e+02      2.875186e+02     -1.183675e+01      5.715722e-01   
     0.366414        2.266971e+02      2.376301e+02     -1.150694e+01      5.739865e-01   
     0.418925        2.043513e+02      2.150106e+02     -1.123806e+01      5.787667e-01   
     0.474351        1.640531e+02      1.741699e+02     -1.070358e+01      5.868313e-01   
     0.532541        1.461487e+02      1.558481e+02     -1.029859e+01      5.991411e-01   
     0.593339        1.142696e+02      1.231504e+02     -9.497430e+00      6.166057e-01   
     0.656582        1.003753e+02      1.086740e+02     -8.938605e+00      6.398975e-01   
     0.722098        8.771878e+01      9.537875e+01     -8.329181e+00      6.692077e-01   
     0.789711        6.565754e+01      7.213097e+01     -7.177508e+00      7.040798e-01   
     0.859239        5.635229e+01      6.207787e+01     -6.469213e+00      7.436353e-01   
     0.930495        4.045514e+01      4.486194e+01     -5.192734e+00      7.859281e-01   
     1.003286        3.394217e+01      3.759858e+01     -4.484505e+00      8.280947e-01   
     1.077416        2.309371e+01      2.550973e+01     -3.282736e+00      8.667099e-01   
     1.152685        1.500941e+01      1.633628e+01     -2.225362e+00      8.984929e-01   
     1.228890        7.036296e+00      7.162831e+00     -1.046405e+00      9.198700e-01   
     1.305826        2.097598e+00      1.382301e+00     -2.126177e-01      9.279150e-01   
     1.383286        9.209700e-01      0.000000e+00      0.000000e+00      9.209700e-01   
     1.461060        8.986690e-01      0.000000e+00      0.000000e+00      8.986690e-01   
     1.538940        8.617835e-01      0.000000e+00      0.000000e+00      8.617835e-01   
     1.616714        8.122813e-01      0.000000e+00      0.000000e+00      8.122813e-01   
     1.694174        7.529192e-01      0.000000e+00      0.000000e+00      7.529192e-01   
     1.771110        6.869076e-01      0.000000e+00      0.000000e+00      6.869076e-01   
     1.847315        6.176471e-01      0.000000e+00      0.000000e+00      6.176471e-01   
     1.922584        5.484483e-01      0.000000e+00      0.000000e+00      5.484483e-01   
     1.996714        4.819229e-01      0.000000e+00      0.000000e+00      4.819229e-01   
     2.069505        4.199470e-01      0.000000e+00      0.000000e+00      4.199470e-01   
     2.140761        3.637260e-01      0.000000e+00      0.000000e+00      3.637260e-01   
     2.210289        3.138598e-01      0.000000e+00      0.000000e+00      3.138598e-01   
     2.277902        2.704575e-01      0.000000e+00      0.000000e+00      2.704575e-01   
     2.343418        2.332462e-01      0.000000e+00      0.000000e+00      2.332462e-01   
     2.406661        2.017463e-01      0.000000e+00      0.000000e+00      2.017463e-01   
     2.467459        1.752864e-01      0.000000e+00      0.000000e+00      1.752864e-01   
     2.525649        1.531662e-01      0.000000e+00      0.000000e+00      1.531662e-01   
     2.581075        1.347283e-01      0.000000e+00      0.000000e+00      1.347283e-01   
     2.633586        1.193785e-01      0.000000e+00      0.000000e+00      1.193785e-01   
     2.683041        1.066144e-01      0.000000e+00      0.000000e+00      1.066144e-01   
     2.729306        9.599275e-02      0.000000e+00      0.000000e+00      9.599275e-02   
     2.772258        8.714500e-02      0.000000e+00      0.000000e+00      8.714500e-02   
     2.811780        7.977635e-02      0.000000e+00      0.000000e+00      7.977635e-02   
     2.847765        7.365219e-02      0.000000e+00      0.000000e+00      7.365219e-02   
     2.880118        6.857603e-02      0.000000e+00      0.000000e+00      6.857603e-02   
     2.908749        6.439612e-02      0.000000e+00      0.000000e+00      6.439612e-02   
     2.933583        6.099093e-02      0.000000e+00      0.000000e+00      6.099093e-02   
     2.954553        5.826512e-02      0.000000e+00      0.000000e+00      5.826512e-02   
     2.971601        5.614384e-02      0.000000e+00      0.000000e+00      5.614384e-02   
     2.984682        5.457198e-02      0.000000e+00      0.000000e+00      5.457198e-02   
     2.993761        5.350890e-02      0.000000e+00      0.000000e+00      5.350890e-02   
     2.998815        5.292603e-02      0.000000e+00      0.000000e+00      5.292603e-02   
     3.004739        5.225170e-02      0.000000e+00      0.000000e+00      5.225170e-02   
     3.024957        5.001656e-02      0.000000e+00      0.000000e+00      5.001656e-02   
     3.061273        4.624852e-02      0.000000e+00      0.000000e+00      4.624852e-02   
     3.113597        4.132668e-02      0.000000e+00      0.000000e+00      4.132668e-02   
     3.181789        3.570357e-02      0.000000e+00      0.000000e+00      3.570357e-02   
     3.265666        2.983102e-02      0.000000e+00      0.000000e+00      2.983102e-02   
     3.365002        2.409994e-02      0.000000e+00      0.000000e+00      2.409994e-02   
     3.479529        1.881271e-02      0.000000e+00      0.000000e+00      1.881271e-02   
