#        q              total               1              \delta U         \delta U^2    

     0.001185        9.287087e+03      9.288156e+03     -1.070411e+00      8.247297e-04   
     0.006239        4.533907e+03      4.534977e+03     -1.070933e+00      8.224102e-04   
     0.015318        2.811158e+03      2.812228e+03     -1.070745e+00      8.162316e-04   
     0.028399        2.044107e+03      2.045177e+03     -1.070892e+00      8.062388e-04   
     0.045447        1.509810e+03      1.510880e+03     -1.070486e+00      7.972986e-04   
     0.066417        1.143124e+03      1.144193e+03     -1.069963e+00      7.879388e-04   
     0.091251        8.966736e+02      8.977415e+02     -1.068731e+00      7.761538e-04   
     0.119882        7.370825e+02      7.381486e+02     -1.066837e+00      7.651736e-04   
     0.152235        5.976243e+02      5.986870e+02     -1.063453e+00      7.522202e-04   
     0.188220        5.151676e+02      5.162265e+02     -1.059659e+00      7.397045e-04   
     0.227742        4.062517e+02      4.073012e+02     -1.050230e+00      7.271891e-04   
     0.270694        3.429024e+02      3.439416e+02     -1.039907e+00      7.146907e-04   
     0.316959        3.138562e+02      3.148881e+02     -1.032628e+00      7.028609e-04   
     0.366414        2.607693e+02      2.617826e+02     -1.014018e+00      6.904832e-04   
     0.418925        2.140242e+02      2.150106e+02     -9.870692e-01      6.786466e-04   
     0.474351        1.929057e+02      1.938740e+02     -9.689429e-01      6.665015e-04   
     0.532541        1.549249e+02      1.558481e+02     -9.238906e-01      6.552220e-04   
     0.593339        1.379642e+02      1.388584e+02     -8.948307e-01      6.446289e-04   
     0.656582        1.078491e+02      1.086740e+02     -8.254597e-01      6.358601e-04   
     0.722098        9.459608e+01      9.537875e+01     -7.832982e-01      6.293647e-04   
     0.789711        7.144310e+01      7.213097e+01     -6.884961e-01      6.264389e-04   
     0.859239        6.144359e+01      6.207787e+01     -6.349131e-01      6.279735e-04   
     0.930495        4.433989e+01      4.486194e+01     -5.226843e-01      6.353268e-04   
     1.003286        3.075785e+01      3.116460e+01     -4.073951e-01      6.496122e-04   
     1.077416        2.028720e+01      2.058372e+01     -2.971881e-01      6.721815e-04   
     1.152685        1.251825e+01      1.271717e+01     -1.996222e-01      7.042416e-04   
     1.228890        5.038980e+00      5.127079e+00     -8.884592e-02      7.470016e-04   
     1.305826        2.544685e-02      2.513274e-02     -4.874255e-04      8.015302e-04   
     1.383286        8.688066e-04      0.000000e+00      0.000000e+00      8.688066e-04   
     1.461060        9.496884e-04      0.000000e+00      0.000000e+00      9.496884e-04   
     1.538940        1.044819e-03      0.000000e+00      0.000000e+00      1.044819e-03   
     1.616714        1.154602e-03      0.000000e+00      0.000000e+00      1.154602e-03   
     1.694174        1.279150e-03      0.000000e+00      0.000000e+00      1.279150e-03   
     1.771110        1.418248e-03      0.000000e+00      0.000000e+00      1.418248e-03   
     1.847315        1.571375e-03      0.000000e+00      0.000000e+00      1.571375e-03   
     1.922584        1.737637e-03      0.000000e+00      0.000000e+00      1.737637e-03   
     1.996714        1.915722e-03      0.000000e+00      0.000000e+00      1.915722e-03   
     2.069505        2.104055e-03      0.000000e+00      0.000000e+00      2.104055e-03   
     2.140761        2.300830e-03      0.000000e+00      0.000000e+00      2.300830e-03   
     2.210289        2.504060e-03      0.000000e+00      0.000000e+00      2.504060e-03   
     2.277902        2.711641e-03      0.000000e+00      0.000000e+00      2.711641e-03   
     2.343418        2.921363e-03      0.000000e+00      0.000000e+00      2.921363e-03   
     2.406661        3.131065e-03      0.000000e+00      0.000000e+00      3.131065e-03   
     2.467459        3.338653e-03      0.000000e+00      0.000000e+00      3.338653e-03   
     2.525649        3.542060e-03      0.000000e+00      0.000000e+00      3.542060e-03   
     2.581075        3.739419e-03      0.000000e+00      0.000000e+00      3.739419e-03   
     2.633586        3.929049e-03      0.000000e+00      0.000000e+00      3.929049e-03   
     2.683041        4.109429e-03      0.000000e+00      0.000000e+00      4.109429e-03   
     2.729306        4.279130e-03      0.000000e+00      0.000000e+00      4.279130e-03   
     2.772258        4.436958e-03      0.000000e+00      0.000000e+00      4.436958e-03   
     2.811780        4.581865e-03      0.000000e+00      0.000000e+00      4.581865e-03   
     2.847765        4.713195e-03      0.000000e+00      0.000000e+00      4.713195e-03   
     2.880118        4.830562e-03      0.000000e+00      0.000000e+00      4.830562e-03   
     2.908749        4.933835e-03      0.000000e+00      0.000000e+00      4.933835e-03   
     2.933583        5.023051e-03      0.000000e+00      0.000000e+00      5.023051e-03   
     2.954553        5.098278e-03      0.000000e+00      0.000000e+00      5.098278e-03   
     2.971601        5.159506e-03      0.000000e+00      0.000000e+00      5.159506e-03   
     2.984682        5.206611e-03      0.000000e+00      0.000000e+00      5.206611e-03   
     2.993761        5.239392e-03      0.000000e+00      0.000000e+00      5.239392e-03   
     2.998815        5.257655e-03      0.000000e+00      0.000000e+00      5.257655e-03   
     3.004739        5.278919e-03      0.000000e+00      0.000000e+00      5.278919e-03   
     3.024957        5.350327e-03      0.000000e+00      0.000000e+00      5.350327e-03   
     3.061273        5.475125e-03      0.000000e+00      0.000000e+00      5.475125e-03   
     3.113597        5.648522e-03      0.000000e+00      0.000000e+00      5.648522e-03   
     3.181789        5.864919e-03      0.000000e+00      0.000000e+00      5.864919e-03   
     3.265666        6.116796e-03      0.000000e+00      0.000000e+00      6.116796e-03   
     3.365002        6.382203e-03      0.000000e+00      0.000000e+00      6.382203e-03   
     3.479529        6.635108e-03      0.000000e+00      0.000000e+00      6.635108e-03   
     3.608938        6.844981e-03      0.000000e+00      0.000000e+00      6.844981e-03   
     3.752880        6.973021e-03      0.000000e+00      0.000000e+00      6.973021e-03   
     3.910968        6.977817e-03      0.000000e+00      0.000000e+00      6.977817e-03   
     4.082775        6.822729e-03      0.000000e+00      0.000000e+00      6.822729e-03   
     4.267838        6.482709e-03      0.000000e+00      0.000000e+00      6.482709e-03   
     4.465657        5.952662e-03      0.000000e+00      0.000000e+00      5.952662e-03   
     4.675701        5.253355e-03      0.000000e+00      0.000000e+00      5.253355e-03   
     4.897402        4.432252e-03      0.000000e+00      0.000000e+00      4.432252e-03   
     5.130163        3.557130e-03      0.000000e+00      0.000000e+00      3.557130e-03   
     5.373356        2.703092e-03      0.000000e+00      0.000000e+00      2.703092e-03   
     5.626327        1.936817e-03      0.000000e+00      0.000000e+00      1.936817e-03   
     5.888392        1.303421e-03      0.000000e+00      0.000000e+00      1.303421e-03   
     6.158845        8.205645e-04      0.000000e+00      0.000000e+00      8.205645e-04   
     6.436958        4.809429e-04      0.000000e+00      0.000000e+00      4.809429e-04   
     6.721980        2.606901e-04      0.000000e+00      0.000000e+00      2.606901e-04   
     7.013143        1.293549e-04      0.000000e+00      0.000000e+00      1.293549e-04   
     7.309662        5.785385e-05      0.000000e+00      0.000000e+00      5.785385e-05   
     7.610739        2.285133e-05      0.000000e+00      0.000000e+00      2.285133e-05   
     7.915560        7.935718e-06      0.000000e+00      0.000000e+00      7.935718e-06   
     8.223305        2.822414e-06      0.000000e+00      0.000000e+00      2.822414e-06   
     8.533144        1.760611e-06      0.000000e+00      0.000000e+00      1.760611e-06   
     8.844241        1.929779e-06      0.000000e+00      0.000000e+00      1.929779e-06   
     9.155759        2.178925e-06      0.000000e+00      0.000000e+00      2.178925e-06   
     9.466856        2.184543e-06      0.000000e+00      0.000000e+00      2.184543e-06   
     9.776695        1.961023e-06      0.000000e+00      0.000000e+00      1.961023e-06   
    10.084440        1.614993e-06      0.000000e+00      0.000000e+00      1.614993e-06   
    10.389261        1.244066e-06      0.000000e+00      0.000000e+00      1.244066e-06   
    10.690338        9.089606e-07      0.000000e+00      0.000000e+00      9.089606e-07   
    10.986857        6.362583e-07      0.000000e+00      0.000000e+00      6.362583e-07   
    11.278020        4.298753e-07      0.000000e+00      0.000000e+00      4.298753e-07   
    11.563042        2.819394e-07      0.000000e+00      0.000000e+00      2.819394e-07   
    11.841155        1.803255e-07      0.000000e+00      0.000000e+00      1.803255e-07   
    12.111608        1.129017e-07      0.000000e+00      0.000000e+00      1.129017e-07   
    12.373673        6.943056e-08      0.000000e+00      0.000000e+00      6.943056e-08   
    12.626644        4.207437e-08      0.000000e+00      0.000000e+00      4.207437e-08   
    12.869837        2.521389e-08      0.000000e+00      0.000000e+00      2.521389e-08   
    13.102598        1.500842e-08      0.000000e+00      0.000000e+00      1.500842e-08   
    13.324299        8.928159e-09      0.000000e+00      0.000000e+00      8.928159e-09   
    13.534343        5.355816e-09      0.000000e+00      0.000000e+00      5.355816e-09   
    13.732162        3.282719e-09      0.000000e+00      0.000000e+00      3.282719e-09   
    13.917225        2.092718e-09      0.000000e+00      0.000000e+00      2.092718e-09   
    14.089032        1.415998e-09      0.000000e+00      0.000000e+00      1.415998e-09   
    14.247120        1.033933e-09      0.000000e+00      0.000000e+00      1.033933e-09   
    14.391062        8.190765e-10      0.000000e+00      0.000000e+00      8.190765e-10   
    14.520471        6.982267e-10      0.000000e+00      0.000000e+00      6.982267e-10   
    14.634998        6.298510e-10      0.000000e+00      0.000000e+00      6.298510e-10   
    14.734334        5.907953e-10      0.000000e+00      0.000000e+00      5.907953e-10   
    14.818211        5.683063e-10      0.000000e+00      0.000000e+00      5.683063e-10   
    14.886403        5.552395e-10      0.000000e+00      0.000000e+00      5.552395e-10   
    14.938727        5.475100e-10      0.000000e+00      0.000000e+00      5.475100e-10   
    14.975043        5.427853e-10      0.000000e+00      0.000000e+00      5.427853e-10   
    14.995261        5.405497e-10      0.000000e+00      0.000000e+00      5.405497e-10   
