#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.001762        4.635294e+07      4.641425e+07     -6.201836e+04      7.103901e+02   
     0.001185          0.009274        2.205084e+07      2.209012e+07     -3.989084e+04      6.116111e+02   
     0.001185          0.022740        8.146978e+06      8.165807e+06     -1.930542e+04      4.757099e+02   
     0.001185          0.042083        4.746448e+06      4.760676e+06     -1.461672e+04      3.891587e+02   
     0.001185          0.067187        2.790531e+06      2.801329e+06     -1.111620e+04      3.189582e+02   
     0.001185          0.097901        1.718350e+06      1.726948e+06     -8.867324e+03      2.692110e+02   
     0.001185          0.134040        1.132604e+06      1.139716e+06     -7.346226e+03      2.348066e+02   
     0.001185          0.175388        7.860671e+05      7.920638e+05     -6.205859e+03      2.092023e+02   
     0.001185          0.221694        5.236232e+05      5.285379e+05     -5.102633e+03      1.879701e+02   
     0.001185          0.272682        3.854443e+05      3.897197e+05     -4.445042e+03      1.695889e+02   
     0.001185          0.328043        2.789752e+05      2.826685e+05     -3.846520e+03      1.532920e+02   
     0.001185          0.387446        2.113938e+05      2.145600e+05     -3.304290e+03      1.380370e+02   
     0.001185          0.450533        1.713353e+05      1.742631e+05     -3.053414e+03      1.256117e+02   
     0.001185          0.516924        1.267082e+05      1.291863e+05     -2.590407e+03      1.123101e+02   
     0.001185          0.586221        1.006811e+05      1.029567e+05     -2.377581e+03      1.020494e+02   
     0.001185          0.658006        7.231539e+04      7.421235e+04     -1.987543e+03      9.058094e+01   
     0.001185          0.731848        6.083733e+04      6.256600e+04     -1.809637e+03      8.097278e+01   
     0.001185          0.807302        4.682341e+04      4.839351e+04     -1.642676e+03      7.258098e+01   
     0.001185          0.883916        3.886394e+04      4.028537e+04     -1.486314e+03      6.487696e+01   
     0.001185          0.961228        3.205808e+04      3.334066e+04     -1.340201e+03      5.762557e+01   
     0.001185          1.038772        2.388533e+04      2.503854e+04     -1.203992e+03      5.078125e+01   
     0.001185          1.116084        1.936650e+04      2.039917e+04     -1.077338e+03      4.466843e+01   
     0.001185          1.192698        1.557755e+04      1.649846e+04     -9.598928e+02      3.897683e+01   
     0.001185          1.268152        1.242185e+04      1.323932e+04     -8.513076e+02      3.383737e+01   
     0.001185          1.341994        9.812436e+03      1.053453e+04     -7.512355e+02      2.914460e+01   
     0.001185          1.413779        7.943168e+03      8.577424e+03     -6.593290e+02      2.507299e+01   
     0.001185          1.483076        6.693387e+03      7.246731e+03     -5.752407e+02      2.189670e+01   
     0.001185          1.549467        5.928883e+03      6.484413e+03     -5.752407e+02      1.971121e+01   
     0.001185          1.612554        4.526227e+03      5.007995e+03     -4.986230e+02      1.685456e+01   
     0.001185          1.671957        3.407681e+03      3.822458e+03     -4.291285e+02      1.435105e+01   
     0.001185          1.727318        3.406298e+03      3.822458e+03     -4.291285e+02      1.296813e+01   
     0.001185          1.778306        2.525027e+03      2.880129e+03     -3.664097e+02      1.130692e+01   
     0.001185          1.824612        2.137291e+03      2.437663e+03     -3.101192e+02      9.747753e+00   
     0.001185          1.865960        1.838378e+03      2.139438e+03     -3.101192e+02      9.059212e+00   
     0.001185          1.902099        1.541073e+03      1.793053e+03     -2.599094e+02      7.929715e+00   
     0.001185          1.932813        1.311829e+03      1.564374e+03     -2.599094e+02      7.364430e+00   
     0.001185          1.957917        1.311564e+03      1.564374e+03     -2.599094e+02      7.099316e+00   
     0.001185          1.977260        1.087644e+03      1.296673e+03     -2.154329e+02      6.403938e+00   
     0.001185          1.990726        9.145928e+02      1.123966e+03     -2.154329e+02      6.059358e+00   
     0.001185          1.998238        9.144803e+02      1.123966e+03     -2.154329e+02      5.946888e+00   
     0.006239          0.001762        1.366322e+07      1.368954e+07     -2.647990e+04      1.546088e+02   
