#        q              total               1              \delta U         \delta U^2    

     0.001185        4.569256e+07      4.569672e+07     -4.332247e+03      1.676049e+02   
     0.006239        7.031408e+06      7.032969e+06     -1.609495e+03      4.819633e+01   
     0.015318        3.033483e+06      3.034506e+06     -1.040694e+03      1.779279e+01   
     0.028399        1.556124e+06      1.556853e+06     -7.391805e+02      1.009652e+01   
     0.045447        9.188609e+05      9.194182e+05     -5.648685e+02      7.475237e+00   
     0.066417        5.814887e+05      5.819294e+05     -4.473249e+02      6.547561e+00   
     0.091251        3.543287e+05      3.546700e+05     -3.474821e+02      6.173204e+00   
     0.119882        2.374227e+05      2.376993e+05     -2.826359e+02      5.940070e+00   
     0.152235        1.789755e+05      1.792131e+05     -2.432627e+02      5.711319e+00   
     0.188220        1.330431e+05      1.332449e+05     -2.072769e+02      5.438978e+00   
     0.227742        9.738346e+04      9.755295e+04     -1.745956e+02      5.104909e+00   
     0.270694        7.007051e+04      7.021098e+04     -1.451656e+02      4.703991e+00   
     0.316959        4.946256e+04      4.957726e+04     -1.189437e+02      4.240952e+00   
     0.366414        3.417292e+04      3.426507e+04     -9.587872e+01      3.730082e+00   
     0.418925        2.815334e+04      2.823402e+04     -8.388124e+01      3.195423e+00   
     0.474351        1.873068e+04      1.879356e+04     -6.555022e+01      2.670505e+00   
     0.532541        1.209635e+04      1.214432e+04     -5.016747e+01      2.196608e+00   
     0.593339        9.600321e+03      9.640827e+03     -4.232464e+01      1.818859e+00   
     0.656582        5.875365e+03      5.905016e+03     -3.123109e+01      1.579973e+00   
     0.722098        4.524285e+03      4.548553e+03     -2.578002e+01      1.512206e+00   
     0.789711        2.584730e+03      2.601438e+03     -1.833631e+01      1.627795e+00   
     0.859239        1.913858e+03      1.926831e+03     -1.488362e+01      1.910616e+00   
     0.930495        9.984070e+02      1.006297e+03     -1.020140e+01      2.311460e+00   
     1.003286        4.815939e+02      4.856161e+02     -6.772847e+00      2.750649e+00   
     1.077416        2.106636e+02      2.118447e+02     -4.311046e+00      3.129982e+00   
     1.152685        8.163092e+01      8.086317e+01     -2.585934e+00      3.353688e+00   
     1.228890        1.547949e+01      1.314347e+01     -1.017452e+00      3.353475e+00   
     1.305826        3.796277e+00      9.553777e-01     -2.683767e-01      3.109276e+00   
     1.383286        2.656644e+00      0.000000e+00      0.000000e+00      2.656644e+00   
     1.461060        2.076144e+00      0.000000e+00      0.000000e+00      2.076144e+00   
     1.538940        1.468016e+00      0.000000e+00      0.000000e+00      1.468016e+00   
     1.616714        9.225115e-01      0.000000e+00      0.000000e+00      9.225115e-01   
     1.694174        4.980557e-01      0.000000e+00      0.000000e+00      4.980557e-01   
     1.771110        2.143187e-01      0.000000e+00      0.000000e+00      2.143187e-01   
     1.847315        5.924977e-02      0.000000e+00      0.000000e+00      5.924977e-02   
     1.922584        3.220998e-03      0.000000e+00      0.000000e+00      3.220998e-03   
     1.996714        1.267061e-02      0.000000e+00      0.000000e+00      1.267061e-02   
     2.069505        5.881534e-02      0.000000e+00      0.000000e+00      5.881534e-02   
     2.140761        1.209207e-01      0.000000e+00      0.000000e+00      1.209207e-01   
     2.210289        1.859258e-01      0.000000e+00      0.000000e+00      1.859258e-01   
     2.277902        2.465579e-01      0.000000e+00      0.000000e+00      2.465579e-01   
     2.343418        2.993447e-01      0.000000e+00      0.000000e+00      2.993447e-01   
     2.406661        3.430926e-01      0.000000e+00      0.000000e+00      3.430926e-01   
     2.467459        3.778863e-01      0.000000e+00      0.000000e+00      3.778863e-01   
     2.525649        4.044779e-01      0.000000e+00      0.000000e+00      4.044779e-01   
     2.581075        4.239257e-01      0.000000e+00      0.000000e+00      4.239257e-01   
     2.633586        4.373822e-01      0.000000e+00      0.000000e+00      4.373822e-01   
     2.683041        4.459733e-01      0.000000e+00      0.000000e+00      4.459733e-01   
     2.729306        4.507339e-01      0.000000e+00      0.000000e+00      4.507339e-01   
     2.772258        4.525778e-01      0.000000e+00      0.000000e+00      4.525778e-01   
     2.811780        4.522892e-01      0.000000e+00      0.000000e+00      4.522892e-01   
     2.847765        4.505267e-01      0.000000e+00      0.000000e+00      4.505267e-01   
     2.880118        4.478338e-01      0.000000e+00      0.000000e+00      4.478338e-01   
     2.908749        4.446522e-01      0.000000e+00      0.000000e+00      4.446522e-01   
     2.933583        4.413353e-01      0.000000e+00      0.000000e+00      4.413353e-01   
     2.954553        4.381617e-01      0.000000e+00      0.000000e+00      4.381617e-01   
     2.971601        4.353465e-01      0.000000e+00      0.000000e+00      4.353465e-01   
     2.984682        4.330516e-01      0.000000e+00      0.000000e+00      4.330516e-01   
     2.993761        4.313929e-01      0.000000e+00      0.000000e+00      4.313929e-01   
     2.998815        4.304469e-01      0.000000e+00      0.000000e+00      4.304469e-01   
