#        q              total               1              \delta U         \delta U^2    

     0.001185        1.284840e+04      1.290792e+04     -6.312019e+01      3.596744e+00   
     0.006239        6.247478e+03      6.307061e+03     -6.317997e+01      3.596685e+00   
     0.015318        4.817544e+03      4.877109e+03     -6.316171e+01      3.596354e+00   
     0.028399        3.839902e+03      3.899470e+03     -6.316396e+01      3.595462e+00   
     0.045447        2.875826e+03      2.935379e+03     -6.314636e+01      3.593488e+00   
     0.066417        2.188381e+03      2.247872e+03     -6.308102e+01      3.589995e+00   
     0.091251        1.795627e+03      1.855048e+03     -6.300455e+01      3.584242e+00   
     0.119882        1.533249e+03      1.592536e+03     -6.286222e+01      3.575523e+00   
     0.152235        1.296962e+03      1.356037e+03     -6.263862e+01      3.563459e+00   
     0.188220        1.153322e+03      1.212152e+03     -6.237792e+01      3.547435e+00   
     0.227742        9.576386e+02      1.015991e+03     -6.187986e+01      3.527421e+00   
     0.270694        8.399329e+02      8.977415e+02     -6.131237e+01      3.503772e+00   
     0.316959        7.319707e+02      7.890424e+02     -6.054892e+01      3.477229e+00   
     0.366414        6.334201e+02      6.894916e+02     -5.952135e+01      3.449835e+00   
     0.418925        5.439737e+02      5.986870e+02     -5.813720e+01      3.423829e+00   
     0.474351        5.028418e+02      5.564389e+02     -5.699981e+01      3.402742e+00   
     0.532541        4.265060e+02      4.779996e+02     -5.488362e+01      3.389978e+00   
     0.593339        3.918455e+02      4.417079e+02     -5.325218e+01      3.389795e+00   
     0.656582        3.279309e+02      3.747292e+02     -5.020444e+01      3.406193e+00   
     0.722098        2.993677e+02      3.439416e+02     -4.801589e+01      3.442040e+00   
     0.789711        2.470298e+02      2.875186e+02     -4.398669e+01      3.497928e+00   
     0.859239        2.240432e+02      2.617826e+02     -4.131374e+01      3.574312e+00   
     0.930495        1.821740e+02      2.150106e+02     -3.650425e+01      3.667632e+00   
     1.003286        1.465572e+02      1.741699e+02     -3.138362e+01      3.770966e+00   
     1.077416        1.165535e+02      1.388584e+02     -2.617906e+01      3.874184e+00   
     1.152685        9.151576e+01      1.086740e+02     -2.112635e+01      3.968133e+00   
     1.228890        6.166305e+01      7.213097e+01     -1.450793e+01      4.040018e+00   
     1.305826        2.313784e+01      2.400177e+01     -4.941473e+00      4.077545e+00   
     1.383286        4.072160e+00      0.000000e+00      0.000000e+00      4.072160e+00   
     1.461060        4.019039e+00      0.000000e+00      0.000000e+00      4.019039e+00   
     1.538940        3.916267e+00      0.000000e+00      0.000000e+00      3.916267e+00   
     1.616714        3.766420e+00      0.000000e+00      0.000000e+00      3.766420e+00   
     1.694174        3.575401e+00      0.000000e+00      0.000000e+00      3.575401e+00   
     1.771110        3.351659e+00      0.000000e+00      0.000000e+00      3.351659e+00   
     1.847315        3.105795e+00      0.000000e+00      0.000000e+00      3.105795e+00   
     1.922584        2.849825e+00      0.000000e+00      0.000000e+00      2.849825e+00   
     1.996714        2.594216e+00      0.000000e+00      0.000000e+00      2.594216e+00   
     2.069505        2.347336e+00      0.000000e+00      0.000000e+00      2.347336e+00   
     2.140761        2.115586e+00      0.000000e+00      0.000000e+00      2.115586e+00   
     2.210289        1.903278e+00      0.000000e+00      0.000000e+00      1.903278e+00   
     2.277902        1.712706e+00      0.000000e+00      0.000000e+00      1.712706e+00   
     2.343418        1.544421e+00      0.000000e+00      0.000000e+00      1.544421e+00   
     2.406661        1.397825e+00      0.000000e+00      0.000000e+00      1.397825e+00   
     2.467459        1.271143e+00      0.000000e+00      0.000000e+00      1.271143e+00   
     2.525649        1.162173e+00      0.000000e+00      0.000000e+00      1.162173e+00   
     2.581075        1.068729e+00      0.000000e+00      0.000000e+00      1.068729e+00   
     2.633586        9.886934e-01      0.000000e+00      0.000000e+00      9.886934e-01   
     2.683041        9.202089e-01      0.000000e+00      0.000000e+00      9.202089e-01   
     2.729306        8.615654e-01      0.000000e+00      0.000000e+00      8.615654e-01   
     2.772258        8.113225e-01      0.000000e+00      0.000000e+00      8.113225e-01   
     2.811780        7.683250e-01      0.000000e+00      0.000000e+00      7.683250e-01   
     2.847765        7.316380e-01      0.000000e+00      0.000000e+00      7.316380e-01   
     2.880118        7.004667e-01      0.000000e+00      0.000000e+00      7.004667e-01   
     2.908749        6.742161e-01      0.000000e+00      0.000000e+00      6.742161e-01   
     2.933583        6.523851e-01      0.000000e+00      0.000000e+00      6.523851e-01   
     2.954553        6.345943e-01      0.000000e+00      0.000000e+00      6.345943e-01   
     2.971601        6.205432e-01      0.000000e+00      0.000000e+00      6.205432e-01   
     2.984682        6.100018e-01      0.000000e+00      0.000000e+00      6.100018e-01   
     2.993761        6.028059e-01      0.000000e+00      0.000000e+00      6.028059e-01   
     2.998815        5.988403e-01      0.000000e+00      0.000000e+00      5.988403e-01   
     3.004739        5.942280e-01      0.000000e+00      0.000000e+00      5.942280e-01   
     3.024957        5.787869e-01      0.000000e+00      0.000000e+00      5.787869e-01   
     3.061273        5.521356e-01      0.000000e+00      0.000000e+00      5.521356e-01   
     3.113597        5.160055e-01      0.000000e+00      0.000000e+00      5.160055e-01   
     3.181789        4.725343e-01      0.000000e+00      0.000000e+00      4.725343e-01   
     3.265666        4.240035e-01      0.000000e+00      0.000000e+00      4.240035e-01   
     3.365002        3.726309e-01      0.000000e+00      0.000000e+00      3.726309e-01   
     3.479529        3.204806e-01      0.000000e+00      0.000000e+00      3.204806e-01   
     3.608938        2.694229e-01      0.000000e+00      0.000000e+00      2.694229e-01   
     3.752880        2.210956e-01      0.000000e+00      0.000000e+00      2.210956e-01   
     3.910968        1.768351e-01      0.000000e+00      0.000000e+00      1.768351e-01   
     4.082775        1.376162e-01      0.000000e+00      0.000000e+00      1.376162e-01   
     4.267838        1.040201e-01      0.000000e+00      0.000000e+00      1.040201e-01   
     4.465657        7.622809e-02      0.000000e+00      0.000000e+00      7.622809e-02   
     4.675701        5.404954e-02      0.000000e+00      0.000000e+00      5.404954e-02   
     4.897402        3.699682e-02      0.000000e+00      0.000000e+00      3.699682e-02   
     5.130163        2.438037e-02      0.000000e+00      0.000000e+00      2.438037e-02   
     5.373356        1.541547e-02      0.000000e+00      0.000000e+00      1.541547e-02   
     5.626327        9.312645e-03      0.000000e+00      0.000000e+00      9.312645e-03   
     5.888392        5.345392e-03      0.000000e+00      0.000000e+00      5.345392e-03   
     6.158845        2.893881e-03      0.000000e+00      0.000000e+00      2.893881e-03   
     6.436958        1.463462e-03      0.000000e+00      0.000000e+00      1.463462e-03   
     6.721980        6.833048e-04      0.000000e+00      0.000000e+00      6.833048e-04   
     7.013143        2.919603e-04      0.000000e+00      0.000000e+00      2.919603e-04   
     7.309662        1.167635e-04      0.000000e+00      0.000000e+00      1.167635e-04   
     7.610739        5.115269e-05      0.000000e+00      0.000000e+00      5.115269e-05   
     7.915560        3.425489e-05      0.000000e+00      0.000000e+00      3.425489e-05   
     8.223305        3.452692e-05      0.000000e+00      0.000000e+00      3.452692e-05   
     8.533144        3.767470e-05      0.000000e+00      0.000000e+00      3.767470e-05   
     8.844241        3.861371e-05      0.000000e+00      0.000000e+00      3.861371e-05   
     9.155759        3.656829e-05      0.000000e+00      0.000000e+00      3.656829e-05   
     9.466856        3.236940e-05      0.000000e+00      0.000000e+00      3.236940e-05   
     9.776695        2.714592e-05      0.000000e+00      0.000000e+00      2.714592e-05   
    10.084440        2.180734e-05      0.000000e+00      0.000000e+00      2.180734e-05   
    10.389261        1.692307e-05      0.000000e+00      0.000000e+00      1.692307e-05   
    10.690338        1.276715e-05      0.000000e+00      0.000000e+00      1.276715e-05   
    10.986857        9.409254e-06      0.000000e+00      0.000000e+00      9.409254e-06   
    11.278020        6.799927e-06      0.000000e+00      0.000000e+00      6.799927e-06   
