#        q              total               1              \delta U         \delta U^2    

     0.001185        8.326416e+07      8.330726e+07     -4.506109e+04      1.958207e+03   
     0.006239        1.892037e+07      1.893962e+07     -1.941351e+04      1.639052e+02   
     0.015318        1.230884e+07      1.232554e+07     -1.686701e+04      1.635406e+02   
     0.028399        7.887750e+06      7.901064e+06     -1.347706e+04      1.631064e+02   
     0.045447        4.484203e+06      4.494171e+06     -1.013011e+04      1.623674e+02   
     0.066417        2.638236e+06      2.645811e+06     -7.736004e+03      1.611221e+02   
     0.091251        1.801146e+06      1.807342e+06     -6.354931e+03      1.591696e+02   
     0.119882        1.330146e+06      1.335407e+06     -5.417771e+03      1.563101e+02   
     0.152235        9.665508e+05      9.709656e+05     -4.567228e+03      1.523365e+02   
     0.188220        7.307767e+05      7.346564e+05     -4.026690e+03      1.470591e+02   
     0.227742        5.448638e+05      5.480372e+05     -3.313712e+03      1.403162e+02   
     0.270694        4.002425e+05      4.029699e+05     -2.859436e+03      1.319971e+02   
     0.316959        3.089769e+05      3.112940e+05     -2.439154e+03      1.220744e+02   
     0.366414        2.357559e+05      2.376993e+05     -2.054093e+03      1.106390e+02   
     0.418925        1.908767e+05      1.924842e+05     -1.705435e+03      9.793136e+01   
     0.474351        1.533938e+05      1.548121e+05     -1.502686e+03      8.436659e+01   
     0.532541        1.130998e+05      1.142418e+05     -1.212543e+03      7.055085e+01   
     0.593339        9.656780e+04      9.755295e+04     -1.042416e+03      5.727058e+01   
     0.656582        6.944171e+04      7.021098e+04     -8.147305e+02      4.546117e+01   
     0.722098        5.850164e+04      5.914790e+04     -6.823922e+02      3.613146e+01   
     0.789711        4.084769e+04      4.133346e+04     -5.160109e+02      3.024277e+01   
     0.859239        3.387177e+04      3.426507e+04     -4.218491e+02      2.854529e+01   
     0.930495        2.283676e+04      2.311478e+04     -3.094044e+02      3.138686e+01   
     1.003286        1.498299e+04      1.516758e+04     -2.231257e+02      3.853845e+01   
     1.077416        9.531666e+03      9.640827e+03     -1.582590e+02      4.909777e+01   
     1.152685        5.856224e+03      5.905016e+03     -1.103283e+02      6.153585e+01   
     1.228890        2.609985e+03      2.601438e+03     -6.537062e+01      7.391736e+01   
     1.305826        8.427384e+01      0.000000e+00      0.000000e+00      8.427384e+01   
     1.383286        9.102833e+01      0.000000e+00      0.000000e+00      9.102833e+01   
     1.461060        9.333379e+01      0.000000e+00      0.000000e+00      9.333379e+01   
     1.538940        9.120252e+01      0.000000e+00      0.000000e+00      9.120252e+01   
     1.616714        8.538884e+01      0.000000e+00      0.000000e+00      8.538884e+01   
     1.694174        7.709000e+01      0.000000e+00      0.000000e+00      7.709000e+01   
     1.771110        6.759434e+01      0.000000e+00      0.000000e+00      6.759434e+01   
     1.847315        5.800029e+01      0.000000e+00      0.000000e+00      5.800029e+01   
     1.922584        4.907098e+01      0.000000e+00      0.000000e+00      4.907098e+01   
     1.996714        4.121987e+01      0.000000e+00      0.000000e+00      4.121987e+01   
     2.069505        3.457986e+01      0.000000e+00      0.000000e+00      3.457986e+01   
     2.140761        2.910177e+01      0.000000e+00      0.000000e+00      2.910177e+01   
     2.210289        2.464380e+01      0.000000e+00      0.000000e+00      2.464380e+01   
     2.277902        2.103495e+01      0.000000e+00      0.000000e+00      2.103495e+01   
     2.343418        1.811147e+01      0.000000e+00      0.000000e+00      1.811147e+01   
     2.406661        1.573288e+01      0.000000e+00      0.000000e+00      1.573288e+01   
     2.467459        1.378565e+01      0.000000e+00      0.000000e+00      1.378565e+01   
     2.525649        1.218090e+01      0.000000e+00      0.000000e+00      1.218090e+01   
     2.581075        1.084998e+01      0.000000e+00      0.000000e+00      1.084998e+01   
     2.633586        9.740057e+00      0.000000e+00      0.000000e+00      9.740057e+00   
     2.683041        8.810320e+00      0.000000e+00      0.000000e+00      8.810320e+00   
     2.729306        8.029018e+00      0.000000e+00      0.000000e+00      8.029018e+00   
     2.772258        7.371267e+00      0.000000e+00      0.000000e+00      7.371267e+00   
     2.811780        6.817418e+00      0.000000e+00      0.000000e+00      6.817418e+00   
     2.847765        6.351854e+00      0.000000e+00      0.000000e+00      6.351854e+00   
     2.880118        5.962112e+00      0.000000e+00      0.000000e+00      5.962112e+00   
     2.908749        5.638228e+00      0.000000e+00      0.000000e+00      5.638228e+00   
     2.933583        5.372244e+00      0.000000e+00      0.000000e+00      5.372244e+00   
     2.954553        5.157847e+00      0.000000e+00      0.000000e+00      5.157847e+00   
     2.971601        4.990095e+00      0.000000e+00      0.000000e+00      4.990095e+00   
     2.984682        4.865212e+00      0.000000e+00      0.000000e+00      4.865212e+00   
     2.993761        4.780435e+00      0.000000e+00      0.000000e+00      4.780435e+00   
     2.998815        4.733899e+00      0.000000e+00      0.000000e+00      4.733899e+00   
     3.004739        4.679948e+00      0.000000e+00      0.000000e+00      4.679948e+00   
     3.024957        4.500531e+00      0.000000e+00      0.000000e+00      4.500531e+00   
     3.061273        4.195710e+00      0.000000e+00      0.000000e+00      4.195710e+00   
     3.113597        3.792971e+00      0.000000e+00      0.000000e+00      3.792971e+00   
     3.181789        3.325895e+00      0.000000e+00      0.000000e+00      3.325895e+00   
     3.265666        2.829302e+00      0.000000e+00      0.000000e+00      2.829302e+00   
     3.365002        2.335123e+00      0.000000e+00      0.000000e+00      2.335123e+00   
     3.479529        1.869510e+00      0.000000e+00      0.000000e+00      1.869510e+00   
     3.608938        1.451335e+00      0.000000e+00      0.000000e+00      1.451335e+00   
     3.752880        1.091887e+00      0.000000e+00      0.000000e+00      1.091887e+00   
     3.910968        7.955010e-01      0.000000e+00      0.000000e+00      7.955010e-01   
     4.082775        5.607852e-01      0.000000e+00      0.000000e+00      5.607852e-01   
     4.267838        3.821821e-01      0.000000e+00      0.000000e+00      3.821821e-01   
     4.465657        2.515970e-01      0.000000e+00      0.000000e+00      2.515970e-01   
     4.675701        1.598850e-01      0.000000e+00      0.000000e+00      1.598850e-01   
     4.897402        9.804417e-02      0.000000e+00      0.000000e+00      9.804417e-02   
     5.130163        5.803168e-02      0.000000e+00      0.000000e+00      5.803168e-02   
     5.373356        3.320349e-02      0.000000e+00      0.000000e+00      3.320349e-02   
     5.626327        1.843380e-02      0.000000e+00      0.000000e+00      1.843380e-02   
     5.888392        1.000862e-02      0.000000e+00      0.000000e+00      1.000862e-02   
     6.158845        5.392358e-03      0.000000e+00      0.000000e+00      5.392358e-03   
     6.436958        2.951252e-03      0.000000e+00      0.000000e+00      2.951252e-03   
     6.721980        1.691447e-03      0.000000e+00      0.000000e+00      1.691447e-03   
     7.013143        1.042540e-03      0.000000e+00      0.000000e+00      1.042540e-03   
     7.309662        6.961782e-04      0.000000e+00      0.000000e+00      6.961782e-04   
     7.610739        4.956977e-04      0.000000e+00      0.000000e+00      4.956977e-04   
     7.915560        3.663694e-04      0.000000e+00      0.000000e+00      3.663694e-04   
     8.223305        2.745599e-04      0.000000e+00      0.000000e+00      2.745599e-04   
     8.533144        2.056142e-04      0.000000e+00      0.000000e+00      2.056142e-04   
     8.844241        1.528576e-04      0.000000e+00      0.000000e+00      1.528576e-04   
     9.155759        1.126476e-04      0.000000e+00      0.000000e+00      1.126476e-04   
