#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.001762        1.440728e+08      1.441134e+08     -5.351180e+04      1.297428e+04   
     0.001185          0.009274        5.024250e+07      5.026431e+07     -3.360034e+04      1.178319e+04   
     0.001185          0.022740        2.191235e+07      2.192526e+07     -2.271765e+04      9.811025e+03   
     0.001185          0.042083        1.164093e+07      1.164960e+07     -1.665327e+04      7.984097e+03   
     0.001185          0.067187        6.977671e+06      6.984120e+06     -1.297574e+04      6.526932e+03   
     0.001185          0.097901        4.512308e+06      4.517431e+06     -1.053784e+04      5.414065e+03   
     0.001185          0.134040        3.095040e+06      3.099146e+06     -8.678533e+03      4.572598e+03   
     0.001185          0.175388        2.189937e+06      2.193379e+06     -7.342069e+03      3.900138e+03   
     0.001185          0.221694        1.629944e+06      1.632908e+06     -6.334706e+03      3.370692e+03   
     0.001185          0.272682        1.200581e+06      1.203065e+06     -5.423973e+03      2.940066e+03   
     0.001185          0.328043        9.171573e+05      9.194182e+05     -4.868096e+03      2.607138e+03   
     0.001185          0.387446        7.278570e+05      7.298588e+05     -4.323141e+03      2.321327e+03   
     0.001185          0.450533        5.801416e+05      5.819294e+05     -3.872913e+03      2.085050e+03   
     0.001185          0.516924        4.550781e+05      4.566309e+05     -3.430720e+03      1.877898e+03   
     0.001185          0.586221        3.766935e+05      3.780494e+05     -3.023534e+03      1.667649e+03   
     0.001185          0.658006        3.100231e+05      3.112940e+05     -2.832618e+03      1.561718e+03   
     0.001185          0.731848        2.534067e+05      2.544736e+05     -2.475236e+03      1.408333e+03   
     0.001185          0.807302        2.057194e+05      2.067381e+05     -2.308410e+03      1.289695e+03   
     0.001185          0.883916        1.782645e+05      1.792131e+05     -2.149253e+03      1.200624e+03   
     0.001185          0.961228        1.539275e+05      1.548121e+05     -1.997584e+03      1.112938e+03   
     0.001185          1.038772        1.324304e+05      1.332449e+05     -1.853224e+03      1.038766e+03   
     0.001185          1.116084        1.134921e+05      1.142418e+05     -1.715992e+03      9.662732e+02   
     0.001185          1.192698        9.686550e+04      9.755295e+04     -1.585706e+03      8.982581e+02   
     0.001185          1.268152        8.231091e+04      8.294714e+04     -1.462188e+03      8.259599e+02   
     0.001185          1.341994        6.962402e+04      7.021098e+04     -1.345257e+03      7.583037e+02   
     0.001185          1.413779        5.860714e+04      5.914790e+04     -1.234731e+03      6.939714e+02   
     0.001185          1.483076        5.366162e+04      5.415156e+04     -1.130431e+03      6.404993e+02   
     0.001185          1.549467        4.907383e+04      4.957726e+04     -1.130431e+03      6.269999e+02   
     0.001185          1.612554        4.087479e+04      4.133346e+04     -1.032175e+03      5.735074e+02   
     0.001185          1.671957        3.384443e+04      3.426507e+04     -9.397848e+02      5.191389e+02   
     0.001185          1.727318        3.382916e+04      3.426507e+04     -9.397848e+02      5.038761e+02   
     0.001185          1.778306        2.784720e+04      2.823402e+04     -8.530785e+02      4.662489e+02   
     0.001185          1.824612        2.543578e+04      2.579156e+04     -7.792805e+02      4.235017e+02   
     0.001185          1.865960        2.275886e+04      2.311478e+04     -7.718759e+02      4.159607e+02   
     0.001185          1.902099        2.236681e+04      2.274232e+04     -7.594383e+02      3.839287e+02   
     0.001185          1.932813        1.846938e+04      1.879356e+04     -6.959966e+02      3.718228e+02   
     0.001185          1.957917        1.846492e+04      1.879356e+04     -6.959966e+02      3.673574e+02   
     0.001185          1.977260        1.844309e+04      1.879356e+04     -6.959966e+02      3.455276e+02   
     0.001185          1.990726        1.487496e+04      1.516758e+04     -6.252601e+02      3.326404e+02   
     0.001185          1.998238        1.487373e+04      1.516758e+04     -6.252601e+02      3.314131e+02   
     0.006239          0.001762        3.873399e+07      3.875400e+07     -2.296978e+04      2.956362e+03   
     0.006239          0.009274        3.543437e+07      3.545162e+07     -1.994624e+04      2.691472e+03   
     0.006239          0.022740        2.081007e+07      2.082338e+07     -1.562822e+04      2.323257e+03   
     0.006239          0.042083        1.147511e+07      1.148528e+07     -1.214815e+04      1.972282e+03   
     0.006239          0.067187        6.932240e+06      6.940243e+06     -9.670854e+03      1.667674e+03   
     0.006239          0.097901        4.486975e+06      4.493445e+06     -7.883753e+03      1.413597e+03   
     0.006239          0.134040        3.062124e+06      3.067501e+06     -6.587350e+03      1.210736e+03   
     0.006239          0.175388        2.165500e+06      2.169998e+06     -5.545454e+03      1.047081e+03   
     0.006239          0.221694        1.578264e+06      1.582129e+06     -4.778955e+03      9.136411e+02   
     0.006239          0.272682        1.193356e+06      1.196705e+06     -4.153236e+03      8.035864e+02   
     0.006239          0.328043        9.160754e+05      9.190262e+05     -3.666805e+03      7.160145e+02   
     0.006239          0.387446        7.148075e+05      7.174209e+05     -3.250818e+03      6.374556e+02   
     0.006239          0.450533        5.688234e+05      5.711604e+05     -2.910681e+03      5.736973e+02   
     0.006239          0.516924        4.588804e+05      4.609873e+05     -2.626966e+03      5.200658e+02   
     0.006239          0.586221        3.724092e+05      3.742548e+05     -2.315176e+03      4.695472e+02   
     0.006239          0.658006        3.095565e+05      3.112940e+05     -2.168988e+03      4.315395e+02   
     0.006239          0.731848        2.598113e+05      2.613661e+05     -1.946670e+03      3.918576e+02   
     0.006239          0.807302        2.102565e+05      2.116623e+05     -1.767592e+03      3.617908e+02   
     0.006239          0.883916        1.779029e+05      1.792131e+05     -1.645722e+03      3.355127e+02   
     0.006239          0.961228        1.535936e+05      1.548121e+05     -1.529587e+03      3.110851e+02   
     0.006239          1.038772        1.321123e+05      1.332449e+05     -1.419048e+03      2.864497e+02   
     0.006239          1.116084        1.131930e+05      1.142418e+05     -1.313966e+03      2.651536e+02   
     0.006239          1.192698        9.658559e+04      9.755295e+04     -1.214205e+03      2.468494e+02   
     0.006239          1.268152        8.205656e+04      8.294714e+04     -1.119625e+03      2.290470e+02   
     0.006239          1.341994        6.939120e+04      7.021098e+04     -1.030088e+03      2.103158e+02   
     0.006239          1.413779        5.885105e+04      5.960320e+04     -9.454561e+02      1.933005e+02   
     0.006239          1.483076        5.403792e+04      5.473481e+04     -8.749146e+02      1.780233e+02   
     0.006239          1.549467        4.888126e+04      4.957726e+04     -8.655915e+02      1.695904e+02   
     0.006239          1.612554        4.070025e+04      4.133346e+04     -7.903557e+02      1.571482e+02   
     0.006239          1.671957        3.385772e+04      3.443181e+04     -7.196106e+02      1.455237e+02   
     0.006239          1.727318        3.359955e+04      3.418050e+04     -7.178345e+02      1.368811e+02   
     0.006239          1.778306        2.770912e+04      2.823402e+04     -6.532180e+02      1.283166e+02   
     0.006239          1.824612        2.511369e+04      2.558792e+04     -5.919981e+02      1.177668e+02   
     0.006239          1.865960        2.263813e+04      2.311478e+04     -5.910396e+02      1.143884e+02   
     0.006239          1.902099        2.094702e+04      2.138701e+04     -5.468610e+02      1.068687e+02   
     0.006239          1.932813        1.836485e+04      1.879356e+04     -5.329374e+02      1.042342e+02   
     0.006239          1.957917        1.836148e+04      1.879356e+04     -5.329374e+02      1.008583e+02   
     0.006239          1.977260        1.724831e+04      1.765239e+04     -5.005768e+02      9.649914e+01   
     0.006239          1.990726        1.533926e+04      1.572407e+04     -4.787732e+02      9.397209e+01   
     0.006239          1.998238        1.478286e+04      1.516758e+04     -4.787732e+02      9.405200e+01   
     0.015318          0.001762        1.628656e+07      1.629951e+07     -1.387257e+04      9.197685e+02   
     0.015318          0.009274        1.600408e+07      1.601644e+07     -1.322647e+04      8.757588e+02   
