#        q              total               1              \delta U         \delta U^2    

     0.001185        8.330370e+07      8.330726e+07     -3.610596e+03      4.937594e+01   
     0.006239        1.803345e+07      1.803509e+07     -1.668903e+03      3.337057e+01   
     0.015318        1.277234e+07      1.277371e+07     -1.401185e+03      2.925430e+01   
     0.028399        8.209791e+06      8.210884e+06     -1.120884e+03      2.798450e+01   
     0.045447        4.687327e+06      4.688144e+06     -8.444103e+02      2.739379e+01   
     0.066417        2.770176e+06      2.770795e+06     -6.462322e+02      2.698937e+01   
     0.091251        1.897951e+06      1.898456e+06     -5.312413e+02      2.656789e+01   
     0.119882        1.405877e+06      1.406303e+06     -4.525528e+02      2.601601e+01   
     0.152235        1.025048e+06      1.025403e+06     -3.807779e+02      2.526585e+01   
     0.188220        7.343648e+05      7.346564e+05     -3.157894e+02      2.427022e+01   
     0.227742        5.816790e+05      5.819294e+05     -2.734632e+02      2.299875e+01   
     0.270694        4.027718e+05      4.029699e+05     -2.195753e+02      2.143970e+01   
     0.316959        3.111292e+05      3.112940e+05     -1.843950e+02      1.960530e+01   
     0.366414        2.375647e+05      2.376993e+05     -1.522140e+02      1.753815e+01   
     0.418925        2.066211e+05      2.067381e+05     -1.323706e+02      1.531399e+01   
     0.474351        1.547199e+05      1.548121e+05     -1.052713e+02      1.304513e+01   
     0.532541        1.141709e+05      1.142418e+05     -8.179530e+01      1.087662e+01   
     0.593339        9.749470e+04      9.755295e+04     -6.721978e+01      8.975556e+00   
     0.656582        7.016863e+04      7.021098e+04     -4.985675e+01      7.514478e+00   
     0.722098        5.911516e+04      5.914790e+04     -3.938057e+01      6.644314e+00   
     0.789711        4.131193e+04      4.133346e+04     -2.798921e+01      6.462710e+00   
     0.859239        3.425050e+04      3.426507e+04     -2.155580e+01      6.979872e+00   
     0.930495        2.310781e+04      2.311478e+04     -1.505995e+01      8.093576e+00   
     1.003286        1.516658e+04      1.516758e+04     -1.057410e+01      9.582518e+00   
     1.077416        9.644425e+03      9.640827e+03     -7.531769e+00      1.112978e+01   
     1.152685        5.911945e+03      5.905016e+03     -5.450774e+00      1.237952e+01   
     1.228890        2.611014e+03      2.601438e+03     -3.441826e+00      1.301777e+01   
     1.305826        1.285461e+01      0.000000e+00      0.000000e+00      1.285461e+01   
     1.383286        1.187680e+01      0.000000e+00      0.000000e+00      1.187680e+01   
     1.461060        1.024736e+01      0.000000e+00      0.000000e+00      1.024736e+01   
     1.538940        8.249022e+00      0.000000e+00      0.000000e+00      8.249022e+00   
     1.616714        6.194561e+00      0.000000e+00      0.000000e+00      6.194561e+00   
     1.694174        4.341277e+00      0.000000e+00      0.000000e+00      4.341277e+00   
     1.771110        2.841088e+00      0.000000e+00      0.000000e+00      2.841088e+00   
     1.847315        1.736368e+00      0.000000e+00      0.000000e+00      1.736368e+00   
     1.922584        9.893712e-01      0.000000e+00      0.000000e+00      9.893712e-01   
     1.996714        5.229037e-01      0.000000e+00      0.000000e+00      5.229037e-01   
     2.069505        2.538904e-01      0.000000e+00      0.000000e+00      2.538904e-01   
     2.140761        1.122961e-01      0.000000e+00      0.000000e+00      1.122961e-01   
     2.210289        4.705328e-02      0.000000e+00      0.000000e+00      4.705328e-02   
     2.277902        2.441736e-02      0.000000e+00      0.000000e+00      2.441736e-02   
     2.343418        2.361916e-02      0.000000e+00      0.000000e+00      2.361916e-02   
     2.406661        3.257594e-02      0.000000e+00      0.000000e+00      3.257594e-02   
     2.467459        4.463600e-02      0.000000e+00      0.000000e+00      4.463600e-02   
     2.525649        5.639626e-02      0.000000e+00      0.000000e+00      5.639626e-02   
     2.581075        6.632880e-02      0.000000e+00      0.000000e+00      6.632880e-02   
     2.633586        7.394447e-02      0.000000e+00      0.000000e+00      7.394447e-02   
     2.683041        7.929429e-02      0.000000e+00      0.000000e+00      7.929429e-02   
     2.729306        8.267927e-02      0.000000e+00      0.000000e+00      8.267927e-02   
     2.772258        8.448745e-02      0.000000e+00      0.000000e+00      8.448745e-02   
     2.811780        8.510776e-02      0.000000e+00      0.000000e+00      8.510776e-02   
     2.847765        8.488901e-02      0.000000e+00      0.000000e+00      8.488901e-02   
     2.880118        8.412446e-02      0.000000e+00      0.000000e+00      8.412446e-02   
     2.908749        8.305022e-02      0.000000e+00      0.000000e+00      8.305022e-02   
     2.933583        8.185024e-02      0.000000e+00      0.000000e+00      8.185024e-02   
     2.954553        8.066400e-02      0.000000e+00      0.000000e+00      8.066400e-02   
     2.971601        7.959450e-02      0.000000e+00      0.000000e+00      7.959450e-02   
     2.984682        7.871557e-02      0.000000e+00      0.000000e+00      7.871557e-02   
     2.993761        7.807792e-02      0.000000e+00      0.000000e+00      7.807792e-02   
     2.998815        7.771364e-02      0.000000e+00      0.000000e+00      7.771364e-02   
     3.004739        7.727857e-02      0.000000e+00      0.000000e+00      7.727857e-02   
     3.024957        7.573197e-02      0.000000e+00      0.000000e+00      7.573197e-02   
     3.061273        7.274547e-02      0.000000e+00      0.000000e+00      7.274547e-02   
     3.113597        6.808684e-02      0.000000e+00      0.000000e+00      6.808684e-02   
     3.181789        6.164374e-02      0.000000e+00      0.000000e+00      6.164374e-02   
     3.265666        5.356811e-02      0.000000e+00      0.000000e+00      5.356811e-02   
     3.365002        4.433928e-02      0.000000e+00      0.000000e+00      4.433928e-02   
     3.479529        3.470455e-02      0.000000e+00      0.000000e+00      3.470455e-02   
     3.608938        2.551078e-02      0.000000e+00      0.000000e+00      2.551078e-02   
     3.752880        1.749401e-02      0.000000e+00      0.000000e+00      1.749401e-02   
     3.910968        1.111296e-02      0.000000e+00      0.000000e+00      1.111296e-02   
     4.082775        6.486708e-03      0.000000e+00      0.000000e+00      6.486708e-03   
     4.267838        3.443145e-03      0.000000e+00      0.000000e+00      3.443145e-03   
     4.465657        1.637426e-03      0.000000e+00      0.000000e+00      1.637426e-03   
     4.675701        6.812885e-04      0.000000e+00      0.000000e+00      6.812885e-04   
     4.897402        2.375993e-04      0.000000e+00      0.000000e+00      2.375993e-04   
     5.130163        6.339340e-05      0.000000e+00      0.000000e+00      6.339340e-05   
     5.373356        1.004028e-05      0.000000e+00      0.000000e+00      1.004028e-05   
