#        q                Q               total               1              \delta U         \delta U^2    

     0.001185          0.001762        7.873459e+07      7.873994e+07     -6.105369e+03      7.504782e+02   
     0.001185          0.009274        3.804009e+07      3.804353e+07     -4.144729e+03      7.038989e+02   
     0.001185          0.022740        1.425599e+07      1.425805e+07     -2.709822e+03      6.469444e+02   
     0.001185          0.042083        1.048424e+07      1.048600e+07     -2.336566e+03      5.680235e+02   
     0.001185          0.067187        7.074006e+06      7.075463e+06     -1.932357e+03      4.754108e+02   
     0.001185          0.097901        4.337687e+06      4.338811e+06     -1.512401e+03      3.888196e+02   
     0.001185          0.134040        2.802432e+06      2.803316e+06     -1.212886e+03      3.286191e+02   
     0.001185          0.175388        2.090606e+06      2.091374e+06     -1.053741e+03      2.856950e+02   
     0.001185          0.221694        1.556196e+06      1.556853e+06     -9.091631e+02      2.519555e+02   
     0.001185          0.272682        1.140824e+06      1.141379e+06     -7.784539e+02      2.238523e+02   
     0.001185          0.328043        9.189191e+05      9.194182e+05     -6.986739e+02      1.995020e+02   
     0.001185          0.387446        7.342102e+05      7.346564e+05     -6.245397e+02      1.783460e+02   
     0.001185          0.450533        5.815339e+05      5.819294e+05     -5.558442e+02      1.603111e+02   
     0.001185          0.516924        4.562841e+05      4.566309e+05     -4.923802e+02      1.455422e+02   
     0.001185          0.586221        3.543666e+05      3.546700e+05     -4.339405e+02      1.305066e+02   
     0.001185          0.658006        3.110079e+05      3.112940e+05     -4.065400e+02      1.204474e+02   
     0.001185          0.731848        2.374517e+05      2.376993e+05     -3.552482e+02      1.075903e+02   
     0.001185          0.807302        2.065066e+05      2.067381e+05     -3.313052e+02      9.978893e+01   
     0.001185          0.883916        1.789972e+05      1.792131e+05     -3.084628e+02      9.256581e+01   
     0.001185          0.961228        1.546100e+05      1.548121e+05     -2.866952e+02      8.459041e+01   
     0.001185          1.038772        1.330568e+05      1.332449e+05     -2.659765e+02      7.789591e+01   
     0.001185          1.116084        1.140678e+05      1.142418e+05     -2.462808e+02      7.230535e+01   
     0.001185          1.192698        9.739208e+04      9.755295e+04     -2.275821e+02      6.671080e+01   
     0.001185          1.268152        8.279851e+04      8.294714e+04     -2.098547e+02      6.123287e+01   
     0.001185          1.341994        7.007355e+04      7.021098e+04     -1.930725e+02      5.564389e+01   
     0.001185          1.413779        5.902141e+04      5.914790e+04     -1.772097e+02      5.071518e+01   
     0.001185          1.483076        5.037155e+04      5.048774e+04     -1.622405e+02      4.605318e+01   
     0.001185          1.549467        4.946000e+04      4.957726e+04     -1.622405e+02      4.497957e+01   
     0.001185          1.612554        4.122623e+04      4.133346e+04     -1.481388e+02      4.090920e+01   
     0.001185          1.671957        3.416708e+04      3.426507e+04     -1.348788e+02      3.688052e+01   
     0.001185          1.727318        3.416591e+04      3.426507e+04     -1.348788e+02      3.571828e+01   
     0.001185          1.778306        2.814423e+04      2.823402e+04     -1.224346e+02      3.263622e+01   
     0.001185          1.824612        2.814182e+04      2.823402e+04     -1.224346e+02      3.023314e+01   
     0.001185          1.865960        2.303295e+04      2.311478e+04     -1.107804e+02      2.895326e+01   
     0.001185          1.902099        2.303152e+04      2.311478e+04     -1.107804e+02      2.751761e+01   
     0.001185          1.932813        1.871927e+04      1.879356e+04     -9.989010e+01      2.560491e+01   
     0.001185          1.957917        1.871911e+04      1.879356e+04     -9.989010e+01      2.544188e+01   
     0.001185          1.977260        1.871847e+04      1.879356e+04     -9.989010e+01      2.479817e+01   
     0.001185          1.990726        1.747887e+04      1.754898e+04     -9.327502e+01      2.316792e+01   
     0.001185          1.998238        1.510083e+04      1.516758e+04     -8.973793e+01      2.298807e+01   
     0.006239          0.001762        1.997934e+07      1.998178e+07     -2.653780e+03      2.207736e+02   
     0.006239          0.009274        2.147681e+07      2.147913e+07     -2.521795e+03      1.983360e+02   
